ward,precinct,total,Thaddeus L. Wilson,Thaddeus L. Wilson Percent,Linnae Bryant,Linnae Bryant Percent,precinct_id
8,18,72,45,62.5,27,37.5,08018
8,19,219,131,59.82,88,40.18,08019
8,20,112,67,59.82,45,40.18,08020
8,21,124,67,54.03,57,45.97,08021
8,22,119,71,59.66,48,40.34,08022
8,23,133,68,51.13,65,48.87,08023
8,24,160,95,59.38,65,40.63,08024
8,25,143,66,46.15,77,53.85,08025
8,26,99,63,63.64,36,36.36,08026
8,27,164,107,65.24,57,34.76,08027
8,28,118,58,49.15,60,50.85,08028
8,29,164,89,54.27,75,45.73,08029
8,30,133,85,63.91,48,36.09,08030
8,31,97,70,72.16,27,27.84,08031
8,32,236,135,57.2,101,42.8,08032
8,33,155,97,62.58,58,37.42,08033
8,34,189,106,56.08,83,43.92,08034
8,35,180,108,60.0,72,40.0,08035
8,36,136,85,62.5,51,37.5,08036
8,37,148,88,59.46,60,40.54,08037
8,38,128,83,64.84,45,35.16,08038
8,39,164,80,48.78,84,51.22,08039
8,40,123,82,66.67,41,33.33,08040
8,41,124,76,61.29,48,38.71,08041
8,42,154,99,64.29,55,35.71,08042
8,43,80,47,58.75,33,41.25,08043
8,44,122,74,60.66,48,39.34,08044
8,45,93,51,54.84,42,45.16,08045
8,46,115,77,66.96,38,33.04,08046
8,47,149,100,67.11,49,32.89,08047
8,48,133,90,67.67,43,32.33,08048
8,49,191,125,65.45,66,34.55,08049
8,50,167,111,66.47,56,33.53,08050
8,51,200,100,50.0,100,50.0,08051
8,52,178,109,61.24,69,38.76,08052
8,53,183,114,62.3,69,37.7,08053
8,54,157,96,61.15,61,38.85,08054
8,55,103,66,64.08,37,35.92,08055
8,56,144,95,65.97,49,34.03,08056
8,58,181,124,68.51,57,31.49,08058
8,59,73,40,54.79,33,45.21,08059
8,60,129,70,54.26,59,45.74,08060
8,61,129,90,69.77,39,30.23,08061
8,62,143,95,66.43,48,33.57,08062
8,63,167,108,64.67,59,35.33,08063
8,64,127,93,73.23,34,26.77,08064
8,65,111,75,67.57,36,32.43,08065
8,66,227,121,53.3,106,46.7,08066
8,67,84,53,63.1,31,36.9,08067
8,68,63,46,73.02,17,26.98,08068
8,69,47,32,68.09,15,31.91,08069
9,13,157,86,54.78,71,45.22,09013
9,35,193,107,55.44,86,44.56,09035
9,36,180,107,59.44,73,40.56,09036
9,47,173,101,58.38,72,41.62,09047
9,52,169,103,60.95,66,39.05,09052
10,1,88,52,59.09,36,40.91,10001
10,2,56,30,53.57,26,46.43,10002
10,3,109,57,52.29,52,47.71,10003
10,4,68,33,48.53,35,51.47,10004
10,5,71,32,45.07,39,54.93,10005
10,6,99,56,56.57,43,43.43,10006
10,7,23,14,60.87,9,39.13,10007
10,8,65,32,49.23,33,50.77,10008
10,9,90,38,42.22,52,57.78,10009
10,10,67,42,62.69,25,37.31,10010
10,11,91,48,52.75,43,47.25,10011
10,12,67,34,50.75,33,49.25,10012
10,13,72,31,43.06,41,56.94,10013
10,14,86,41,47.67,45,52.33,10014
10,15,35,16,45.71,19,54.29,10015
10,16,84,45,53.57,39,46.43,10016
10,17,72,44,61.11,28,38.89,10017
10,18,51,26,50.98,25,49.02,10018
10,19,81,44,54.32,37,45.68,10019
10,20,60,27,45.0,33,55.0,10020
10,21,68,40,58.82,28,41.18,10021
10,22,47,28,59.57,19,40.43,10022
10,23,69,37,53.62,32,46.38,10023
10,24,78,35,44.87,43,55.13,10024
10,25,101,49,48.51,52,51.49,10025
10,26,61,28,45.9,33,54.1,10026
10,27,95,50,52.63,45,47.37,10027
10,28,70,47,67.14,23,32.86,10028
10,29,97,58,59.79,39,40.21,10029
10,30,75,33,44.0,42,56.0,10030
10,31,88,41,46.59,47,53.41,10031
10,32,70,29,41.43,41,58.57,10032
10,33,68,26,38.24,42,61.76,10033
10,34,77,36,46.75,41,53.25,10034
10,35,89,43,48.31,46,51.69,10035
10,36,104,45,43.27,59,56.73,10036
10,37,59,28,47.46,31,52.54,10037
10,38,97,42,43.3,55,56.7,10038
10,39,75,33,44.0,42,56.0,10039
10,40,59,37,62.71,22,37.29,10040
10,41,120,63,52.5,57,47.5,10041
10,42,74,38,51.35,36,48.65,10042
10,43,39,19,48.72,20,51.28,10043
10,44,76,37,48.68,39,51.32,10044
10,45,33,13,39.39,20,60.61,10045
10,46,71,28,39.44,43,60.56,10046
10,47,72,29,40.28,43,59.72,10047
10,48,63,31,49.21,32,50.79,10048
17,2,96,57,59.38,39,40.63,17002
17,3,45,27,60.0,18,40.0,17003
17,4,136,96,70.59,40,29.41,17004
17,5,82,46,56.1,36,43.9,17005
17,7,81,44,54.32,37,45.68,17007
17,9,70,42,60.0,28,40.0,17009
17,10,101,56,55.45,45,44.55,17010
17,12,163,88,53.99,75,46.01,17012
17,15,111,63,56.76,48,43.24,17015
17,18,113,66,58.41,47,41.59,17018
17,20,77,36,46.75,41,53.25,17020
17,21,155,94,60.65,61,39.35,17021
17,22,100,56,56.0,44,44.0,17022
17,23,55,27,49.09,28,50.91,17023
17,24,100,64,64.0,36,36.0,17024
17,25,64,41,64.06,23,35.94,17025
17,26,117,66,56.41,51,43.59,17026
17,27,142,73,51.41,69,48.59,17027
17,28,81,42,51.85,39,48.15,17028
17,29,112,64,57.14,48,42.86,17029
17,30,118,64,54.24,54,45.76,17030
17,31,77,48,62.34,29,37.66,17031
17,33,72,41,56.94,31,43.06,17033
17,35,80,43,53.75,37,46.25,17035
17,37,84,40,47.62,44,52.38,17037
17,38,85,40,47.06,45,52.94,17038
17,44,54,36,66.67,18,33.33,17044
17,47,49,27,55.1,22,44.9,17047
17,48,102,57,55.88,45,44.12,17048
17,50,73,45,61.64,28,38.36,17050
17,51,95,56,58.95,39,41.05,17051
17,52,119,65,54.62,54,45.38,17052
17,53,117,71,60.68,46,39.32,17053
17,54,129,75,58.14,54,41.86,17054
17,55,86,45,52.33,41,47.67,17055
18,20,123,66,53.66,57,46.34,18020
18,30,102,52,50.98,50,49.02,18030
18,38,156,104,66.67,52,33.33,18038
18,51,178,90,50.56,88,49.44,18051
18,52,164,97,59.15,67,40.85,18052
18,53,100,57,57.0,43,43.0,18053
18,60,146,76,52.05,70,47.95,18060
18,61,132,62,46.97,70,53.03,18061
21,2,120,77,64.17,43,35.83,21002
21,15,104,62,59.62,42,40.38,21015
21,16,130,76,58.46,54,41.54,21016
21,29,63,38,60.32,25,39.68,21029
21,32,114,66,57.89,48,42.11,21032
21,34,147,82,55.78,65,44.22,21034
21,35,36,26,72.22,10,27.78,21035
21,36,94,48,51.06,46,48.94,21036
21,37,107,69,64.49,38,35.51,21037
21,39,102,61,59.8,41,40.2,21039
21,41,97,54,55.67,43,44.33,21041
21,52,131,80,61.07,51,38.93,21052
21,57,105,65,61.9,40,38.1,21057
21,62,122,70,57.38,52,42.62,21062
21,65,237,156,65.82,81,34.18,21065
21,67,119,69,57.98,50,42.02,21067
21,68,53,35,66.04,18,33.96,21068
21,69,101,61,60.4,40,39.6,21069
21,70,118,69,58.47,49,41.53,21070
21,71,47,26,55.32,21,44.68,21071
21,72,142,77,54.23,65,45.77,21072
21,73,132,70,53.03,62,46.97,21073
21,74,40,24,60.0,16,40.0,21074
