ward,precinct,total,Daniel Malone,Daniel Malone Percent,Ronald Joseph Hurley,Ronald Joseph Hurley Percent,Mary McNamara,Mary McNamara Percent,Bernadette McNicholas,Bernadette McNicholas Percent,Pamela Cotten,Pamela Cotten Percent,precinct_id
18,18,157,49,31.21,12,7.64,22,14.01,17,10.83,57,36.31,18018
18,19,198,59,29.8,12,6.06,26,13.13,29,14.65,72,36.36,18019
18,21,207,65,31.4,22,10.63,25,12.08,25,12.08,70,33.82,18021
18,22,171,42,24.56,7,4.09,20,11.7,20,11.7,82,47.95,18022
18,23,119,32,26.89,7,5.88,17,14.29,21,17.65,42,35.29,18023
18,26,129,46,35.66,4,3.1,12,9.3,21,16.28,46,35.66,18026
18,27,122,43,35.25,7,5.74,18,14.75,20,16.39,34,27.87,18027
18,28,150,79,52.67,10,6.67,36,24.0,14,9.33,11,7.33,18028
18,29,138,44,31.88,16,11.59,20,14.49,23,16.67,35,25.36,18029
18,31,98,15,15.31,7,7.14,21,21.43,16,16.33,39,39.8,18031
18,32,212,51,24.06,12,5.66,48,22.64,25,11.79,76,35.85,18032
18,33,120,45,37.5,12,10.0,19,15.83,17,14.17,27,22.5,18033
18,34,249,81,32.53,24,9.64,25,10.04,33,13.25,86,34.54,18034
18,35,209,53,25.36,14,6.7,23,11.0,35,16.75,84,40.19,18035
18,36,102,24,23.53,10,9.8,26,25.49,20,19.61,22,21.57,18036
18,37,130,35,26.92,11,8.46,20,15.38,21,16.15,43,33.08,18037
18,39,103,21,20.39,10,9.71,13,12.62,17,16.5,42,40.78,18039
18,40,188,53,28.19,14,7.45,28,14.89,24,12.77,69,36.7,18040
18,41,140,49,35.0,13,9.29,37,26.43,13,9.29,28,20.0,18041
18,42,83,23,27.71,9,10.84,13,15.66,16,19.28,22,26.51,18042
18,43,76,25,32.89,14,18.42,15,19.74,4,5.26,18,23.68,18043
18,44,84,24,28.57,6,7.14,16,19.05,16,19.05,22,26.19,18044
18,47,98,26,26.53,11,11.22,9,9.18,11,11.22,41,41.84,18047
18,48,88,36,40.91,11,12.5,19,21.59,9,10.23,13,14.77,18048
18,49,94,19,20.21,15,15.96,18,19.15,14,14.89,28,29.79,18049
18,50,120,43,35.83,12,10.0,21,17.5,15,12.5,29,24.17,18050
18,54,148,40,27.03,6,4.05,23,15.54,24,16.22,55,37.16,18054
18,55,151,74,49.01,9,5.96,43,28.48,9,5.96,16,10.6,18055
18,56,89,34,38.2,16,17.98,16,17.98,7,7.87,16,17.98,18056
18,57,95,34,35.79,6,6.32,21,22.11,11,11.58,23,24.21,18057
18,58,99,23,23.23,7,7.07,20,20.2,12,12.12,37,37.37,18058
18,59,126,34,26.98,10,7.94,18,14.29,23,18.25,41,32.54,18059
18,62,97,26,26.8,12,12.37,17,17.53,16,16.49,26,26.8,18062
19,1,266,190,71.43,17,6.39,36,13.53,20,7.52,3,1.13,19001
19,2,214,84,39.25,11,5.14,15,7.01,21,9.81,83,38.79,19002
19,3,175,115,65.71,24,13.71,28,16.0,3,1.71,5,2.86,19003
19,4,211,145,68.72,16,7.58,36,17.06,8,3.79,6,2.84,19004
19,5,255,101,39.61,18,7.06,26,10.2,22,8.63,88,34.51,19005
19,6,185,119,64.32,12,6.49,40,21.62,10,5.41,4,2.16,19006
19,7,248,147,59.27,27,10.89,34,13.71,24,9.68,16,6.45,19007
19,8,147,94,63.95,8,5.44,29,19.73,12,8.16,4,2.72,19008
19,9,159,101,63.52,13,8.18,36,22.64,7,4.4,2,1.26,19009
19,10,315,154,48.89,12,3.81,45,14.29,34,10.79,70,22.22,19010
19,11,224,151,67.41,19,8.48,35,15.63,17,7.59,2,0.89,19011
19,12,181,120,66.3,16,8.84,32,17.68,10,5.52,3,1.66,19012
19,13,148,22,14.86,9,6.08,28,18.92,20,13.51,69,46.62,19013
19,14,128,80,62.5,10,7.81,26,20.31,9,7.03,3,2.34,19014
19,15,150,78,52.0,19,12.67,43,28.67,7,4.67,3,2.0,19015
19,16,256,171,66.8,20,7.81,39,15.23,20,7.81,6,2.34,19016
19,17,234,133,56.84,30,12.82,42,17.95,20,8.55,9,3.85,19017
19,18,280,148,52.86,18,6.43,37,13.21,29,10.36,48,17.14,19018
19,19,228,112,49.12,7,3.07,35,15.35,24,10.53,50,21.93,19019
19,20,199,62,31.16,15,7.54,25,12.56,17,8.54,80,40.2,19020
19,21,151,84,55.63,20,13.25,34,22.52,10,6.62,3,1.99,19021
19,22,242,123,50.83,9,3.72,29,11.98,31,12.81,50,20.66,19022
19,23,259,175,67.57,20,7.72,31,11.97,21,8.11,12,4.63,19023
19,24,189,131,69.31,15,7.94,32,16.93,7,3.7,4,2.12,19024
19,25,264,134,50.76,26,9.85,34,12.88,24,9.09,46,17.42,19025
19,26,245,144,58.78,15,6.12,36,14.69,28,11.43,22,8.98,19026
19,27,142,37,26.06,10,7.04,16,11.27,17,11.97,62,43.66,19027
19,28,225,38,16.89,12,5.33,36,16.0,40,17.78,99,44.0,19028
19,29,150,96,64.0,14,9.33,28,18.67,6,4.0,6,4.0,19029
19,30,185,119,64.32,12,6.49,36,19.46,15,8.11,3,1.62,19030
19,31,229,137,59.83,16,6.99,36,15.72,12,5.24,28,12.23,19031
19,32,230,139,60.43,35,15.22,33,14.35,15,6.52,8,3.48,19032
19,33,220,155,70.45,12,5.45,29,13.18,18,8.18,6,2.73,19033
19,34,262,162,61.83,11,4.2,35,13.36,25,9.54,29,11.07,19034
19,35,249,160,64.26,11,4.42,28,11.24,22,8.84,28,11.24,19035
19,36,243,73,30.04,19,7.82,32,13.17,36,14.81,83,34.16,19036
19,37,232,99,42.67,18,7.76,29,12.5,37,15.95,49,21.12,19037
19,38,215,65,30.23,9,4.19,28,13.02,33,15.35,80,37.21,19038
19,39,75,11,14.67,11,14.67,15,20.0,18,24.0,20,26.67,19039
19,40,220,110,50.0,24,10.91,22,10.0,29,13.18,35,15.91,19040
19,41,152,91,59.87,20,13.16,33,21.71,6,3.95,2,1.32,19041
19,42,217,59,27.19,16,7.37,31,14.29,25,11.52,86,39.63,19042
19,43,214,43,20.09,11,5.14,26,12.15,32,14.95,102,47.66,19043
19,44,190,133,70.0,17,8.95,22,11.58,10,5.26,8,4.21,19044
19,45,237,145,61.18,16,6.75,40,16.88,23,9.7,13,5.49,19045
19,46,298,201,67.45,23,7.72,42,14.09,23,7.72,9,3.02,19046
19,47,174,66,37.93,13,7.47,27,15.52,19,10.92,49,28.16,19047
19,48,147,27,18.37,5,3.4,27,18.37,13,8.84,75,51.02,19048
19,49,252,67,26.59,16,6.35,25,9.92,40,15.87,104,41.27,19049
19,50,147,39,26.53,12,8.16,23,15.65,21,14.29,52,35.37,19050
19,51,156,79,50.64,18,11.54,47,30.13,9,5.77,3,1.92,19051
19,52,149,98,65.77,10,6.71,29,19.46,6,4.03,6,4.03,19052
19,53,237,138,58.23,18,7.59,46,19.41,19,8.02,16,6.75,19053
19,54,126,73,57.94,8,6.35,36,28.57,6,4.76,3,2.38,19054
19,55,168,107,63.69,16,9.52,33,19.64,9,5.36,3,1.79,19055
19,56,252,107,42.46,26,10.32,33,13.1,19,7.54,67,26.59,19056
19,57,225,88,39.11,11,4.89,44,19.56,28,12.44,54,24.0,19057
19,58,208,132,63.46,15,7.21,36,17.31,20,9.62,5,2.4,19058
19,59,191,125,65.45,16,8.38,33,17.28,12,6.28,5,2.62,19059
19,61,295,212,71.86,17,5.76,41,13.9,17,5.76,8,2.71,19061
19,62,211,113,53.55,24,11.37,44,20.85,16,7.58,14,6.64,19062
19,63,155,72,46.45,8,5.16,16,10.32,10,6.45,49,31.61,19063
19,64,221,107,48.42,19,8.6,35,15.84,31,14.03,29,13.12,19064
19,65,154,58,37.66,13,8.44,26,16.88,17,11.04,40,25.97,19065
19,66,165,38,23.03,13,7.88,27,16.36,19,11.52,68,41.21,19066
21,20,8,4,50.0,0,0.0,0,0.0,1,12.5,3,37.5,21020
23,1,178,111,62.36,10,5.62,34,19.1,17,9.55,6,3.37,23001
23,2,232,147,63.36,13,5.6,42,18.1,21,9.05,9,3.88,23002
23,3,161,98,60.87,7,4.35,32,19.88,14,8.7,10,6.21,23003
23,4,161,78,48.45,10,6.21,44,27.33,16,9.94,13,8.07,23004
23,5,124,60,48.39,11,8.87,28,22.58,5,4.03,20,16.13,23005
23,6,185,100,54.05,15,8.11,40,21.62,15,8.11,15,8.11,23006
23,7,168,107,63.69,13,7.74,31,18.45,7,4.17,10,5.95,23007
23,8,151,99,65.56,9,5.96,28,18.54,11,7.28,4,2.65,23008
23,9,174,82,47.13,16,9.2,42,24.14,14,8.05,20,11.49,23009
23,10,240,159,66.25,13,5.42,40,16.67,12,5.0,16,6.67,23010
23,11,199,135,67.84,6,3.02,35,17.59,10,5.03,13,6.53,23011
23,12,166,97,58.43,9,5.42,36,21.69,18,10.84,6,3.61,23012
23,13,193,112,58.03,12,6.22,44,22.8,13,6.74,12,6.22,23013
23,14,128,77,60.16,7,5.47,29,22.66,10,7.81,5,3.91,23014
23,15,145,82,56.55,13,8.97,30,20.69,13,8.97,7,4.83,23015
23,16,190,106,55.79,13,6.84,46,24.21,15,7.89,10,5.26,23016
23,17,202,125,61.88,8,3.96,39,19.31,16,7.92,14,6.93,23017
23,18,114,72,63.16,5,4.39,21,18.42,12,10.53,4,3.51,23018
23,19,147,91,61.9,6,4.08,33,22.45,10,6.8,7,4.76,23019
23,20,157,88,56.05,7,4.46,42,26.75,15,9.55,5,3.18,23020
23,21,117,42,35.9,8,6.84,19,16.24,15,12.82,33,28.21,23021
23,22,165,89,53.94,11,6.67,42,25.45,16,9.7,7,4.24,23022
23,23,149,80,53.69,8,5.37,42,28.19,13,8.72,6,4.03,23023
23,24,101,43,42.57,12,11.88,20,19.8,9,8.91,17,16.83,23024
23,25,112,56,50.0,5,4.46,29,25.89,9,8.04,13,11.61,23025
23,26,173,100,57.8,7,4.05,49,28.32,12,6.94,5,2.89,23026
23,27,149,80,53.69,10,6.71,38,25.5,12,8.05,9,6.04,23027
23,28,177,88,49.72,15,8.47,54,30.51,16,9.04,4,2.26,23028
23,29,137,64,46.72,6,4.38,35,25.55,11,8.03,21,15.33,23029
23,30,149,97,65.1,4,2.68,30,20.13,15,10.07,3,2.01,23030
23,32,191,89,46.6,21,10.99,45,23.56,21,10.99,15,7.85,23032
23,33,175,81,46.29,11,6.29,58,33.14,14,8.0,11,6.29,23033
23,34,116,62,53.45,14,12.07,27,23.28,10,8.62,3,2.59,23034
23,35,91,34,37.36,9,9.89,11,12.09,16,17.58,21,23.08,23035
23,36,210,119,56.67,22,10.48,49,23.33,12,5.71,8,3.81,23036
23,37,119,48,40.34,19,15.97,14,11.76,17,14.29,21,17.65,23037
23,38,138,70,50.72,7,5.07,41,29.71,12,8.7,8,5.8,23038
23,39,142,77,54.23,8,5.63,34,23.94,8,5.63,15,10.56,23039
23,40,157,68,43.31,14,8.92,40,25.48,11,7.01,24,15.29,23040
23,41,158,74,46.84,12,7.59,43,27.22,13,8.23,16,10.13,23041
23,42,150,105,70.0,10,6.67,25,16.67,4,2.67,6,4.0,23042
23,43,191,90,47.12,10,5.24,43,22.51,19,9.95,29,15.18,23043
23,44,193,146,75.65,10,5.18,28,14.51,6,3.11,3,1.55,23044
23,45,187,119,63.64,9,4.81,38,20.32,8,4.28,13,6.95,23045
23,46,166,95,57.23,12,7.23,37,22.29,15,9.04,7,4.22,23046
23,47,196,134,68.37,7,3.57,35,17.86,14,7.14,6,3.06,23047
23,48,146,89,60.96,9,6.16,27,18.49,9,6.16,12,8.22,23048
23,49,241,142,58.92,21,8.71,46,19.09,19,7.88,13,5.39,23049
23,50,121,60,49.59,14,11.57,22,18.18,10,8.26,15,12.4,23050
23,51,183,94,51.37,16,8.74,45,24.59,16,8.74,12,6.56,23051
23,52,206,119,57.77,16,7.77,49,23.79,13,6.31,9,4.37,23052
23,53,111,60,54.05,9,8.11,20,18.02,7,6.31,15,13.51,23053
23,54,204,122,59.8,13,6.37,39,19.12,14,6.86,16,7.84,23054
34,19,28,5,17.86,4,14.29,3,10.71,3,10.71,13,46.43,34019
34,33,69,10,14.49,8,11.59,9,13.04,8,11.59,34,49.28,34033
