ward,precinct,total,"Emil Jones, Jr.","Emil Jones, Jr. Percent","Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",precinct_id
9,18,156,66,42.31,90,57.69,09018
9,19,156,62,39.74,94,60.26,09019
9,20,189,77,40.74,112,59.26,09020
9,21,179,61,34.08,118,65.92,09021
9,22,206,83,40.29,123,59.71,09022
9,23,105,44,41.9,61,58.1,09023
9,24,32,10,31.25,22,68.75,09024
9,25,113,43,38.05,70,61.95,09025
9,26,78,26,33.33,52,66.67,09026
9,27,123,41,33.33,82,66.67,09027
9,28,53,22,41.51,31,58.49,09028
9,29,116,48,41.38,68,58.62,09029
9,30,159,58,36.48,101,63.52,09030
9,31,142,64,45.07,78,54.93,09031
9,32,142,54,38.03,88,61.97,09032
9,33,93,32,34.41,61,65.59,09033
9,34,112,40,35.71,72,64.29,09034
9,35,200,82,41.0,118,59.0,09035
9,37,134,36,26.87,98,73.13,09037
9,38,147,59,40.14,88,59.86,09038
9,39,186,89,47.85,97,52.15,09039
9,40,180,77,42.78,103,57.22,09040
9,41,172,75,43.6,97,56.4,09041
9,42,45,16,35.56,29,64.44,09042
9,43,73,27,36.99,46,63.01,09043
9,44,92,34,36.96,58,63.04,09044
9,45,131,48,36.64,83,63.36,09045
9,46,143,56,39.16,87,60.84,09046
9,48,172,74,43.02,98,56.98,09048
9,49,76,27,35.53,49,64.47,09049
9,50,158,63,39.87,95,60.13,09050
9,51,97,37,38.14,60,61.86,09051
9,52,192,80,41.67,112,58.33,09052
9,53,69,34,49.28,35,50.72,09053
10,1,100,29,29.0,71,71.0,10001
10,2,73,29,39.73,44,60.27,10002
10,3,121,46,38.02,75,61.98,10003
10,4,75,29,38.67,46,61.33,10004
10,5,82,24,29.27,58,70.73,10005
10,6,112,40,35.71,72,64.29,10006
10,7,27,7,25.93,20,74.07,10007
10,8,74,34,45.95,40,54.05,10008
10,9,102,45,44.12,57,55.88,10009
10,10,77,31,40.26,46,59.74,10010
10,11,98,36,36.73,62,63.27,10011
10,12,75,24,32.0,51,68.0,10012
10,13,78,26,33.33,52,66.67,10013
10,14,86,29,33.72,57,66.28,10014
10,15,41,17,41.46,24,58.54,10015
10,16,88,30,34.09,58,65.91,10016
10,17,82,24,29.27,58,70.73,10017
10,18,57,20,35.09,37,64.91,10018
10,19,101,51,50.5,50,49.5,10019
10,20,65,27,41.54,38,58.46,10020
10,21,75,32,42.67,43,57.33,10021
10,22,59,15,25.42,44,74.58,10022
10,23,81,21,25.93,60,74.07,10023
10,24,86,42,48.84,44,51.16,10024
10,25,114,31,27.19,83,72.81,10025
10,26,63,21,33.33,42,66.67,10026
10,27,104,38,36.54,66,63.46,10027
10,28,76,17,22.37,59,77.63,10028
10,29,118,37,31.36,81,68.64,10029
10,30,77,26,33.77,51,66.23,10030
10,31,93,39,41.94,54,58.06,10031
10,32,82,25,30.49,57,69.51,10032
10,33,75,25,33.33,50,66.67,10033
10,34,85,29,34.12,56,65.88,10034
10,35,96,26,27.08,70,72.92,10035
10,36,113,31,27.43,82,72.57,10036
10,37,61,19,31.15,42,68.85,10037
10,38,108,34,31.48,74,68.52,10038
10,39,82,29,35.37,53,64.63,10039
10,40,62,20,32.26,42,67.74,10040
10,41,131,47,35.88,84,64.12,10041
10,42,79,28,35.44,51,64.56,10042
10,43,45,12,26.67,33,73.33,10043
10,44,78,19,24.36,59,75.64,10044
10,45,43,8,18.6,35,81.4,10045
10,46,77,16,20.78,61,79.22,10046
10,47,69,25,36.23,44,63.77,10047
10,48,69,16,23.19,53,76.81,10048
34,1,234,93,39.74,141,60.26,34001
34,2,183,71,38.8,112,61.2,34002
34,3,164,69,42.07,95,57.93,34003
34,4,166,80,48.19,86,51.81,34004
34,5,118,54,45.76,64,54.24,34005
34,6,114,54,47.37,60,52.63,34006
34,7,230,113,49.13,117,50.87,34007
34,9,107,38,35.51,69,64.49,34009
34,10,172,81,47.09,91,52.91,34010
34,11,93,38,40.86,55,59.14,34011
34,12,187,78,41.71,109,58.29,34012
34,14,128,57,44.53,71,55.47,34014
34,15,125,56,44.8,69,55.2,34015
34,16,93,38,40.86,55,59.14,34016
34,17,111,42,37.84,69,62.16,34017
34,18,97,43,44.33,54,55.67,34018
34,20,269,124,46.1,145,53.9,34020
34,21,170,77,45.29,93,54.71,34021
34,22,207,100,48.31,107,51.69,34022
34,23,143,69,48.25,74,51.75,34023
34,24,146,69,47.26,77,52.74,34024
34,25,186,87,46.77,99,53.23,34025
34,26,76,27,35.53,49,64.47,34026
34,27,125,58,46.4,67,53.6,34027
34,28,99,58,58.59,41,41.41,34028
34,30,213,97,45.54,116,54.46,34030
34,31,84,28,33.33,56,66.67,34031
34,32,123,55,44.72,68,55.28,34032
34,34,220,111,50.45,109,49.55,34034
34,35,203,90,44.33,113,55.67,34035
34,36,196,103,52.55,93,47.45,34036
34,37,145,79,54.48,66,45.52,34037
34,38,115,55,47.83,60,52.17,34038
34,39,98,48,48.98,50,51.02,34039
34,40,178,65,36.52,113,63.48,34040
34,41,88,36,40.91,52,59.09,34041
34,42,222,101,45.5,121,54.5,34042
34,43,238,103,43.28,135,56.72,34043
34,44,227,112,49.34,115,50.66,34044
34,46,142,59,41.55,83,58.45,34046
34,48,227,101,44.49,126,55.51,34048
34,49,251,101,40.24,150,59.76,34049
34,50,163,71,43.56,92,56.44,34050
34,52,111,60,54.05,51,45.95,34052
34,53,93,26,27.96,67,72.04,34053
34,54,110,46,41.82,64,58.18,34054
34,56,64,20,31.25,44,68.75,34056
34,59,143,66,46.15,77,53.85,34059
34,60,183,76,41.53,107,58.47,34060
34,61,134,55,41.04,79,58.96,34061
