ward,precinct,total,William H. Hooks,William H. Hooks Percent,William Burnett Raines,William Burnett Raines Percent,precinct_id
2,23,90,30,33.33,37,41.11,02023
2,24,63,38,60.32,12,19.05,02024
2,25,147,56,38.1,44,29.93,02025
2,26,101,38,37.62,31,30.69,02026
2,27,105,46,43.81,43,40.95,02027
2,28,82,46,56.1,12,14.63,02028
2,29,66,34,51.52,16,24.24,02029
2,30,116,51,43.97,29,25.0,02030
2,31,139,82,58.99,29,20.86,02031
2,32,49,21,42.86,16,32.65,02032
2,33,64,28,43.75,20,31.25,02033
2,34,107,41,38.32,52,48.6,02034
2,35,26,13,50.0,4,15.38,02035
2,36,199,100,50.25,47,23.62,02036
2,37,114,62,54.39,21,18.42,02037
2,38,167,89,53.29,29,17.37,02038
2,39,90,39,43.33,28,31.11,02039
2,40,196,88,44.9,49,25.0,02040
2,41,60,18,30.0,26,43.33,02041
2,42,75,41,54.67,25,33.33,02042
2,43,203,114,56.16,35,17.24,02043
2,44,104,50,48.08,30,28.85,02044
2,45,107,44,41.12,42,39.25,02045
2,46,217,129,59.45,55,25.35,02046
2,47,81,30,37.04,31,38.27,02047
2,48,76,30,39.47,28,36.84,02048
2,49,93,56,60.22,10,10.75,02049
2,50,88,43,48.86,17,19.32,02050
2,51,85,40,47.06,26,30.59,02051
2,52,147,63,42.86,50,34.01,02052
2,53,94,44,46.81,19,20.21,02053
2,54,151,87,57.62,15,9.93,02054
2,55,55,29,52.73,11,20.0,02055
2,56,116,48,41.38,42,36.21,02056
3,1,100,62,62.0,26,26.0,03001
3,2,195,117,60.0,47,24.1,03002
3,3,126,75,59.52,19,15.08,03003
3,4,90,46,51.11,22,24.44,03004
3,5,118,64,54.24,35,29.66,03005
3,6,32,18,56.25,6,18.75,03006
3,7,119,67,56.3,31,26.05,03007
3,8,103,48,46.6,33,32.04,03008
3,9,117,53,45.3,36,30.77,03009
3,10,42,22,52.38,12,28.57,03010
3,11,116,77,66.38,20,17.24,03011
3,12,87,40,45.98,25,28.74,03012
3,13,72,23,31.94,26,36.11,03013
3,14,106,55,51.89,21,19.81,03014
3,15,130,61,46.92,47,36.15,03015
3,16,103,60,58.25,28,27.18,03016
3,17,59,31,52.54,13,22.03,03017
3,18,56,23,41.07,17,30.36,03018
3,19,33,6,18.18,15,45.45,03019
3,20,99,54,54.55,25,25.25,03020
3,21,44,19,43.18,14,31.82,03021
3,22,70,35,50.0,21,30.0,03022
3,23,91,51,56.04,23,25.27,03023
3,24,141,67,47.52,47,33.33,03024
3,25,71,31,43.66,17,23.94,03025
3,26,38,27,71.05,7,18.42,03026
3,27,118,47,39.83,46,38.98,03027
3,28,192,118,61.46,28,14.58,03028
3,29,117,58,49.57,33,28.21,03029
3,30,94,60,63.83,12,12.77,03030
3,31,188,96,51.06,65,34.57,03031
3,32,87,43,49.43,24,27.59,03032
3,33,151,83,54.97,43,28.48,03033
3,34,122,60,49.18,34,27.87,03034
3,35,127,81,63.78,25,19.69,03035
3,36,34,18,52.94,7,20.59,03036
3,37,53,25,47.17,16,30.19,03037
3,38,188,111,59.04,52,27.66,03038
3,39,213,125,58.69,54,25.35,03039
3,40,118,61,51.69,27,22.88,03040
3,41,121,56,46.28,34,28.1,03041
3,42,73,35,47.95,19,26.03,03042
3,43,14,8,57.14,4,28.57,03043
3,44,24,11,45.83,7,29.17,03044
3,45,158,78,49.37,49,31.01,03045
3,46,13,4,30.77,8,61.54,03046
3,47,79,31,39.24,20,25.32,03047
3,48,74,36,48.65,24,32.43,03048
3,49,29,13,44.83,13,44.83,03049
3,50,65,23,35.38,25,38.46,03050
4,1,187,109,58.29,34,18.18,04001
4,2,218,127,58.26,45,20.64,04002
4,3,189,99,52.38,50,26.46,04003
4,4,132,55,41.67,52,39.39,04004
4,5,220,122,55.45,53,24.09,04005
4,6,74,40,54.05,21,28.38,04006
4,7,184,108,58.7,40,21.74,04007
4,8,181,94,51.93,47,25.97,04008
4,9,359,214,59.61,67,18.66,04009
4,10,171,97,56.73,37,21.64,04010
4,11,110,66,60.0,30,27.27,04011
4,12,92,55,59.78,22,23.91,04012
4,13,121,84,69.42,15,12.4,04013
4,14,93,53,56.99,18,19.35,04014
4,15,116,46,39.66,34,29.31,04015
4,16,182,118,64.84,39,21.43,04016
4,17,169,107,63.31,29,17.16,04017
4,18,152,78,51.32,43,28.29,04018
4,19,146,60,41.1,48,32.88,04019
4,20,83,35,42.17,23,27.71,04020
4,21,209,131,62.68,39,18.66,04021
4,22,216,135,62.5,35,16.2,04022
4,23,128,88,68.75,19,14.84,04023
4,24,146,98,67.12,27,18.49,04024
4,25,188,117,62.23,43,22.87,04025
4,26,165,85,51.52,46,27.88,04026
4,27,139,75,53.96,37,26.62,04027
4,28,106,76,71.7,14,13.21,04028
4,29,139,95,68.35,11,7.91,04029
4,30,134,70,52.24,36,26.87,04030
4,31,90,62,68.89,7,7.78,04031
4,32,162,118,72.84,9,5.56,04032
4,33,125,72,57.6,26,20.8,04033
4,34,120,81,67.5,13,10.83,04034
4,35,86,45,52.33,21,24.42,04035
4,36,109,65,59.63,13,11.93,04036
4,37,0,0,0.0,0,0.0,04037
4,38,270,177,65.56,38,14.07,04038
4,39,108,65,60.19,18,16.67,04039
4,40,125,64,51.2,34,27.2,04040
4,41,61,41,67.21,3,4.92,04041
4,42,189,98,51.85,52,27.51,04042
4,43,110,75,68.18,19,17.27,04043
4,44,98,41,41.84,18,18.37,04044
4,45,312,228,73.08,39,12.5,04045
4,46,120,77,64.17,13,10.83,04046
4,47,174,111,63.79,29,16.67,04047
4,48,205,135,65.85,32,15.61,04048
4,49,115,60,52.17,34,29.57,04049
4,50,141,78,55.32,36,25.53,04050
4,51,146,92,63.01,26,17.81,04051
4,52,179,88,49.16,53,29.61,04052
5,1,159,100,62.89,32,20.13,05001
5,2,132,81,61.36,26,19.7,05002
5,3,66,45,68.18,8,12.12,05003
5,4,110,72,65.45,21,19.09,05004
5,5,113,63,55.75,31,27.43,05005
5,6,160,85,53.13,48,30.0,05006
5,7,163,103,63.19,33,20.25,05007
5,8,181,132,72.93,8,4.42,05008
5,9,134,83,61.94,23,17.16,05009
5,10,107,47,43.93,34,31.78,05010
5,11,118,81,68.64,13,11.02,05011
5,12,73,38,52.05,19,26.03,05012
5,13,141,80,56.74,34,24.11,05013
5,14,191,128,67.02,31,16.23,05014
5,15,108,58,53.7,25,23.15,05015
5,16,101,49,48.51,26,25.74,05016
5,17,123,73,59.35,24,19.51,05017
5,18,126,65,51.59,29,23.02,05018
5,19,70,42,60.0,11,15.71,05019
5,20,55,24,43.64,16,29.09,05020
5,21,125,62,49.6,29,23.2,05021
5,22,137,77,56.2,22,16.06,05022
5,23,88,46,52.27,27,30.68,05023
5,24,151,107,70.86,20,13.25,05024
5,25,100,51,51.0,22,22.0,05025
5,26,140,69,49.29,31,22.14,05026
5,27,139,108,77.7,9,6.47,05027
5,28,170,124,72.94,22,12.94,05028
5,29,153,83,54.25,37,24.18,05029
5,30,109,84,77.06,7,6.42,05030
5,31,116,60,51.72,26,22.41,05031
5,32,268,150,55.97,69,25.75,05032
5,33,94,45,47.87,27,28.72,05033
5,34,141,70,49.65,36,25.53,05034
5,35,103,59,57.28,17,16.5,05035
5,36,58,29,50.0,19,32.76,05036
5,37,112,72,64.29,17,15.18,05037
5,38,175,127,72.57,18,10.29,05038
5,39,170,129,75.88,9,5.29,05039
5,40,116,63,54.31,27,23.28,05040
5,41,101,75,74.26,11,10.89,05041
5,42,135,70,51.85,33,24.44,05042
5,43,168,112,66.67,35,20.83,05043
5,44,141,83,58.87,28,19.86,05044
5,45,79,43,54.43,15,18.99,05045
5,46,123,90,73.17,14,11.38,05046
5,47,107,57,53.27,28,26.17,05047
5,48,89,54,60.67,13,14.61,05048
5,49,31,22,70.97,3,9.68,05049
5,50,88,50,56.82,20,22.73,05050
5,51,90,46,51.11,25,27.78,05051
5,52,8,6,75.0,1,12.5,05052
5,53,155,93,60.0,28,18.06,05053
5,54,226,138,61.06,42,18.58,05054
5,55,114,58,50.88,25,21.93,05055
6,1,224,160,71.43,29,12.95,06001
6,2,182,123,67.58,33,18.13,06002
6,3,188,124,65.96,35,18.62,06003
6,4,111,51,45.95,33,29.73,06004
6,5,56,32,57.14,15,26.79,06005
6,6,127,69,54.33,31,24.41,06006
6,7,141,71,50.35,41,29.08,06007
6,8,206,131,63.59,42,20.39,06008
6,9,168,122,72.62,25,14.88,06009
6,10,273,174,63.74,55,20.15,06010
6,11,151,83,54.97,42,27.81,06011
6,12,114,51,44.74,44,38.6,06012
6,13,132,91,68.94,22,16.67,06013
6,14,119,72,60.5,27,22.69,06014
6,15,77,45,58.44,18,23.38,06015
6,16,181,94,51.93,47,25.97,06016
6,17,204,124,60.78,44,21.57,06017
6,18,66,26,39.39,17,25.76,06018
6,19,181,85,46.96,52,28.73,06019
6,20,162,90,55.56,44,27.16,06020
6,21,163,103,63.19,41,25.15,06021
6,22,130,84,64.62,24,18.46,06022
6,23,130,59,45.38,41,31.54,06023
6,24,158,81,51.27,47,29.75,06024
6,25,84,55,65.48,19,22.62,06025
6,26,182,129,70.88,32,17.58,06026
6,27,205,130,63.41,35,17.07,06027
6,28,322,226,70.19,58,18.01,06028
6,29,213,141,66.2,42,19.72,06029
6,30,102,59,57.84,25,24.51,06030
6,31,184,119,64.67,36,19.57,06031
6,32,150,77,51.33,45,30.0,06032
6,33,186,104,55.91,45,24.19,06033
6,34,125,70,56.0,29,23.2,06034
6,35,136,72,52.94,34,25.0,06035
6,36,86,43,50.0,28,32.56,06036
6,37,207,152,73.43,29,14.01,06037
6,38,155,79,50.97,50,32.26,06038
6,39,109,55,50.46,26,23.85,06039
6,40,68,31,45.59,18,26.47,06040
6,41,183,124,67.76,33,18.03,06041
6,42,56,28,50.0,14,25.0,06042
6,43,155,89,57.42,32,20.65,06043
6,44,157,100,63.69,27,17.2,06044
6,45,119,69,57.98,24,20.17,06045
6,46,153,85,55.56,33,21.57,06046
6,47,170,101,59.41,37,21.76,06047
6,48,127,70,55.12,34,26.77,06048
6,49,135,71,52.59,41,30.37,06049
6,50,167,112,67.07,28,16.77,06050
6,51,90,54,60.0,20,22.22,06051
6,52,93,52,55.91,31,33.33,06052
6,53,131,68,51.91,35,26.72,06053
6,54,123,79,64.23,19,15.45,06054
6,55,126,76,60.32,28,22.22,06055
6,56,120,67,55.83,25,20.83,06056
6,57,71,43,60.56,10,14.08,06057
6,58,194,121,62.37,39,20.1,06058
6,59,151,96,63.58,32,21.19,06059
6,60,96,59,61.46,23,23.96,06060
6,61,80,43,53.75,22,27.5,06061
6,62,126,57,45.24,37,29.37,06062
6,63,146,75,51.37,35,23.97,06063
6,64,185,116,62.7,41,22.16,06064
7,1,285,174,61.05,55,19.3,07001
7,2,152,94,61.84,40,26.32,07002
7,3,86,44,51.16,22,25.58,07003
7,4,85,40,47.06,23,27.06,07004
7,5,71,39,54.93,14,19.72,07005
7,6,100,63,63.0,22,22.0,07006
7,7,82,43,52.44,28,34.15,07007
7,8,36,17,47.22,9,25.0,07008
7,9,133,81,60.9,35,26.32,07009
7,10,73,31,42.47,17,23.29,07010
7,11,151,79,52.32,36,23.84,07011
7,12,94,39,41.49,28,29.79,07012
7,13,89,49,55.06,22,24.72,07013
7,14,124,68,54.84,27,21.77,07014
7,15,64,26,40.63,25,39.06,07015
7,16,62,38,61.29,16,25.81,07016
7,17,60,29,48.33,18,30.0,07017
7,18,88,37,42.05,25,28.41,07018
7,19,179,96,53.63,58,32.4,07019
7,20,44,16,36.36,14,31.82,07020
7,21,110,57,51.82,30,27.27,07021
7,22,93,60,64.52,19,20.43,07022
7,23,112,66,58.93,25,22.32,07023
7,24,120,63,52.5,32,26.67,07024
7,25,172,107,62.21,35,20.35,07025
7,26,159,80,50.31,41,25.79,07026
7,27,202,122,60.4,45,22.28,07027
7,28,115,46,40.0,44,38.26,07028
7,29,108,56,51.85,30,27.78,07029
7,30,165,93,56.36,32,19.39,07030
7,31,146,74,50.68,39,26.71,07031
7,32,81,41,50.62,21,25.93,07032
7,33,105,64,60.95,30,28.57,07033
7,34,126,76,60.32,21,16.67,07034
7,35,157,80,50.96,39,24.84,07035
7,36,146,73,50.0,42,28.77,07036
7,37,73,40,54.79,20,27.4,07037
7,38,91,45,49.45,25,27.47,07038
7,39,89,50,56.18,18,20.22,07039
7,40,98,36,36.73,26,26.53,07040
7,41,111,60,54.05,30,27.03,07041
7,42,166,96,57.83,29,17.47,07042
7,43,137,77,56.2,34,24.82,07043
7,44,187,100,53.48,53,28.34,07044
7,45,205,126,61.46,32,15.61,07045
7,46,62,36,58.06,15,24.19,07046
7,47,103,54,52.43,32,31.07,07047
7,48,113,60,53.1,24,21.24,07048
7,49,75,47,62.67,20,26.67,07049
7,50,91,60,65.93,21,23.08,07050
7,51,220,143,65.0,48,21.82,07051
7,52,99,55,55.56,28,28.28,07052
7,53,110,59,53.64,26,23.64,07053
7,54,55,28,50.91,11,20.0,07054
7,55,105,56,53.33,30,28.57,07055
7,56,99,55,55.56,19,19.19,07056
7,57,104,49,47.12,31,29.81,07057
7,58,173,105,60.69,38,21.97,07058
7,59,68,37,54.41,14,20.59,07059
7,60,82,47,57.32,21,25.61,07060
7,61,121,71,58.68,24,19.83,07061
8,1,177,118,66.67,29,16.38,08001
8,2,80,42,52.5,23,28.75,08002
8,3,228,162,71.05,40,17.54,08003
8,4,158,101,63.92,32,20.25,08004
8,5,221,150,67.87,43,19.46,08005
8,6,175,113,64.57,36,20.57,08006
8,7,122,82,67.21,21,17.21,08007
8,8,219,150,68.49,38,17.35,08008
8,9,204,134,65.69,34,16.67,08009
8,10,258,176,68.22,39,15.12,08010
8,11,144,86,59.72,32,22.22,08011
8,12,124,85,68.55,18,14.52,08012
8,13,102,60,58.82,22,21.57,08013
8,14,88,45,51.14,20,22.73,08014
8,15,117,61,52.14,32,27.35,08015
8,16,195,124,63.59,43,22.05,08016
8,17,149,106,71.14,30,20.13,08017
8,18,73,38,52.05,19,26.03,08018
8,19,214,133,62.15,42,19.63,08019
8,20,123,75,60.98,28,22.76,08020
8,21,130,83,63.85,17,13.08,08021
8,22,125,72,57.6,25,20.0,08022
8,23,134,79,58.96,24,17.91,08023
8,24,166,104,62.65,32,19.28,08024
8,25,139,76,54.68,34,24.46,08025
8,26,106,61,57.55,27,25.47,08026
8,27,168,105,62.5,33,19.64,08027
8,28,116,65,56.03,22,18.97,08028
8,29,157,100,63.69,36,22.93,08029
8,30,141,90,63.83,33,23.4,08030
8,31,112,69,61.61,27,24.11,08031
8,32,246,141,57.32,56,22.76,08032
8,33,157,76,48.41,50,31.85,08033
8,34,205,123,60.0,50,24.39,08034
8,35,179,105,58.66,45,25.14,08035
8,36,144,84,58.33,32,22.22,08036
8,37,154,77,50.0,40,25.97,08037
8,38,133,84,63.16,28,21.05,08038
8,39,161,97,60.25,23,14.29,08039
8,40,115,62,53.91,35,30.43,08040
8,41,124,78,62.9,21,16.94,08041
8,42,158,87,55.06,40,25.32,08042
8,43,81,47,58.02,18,22.22,08043
8,44,124,65,52.42,34,27.42,08044
8,45,98,52,53.06,25,25.51,08045
8,46,123,71,57.72,24,19.51,08046
8,47,151,84,55.63,42,27.81,08047
8,48,136,89,65.44,26,19.12,08048
8,49,199,119,59.8,45,22.61,08049
8,50,171,110,64.33,44,25.73,08050
8,51,199,126,63.32,35,17.59,08051
8,52,177,113,63.84,36,20.34,08052
8,53,188,123,65.43,33,17.55,08053
8,54,156,87,55.77,37,23.72,08054
8,55,106,52,49.06,27,25.47,08055
8,56,144,86,59.72,30,20.83,08056
8,57,137,82,59.85,26,18.98,08057
8,58,183,126,68.85,33,18.03,08058
8,59,72,29,40.28,22,30.56,08059
8,60,136,84,61.76,32,23.53,08060
8,61,130,68,52.31,44,33.85,08061
8,62,144,86,59.72,32,22.22,08062
8,63,169,103,60.95,42,24.85,08063
8,64,128,74,57.81,26,20.31,08064
8,65,112,72,64.29,19,16.96,08065
8,66,229,135,58.95,45,19.65,08066
8,67,82,45,54.88,27,32.93,08067
8,68,66,41,62.12,16,24.24,08068
8,69,81,41,50.62,24,29.63,08069
8,70,147,85,57.82,33,22.45,08070
9,1,156,85,54.49,40,25.64,09001
9,2,150,76,50.67,44,29.33,09002
9,3,51,29,56.86,9,17.65,09003
9,4,145,92,63.45,32,22.07,09004
9,5,151,89,58.94,37,24.5,09005
9,6,144,81,56.25,39,27.08,09006
9,7,124,69,55.65,36,29.03,09007
9,8,134,84,62.69,31,23.13,09008
9,9,197,118,59.9,41,20.81,09009
9,10,136,80,58.82,29,21.32,09010
9,11,102,50,49.02,32,31.37,09011
9,12,127,73,57.48,25,19.69,09012
9,13,167,100,59.88,38,22.75,09013
9,14,195,91,46.67,55,28.21,09014
9,15,115,58,50.43,26,22.61,09015
9,16,87,49,56.32,20,22.99,09016
9,17,115,58,50.43,30,26.09,09017
9,18,148,55,37.16,47,31.76,09018
9,19,153,95,62.09,33,21.57,09019
9,20,176,98,55.68,46,26.14,09020
9,21,156,68,43.59,45,28.85,09021
9,22,182,110,60.44,38,20.88,09022
9,23,100,51,51.0,24,24.0,09023
9,24,28,13,46.43,9,32.14,09024
9,25,99,55,55.56,15,15.15,09025
9,26,70,39,55.71,18,25.71,09026
9,27,114,58,50.88,34,29.82,09027
9,28,44,24,54.55,10,22.73,09028
9,29,101,46,45.54,28,27.72,09029
9,30,152,90,59.21,31,20.39,09030
9,31,130,69,53.08,28,21.54,09031
9,32,127,66,51.97,37,29.13,09032
9,33,94,52,55.32,24,25.53,09033
9,34,98,54,55.1,24,24.49,09034
9,35,200,118,59.0,45,22.5,09035
9,36,184,99,53.8,49,26.63,09036
9,37,121,60,49.59,23,19.01,09037
9,38,128,67,52.34,29,22.66,09038
9,39,161,93,57.76,44,27.33,09039
9,40,167,98,58.68,42,25.15,09040
9,41,167,89,53.29,39,23.35,09041
9,42,38,16,42.11,9,23.68,09042
9,43,57,32,56.14,15,26.32,09043
9,44,84,30,35.71,32,38.1,09044
9,45,127,74,58.27,32,25.2,09045
9,46,131,68,51.91,40,30.53,09046
9,47,178,114,64.04,40,22.47,09047
9,48,166,108,65.06,35,21.08,09048
9,49,71,40,56.34,13,18.31,09049
9,50,145,85,58.62,32,22.07,09050
9,51,97,57,58.76,19,19.59,09051
9,52,181,107,59.12,40,22.1,09052
9,53,62,40,64.52,8,12.9,09053
10,1,95,41,43.16,21,22.11,10001
10,2,60,21,35.0,20,33.33,10002
10,3,111,46,41.44,34,30.63,10003
10,4,69,25,36.23,23,33.33,10004
10,5,74,26,35.14,23,31.08,10005
10,6,102,52,50.98,27,26.47,10006
10,7,21,9,42.86,4,19.05,10007
10,8,68,27,39.71,21,30.88,10008
10,9,97,41,42.27,25,25.77,10009
10,10,70,32,45.71,11,15.71,10010
10,11,93,33,35.48,20,21.51,10011
10,12,70,34,48.57,7,10.0,10012
10,13,72,24,33.33,23,31.94,10013
10,14,86,34,39.53,21,24.42,10014
10,15,37,18,48.65,11,29.73,10015
10,16,87,45,51.72,17,19.54,10016
10,17,72,34,47.22,15,20.83,10017
10,18,53,24,45.28,9,16.98,10018
10,19,88,31,35.23,25,28.41,10019
10,20,66,22,33.33,18,27.27,10020
10,21,75,29,38.67,18,24.0,10021
10,22,51,23,45.1,14,27.45,10022
10,23,71,33,46.48,15,21.13,10023
10,24,77,29,37.66,22,28.57,10024
10,25,106,41,38.68,30,28.3,10025
10,26,60,20,33.33,17,28.33,10026
10,27,97,39,40.21,19,19.59,10027
10,28,72,33,45.83,20,27.78,10028
10,29,102,59,57.84,21,20.59,10029
10,30,75,29,38.67,20,26.67,10030
10,31,90,31,34.44,23,25.56,10031
10,32,73,36,49.32,21,28.77,10032
10,33,71,30,42.25,19,26.76,10033
10,34,82,34,41.46,21,25.61,10034
10,35,90,39,43.33,28,31.11,10035
10,36,106,45,42.45,27,25.47,10036
10,37,62,30,48.39,12,19.35,10037
10,38,98,32,32.65,29,29.59,10038
10,39,76,28,36.84,23,30.26,10039
10,40,62,31,50.0,10,16.13,10040
10,41,124,63,50.81,25,20.16,10041
10,42,75,24,32.0,18,24.0,10042
10,43,40,12,30.0,17,42.5,10043
10,44,75,29,38.67,18,24.0,10044
10,45,35,11,31.43,9,25.71,10045
10,46,72,23,31.94,20,27.78,10046
10,47,75,23,30.67,16,21.33,10047
10,48,67,30,44.78,19,28.36,10048
11,1,152,87,57.24,26,17.11,11001
11,2,121,61,50.41,31,25.62,11002
11,3,96,55,57.29,15,15.63,11003
11,4,113,61,53.98,21,18.58,11004
11,5,64,34,53.13,18,28.13,11005
11,6,145,69,47.59,30,20.69,11006
11,7,135,89,65.93,19,14.07,11007
11,8,108,44,40.74,19,17.59,11008
11,9,64,39,60.94,10,15.63,11009
11,10,88,48,54.55,18,20.45,11010
11,11,159,78,49.06,37,23.27,11011
11,12,164,133,81.1,14,8.54,11012
11,13,124,81,65.32,13,10.48,11013
11,14,106,68,64.15,12,11.32,11014
11,15,107,68,63.55,20,18.69,11015
11,16,133,64,48.12,31,23.31,11016
11,17,173,82,47.4,40,23.12,11017
11,18,87,38,43.68,20,22.99,11018
11,19,93,62,66.67,13,13.98,11019
11,20,120,88,73.33,15,12.5,11020
11,21,146,102,69.86,17,11.64,11021
11,22,126,85,67.46,11,8.73,11022
11,23,89,55,61.8,13,14.61,11023
11,24,279,218,78.14,27,9.68,11024
11,25,134,98,73.13,13,9.7,11025
11,26,181,118,65.19,24,13.26,11026
11,27,77,48,62.34,14,18.18,11027
11,28,97,42,43.3,25,25.77,11028
11,29,115,57,49.57,25,21.74,11029
11,30,109,64,58.72,18,16.51,11030
11,31,100,71,71.0,11,11.0,11031
11,32,127,92,72.44,21,16.54,11032
11,33,87,54,62.07,9,10.34,11033
11,34,71,48,67.61,11,15.49,11034
11,35,206,146,70.87,29,14.08,11035
11,36,30,25,83.33,2,6.67,11036
11,37,147,110,74.83,14,9.52,11037
11,38,189,126,66.67,26,13.76,11038
11,39,176,95,53.98,32,18.18,11039
11,40,78,44,56.41,15,19.23,11040
11,41,65,44,67.69,8,12.31,11041
11,42,84,43,51.19,20,23.81,11042
11,43,110,40,36.36,23,20.91,11043
11,44,129,74,57.36,24,18.6,11044
11,45,50,21,42.0,4,8.0,11045
11,46,72,46,63.89,12,16.67,11046
11,47,74,34,45.95,22,29.73,11047
11,48,59,40,67.8,5,8.47,11048
11,49,121,83,68.6,14,11.57,11049
11,50,57,34,59.65,10,17.54,11050
12,1,60,29,48.33,10,16.67,12001
12,2,77,24,31.17,14,18.18,12002
12,3,75,32,42.67,20,26.67,12003
12,4,42,18,42.86,14,33.33,12004
12,5,72,41,56.94,20,27.78,12005
12,6,83,29,34.94,29,34.94,12006
12,7,78,32,41.03,15,19.23,12007
12,8,112,57,50.89,27,24.11,12008
12,9,59,22,37.29,12,20.34,12009
12,10,74,31,41.89,15,20.27,12010
12,11,123,50,40.65,31,25.2,12011
12,12,50,17,34.0,17,34.0,12012
12,13,101,45,44.55,26,25.74,12013
12,14,90,34,37.78,23,25.56,12014
12,15,62,27,43.55,16,25.81,12015
12,16,77,33,42.86,18,23.38,12016
12,17,98,36,36.73,31,31.63,12017
12,18,61,21,34.43,20,32.79,12018
12,19,100,46,46.0,23,23.0,12019
12,20,65,30,46.15,17,26.15,12020
12,21,76,27,35.53,19,25.0,12021
12,22,73,30,41.1,17,23.29,12022
12,23,96,44,45.83,26,27.08,12023
12,24,107,40,37.38,26,24.3,12024
13,1,164,106,64.63,24,14.63,13001
13,2,120,87,72.5,16,13.33,13002
13,3,176,74,42.05,43,24.43,13003
13,4,197,91,46.19,45,22.84,13004
13,5,149,66,44.3,29,19.46,13005
13,6,122,63,51.64,25,20.49,13006
13,7,138,88,63.77,17,12.32,13007
13,8,165,88,53.33,32,19.39,13008
13,9,149,82,55.03,26,17.45,13009
13,10,124,78,62.9,21,16.94,13010
13,11,132,81,61.36,21,15.91,13011
13,12,119,60,50.42,26,21.85,13012
13,13,193,154,79.79,14,7.25,13013
13,14,119,70,58.82,17,14.29,13014
13,15,195,114,58.46,32,16.41,13015
13,16,195,118,60.51,27,13.85,13016
13,17,155,84,54.19,27,17.42,13017
13,18,146,84,57.53,30,20.55,13018
13,19,172,116,67.44,24,13.95,13019
13,20,154,84,54.55,31,20.13,13020
13,21,151,74,49.01,35,23.18,13021
13,22,97,58,59.79,18,18.56,13022
13,23,128,78,60.94,23,17.97,13023
13,24,140,97,69.29,23,16.43,13024
13,25,108,50,46.3,24,22.22,13025
13,26,149,104,69.8,24,16.11,13026
13,27,163,93,57.06,30,18.4,13027
13,28,107,52,48.6,20,18.69,13028
