ward,precinct,total,S. Raja Krishnamoorthi,S. Raja Krishnamoorthi Percent,Clinton A. ''Clint'' Krislov,Clinton A. ''Clint'' Krislov Percent,precinct_id
2,6,143,110,76.92,12,8.39,02006
2,7,193,57,29.53,8,4.15,02007
2,8,211,117,55.45,12,5.69,02008
2,9,114,45,39.47,5,4.39,02009
2,10,102,31,30.39,5,4.9,02010
2,11,279,196,70.25,24,8.6,02011
2,12,151,108,71.52,4,2.65,02012
2,13,146,62,42.47,10,6.85,02013
2,14,231,89,38.53,8,3.46,02014
2,15,58,23,39.66,1,1.72,02015
2,16,158,123,77.85,5,3.16,02016
2,17,81,17,20.99,6,7.41,02017
2,18,175,114,65.14,10,5.71,02018
2,19,202,116,57.43,12,5.94,02019
2,20,248,104,41.94,7,2.82,02020
2,21,185,69,37.3,9,4.86,02021
2,22,266,156,58.65,22,8.27,02022
2,23,101,40,39.6,6,5.94,02023
2,24,73,33,45.21,10,13.7,02024
2,25,177,79,44.63,11,6.21,02025
2,26,136,65,47.79,11,8.09,02026
2,27,112,28,25.0,4,3.57,02027
2,28,99,65,65.66,5,5.05,02028
2,29,92,39,42.39,5,5.43,02029
2,30,155,102,65.81,5,3.23,02030
2,31,154,53,34.42,8,5.19,02031
2,32,57,22,38.6,6,10.53,02032
2,33,65,18,27.69,2,3.08,02033
2,34,125,30,24.0,9,7.2,02034
2,35,31,28,90.32,1,3.23,02035
2,36,235,141,60.0,5,2.13,02036
2,37,134,98,73.13,8,5.97,02037
2,38,208,134,64.42,12,5.77,02038
2,39,111,45,40.54,6,5.41,02039
2,40,247,118,47.77,13,5.26,02040
2,41,63,14,22.22,3,4.76,02041
2,42,99,34,34.34,9,9.09,02042
2,43,256,138,53.91,21,8.2,02043
2,44,128,43,33.59,13,10.16,02044
2,45,117,43,36.75,4,3.42,02045
2,46,242,86,35.54,9,3.72,02046
2,47,100,29,29.0,2,2.0,02047
2,48,84,17,20.24,7,8.33,02048
2,49,113,66,58.41,20,17.7,02049
2,50,107,49,45.79,7,6.54,02050
2,51,93,33,35.48,0,0.0,02051
2,52,172,55,31.98,12,6.98,02052
2,53,115,73,63.48,6,5.22,02053
2,54,185,126,68.11,25,13.51,02054
2,55,62,35,56.45,5,8.06,02055
2,56,131,40,30.53,7,5.34,02056
3,1,125,31,24.8,6,4.8,03001
3,2,209,64,30.62,14,6.7,03002
3,3,147,73,49.66,6,4.08,03003
3,4,99,33,33.33,6,6.06,03004
3,5,145,44,30.34,5,3.45,03005
3,6,36,10,27.78,7,19.44,03006
3,7,180,49,27.22,4,2.22,03007
3,8,115,33,28.7,6,5.22,03008
3,9,141,44,31.21,10,7.09,03009
3,10,44,9,20.45,2,4.55,03010
3,11,126,43,34.13,5,3.97,03011
3,12,110,31,28.18,6,5.45,03012
3,13,77,35,45.45,11,14.29,03013
3,14,106,29,27.36,7,6.6,03014
3,15,148,40,27.03,12,8.11,03015
3,16,111,31,27.93,2,1.8,03016
3,17,70,19,27.14,4,5.71,03017
3,18,70,16,22.86,4,5.71,03018
3,19,38,12,31.58,5,13.16,03019
3,20,109,34,31.19,2,1.83,03020
3,21,51,14,27.45,5,9.8,03021
3,22,77,22,28.57,6,7.79,03022
3,23,114,32,28.07,4,3.51,03023
3,24,167,53,31.74,9,5.39,03024
3,25,82,16,19.51,7,8.54,03025
3,26,40,10,25.0,2,5.0,03026
3,27,129,37,28.68,3,2.33,03027
3,28,225,152,67.56,6,2.67,03028
3,29,129,30,23.26,13,10.08,03029
3,30,108,39,36.11,3,2.78,03030
3,31,205,52,25.37,8,3.9,03031
3,32,90,29,32.22,3,3.33,03032
3,33,177,52,29.38,11,6.21,03033
3,34,132,45,34.09,5,3.79,03034
3,35,136,33,24.26,6,4.41,03035
3,36,37,10,27.03,1,2.7,03036
3,37,56,19,33.93,3,5.36,03037
3,38,225,53,23.56,20,8.89,03038
3,39,247,82,33.2,11,4.45,03039
3,40,136,45,33.09,6,4.41,03040
3,41,143,54,37.76,8,5.59,03041
3,42,82,27,32.93,3,3.66,03042
3,43,19,7,36.84,0,0.0,03043
3,44,27,6,22.22,4,14.81,03044
3,45,178,68,38.2,10,5.62,03045
3,46,13,1,7.69,3,23.08,03046
3,47,88,22,25.0,3,3.41,03047
3,48,87,17,19.54,6,6.9,03048
3,49,35,11,31.43,4,11.43,03049
3,50,79,18,22.78,5,6.33,03050
4,1,241,132,54.77,17,7.05,04001
4,2,242,91,37.6,10,4.13,04002
4,3,214,62,28.97,8,3.74,04003
4,4,169,47,27.81,15,8.88,04004
4,5,240,87,36.25,14,5.83,04005
4,6,78,26,33.33,3,3.85,04006
4,7,216,64,29.63,6,2.78,04007
4,8,203,70,34.48,12,5.91,04008
4,9,401,170,42.39,14,3.49,04009
4,10,191,63,32.98,13,6.81,04010
4,11,128,34,26.56,4,3.13,04011
4,12,102,31,30.39,1,0.98,04012
4,13,144,76,52.78,9,6.25,04013
4,14,106,33,31.13,7,6.6,04014
4,15,145,57,39.31,5,3.45,04015
4,16,200,57,28.5,10,5.0,04016
4,17,194,86,44.33,6,3.09,04017
4,18,176,54,30.68,7,3.98,04018
4,19,162,55,33.95,7,4.32,04019
4,20,97,31,31.96,4,4.12,04020
4,21,241,105,43.57,11,4.56,04021
4,22,250,117,46.8,21,8.4,04022
4,23,143,60,41.96,10,6.99,04023
4,24,178,67,37.64,10,5.62,04024
4,25,215,71,33.02,4,1.86,04025
4,26,184,66,35.87,5,2.72,04026
4,27,147,48,32.65,6,4.08,04027
4,28,118,62,52.54,7,5.93,04028
4,29,172,80,46.51,19,11.05,04029
4,30,158,64,40.51,4,2.53,04030
4,31,109,61,55.96,8,7.34,04031
4,32,197,108,54.82,20,10.15,04032
4,33,147,58,39.46,4,2.72,04033
4,34,141,101,71.63,2,1.42,04034
4,35,91,31,34.07,4,4.4,04035
4,36,129,51,39.53,4,3.1,04036
4,37,0,0,0.0,0,0.0,04037
4,38,310,148,47.74,15,4.84,04038
4,39,123,37,30.08,4,3.25,04039
4,40,148,50,33.78,6,4.05,04040
4,41,72,43,59.72,16,22.22,04041
4,42,212,84,39.62,8,3.77,04042
4,43,121,66,54.55,10,8.26,04043
4,44,113,59,52.21,3,2.65,04044
4,45,340,128,37.65,9,2.65,04045
4,46,136,53,38.97,4,2.94,04046
4,47,209,103,49.28,17,8.13,04047
4,48,240,129,53.75,13,5.42,04048
4,49,138,36,26.09,14,10.14,04049
4,50,163,47,28.83,13,7.98,04050
4,51,168,52,30.95,5,2.98,04051
4,52,198,55,27.78,18,9.09,04052
5,1,190,74,38.95,2,1.05,05001
5,2,138,37,26.81,5,3.62,05002
5,3,74,38,51.35,9,12.16,05003
5,4,128,45,35.16,7,5.47,05004
5,5,123,38,30.89,9,7.32,05005
5,6,180,76,42.22,5,2.78,05006
5,7,175,54,30.86,5,2.86,05007
5,8,232,142,61.21,53,22.84,05008
5,9,145,44,30.34,1,0.69,05009
5,10,122,38,31.15,3,2.46,05010
5,11,146,83,56.85,22,15.07,05011
5,12,85,33,38.82,4,4.71,05012
5,13,155,62,40.0,7,4.52,05013
5,14,223,113,50.67,23,10.31,05014
5,15,123,64,52.03,6,4.88,05015
5,16,117,37,31.62,5,4.27,05016
5,17,132,37,28.03,8,6.06,05017
5,18,140,49,35.0,6,4.29,05018
5,19,76,19,25.0,5,6.58,05019
5,20,59,22,37.29,1,1.69,05020
5,21,137,49,35.77,2,1.46,05021
5,22,150,39,26.0,10,6.67,05022
5,23,93,26,27.96,3,3.23,05023
5,24,191,98,51.31,15,7.85,05024
5,25,120,42,35.0,8,6.67,05025
5,26,148,41,27.7,12,8.11,05026
5,27,179,119,66.48,22,12.29,05027
5,28,195,84,43.08,10,5.13,05028
5,29,161,55,34.16,5,3.11,05029
5,30,132,77,58.33,23,17.42,05030
5,31,135,44,32.59,5,3.7,05031
5,32,300,108,36.0,8,2.67,05032
5,33,113,29,25.66,6,5.31,05033
5,34,156,49,31.41,6,3.85,05034
5,35,135,71,52.59,15,11.11,05035
5,36,68,24,35.29,4,5.88,05036
5,37,135,75,55.56,14,10.37,05037
5,38,213,105,49.3,46,21.6,05038
5,39,201,121,60.2,41,20.4,05039
5,40,120,41,34.17,8,6.67,05040
5,41,133,95,71.43,16,12.03,05041
5,42,158,59,37.34,9,5.7,05042
5,43,188,78,41.49,3,1.6,05043
5,44,157,50,31.85,4,2.55,05044
5,45,84,21,25.0,1,1.19,05045
5,46,148,84,56.76,21,14.19,05046
5,47,124,36,29.03,7,5.65,05047
5,48,113,64,56.64,11,9.73,05048
5,49,32,5,15.63,3,9.38,05049
5,50,97,28,28.87,7,7.22,05050
5,51,97,32,32.99,7,7.22,05051
5,52,9,5,55.56,1,11.11,05052
5,53,180,101,56.11,5,2.78,05053
5,54,251,86,34.26,7,2.79,05054
5,55,138,60,43.48,5,3.62,05055
6,1,236,68,28.81,8,3.39,06001
6,2,199,55,27.64,5,2.51,06002
6,3,203,50,24.63,10,4.93,06003
6,4,139,30,21.58,24,17.27,06004
6,5,67,18,26.87,7,10.45,06005
6,6,142,43,30.28,4,2.82,06006
6,7,161,59,36.65,4,2.48,06007
6,8,218,66,30.28,10,4.59,06008
6,9,170,38,22.35,6,3.53,06009
6,10,291,89,30.58,8,2.75,06010
6,11,162,45,27.78,4,2.47,06011
6,12,123,39,31.71,11,8.94,06012
6,13,136,45,33.09,5,3.68,06013
6,14,136,36,26.47,6,4.41,06014
6,15,84,21,25.0,2,2.38,06015
6,16,205,60,29.27,10,4.88,06016
6,17,225,77,34.22,5,2.22,06017
6,18,70,15,21.43,4,5.71,06018
6,19,191,41,21.47,7,3.66,06019
6,20,164,53,32.32,6,3.66,06020
6,21,187,46,24.6,9,4.81,06021
6,22,145,48,33.1,5,3.45,06022
6,23,147,49,33.33,7,4.76,06023
6,24,167,62,37.13,7,4.19,06024
6,25,96,30,31.25,6,6.25,06025
6,26,196,52,26.53,6,3.06,06026
6,27,216,49,22.69,5,2.31,06027
6,28,325,92,28.31,5,1.54,06028
6,29,227,66,29.07,11,4.85,06029
6,30,114,34,29.82,4,3.51,06030
6,31,205,62,30.24,9,4.39,06031
6,32,162,62,38.27,7,4.32,06032
6,33,211,61,28.91,11,5.21,06033
6,34,133,36,27.07,6,4.51,06034
6,35,142,48,33.8,4,2.82,06035
6,36,96,29,30.21,5,5.21,06036
6,37,221,60,27.15,3,1.36,06037
6,38,173,37,21.39,6,3.47,06038
6,39,117,37,31.62,5,4.27,06039
6,40,74,16,21.62,5,6.76,06040
6,41,206,51,24.76,7,3.4,06041
6,42,62,16,25.81,5,8.06,06042
6,43,172,40,23.26,4,2.33,06043
6,44,168,45,26.79,8,4.76,06044
6,45,141,41,29.08,2,1.42,06045
6,46,163,52,31.9,5,3.07,06046
6,47,185,51,27.57,3,1.62,06047
6,48,141,36,25.53,3,2.13,06048
6,49,149,50,33.56,12,8.05,06049
6,50,175,58,33.14,2,1.14,06050
6,51,92,23,25.0,1,1.09,06051
6,52,105,38,36.19,5,4.76,06052
6,53,145,44,30.34,6,4.14,06053
6,54,134,36,26.87,6,4.48,06054
6,55,132,45,34.09,2,1.52,06055
6,56,129,36,27.91,6,4.65,06056
6,57,79,15,18.99,8,10.13,06057
6,58,205,52,25.37,5,2.44,06058
6,59,164,43,26.22,6,3.66,06059
6,60,113,31,27.43,3,2.65,06060
6,61,83,21,25.3,7,8.43,06061
6,62,143,37,25.87,8,5.59,06062
6,63,165,54,32.73,7,4.24,06063
6,64,203,55,27.09,3,1.48,06064
7,1,298,90,30.2,9,3.02,07001
7,2,161,44,27.33,4,2.48,07002
7,3,93,33,35.48,5,5.38,07003
7,4,93,27,29.03,13,13.98,07004
7,5,76,28,36.84,5,6.58,07005
7,6,119,32,26.89,8,6.72,07006
7,7,82,20,24.39,5,6.1,07007
7,8,40,15,37.5,1,2.5,07008
7,9,143,54,37.76,2,1.4,07009
7,10,76,25,32.89,6,7.89,07010
7,11,171,53,30.99,2,1.17,07011
7,12,106,37,34.91,7,6.6,07012
7,13,94,26,27.66,8,8.51,07013
7,14,138,40,28.99,2,1.45,07014
7,15,68,24,35.29,2,2.94,07015
7,16,71,17,23.94,3,4.23,07016
7,17,70,19,27.14,4,5.71,07017
7,18,94,35,37.23,6,6.38,07018
7,19,204,62,30.39,9,4.41,07019
7,20,49,12,24.49,7,14.29,07020
7,21,122,42,34.43,7,5.74,07021
7,22,94,22,23.4,8,8.51,07022
7,23,127,37,29.13,2,1.57,07023
7,24,130,35,26.92,8,6.15,07024
7,25,185,45,24.32,4,2.16,07025
7,26,171,51,29.82,10,5.85,07026
7,27,215,71,33.02,5,2.33,07027
7,28,115,39,33.91,8,6.96,07028
7,29,142,40,28.17,13,9.15,07029
7,30,178,49,27.53,7,3.93,07030
7,31,156,46,29.49,9,5.77,07031
7,32,86,35,40.7,5,5.81,07032
7,33,119,28,23.53,4,3.36,07033
7,34,132,38,28.79,5,3.79,07034
7,35,179,71,39.66,10,5.59,07035
7,36,156,48,30.77,6,3.85,07036
7,37,74,14,18.92,5,6.76,07037
7,38,102,29,28.43,3,2.94,07038
7,39,99,34,34.34,3,3.03,07039
7,40,117,42,35.9,11,9.4,07040
7,41,127,39,30.71,9,7.09,07041
7,42,205,46,22.44,9,4.39,07042
7,43,144,41,28.47,6,4.17,07043
7,44,210,69,32.86,28,13.33,07044
7,45,231,79,34.2,15,6.49,07045
7,46,73,24,32.88,8,10.96,07046
7,47,116,21,18.1,3,2.59,07047
7,48,127,30,23.62,5,3.94,07048
7,49,76,24,31.58,1,1.32,07049
7,50,102,28,27.45,2,1.96,07050
7,51,241,74,30.71,7,2.9,07051
7,52,113,26,23.01,5,4.42,07052
7,53,118,33,27.97,9,7.63,07053
7,54,61,22,36.07,8,13.11,07054
7,55,127,41,32.28,8,6.3,07055
7,56,106,39,36.79,3,2.83,07056
7,57,117,33,28.21,12,10.26,07057
7,58,194,69,35.57,3,1.55,07058
7,59,77,16,20.78,3,3.9,07059
7,60,92,25,27.17,4,4.35,07060
7,61,132,24,18.18,3,2.27,07061
8,1,197,64,32.49,4,2.03,08001
8,2,93,28,30.11,1,1.08,08002
8,3,245,74,30.2,8,3.27,08003
8,4,163,47,28.83,2,1.23,08004
8,5,240,52,21.67,7,2.92,08005
8,6,181,55,30.39,11,6.08,08006
8,7,138,39,28.26,3,2.17,08007
8,8,230,55,23.91,10,4.35,08008
8,9,216,73,33.8,8,3.7,08009
8,10,271,97,35.79,6,2.21,08010
8,11,160,66,41.25,9,5.63,08011
8,12,125,28,22.4,7,5.6,08012
8,13,119,33,27.73,6,5.04,08013
8,14,88,21,23.86,7,7.95,08014
8,15,127,38,29.92,6,4.72,08015
8,16,216,80,37.04,4,1.85,08016
8,17,156,42,26.92,3,1.92,08017
8,18,85,19,22.35,11,12.94,08018
8,19,249,69,27.71,10,4.02,08019
8,20,129,41,31.78,5,3.88,08020
8,21,138,34,24.64,4,2.9,08021
8,22,142,51,35.92,3,2.11,08022
8,23,142,38,26.76,9,6.34,08023
8,24,172,47,27.33,10,5.81,08024
8,25,148,54,36.49,4,2.7,08025
8,26,112,41,36.61,3,2.68,08026
8,27,180,57,31.67,5,2.78,08027
8,28,136,46,33.82,6,4.41,08028
8,29,160,48,30.0,4,2.5,08029
8,30,148,42,28.38,4,2.7,08030
8,31,120,29,24.17,4,3.33,08031
8,32,265,95,35.85,8,3.02,08032
8,33,169,45,26.63,14,8.28,08033
8,34,209,54,25.84,7,3.35,08034
8,35,202,76,37.62,8,3.96,08035
8,36,166,50,30.12,5,3.01,08036
8,37,173,54,31.21,10,5.78,08037
8,38,149,35,23.49,11,7.38,08038
8,39,174,43,24.71,4,2.3,08039
8,40,128,39,30.47,3,2.34,08040
8,41,142,36,25.35,9,6.34,08041
8,42,170,58,34.12,6,3.53,08042
8,43,93,24,25.81,2,2.15,08043
8,44,138,44,31.88,0,0.0,08044
8,45,104,34,32.69,7,6.73,08045
8,46,140,36,25.71,7,5.0,08046
8,47,171,35,20.47,5,2.92,08047
8,48,148,41,27.7,7,4.73,08048
8,49,217,57,26.27,7,3.23,08049
8,50,184,51,27.72,12,6.52,08050
8,51,213,64,30.05,9,4.23,08051
8,52,192,54,28.13,6,3.13,08052
8,53,221,69,31.22,7,3.17,08053
8,54,169,53,31.36,6,3.55,08054
8,55,123,37,30.08,8,6.5,08055
8,56,155,42,27.1,7,4.52,08056
8,57,148,47,31.76,3,2.03,08057
8,58,194,63,32.47,0,0.0,08058
8,59,84,20,23.81,5,5.95,08059
8,60,146,46,31.51,5,3.42,08060
8,61,150,49,32.67,3,2.0,08061
8,62,171,54,31.58,7,4.09,08062
8,63,174,65,37.36,5,2.87,08063
8,64,137,38,27.74,9,6.57,08064
8,65,117,39,33.33,6,5.13,08065
8,66,245,62,25.31,13,5.31,08066
8,67,78,25,32.05,1,1.28,08067
8,68,74,21,28.38,1,1.35,08068
8,69,96,38,39.58,9,9.38,08069
8,70,172,43,25.0,15,8.72,08070
9,1,177,52,29.38,11,6.21,09001
9,2,156,38,24.36,13,8.33,09002
9,3,55,7,12.73,4,7.27,09003
9,4,154,26,16.88,3,1.95,09004
9,5,161,44,27.33,12,7.45,09005
9,6,169,49,28.99,5,2.96,09006
9,7,139,15,10.79,6,4.32,09007
9,8,149,49,32.89,5,3.36,09008
9,9,217,72,33.18,7,3.23,09009
9,10,147,36,24.49,8,5.44,09010
9,11,112,30,26.79,4,3.57,09011
9,12,144,43,29.86,10,6.94,09012
9,13,180,57,31.67,7,3.89,09013
9,14,224,74,33.04,5,2.23,09014
9,15,124,18,14.52,7,5.65,09015
9,16,99,12,12.12,4,4.04,09016
9,17,126,34,26.98,10,7.94,09017
9,18,165,38,23.03,4,2.42,09018
9,19,165,46,27.88,4,2.42,09019
9,20,195,49,25.13,7,3.59,09020
9,21,174,67,38.51,8,4.6,09021
9,22,209,64,30.62,8,3.83,09022
9,23,109,25,22.94,2,1.83,09023
9,24,32,8,25.0,1,3.13,09024
9,25,116,61,52.59,7,6.03,09025
9,26,90,20,22.22,1,1.11,09026
9,27,127,33,25.98,7,5.51,09027
9,28,60,17,28.33,7,11.67,09028
9,29,112,32,28.57,8,7.14,09029
9,30,161,49,30.43,3,1.86,09030
9,31,137,46,33.58,7,5.11,09031
9,32,148,42,28.38,4,2.7,09032
9,33,109,21,19.27,4,3.67,09033
9,34,117,25,21.37,11,9.4,09034
9,35,208,70,33.65,8,3.85,09035
9,36,201,61,30.35,8,3.98,09036
9,37,145,72,49.66,14,9.66,09037
9,38,142,47,33.1,3,2.11,09038
9,39,185,42,22.7,0,0.0,09039
9,40,174,44,25.29,2,1.15,09040
9,41,192,38,19.79,5,2.6,09041
9,42,47,6,12.77,0,0.0,09042
9,43,71,20,28.17,1,1.41,09043
9,44,97,12,12.37,6,6.19,09044
9,45,145,43,29.66,3,2.07,09045
9,46,144,38,26.39,7,4.86,09046
9,47,189,67,35.45,7,3.7,09047
9,48,178,56,31.46,3,1.69,09048
9,49,72,38,52.78,3,4.17,09049
9,50,167,29,17.37,3,1.8,09050
9,51,101,23,22.77,7,6.93,09051
9,52,198,69,34.85,7,3.54,09052
9,53,70,27,38.57,0,0.0,09053
10,1,108,39,36.11,6,5.56,10001
10,2,74,46,62.16,4,5.41,10002
10,3,138,56,40.58,16,11.59,10003
10,4,75,30,40.0,10,13.33,10004
10,5,88,33,37.5,17,19.32,10005
10,6,114,20,17.54,8,7.02,10006
10,7,26,14,53.85,0,0.0,10007
10,8,81,35,43.21,11,13.58,10008
10,9,116,53,45.69,12,10.34,10009
10,10,90,26,28.89,18,20.0,10010
10,11,105,36,34.29,13,12.38,10011
10,12,84,40,47.62,11,13.1,10012
10,13,91,32,35.16,12,13.19,10013
10,14,98,38,38.78,17,17.35,10014
10,15,45,19,42.22,3,6.67,10015
10,16,104,46,44.23,8,7.69,10016
10,17,93,43,46.24,11,11.83,10017
10,18,62,23,37.1,8,12.9,10018
10,19,109,45,41.28,15,13.76,10019
10,20,79,41,51.9,9,11.39,10020
10,21,94,44,46.81,9,9.57,10021
10,22,62,19,30.65,2,3.23,10022
10,23,80,26,32.5,9,11.25,10023
10,24,97,49,50.52,8,8.25,10024
10,25,117,46,39.32,16,13.68,10025
10,26,74,17,22.97,18,24.32,10026
10,27,113,49,43.36,14,12.39,10027
10,28,79,27,34.18,5,6.33,10028
10,29,111,30,27.03,8,7.21,10029
10,30,89,40,44.94,10,11.24,10030
10,31,101,46,45.54,13,12.87,10031
10,32,80,33,41.25,11,13.75,10032
10,33,90,31,34.44,15,16.67,10033
10,34,92,43,46.74,4,4.35,10034
10,35,101,37,36.63,18,17.82,10035
10,36,127,44,34.65,11,8.66,10036
10,37,70,20,28.57,7,10.0,10037
10,38,117,50,42.74,20,17.09,10038
10,39,92,27,29.35,10,10.87,10039
10,40,72,21,29.17,9,12.5,10040
10,41,143,55,38.46,25,17.48,10041
10,42,94,51,54.26,9,9.57,10042
10,43,44,7,15.91,2,4.55,10043
10,44,82,32,39.02,10,12.2,10044
10,45,48,26,54.17,4,8.33,10045
10,46,84,34,40.48,10,11.9,10046
10,47,84,33,39.29,17,20.24,10047
10,48,77,31,40.26,4,5.19,10048
11,1,164,54,32.93,21,12.8,11001
11,2,138,61,44.2,11,7.97,11002
11,3,106,35,33.02,7,6.6,11003
11,4,128,58,45.31,6,4.69,11004
11,5,74,33,44.59,6,8.11,11005
11,6,157,64,40.76,17,10.83,11006
11,7,147,40,27.21,13,8.84,11007
11,8,124,58,46.77,21,16.94,11008
11,9,75,29,38.67,6,8.0,11009
11,10,100,36,36.0,8,8.0,11010
11,11,182,83,45.6,20,10.99,11011
11,12,168,38,22.62,11,6.55,11012
11,13,139,47,33.81,19,13.67,11013
11,14,118,32,27.12,4,3.39,11014
11,15,124,36,29.03,6,4.84,11015
11,16,165,72,43.64,19,11.52,11016
11,17,189,84,44.44,18,9.52,11017
11,18,104,46,44.23,12,11.54,11018
11,19,98,36,36.73,9,9.18,11019
11,20,129,32,24.81,9,6.98,11020
11,21,164,41,25.0,10,6.1,11021
11,22,144,43,29.86,12,8.33,11022
11,23,109,39,35.78,7,6.42,11023
11,24,296,57,19.26,14,4.73,11024
11,25,148,48,32.43,8,5.41,11025
11,26,199,73,36.68,12,6.03,11026
11,27,97,25,25.77,10,10.31,11027
11,28,106,35,33.02,4,3.77,11028
11,29,141,56,39.72,27,19.15,11029
11,30,124,45,36.29,19,15.32,11030
11,31,114,27,23.68,8,7.02,11031
11,32,138,35,25.36,9,6.52,11032
11,33,100,33,33.0,7,7.0,11033
11,34,88,20,22.73,3,3.41,11034
11,35,214,58,27.1,15,7.01,11035
11,36,44,12,27.27,1,2.27,11036
11,37,171,52,30.41,8,4.68,11037
11,38,216,65,30.09,15,6.94,11038
11,39,220,80,36.36,19,8.64,11039
11,40,101,32,31.68,8,7.92,11040
11,41,79,34,43.04,5,6.33,11041
11,42,106,36,33.96,12,11.32,11042
11,43,131,53,40.46,12,9.16,11043
11,44,144,66,45.83,11,7.64,11044
11,45,69,36,52.17,3,4.35,11045
11,46,95,11,11.58,4,4.21,11046
11,47,115,50,43.48,9,7.83,11047
11,48,64,19,29.69,5,7.81,11048
11,49,145,52,35.86,10,6.9,11049
11,50,67,22,32.84,8,11.94,11050
12,1,74,37,50.0,5,6.76,12001
12,2,94,32,34.04,10,10.64,12002
12,3,79,30,37.97,5,6.33,12003
12,4,53,28,52.83,4,7.55,12004
12,5,78,20,25.64,4,5.13,12005
12,6,93,24,25.81,22,23.66,12006
12,7,106,45,42.45,13,12.26,12007
12,8,139,52,37.41,17,12.23,12008
12,9,71,19,26.76,14,19.72,12009
12,10,83,36,43.37,9,10.84,12010
12,11,135,42,31.11,15,11.11,12011
12,12,52,25,48.08,6,11.54,12012
12,13,115,53,46.09,11,9.57,12013
12,14,97,32,32.99,19,19.59,12014
12,15,74,19,25.68,11,14.86,12015
12,16,87,21,24.14,9,10.34,12016
12,17,121,47,38.84,17,14.05,12017
12,18,79,28,35.44,11,13.92,12018
12,19,112,45,40.18,16,14.29,12019
12,20,78,36,46.15,9,11.54,12020
12,21,90,40,44.44,8,8.89,12021
12,22,82,34,41.46,10,12.2,12022
12,23,105,34,32.38,13,12.38,12023
12,24,118,38,32.2,14,11.86,12024
13,1,175,39,22.29,13,7.43,13001
13,2,128,25,19.53,8,6.25,13002
13,3,195,57,29.23,21,10.77,13003
13,4,227,80,35.24,19,8.37,13004
13,5,154,52,33.77,16,10.39,13005
13,6,137,51,37.23,11,8.03,13006
13,7,150,34,22.67,15,10.0,13007
13,8,175,53,30.29,14,8.0,13008
13,9,156,41,26.28,13,8.33,13009
13,10,137,37,27.01,8,5.84,13010
13,11,140,33,23.57,6,4.29,13011
13,12,128,41,32.03,11,8.59,13012
13,13,204,31,15.2,9,4.41,13013
13,14,130,41,31.54,15,11.54,13014
13,15,210,59,28.1,18,8.57,13015
13,16,211,55,26.07,19,9.0,13016
13,17,174,53,30.46,21,12.07,13017
13,18,157,42,26.75,27,17.2,13018
13,19,179,44,24.58,6,3.35,13019
13,20,168,54,32.14,15,8.93,13020
13,21,173,45,26.01,9,5.2,13021
13,22,115,38,33.04,10,8.7,13022
13,23,140,36,25.71,13,9.29,13023
13,24,145,43,29.66,6,4.14,13024
13,25,125,50,40.0,9,7.2,13025
