ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,Bonnie Carol McGrath,Bonnie Carol McGrath Percent,Carl B. Boyd,Carl B. Boyd Percent,precinct_id
4,39,103,46,44.66,23,22.33,34,33.01,04039
4,40,116,49,42.24,22,18.97,45,38.79,04040
4,41,61,29,47.54,23,37.7,9,14.75,04041
4,42,181,60,33.15,48,26.52,73,40.33,04042
4,43,108,59,54.63,32,29.63,17,15.74,04043
4,44,95,36,37.89,35,36.84,24,25.26,04044
4,45,290,135,46.55,68,23.45,87,30.0,04045
4,46,112,42,37.5,30,26.79,40,35.71,04046
4,47,167,78,46.71,45,26.95,44,26.35,04047
4,48,201,93,46.27,56,27.86,52,25.87,04048
4,49,113,43,38.05,27,23.89,43,38.05,04049
4,50,139,53,38.13,34,24.46,52,37.41,04050
4,51,140,55,39.29,30,21.43,55,39.29,04051
4,52,173,52,30.06,58,33.53,63,36.42,04052
5,1,152,57,37.5,32,21.05,63,41.45,05001
5,2,129,48,37.21,34,26.36,47,36.43,05002
5,3,63,26,41.27,19,30.16,18,28.57,05003
5,4,106,29,27.36,19,17.92,58,54.72,05004
5,5,105,33,31.43,30,28.57,42,40.0,05005
5,6,156,57,36.54,33,21.15,66,42.31,05006
5,7,154,49,31.82,48,31.17,57,37.01,05007
5,8,176,88,50.0,72,40.91,16,9.09,05008
5,9,128,47,36.72,27,21.09,54,42.19,05009
5,10,105,36,34.29,34,32.38,35,33.33,05010
5,11,113,58,51.33,38,33.63,17,15.04,05011
5,12,70,16,22.86,25,35.71,29,41.43,05012
5,13,136,43,31.62,41,30.15,52,38.24,05013
5,14,189,87,46.03,61,32.28,41,21.69,05014
5,15,104,35,33.65,30,28.85,39,37.5,05015
5,16,99,35,35.35,27,27.27,37,37.37,05016
5,17,118,48,40.68,37,31.36,33,27.97,05017
5,18,118,47,39.83,32,27.12,39,33.05,05018
5,19,66,21,31.82,12,18.18,33,50.0,05019
5,20,57,23,40.35,9,15.79,25,43.86,05020
5,21,121,32,26.45,35,28.93,54,44.63,05021
5,22,137,49,35.77,32,23.36,56,40.88,05022
5,23,87,29,33.33,23,26.44,35,40.23,05023
5,24,148,63,42.57,45,30.41,40,27.03,05024
5,25,101,19,18.81,36,35.64,46,45.54,05025
5,26,134,42,31.34,44,32.84,48,35.82,05026
5,27,141,81,57.45,43,30.5,17,12.06,05027
5,28,164,61,37.2,38,23.17,65,39.63,05028
5,29,143,39,27.27,39,27.27,65,45.45,05029
5,30,111,57,51.35,42,37.84,12,10.81,05030
5,31,113,40,35.4,29,25.66,44,38.94,05031
5,32,266,75,28.2,69,25.94,122,45.86,05032
5,33,96,34,35.42,31,32.29,31,32.29,05033
5,34,141,44,31.21,40,28.37,57,40.43,05034
5,35,100,50,50.0,30,30.0,20,20.0,05035
5,36,58,16,27.59,17,29.31,25,43.1,05036
5,37,108,47,43.52,36,33.33,25,23.15,05037
5,38,165,73,44.24,65,39.39,27,16.36,05038
5,39,167,99,59.28,62,37.13,6,3.59,05039
5,40,113,38,33.63,30,26.55,45,39.82,05040
5,41,100,58,58.0,38,38.0,4,4.0,05041
5,42,133,49,36.84,33,24.81,51,38.35,05042
5,43,154,61,39.61,24,15.58,69,44.81,05043
5,44,135,58,42.96,32,23.7,45,33.33,05044
5,45,77,37,48.05,20,25.97,20,25.97,05045
5,46,122,65,53.28,36,29.51,21,17.21,05046
5,47,106,40,37.74,24,22.64,42,39.62,05047
5,48,87,31,35.63,33,37.93,23,26.44,05048
5,49,29,8,27.59,8,27.59,13,44.83,05049
5,50,83,20,24.1,24,28.92,39,46.99,05050
5,51,87,21,24.14,19,21.84,47,54.02,05051
5,52,8,5,62.5,3,37.5,0,0.0,05052
5,53,153,57,37.25,44,28.76,52,33.99,05053
5,54,212,72,33.96,48,22.64,92,43.4,05054
5,55,111,37,33.33,30,27.03,44,39.64,05055
6,1,214,70,32.71,48,22.43,96,44.86,06001
6,2,179,59,32.96,40,22.35,80,44.69,06002
6,3,172,55,31.98,41,23.84,76,44.19,06003
6,4,113,35,30.97,28,24.78,50,44.25,06004
6,5,56,17,30.36,18,32.14,21,37.5,06005
6,6,125,47,37.6,25,20.0,53,42.4,06006
6,7,140,52,37.14,43,30.71,45,32.14,06007
6,8,197,65,32.99,45,22.84,87,44.16,06008
6,9,163,46,28.22,24,14.72,93,57.06,06009
6,10,268,99,36.94,59,22.01,110,41.04,06010
6,11,143,57,39.86,27,18.88,59,41.26,06011
6,12,118,37,31.36,27,22.88,54,45.76,06012
6,13,130,32,24.62,24,18.46,74,56.92,06013
6,14,119,40,33.61,31,26.05,48,40.34,06014
6,15,73,24,32.88,19,26.03,30,41.1,06015
6,16,185,67,36.22,43,23.24,75,40.54,06016
6,17,194,55,28.35,50,25.77,89,45.88,06017
6,18,61,17,27.87,15,24.59,29,47.54,06018
6,19,167,53,31.74,50,29.94,64,38.32,06019
6,20,153,64,41.83,46,30.07,43,28.1,06020
6,21,158,55,34.81,30,18.99,73,46.2,06021
6,22,133,45,33.83,24,18.05,64,48.12,06022
6,23,131,40,30.53,48,36.64,43,32.82,06023
6,24,151,52,34.44,32,21.19,67,44.37,06024
6,25,85,35,41.18,20,23.53,30,35.29,06025
6,26,173,47,27.17,27,15.61,99,57.23,06026
6,27,208,73,35.1,39,18.75,96,46.15,06027
6,28,319,76,23.82,41,12.85,202,63.32,06028
6,29,206,72,34.95,39,18.93,95,46.12,06029
6,30,97,43,44.33,23,23.71,31,31.96,06030
6,31,177,59,33.33,33,18.64,85,48.02,06031
6,32,140,44,31.43,40,28.57,56,40.0,06032
6,33,188,60,31.91,39,20.74,89,47.34,06033
6,34,116,30,25.86,27,23.28,59,50.86,06034
6,35,128,47,36.72,28,21.88,53,41.41,06035
6,36,86,32,37.21,23,26.74,31,36.05,06036
6,37,200,65,32.5,37,18.5,98,49.0,06037
6,38,159,58,36.48,44,27.67,57,35.85,06038
6,39,103,35,33.98,28,27.18,40,38.83,06039
6,40,65,16,24.62,17,26.15,32,49.23,06040
6,41,179,69,38.55,35,19.55,75,41.9,06041
6,42,55,19,34.55,15,27.27,21,38.18,06042
6,43,151,58,38.41,37,24.5,56,37.09,06043
6,44,149,57,38.26,31,20.81,61,40.94,06044
6,45,121,40,33.06,27,22.31,54,44.63,06045
6,46,147,54,36.73,35,23.81,58,39.46,06046
6,47,164,59,35.98,22,13.41,83,50.61,06047
6,48,126,51,40.48,23,18.25,52,41.27,06048
6,49,128,36,28.13,40,31.25,52,40.63,06049
6,50,163,59,36.2,29,17.79,75,46.01,06050
6,51,86,29,33.72,21,24.42,36,41.86,06051
6,52,90,26,28.89,23,25.56,41,45.56,06052
6,53,124,38,30.65,29,23.39,57,45.97,06053
6,54,117,37,31.62,34,29.06,46,39.32,06054
6,55,119,38,31.93,22,18.49,59,49.58,06055
6,56,120,40,33.33,41,34.17,39,32.5,06056
6,57,68,18,26.47,20,29.41,30,44.12,06057
6,58,183,58,31.69,37,20.22,88,48.09,06058
6,59,145,49,33.79,21,14.48,75,51.72,06059
6,60,96,36,37.5,18,18.75,42,43.75,06060
6,61,76,27,35.53,20,26.32,29,38.16,06061
6,62,120,50,41.67,22,18.33,48,40.0,06062
6,63,143,48,33.57,34,23.78,61,42.66,06063
6,64,183,70,38.25,31,16.94,82,44.81,06064
7,1,278,103,37.05,63,22.66,112,40.29,07001
7,2,152,56,36.84,38,25.0,58,38.16,07002
7,3,84,33,39.29,22,26.19,29,34.52,07003
7,4,81,29,35.8,26,32.1,26,32.1,07004
7,5,67,18,26.87,21,31.34,28,41.79,07005
7,6,93,33,35.48,18,19.35,42,45.16,07006
7,7,81,23,28.4,17,20.99,41,50.62,07007
7,8,35,16,45.71,12,34.29,7,20.0,07008
7,9,131,44,33.59,26,19.85,61,46.56,07009
7,10,70,26,37.14,18,25.71,26,37.14,07010
7,11,146,46,31.51,42,28.77,58,39.73,07011
7,12,94,27,28.72,27,28.72,40,42.55,07012
7,13,85,37,43.53,11,12.94,37,43.53,07013
7,14,125,36,28.8,36,28.8,53,42.4,07014
7,15,65,11,16.92,20,30.77,34,52.31,07015
7,16,57,14,24.56,16,28.07,27,47.37,07016
7,17,57,15,26.32,14,24.56,28,49.12,07017
7,18,86,28,32.56,28,32.56,30,34.88,07018
7,19,172,58,33.72,34,19.77,80,46.51,07019
7,20,41,9,21.95,20,48.78,12,29.27,07020
7,21,108,29,26.85,31,28.7,48,44.44,07021
7,22,95,27,28.42,28,29.47,40,42.11,07022
7,23,102,37,36.27,27,26.47,38,37.25,07023
7,24,122,46,37.7,30,24.59,46,37.7,07024
7,25,166,38,22.89,51,30.72,77,46.39,07025
7,26,155,53,34.19,46,29.68,56,36.13,07026
7,27,201,81,40.3,39,19.4,81,40.3,07027
7,28,107,27,25.23,30,28.04,50,46.73,07028
7,29,105,32,30.48,26,24.76,47,44.76,07029
7,30,160,53,33.13,28,17.5,79,49.38,07030
7,31,142,46,32.39,34,23.94,62,43.66,07031
7,32,78,22,28.21,31,39.74,25,32.05,07032
7,33,104,30,28.85,24,23.08,50,48.08,07033
7,34,125,43,34.4,27,21.6,55,44.0,07034
7,35,155,57,36.77,41,26.45,57,36.77,07035
7,36,139,27,19.42,52,37.41,60,43.17,07036
7,37,70,25,35.71,18,25.71,27,38.57,07037
7,38,90,31,34.44,21,23.33,38,42.22,07038
7,39,87,26,29.89,20,22.99,41,47.13,07039
7,40,98,17,17.35,40,40.82,41,41.84,07040
7,41,110,28,25.45,28,25.45,54,49.09,07041
7,42,160,51,31.88,48,30.0,61,38.13,07042
7,43,128,48,37.5,34,26.56,46,35.94,07043
7,44,182,64,35.16,48,26.37,70,38.46,07044
7,45,201,72,35.82,62,30.85,67,33.33,07045
7,46,62,19,30.65,17,27.42,26,41.94,07046
7,47,100,46,46.0,18,18.0,36,36.0,07047
7,48,108,33,30.56,31,28.7,44,40.74,07048
7,49,70,20,28.57,11,15.71,39,55.71,07049
7,50,91,22,24.18,17,18.68,52,57.14,07050
7,51,214,73,34.11,45,21.03,96,44.86,07051
7,52,101,36,35.64,23,22.77,42,41.58,07052
7,53,108,38,35.19,29,26.85,41,37.96,07053
7,54,58,30,51.72,13,22.41,15,25.86,07054
7,55,105,26,24.76,21,20.0,58,55.24,07055
7,56,95,28,29.47,28,29.47,39,41.05,07056
7,57,102,27,26.47,28,27.45,47,46.08,07057
7,58,169,57,33.73,35,20.71,77,45.56,07058
7,59,66,32,48.48,15,22.73,19,28.79,07059
7,60,79,27,34.18,17,21.52,35,44.3,07060
7,61,118,40,33.9,36,30.51,42,35.59,07061
8,1,175,64,36.57,40,22.86,71,40.57,08001
8,2,81,29,35.8,18,22.22,34,41.98,08002
8,3,225,78,34.67,34,15.11,113,50.22,08003
8,4,156,61,39.1,22,14.1,73,46.79,08004
8,5,213,70,32.86,31,14.55,112,52.58,08005
8,6,173,67,38.73,35,20.23,71,41.04,08006
8,7,121,54,44.63,33,27.27,34,28.1,08007
8,8,217,86,39.63,47,21.66,84,38.71,08008
8,9,197,65,32.99,35,17.77,97,49.24,08009
8,10,250,82,32.8,48,19.2,120,48.0,08010
8,11,130,53,40.77,36,27.69,41,31.54,08011
8,12,116,51,43.97,21,18.1,44,37.93,08012
8,13,97,43,44.33,16,16.49,38,39.18,08013
8,14,78,25,32.05,20,25.64,33,42.31,08014
8,15,114,37,32.46,35,30.7,42,36.84,08015
8,16,187,64,34.22,29,15.51,94,50.27,08016
8,17,137,57,41.61,19,13.87,61,44.53,08017
8,18,74,30,40.54,16,21.62,28,37.84,08018
8,19,214,74,34.58,48,22.43,92,42.99,08019
8,20,119,43,36.13,22,18.49,54,45.38,08020
8,21,128,37,28.91,30,23.44,61,47.66,08021
8,22,123,41,33.33,34,27.64,48,39.02,08022
8,23,127,45,35.43,24,18.9,58,45.67,08023
8,24,164,66,40.24,32,19.51,66,40.24,08024
8,25,133,41,30.83,31,23.31,61,45.86,08025
8,26,103,31,30.1,25,24.27,47,45.63,08026
8,27,167,63,37.72,33,19.76,71,42.51,08027
8,28,116,30,25.86,30,25.86,56,48.28,08028
8,29,158,58,36.71,29,18.35,71,44.94,08029
8,30,130,59,45.38,27,20.77,44,33.85,08030
8,31,104,34,32.69,26,25.0,44,42.31,08031
8,32,249,74,29.72,54,21.69,121,48.59,08032
8,33,149,43,28.86,42,28.19,64,42.95,08033
8,34,197,60,30.46,45,22.84,92,46.7,08034
8,35,173,46,26.59,39,22.54,88,50.87,08035
8,36,143,49,34.27,39,27.27,55,38.46,08036
8,37,143,40,27.97,43,30.07,60,41.96,08037
8,38,131,39,29.77,38,29.01,54,41.22,08038
8,39,165,41,24.85,37,22.42,87,52.73,08039
8,40,118,44,37.29,22,18.64,52,44.07,08040
8,41,118,44,37.29,20,16.95,54,45.76,08041
8,42,150,44,29.33,43,28.67,63,42.0,08042
8,43,77,24,31.17,20,25.97,33,42.86,08043
8,44,127,47,37.01,31,24.41,49,38.58,08044
8,45,96,21,21.88,36,37.5,39,40.63,08045
8,46,117,44,37.61,31,26.5,42,35.9,08046
8,47,148,53,35.81,38,25.68,57,38.51,08047
8,48,134,57,42.54,27,20.15,50,37.31,08048
8,49,190,87,45.79,46,24.21,57,30.0,08049
8,50,166,66,39.76,33,19.88,67,40.36,08050
8,51,189,61,32.28,58,30.69,70,37.04,08051
8,52,173,62,35.84,39,22.54,72,41.62,08052
8,53,185,66,35.68,43,23.24,76,41.08,08053
8,54,159,54,33.96,41,25.79,64,40.25,08054
8,55,104,36,34.62,27,25.96,41,39.42,08055
8,56,143,57,39.86,30,20.98,56,39.16,08056
8,57,137,51,37.23,27,19.71,59,43.07,08057
8,58,179,72,40.22,46,25.7,61,34.08,08058
8,59,71,19,26.76,19,26.76,33,46.48,08059
8,60,126,50,39.68,23,18.25,53,42.06,08060
8,61,129,47,36.43,35,27.13,47,36.43,08061
8,62,146,49,33.56,30,20.55,67,45.89,08062
8,63,166,64,38.55,27,16.27,75,45.18,08063
8,64,128,45,35.16,42,32.81,41,32.03,08064
8,65,108,43,39.81,22,20.37,43,39.81,08065
8,66,226,68,30.09,55,24.34,103,45.58,08066
8,67,85,35,41.18,17,20.0,33,38.82,08067
8,68,63,25,39.68,11,17.46,27,42.86,08068
8,69,81,32,39.51,17,20.99,32,39.51,08069
8,70,146,49,33.56,34,23.29,63,43.15,08070
9,1,158,51,32.28,29,18.35,78,49.37,09001
9,2,151,45,29.8,39,25.83,67,44.37,09002
9,3,48,13,27.08,19,39.58,16,33.33,09003
9,4,142,38,26.76,31,21.83,73,51.41,09004
9,5,153,63,41.18,34,22.22,56,36.6,09005
9,6,147,47,31.97,33,22.45,67,45.58,09006
9,7,120,39,32.5,24,20.0,57,47.5,09007
9,8,134,52,38.81,28,20.9,54,40.3,09008
9,9,190,67,35.26,43,22.63,80,42.11,09009
9,10,134,43,32.09,29,21.64,62,46.27,09010
9,11,96,35,36.46,15,15.63,46,47.92,09011
9,12,124,43,34.68,27,21.77,54,43.55,09012
9,13,163,51,31.29,39,23.93,73,44.79,09013
9,14,194,49,25.26,58,29.9,87,44.85,09014
9,15,115,44,38.26,22,19.13,49,42.61,09015
9,16,85,24,28.24,18,21.18,43,50.59,09016
9,17,114,41,35.96,24,21.05,49,42.98,09017
9,18,149,37,24.83,43,28.86,69,46.31,09018
9,19,154,66,42.86,29,18.83,59,38.31,09019
9,20,176,50,28.41,34,19.32,92,52.27,09020
9,21,149,49,32.89,39,26.17,61,40.94,09021
9,22,179,73,40.78,40,22.35,66,36.87,09022
9,23,99,36,36.36,28,28.28,35,35.35,09023
9,24,29,12,41.38,7,24.14,10,34.48,09024
9,25,96,29,30.21,42,43.75,25,26.04,09025
9,26,70,25,35.71,18,25.71,27,38.57,09026
9,27,112,38,33.93,22,19.64,52,46.43,09027
9,28,44,15,34.09,15,34.09,14,31.82,09028
9,29,96,32,33.33,25,26.04,39,40.63,09029
9,30,152,65,42.76,29,19.08,58,38.16,09030
9,31,130,40,30.77,23,17.69,67,51.54,09031
9,32,127,42,33.07,24,18.9,61,48.03,09032
9,33,89,34,38.2,16,17.98,39,43.82,09033
9,34,102,32,31.37,22,21.57,48,47.06,09034
9,35,193,64,33.16,43,22.28,86,44.56,09035
9,36,179,56,31.28,52,29.05,71,39.66,09036
9,37,117,43,36.75,45,38.46,29,24.79,09037
9,38,135,46,34.07,31,22.96,58,42.96,09038
9,39,170,56,32.94,28,16.47,86,50.59,09039
9,40,161,52,32.3,39,24.22,70,43.48,09040
9,41,164,47,28.66,45,27.44,72,43.9,09041
9,42,38,13,34.21,12,31.58,13,34.21,09042
9,43,59,17,28.81,16,27.12,26,44.07,09043
9,44,82,23,28.05,17,20.73,42,51.22,09044
9,45,125,41,32.8,23,18.4,61,48.8,09045
9,46,126,45,35.71,26,20.63,55,43.65,09046
9,47,175,56,32.0,38,21.71,81,46.29,09047
9,48,164,74,45.12,25,15.24,65,39.63,09048
9,49,71,25,35.21,15,21.13,31,43.66,09049
9,50,147,50,34.01,32,21.77,65,44.22,09050
9,51,95,29,30.53,18,18.95,48,50.53,09051
9,52,168,70,41.67,30,17.86,68,40.48,09052
9,53,64,28,43.75,11,17.19,25,39.06,09053
