ward,precinct,total,Steven James ''Steve'' Bernstein,Steven James ''Steve'' Bernstein Percent,Michael Ian Bender,Michael Ian Bender Percent,Jeffrey Dov Greenspan,Jeffrey Dov Greenspan Percent,William Joseph Luby,William Joseph Luby Percent,Scott Bagnall,Scott Bagnall Percent,Mary S. Trew,Mary S. Trew Percent,precinct_id
49,7,94,28,29.79,18,19.15,8,8.51,6,6.38,1,1.06,33,35.11,49007
49,8,131,26,19.85,29,22.14,6,4.58,3,2.29,9,6.87,58,44.27,49008
49,9,102,22,21.57,25,24.51,6,5.88,1,0.98,6,5.88,42,41.18,49009
49,10,94,34,36.17,12,12.77,4,4.26,2,2.13,3,3.19,39,41.49,49010
49,11,82,28,34.15,8,9.76,5,6.1,8,9.76,6,7.32,27,32.93,49011
49,12,128,47,36.72,15,11.72,7,5.47,10,7.81,7,5.47,42,32.81,49012
49,13,141,48,34.04,20,14.18,6,4.26,4,2.84,6,4.26,57,40.43,49013
49,14,94,37,39.36,18,19.15,10,10.64,9,9.57,0,0.0,20,21.28,49014
49,15,81,24,29.63,11,13.58,7,8.64,7,8.64,4,4.94,28,34.57,49015
49,16,102,34,33.33,17,16.67,12,11.76,8,7.84,1,0.98,30,29.41,49016
49,18,85,22,25.88,17,20.0,5,5.88,5,5.88,3,3.53,33,38.82,49018
49,19,82,23,28.05,13,15.85,10,12.2,5,6.1,2,2.44,29,35.37,49019
49,20,134,52,38.81,11,8.21,7,5.22,10,7.46,4,2.99,50,37.31,49020
49,21,33,12,36.36,7,21.21,2,6.06,1,3.03,0,0.0,11,33.33,49021
49,22,120,51,42.5,19,15.83,4,3.33,7,5.83,3,2.5,36,30.0,49022
49,23,80,31,38.75,10,12.5,5,6.25,3,3.75,1,1.25,30,37.5,49023
49,24,114,33,28.95,21,18.42,4,3.51,20,17.54,3,2.63,33,28.95,49024
49,25,132,44,33.33,16,12.12,9,6.82,4,3.03,6,4.55,53,40.15,49025
49,26,107,38,35.51,18,16.82,11,10.28,8,7.48,2,1.87,30,28.04,49026
49,27,133,44,33.08,16,12.03,14,10.53,15,11.28,2,1.5,42,31.58,49027
49,28,62,23,37.1,12,19.35,1,1.61,3,4.84,1,1.61,22,35.48,49028
49,29,116,41,35.34,19,16.38,7,6.03,2,1.72,5,4.31,42,36.21,49029
49,30,120,33,27.5,15,12.5,16,13.33,5,4.17,2,1.67,49,40.83,49030
49,31,86,32,37.21,8,9.3,5,5.81,7,8.14,5,5.81,29,33.72,49031
49,32,72,24,33.33,9,12.5,3,4.17,9,12.5,3,4.17,24,33.33,49032
49,33,95,33,34.74,18,18.95,5,5.26,3,3.16,1,1.05,35,36.84,49033
49,34,96,34,35.42,16,16.67,10,10.42,11,11.46,3,3.13,22,22.92,49034
49,35,139,42,30.22,29,20.86,8,5.76,11,7.91,3,2.16,46,33.09,49035
49,36,167,59,35.33,23,13.77,8,4.79,12,7.19,7,4.19,58,34.73,49036
49,37,145,42,28.97,20,13.79,7,4.83,7,4.83,8,5.52,61,42.07,49037
49,38,70,29,41.43,8,11.43,6,8.57,4,5.71,6,8.57,17,24.29,49038
49,39,85,21,24.71,22,25.88,7,8.24,6,7.06,6,7.06,23,27.06,49039
49,40,89,28,31.46,18,20.22,4,4.49,3,3.37,7,7.87,29,32.58,49040
49,41,89,25,28.09,16,17.98,3,3.37,10,11.24,6,6.74,29,32.58,49041
49,42,106,37,34.91,19,17.92,5,4.72,6,5.66,4,3.77,35,33.02,49042
50,1,182,48,26.37,50,27.47,50,27.47,8,4.4,3,1.65,23,12.64,50001
50,2,136,37,27.21,42,30.88,26,19.12,7,5.15,3,2.21,21,15.44,50002
50,3,129,19,14.73,50,38.76,34,26.36,2,1.55,2,1.55,22,17.05,50003
50,4,117,33,28.21,24,20.51,26,22.22,13,11.11,2,1.71,19,16.24,50004
50,5,138,35,25.36,48,34.78,35,25.36,7,5.07,1,0.72,12,8.7,50005
50,6,95,19,20.0,19,20.0,11,11.58,10,10.53,3,3.16,33,34.74,50006
50,7,172,45,26.16,47,27.33,3,1.74,20,11.63,6,3.49,51,29.65,50007
50,9,94,22,23.4,26,27.66,10,10.64,2,2.13,2,2.13,32,34.04,50009
50,10,96,14,14.58,43,44.79,22,22.92,2,2.08,6,6.25,9,9.38,50010
50,11,149,18,12.08,48,32.21,54,36.24,3,2.01,5,3.36,21,14.09,50011
50,12,131,52,39.69,31,23.66,28,21.37,3,2.29,2,1.53,15,11.45,50012
50,13,108,39,36.11,18,16.67,6,5.56,10,9.26,5,4.63,30,27.78,50013
50,14,77,23,29.87,26,33.77,22,28.57,2,2.6,0,0.0,4,5.19,50014
50,15,158,42,26.58,37,23.42,8,5.06,10,6.33,4,2.53,57,36.08,50015
50,16,80,17,21.25,37,46.25,16,20.0,2,2.5,1,1.25,7,8.75,50016
50,17,89,28,31.46,20,22.47,17,19.1,2,2.25,4,4.49,18,20.22,50017
50,18,96,18,18.75,29,30.21,22,22.92,2,2.08,2,2.08,23,23.96,50018
50,19,89,34,38.2,18,20.22,9,10.11,5,5.62,3,3.37,20,22.47,50019
50,20,96,35,36.46,20,20.83,5,5.21,0,0.0,3,3.13,33,34.38,50020
50,21,124,32,25.81,35,28.23,8,6.45,5,4.03,1,0.81,43,34.68,50021
50,22,75,27,36.0,10,13.33,7,9.33,2,2.67,3,4.0,26,34.67,50022
50,24,80,23,28.75,17,21.25,8,10.0,9,11.25,1,1.25,22,27.5,50024
50,25,120,20,16.67,48,40.0,37,30.83,0,0.0,1,0.83,14,11.67,50025
50,26,53,19,35.85,13,24.53,4,7.55,2,3.77,2,3.77,13,24.53,50026
50,27,59,18,30.51,19,32.2,8,13.56,5,8.47,2,3.39,7,11.86,50027
50,28,104,30,28.85,15,14.42,14,13.46,17,16.35,5,4.81,23,22.12,50028
50,30,123,24,19.51,56,45.53,22,17.89,1,0.81,3,2.44,17,13.82,50030
50,31,52,11,21.15,21,40.38,16,30.77,1,1.92,0,0.0,3,5.77,50031
50,32,82,26,31.71,9,10.98,10,12.2,6,7.32,5,6.1,26,31.71,50032
50,33,70,14,20.0,32,45.71,12,17.14,1,1.43,2,2.86,9,12.86,50033
50,34,82,27,32.93,12,14.63,9,10.98,12,14.63,5,6.1,17,20.73,50034
50,35,150,49,32.67,29,19.33,9,6.0,4,2.67,3,2.0,56,37.33,50035
50,36,125,37,29.6,24,19.2,15,12.0,8,6.4,4,3.2,37,29.6,50036
50,37,117,28,23.93,30,25.64,13,11.11,11,9.4,3,2.56,32,27.35,50037
50,38,104,29,27.88,34,32.69,28,26.92,3,2.88,1,0.96,9,8.65,50038
50,39,85,23,27.06,31,36.47,13,15.29,2,2.35,1,1.18,15,17.65,50039
50,40,151,16,10.6,65,43.05,46,30.46,4,2.65,3,1.99,17,11.26,50040
50,41,191,31,16.23,84,43.98,43,22.51,5,2.62,3,1.57,25,13.09,50041
50,42,134,35,26.12,22,16.42,15,11.19,7,5.22,4,2.99,51,38.06,50042
50,43,78,12,15.38,21,26.92,5,6.41,2,2.56,7,8.97,31,39.74,50043
50,44,117,24,20.51,23,19.66,52,44.44,2,1.71,1,0.85,15,12.82,50044
50,45,37,9,24.32,5,13.51,19,51.35,0,0.0,0,0.0,4,10.81,50045
