ward,precinct,total,Robert Marshall,Robert Marshall Percent,Jacob J. Meister,Jacob J. Meister Percent,Alexander ''Alexi'' Giannoulias,Alexander ''Alexi'' Giannoulias Percent,Cheryle Jackson,Cheryle Jackson Percent,precinct_id
3,47,91,8,8.79,0,0.0,24,26.37,53,58.24,03047
3,48,86,4,4.65,2,2.33,19,22.09,52,60.47,03048
3,49,37,2,5.41,0,0.0,10,27.03,22,59.46,03049
3,50,86,8,9.3,1,1.16,19,22.09,50,58.14,03050
4,1,260,3,1.15,1,0.38,83,31.92,99,38.08,04001
4,2,258,6,2.33,1,0.39,67,25.97,149,57.75,04002
4,3,232,8,3.45,1,0.43,66,28.45,135,58.19,04003
4,4,180,5,2.78,1,0.56,60,33.33,103,57.22,04004
4,5,259,10,3.86,1,0.39,62,23.94,160,61.78,04005
4,6,84,0,0.0,0,0.0,30,35.71,51,60.71,04006
4,7,227,6,2.64,0,0.0,73,32.16,119,52.42,04007
4,8,217,7,3.23,0,0.0,61,28.11,126,58.06,04008
4,9,435,5,1.15,1,0.23,155,35.63,215,49.43,04009
4,10,201,3,1.49,0,0.0,52,25.87,127,63.18,04010
4,11,137,4,2.92,0,0.0,44,32.12,80,58.39,04011
4,12,108,4,3.7,0,0.0,38,35.19,58,53.7,04012
4,13,157,0,0.0,1,0.64,47,29.94,64,40.76,04013
4,14,110,2,1.82,0,0.0,29,26.36,67,60.91,04014
4,15,158,4,2.53,1,0.63,51,32.28,88,55.7,04015
4,16,207,6,2.9,1,0.48,50,24.15,131,63.29,04016
4,17,205,7,3.41,1,0.49,63,30.73,80,39.02,04017
4,18,189,10,5.29,1,0.53,51,26.98,110,58.2,04018
4,19,176,3,1.7,1,0.57,46,26.14,106,60.23,04019
4,20,116,2,1.72,1,0.86,27,23.28,79,68.1,04020
4,21,257,5,1.95,0,0.0,83,32.3,100,38.91,04021
4,22,274,6,2.19,3,1.09,81,29.56,102,37.23,04022
4,23,156,0,0.0,2,1.28,42,26.92,63,40.38,04023
4,24,193,3,1.55,2,1.04,57,29.53,81,41.97,04024
4,25,226,1,0.44,0,0.0,84,37.17,118,52.21,04025
4,26,198,7,3.54,0,0.0,43,21.72,135,68.18,04026
4,27,158,4,2.53,0,0.0,55,34.81,85,53.8,04027
4,28,129,5,3.88,0,0.0,40,31.01,37,28.68,04028
4,29,188,5,2.66,2,1.06,53,28.19,62,32.98,04029
4,30,166,2,1.2,0,0.0,50,30.12,95,57.23,04030
4,31,130,2,1.54,3,2.31,31,23.85,24,18.46,04031
4,32,219,1,0.46,0,0.0,51,23.29,56,25.57,04032
4,33,150,1,0.67,1,0.67,53,35.33,82,54.67,04033
4,34,158,2,1.27,0,0.0,43,27.22,38,24.05,04034
4,35,97,2,2.06,1,1.03,26,26.8,59,60.82,04035
4,36,137,0,0.0,1,0.73,46,33.58,62,45.26,04036
4,37,4,2,50.0,0,0.0,0,0.0,2,50.0,04037
4,38,320,4,1.25,3,0.94,94,29.38,129,40.31,04038
4,39,132,5,3.79,0,0.0,31,23.48,86,65.15,04039
4,40,157,8,5.1,2,1.27,43,27.39,85,54.14,04040
4,41,86,0,0.0,0,0.0,26,30.23,15,17.44,04041
4,42,231,5,2.16,1,0.43,73,31.6,122,52.81,04042
4,43,135,3,2.22,2,1.48,34,25.19,42,31.11,04043
4,44,121,3,2.48,1,0.83,35,28.93,57,47.11,04044
4,45,360,4,1.11,0,0.0,118,32.78,174,48.33,04045
4,46,137,2,1.46,3,2.19,33,24.09,83,60.58,04046
4,47,223,8,3.59,1,0.45,79,35.43,69,30.94,04047
4,48,258,6,2.33,0,0.0,81,31.4,73,28.29,04048
4,49,145,7,4.83,3,2.07,33,22.76,94,64.83,04049
4,50,178,5,2.81,1,0.56,50,28.09,106,59.55,04050
4,51,182,4,2.2,0,0.0,66,36.26,95,52.2,04051
4,52,215,11,5.12,4,1.86,62,28.84,119,55.35,04052
5,1,197,4,2.03,2,1.02,56,28.43,119,60.41,05001
5,2,148,3,2.03,1,0.68,48,32.43,87,58.78,05002
5,3,79,3,3.8,2,2.53,21,26.58,22,27.85,05003
5,4,131,5,3.82,0,0.0,42,32.06,74,56.49,05004
5,5,137,2,1.46,2,1.46,48,35.04,76,55.47,05005
5,6,188,5,2.66,1,0.53,52,27.66,116,61.7,05006
5,7,184,2,1.09,0,0.0,72,39.13,97,52.72,05007
5,8,253,6,2.37,0,0.0,56,22.13,22,8.7,05008
5,9,156,5,3.21,1,0.64,54,34.62,90,57.69,05009
5,10,135,3,2.22,0,0.0,41,30.37,81,60.0,05010
5,11,167,4,2.4,1,0.6,43,25.75,37,22.16,05011
5,12,99,6,6.06,1,1.01,30,30.3,53,53.54,05012
5,13,168,2,1.19,0,0.0,59,35.12,95,56.55,05013
5,14,250,4,1.6,3,1.2,67,26.8,62,24.8,05014
5,15,133,2,1.5,4,3.01,36,27.07,63,47.37,05015
5,16,126,6,4.76,2,1.59,36,28.57,75,59.52,05016
5,17,154,6,3.9,1,0.65,43,27.92,88,57.14,05017
5,18,157,7,4.46,4,2.55,60,38.22,69,43.95,05018
5,19,81,2,2.47,0,0.0,19,23.46,57,70.37,05019
5,20,63,2,3.17,1,1.59,30,47.62,27,42.86,05020
5,21,154,4,2.6,1,0.65,46,29.87,98,63.64,05021
5,22,168,8,4.76,2,1.19,53,31.55,86,51.19,05022
5,23,96,5,5.21,0,0.0,28,29.17,59,61.46,05023
5,24,200,2,1.0,1,0.5,56,28.0,61,30.5,05024
5,25,133,8,6.02,1,0.75,38,28.57,78,58.65,05025
5,26,166,7,4.22,1,0.6,53,31.93,98,59.04,05026
5,27,198,3,1.52,0,0.0,40,20.2,26,13.13,05027
5,28,209,6,2.87,0,0.0,76,36.36,98,46.89,05028
5,29,171,1,0.58,1,0.58,53,30.99,98,57.31,05029
5,30,156,0,0.0,1,0.64,28,17.95,13,8.33,05030
5,31,139,7,5.04,0,0.0,48,34.53,77,55.4,05031
5,32,317,8,2.52,0,0.0,80,25.24,199,62.78,05032
5,33,121,6,4.96,0,0.0,28,23.14,83,68.6,05033
5,34,165,2,1.21,2,1.21,49,29.7,97,58.79,05034
5,35,142,1,0.7,0,0.0,39,27.46,48,33.8,05035
5,36,73,4,5.48,1,1.37,19,26.03,41,56.16,05036
5,37,141,2,1.42,0,0.0,40,28.37,38,26.95,05037
5,38,225,0,0.0,2,0.89,50,22.22,49,21.78,05038
5,39,230,4,1.74,2,0.87,53,23.04,17,7.39,05039
5,40,135,1,0.74,0,0.0,33,24.44,91,67.41,05040
5,41,160,1,0.63,1,0.63,38,23.75,16,10.0,05041
5,42,174,5,2.87,3,1.72,45,25.86,110,63.22,05042
5,43,197,3,1.52,0,0.0,49,24.87,118,59.9,05043
5,44,173,3,1.73,0,0.0,56,32.37,99,57.23,05044
5,45,86,0,0.0,0,0.0,41,47.67,38,44.19,05045
5,46,168,2,1.19,1,0.6,58,34.52,36,21.43,05046
5,47,137,4,2.92,0,0.0,50,36.5,78,56.93,05047
5,48,127,1,0.79,0,0.0,45,35.43,40,31.5,05048
5,49,35,0,0.0,0,0.0,9,25.71,26,74.29,05049
5,50,112,6,5.36,0,0.0,28,25.0,73,65.18,05050
5,51,100,4,4.0,4,4.0,34,34.0,53,53.0,05051
5,52,12,0,0.0,0,0.0,1,8.33,2,16.67,05052
5,53,196,2,1.02,1,0.51,74,37.76,82,41.84,05053
5,54,274,6,2.19,1,0.36,82,29.93,164,59.85,05054
5,55,145,2,1.38,0,0.0,48,33.1,84,57.93,05055
6,1,254,5,1.97,1,0.39,75,29.53,164,64.57,06001
6,2,206,4,1.94,0,0.0,61,29.61,129,62.62,06002
6,3,211,11,5.21,0,0.0,55,26.07,137,64.93,06003
6,4,144,13,9.03,2,1.39,28,19.44,92,63.89,06004
6,5,70,4,5.71,0,0.0,10,14.29,51,72.86,06005
6,6,153,6,3.92,1,0.65,42,27.45,93,60.78,06006
6,7,166,6,3.61,0,0.0,60,36.14,87,52.41,06007
6,8,238,10,4.2,1,0.42,66,27.73,151,63.45,06008
6,9,190,4,2.11,1,0.53,55,28.95,122,64.21,06009
6,10,301,7,2.33,3,1.0,76,25.25,194,64.45,06010
6,11,166,4,2.41,2,1.2,48,28.92,101,60.84,06011
6,12,131,5,3.82,1,0.76,23,17.56,94,71.76,06012
6,13,145,1,0.69,0,0.0,45,31.03,92,63.45,06013
6,14,145,5,3.45,1,0.69,43,29.66,88,60.69,06014
6,15,87,3,3.45,2,2.3,25,28.74,55,63.22,06015
6,16,220,6,2.73,2,0.91,64,29.09,137,62.27,06016
6,17,236,5,2.12,0,0.0,51,21.61,171,72.46,06017
6,18,79,4,5.06,1,1.27,22,27.85,41,51.9,06018
6,19,201,5,2.49,1,0.5,57,28.36,130,64.68,06019
6,20,173,9,5.2,4,2.31,52,30.06,99,57.23,06020
6,21,202,9,4.46,1,0.5,59,29.21,124,61.39,06021
6,22,155,4,2.58,1,0.65,43,27.74,96,61.94,06022
6,23,158,5,3.16,2,1.27,50,31.65,92,58.23,06023
6,24,171,5,2.92,3,1.75,41,23.98,113,66.08,06024
6,25,94,2,2.13,0,0.0,25,26.6,61,64.89,06025
6,26,210,4,1.9,0,0.0,49,23.33,142,67.62,06026
6,27,230,8,3.48,1,0.43,63,27.39,150,65.22,06027
6,28,343,4,1.17,2,0.58,106,30.9,218,63.56,06028
6,29,252,3,1.19,0,0.0,73,28.97,156,61.9,06029
6,30,124,4,3.23,1,0.81,32,25.81,86,69.35,06030
6,31,213,3,1.41,1,0.47,66,30.99,132,61.97,06031
6,32,175,9,5.14,1,0.57,39,22.29,112,64.0,06032
6,33,222,9,4.05,0,0.0,73,32.88,125,56.31,06033
6,34,149,4,2.68,0,0.0,36,24.16,98,65.77,06034
6,35,159,2,1.26,0,0.0,51,32.08,98,61.64,06035
6,36,102,5,4.9,2,1.96,30,29.41,55,53.92,06036
6,37,235,2,0.85,2,0.85,70,29.79,153,65.11,06037
6,38,179,6,3.35,2,1.12,52,29.05,110,61.45,06038
6,39,126,5,3.97,0,0.0,32,25.4,78,61.9,06039
6,40,83,3,3.61,6,7.23,20,24.1,49,59.04,06040
6,41,216,7,3.24,0,0.0,73,33.8,127,58.8,06041
6,42,74,10,13.51,1,1.35,20,27.03,39,52.7,06042
6,43,182,8,4.4,1,0.55,50,27.47,109,59.89,06043
6,44,180,3,1.67,0,0.0,54,30.0,114,63.33,06044
6,45,150,5,3.33,1,0.67,48,32.0,90,60.0,06045
6,46,172,1,0.58,2,1.16,43,25.0,109,63.37,06046
6,47,200,6,3.0,1,0.5,55,27.5,127,63.5,06047
6,48,155,1,0.65,1,0.65,38,24.52,107,69.03,06048
6,49,165,9,5.45,1,0.61,38,23.03,110,66.67,06049
6,50,187,3,1.6,2,1.07,69,36.9,105,56.15,06050
6,51,108,1,0.93,2,1.85,23,21.3,75,69.44,06051
6,52,112,4,3.57,0,0.0,34,30.36,72,64.29,06052
6,53,157,3,1.91,1,0.64,42,26.75,100,63.69,06053
6,54,142,1,0.7,1,0.7,32,22.54,97,68.31,06054
6,55,139,3,2.16,2,1.44,26,18.71,100,71.94,06055
6,56,134,7,5.22,2,1.49,41,30.6,78,58.21,06056
6,57,89,5,5.62,1,1.12,25,28.09,55,61.8,06057
6,58,217,3,1.38,1,0.46,63,29.03,136,62.67,06058
6,59,178,6,3.37,0,0.0,59,33.15,101,56.74,06059
6,60,125,7,5.6,0,0.0,22,17.6,93,74.4,06060
6,61,88,4,4.55,1,1.14,30,34.09,48,54.55,06061
6,62,148,2,1.35,1,0.68,44,29.73,91,61.49,06062
6,63,172,5,2.91,1,0.58,46,26.74,114,66.28,06063
6,64,213,9,4.23,0,0.0,60,28.17,129,60.56,06064
7,1,315,9,2.86,2,0.63,109,34.6,175,55.56,07001
7,2,165,5,3.03,1,0.61,48,29.09,103,62.42,07002
7,3,100,7,7.0,0,0.0,34,34.0,54,54.0,07003
7,4,103,2,1.94,2,1.94,39,37.86,52,50.49,07004
7,5,85,2,2.35,0,0.0,29,34.12,46,54.12,07005
7,6,126,4,3.17,2,1.59,31,24.6,79,62.7,07006
7,7,92,4,4.35,0,0.0,29,31.52,49,53.26,07007
7,8,44,5,11.36,0,0.0,13,29.55,23,52.27,07008
7,9,150,3,2.0,0,0.0,40,26.67,100,66.67,07009
7,10,79,2,2.53,3,3.8,19,24.05,51,64.56,07010
7,11,184,6,3.26,0,0.0,57,30.98,110,59.78,07011
7,12,114,5,4.39,1,0.88,42,36.84,61,53.51,07012
7,13,105,6,5.71,0,0.0,17,16.19,77,73.33,07013
7,14,152,2,1.32,1,0.66,50,32.89,85,55.92,07014
7,15,74,5,6.76,2,2.7,18,24.32,44,59.46,07015
7,16,74,2,2.7,0,0.0,28,37.84,41,55.41,07016
7,17,75,1,1.33,2,2.67,10,13.33,59,78.67,07017
7,18,99,5,5.05,1,1.01,28,28.28,50,50.51,07018
7,19,224,6,2.68,0,0.0,48,21.43,157,70.09,07019
7,20,56,2,3.57,0,0.0,15,26.79,33,58.93,07020
7,21,134,8,5.97,1,0.75,34,25.37,81,60.45,07021
7,22,113,4,3.54,0,0.0,36,31.86,66,58.41,07022
7,23,141,6,4.26,0,0.0,33,23.4,92,65.25,07023
7,24,143,6,4.2,1,0.7,44,30.77,85,59.44,07024
7,25,196,12,6.12,3,1.53,44,22.45,127,64.8,07025
7,26,184,10,5.43,2,1.09,35,19.02,128,69.57,07026
7,27,221,8,3.62,2,0.9,79,35.75,121,54.75,07027
7,28,130,4,3.08,1,0.77,30,23.08,90,69.23,07028
7,29,155,9,5.81,2,1.29,36,23.23,101,65.16,07029
7,30,187,5,2.67,0,0.0,52,27.81,121,64.71,07030
7,31,164,2,1.22,0,0.0,55,33.54,97,59.15,07031
7,32,91,6,6.59,0,0.0,32,35.16,41,45.05,07032
7,33,128,1,0.78,1,0.78,40,31.25,84,65.63,07033
7,34,138,1,0.72,0,0.0,46,33.33,85,61.59,07034
7,35,190,4,2.11,0,0.0,54,28.42,112,58.95,07035
7,36,170,7,4.12,1,0.59,40,23.53,109,64.12,07036
7,37,80,3,3.75,0,0.0,20,25.0,53,66.25,07037
7,38,107,3,2.8,1,0.93,27,25.23,71,66.36,07038
7,39,104,3,2.88,1,0.96,28,26.92,66,63.46,07039
7,40,125,5,4.0,1,0.8,27,21.6,86,68.8,07040
7,41,133,5,3.76,0,0.0,40,30.08,80,60.15,07041
7,42,210,4,1.9,1,0.48,66,31.43,124,59.05,07042
7,43,153,5,3.27,1,0.65,44,28.76,93,60.78,07043
7,44,227,10,4.41,2,0.88,64,28.19,138,60.79,07044
7,45,250,2,0.8,0,0.0,85,34.0,142,56.8,07045
7,46,90,6,6.67,3,3.33,24,26.67,52,57.78,07046
7,47,120,2,1.67,0,0.0,41,34.17,70,58.33,07047
7,48,130,9,6.92,0,0.0,43,33.08,74,56.92,07048
7,49,86,2,2.33,2,2.33,23,26.74,55,63.95,07049
7,50,109,3,2.75,0,0.0,32,29.36,72,66.06,07050
7,51,247,3,1.21,2,0.81,82,33.2,145,58.7,07051
7,52,117,5,4.27,4,3.42,39,33.33,63,53.85,07052
7,53,123,6,4.88,1,0.81,45,36.59,67,54.47,07053
7,54,70,6,8.57,0,0.0,22,31.43,34,48.57,07054
7,55,140,1,0.71,0,0.0,45,32.14,89,63.57,07055
7,56,114,3,2.63,2,1.75,38,33.33,69,60.53,07056
7,57,125,5,4.0,1,0.8,28,22.4,83,66.4,07057
7,58,207,3,1.45,0,0.0,79,38.16,111,53.62,07058
7,59,76,5,6.58,0,0.0,25,32.89,42,55.26,07059
7,60,101,1,0.99,0,0.0,31,30.69,59,58.42,07060
7,61,139,6,4.32,0,0.0,39,28.06,83,59.71,07061
8,1,211,4,1.9,3,1.42,62,29.38,131,62.09,08001
8,2,100,4,4.0,3,3.0,34,34.0,53,53.0,08002
8,3,259,3,1.16,2,0.77,91,35.14,147,56.76,08003
8,4,177,3,1.69,1,0.56,47,26.55,119,67.23,08004
8,5,252,1,0.4,2,0.79,77,30.56,152,60.32,08005
8,6,194,4,2.06,0,0.0,43,22.16,140,72.16,08006
8,7,144,3,2.08,1,0.69,42,29.17,88,61.11,08007
8,8,244,9,3.69,1,0.41,73,29.92,148,60.66,08008
8,9,237,7,2.95,0,0.0,72,30.38,142,59.92,08009
8,10,292,4,1.37,2,0.68,91,31.16,182,62.33,08010
8,11,190,6,3.16,2,1.05,43,22.63,133,70.0,08011
8,12,143,2,1.4,2,1.4,25,17.48,105,73.43,08012
8,13,127,8,6.3,0,0.0,29,22.83,87,68.5,08013
8,14,96,3,3.13,1,1.04,19,19.79,62,64.58,08014
8,15,138,4,2.9,2,1.45,39,28.26,83,60.14,08015
8,16,220,6,2.73,2,0.91,69,31.36,129,58.64,08016
8,17,165,4,2.42,0,0.0,53,32.12,99,60.0,08017
8,18,89,2,2.25,1,1.12,16,17.98,63,70.79,08018
8,19,254,9,3.54,1,0.39,83,32.68,152,59.84,08019
8,20,135,5,3.7,2,1.48,27,20.0,96,71.11,08020
8,21,145,2,1.38,1,0.69,40,27.59,100,68.97,08021
8,22,141,2,1.42,0,0.0,37,26.24,95,67.38,08022
8,23,150,1,0.67,0,0.0,32,21.33,110,73.33,08023
8,24,179,1,0.56,3,1.68,49,27.37,114,63.69,08024
8,25,165,1,0.61,0,0.0,59,35.76,97,58.79,08025
8,26,117,2,1.71,0,0.0,30,25.64,76,64.96,08026
8,27,196,3,1.53,2,1.02,64,32.65,117,59.69,08027
8,28,150,1,0.67,0,0.0,50,33.33,94,62.67,08028
