ward,precinct,total,Susan Kennedy Sullivan,Susan Kennedy Sullivan Percent,Linda J. Pauel,Linda J. Pauel Percent,Kevin J. Murphy,Kevin J. Murphy Percent,Ubi O'Neal,Ubi O'Neal Percent,precinct_id
1,40,23,7,30.43,9,39.13,3,13.04,4,17.39,01040
1,41,61,19,31.15,25,40.98,11,18.03,6,9.84,01041
1,42,50,18,36.0,15,30.0,15,30.0,2,4.0,01042
1,43,75,28,37.33,27,36.0,12,16.0,8,10.67,01043
1,44,49,18,36.73,19,38.78,8,16.33,4,8.16,01044
1,45,83,34,40.96,30,36.14,13,15.66,6,7.23,01045
1,46,80,25,31.25,36,45.0,12,15.0,7,8.75,01046
1,47,63,22,34.92,30,47.62,7,11.11,4,6.35,01047
1,48,55,15,27.27,22,40.0,7,12.73,11,20.0,01048
1,49,39,15,38.46,20,51.28,3,7.69,1,2.56,01049
1,50,52,13,25.0,29,55.77,6,11.54,4,7.69,01050
2,1,167,48,28.74,83,49.7,22,13.17,14,8.38,02001
2,2,25,7,28.0,9,36.0,9,36.0,0,0.0,02002
2,3,138,49,35.51,44,31.88,29,21.01,16,11.59,02003
2,4,74,26,35.14,18,24.32,22,29.73,8,10.81,02004
2,5,107,24,22.43,32,29.91,27,25.23,24,22.43,02005
2,6,108,30,27.78,47,43.52,21,19.44,10,9.26,02006
2,7,162,55,33.95,39,24.07,46,28.4,22,13.58,02007
2,8,174,60,34.48,71,40.8,27,15.52,16,9.2,02008
2,9,103,38,36.89,20,19.42,33,32.04,12,11.65,02009
2,10,79,31,39.24,17,21.52,21,26.58,10,12.66,02010
2,11,241,60,24.9,130,53.94,34,14.11,17,7.05,02011
2,12,114,29,25.44,61,53.51,17,14.91,7,6.14,02012
2,13,122,39,31.97,40,32.79,28,22.95,15,12.3,02013
2,14,197,57,28.93,66,33.5,40,20.3,34,17.26,02014
2,15,56,20,35.71,11,19.64,16,28.57,9,16.07,02015
2,16,126,41,32.54,60,47.62,17,13.49,8,6.35,02016
2,17,75,29,38.67,16,21.33,21,28.0,9,12.0,02017
2,18,138,36,26.09,54,39.13,37,26.81,11,7.97,02018
2,19,149,48,32.21,52,34.9,27,18.12,22,14.77,02019
2,20,204,76,37.25,41,20.1,46,22.55,41,20.1,02020
2,21,150,56,37.33,41,27.33,30,20.0,23,15.33,02021
2,22,213,68,31.92,96,45.07,23,10.8,26,12.21,02022
2,23,90,30,33.33,12,13.33,24,26.67,24,26.67,02023
2,24,61,12,19.67,24,39.34,17,27.87,8,13.11,02024
2,25,150,58,38.67,33,22.0,41,27.33,18,12.0,02025
2,26,103,34,33.01,33,32.04,23,22.33,13,12.62,02026
2,27,102,33,32.35,30,29.41,23,22.55,16,15.69,02027
2,28,84,41,48.81,22,26.19,13,15.48,8,9.52,02028
2,29,64,29,45.31,11,17.19,14,21.88,10,15.63,02029
2,30,114,31,27.19,32,28.07,33,28.95,18,15.79,02030
2,31,131,38,29.01,34,25.95,26,19.85,33,25.19,02031
2,32,50,23,46.0,7,14.0,14,28.0,6,12.0,02032
2,33,61,13,21.31,13,21.31,27,44.26,8,13.11,02033
2,34,105,30,28.57,26,24.76,29,27.62,20,19.05,02034
2,35,25,3,12.0,15,60.0,5,20.0,2,8.0,02035
2,36,196,63,32.14,64,32.65,43,21.94,26,13.27,02036
2,37,110,36,32.73,50,45.45,13,11.82,11,10.0,02037
2,38,172,64,37.21,62,36.05,28,16.28,18,10.47,02038
2,39,90,22,24.44,27,30.0,26,28.89,15,16.67,02039
2,40,189,54,28.57,67,35.45,45,23.81,23,12.17,02040
2,41,60,19,31.67,8,13.33,22,36.67,11,18.33,02041
2,42,74,24,32.43,8,10.81,25,33.78,17,22.97,02042
2,43,205,69,33.66,76,37.07,38,18.54,22,10.73,02043
2,44,101,36,35.64,22,21.78,19,18.81,24,23.76,02044
2,45,101,36,35.64,20,19.8,29,28.71,16,15.84,02045
2,46,208,68,32.69,50,24.04,30,14.42,60,28.85,02046
2,47,82,30,36.59,13,15.85,20,24.39,19,23.17,02047
2,48,69,18,26.09,17,24.64,24,34.78,10,14.49,02048
2,49,91,29,31.87,42,46.15,9,9.89,11,12.09,02049
2,50,83,30,36.14,24,28.92,17,20.48,12,14.46,02050
2,51,82,27,32.93,21,25.61,18,21.95,16,19.51,02051
2,52,146,57,39.04,30,20.55,41,28.08,18,12.33,02052
2,53,98,25,25.51,33,33.67,21,21.43,19,19.39,02053
2,54,152,47,30.92,87,57.24,6,3.95,12,7.89,02054
2,55,55,20,36.36,18,32.73,9,16.36,8,14.55,02055
2,56,110,36,32.73,16,14.55,26,23.64,32,29.09,02056
3,1,97,35,36.08,32,32.99,20,20.62,10,10.31,03001
3,2,182,55,30.22,54,29.67,41,22.53,32,17.58,03002
3,3,129,37,28.68,44,34.11,29,22.48,19,14.73,03003
3,4,87,20,22.99,26,29.89,22,25.29,19,21.84,03004
3,5,114,24,21.05,30,26.32,32,28.07,28,24.56,03005
3,6,31,12,38.71,9,29.03,8,25.81,2,6.45,03006
3,7,124,34,27.42,46,37.1,23,18.55,21,16.94,03007
3,8,99,30,30.3,21,21.21,28,28.28,20,20.2,03008
3,9,115,38,33.04,31,26.96,29,25.22,17,14.78,03009
3,10,40,14,35.0,11,27.5,9,22.5,6,15.0,03010
3,11,114,35,30.7,36,31.58,22,19.3,21,18.42,03011
3,12,83,30,36.14,21,25.3,20,24.1,12,14.46,03012
3,13,71,31,43.66,17,23.94,12,16.9,11,15.49,03013
3,14,105,26,24.76,17,16.19,32,30.48,30,28.57,03014
3,15,130,49,37.69,41,31.54,28,21.54,12,9.23,03015
3,16,99,30,30.3,30,30.3,17,17.17,22,22.22,03016
3,17,59,16,27.12,20,33.9,19,32.2,4,6.78,03017
3,18,54,13,24.07,14,25.93,17,31.48,10,18.52,03018
3,19,33,12,36.36,11,33.33,6,18.18,4,12.12,03019
3,20,92,22,23.91,22,23.91,26,28.26,22,23.91,03020
3,21,44,17,38.64,11,25.0,9,20.45,7,15.91,03021
3,22,69,24,34.78,17,24.64,20,28.99,8,11.59,03022
3,23,94,27,28.72,27,28.72,22,23.4,18,19.15,03023
3,24,140,54,38.57,29,20.71,36,25.71,21,15.0,03024
3,25,74,27,36.49,20,27.03,18,24.32,9,12.16,03025
3,26,34,9,26.47,18,52.94,6,17.65,1,2.94,03026
3,27,113,44,38.94,22,19.47,30,26.55,17,15.04,03027
3,28,193,54,27.98,99,51.3,24,12.44,16,8.29,03028
3,29,118,35,29.66,39,33.05,32,27.12,12,10.17,03029
3,30,89,23,25.84,25,28.09,18,20.22,23,25.84,03030
3,31,180,58,32.22,53,29.44,44,24.44,25,13.89,03031
3,32,82,24,29.27,28,34.15,17,20.73,13,15.85,03032
3,33,145,42,28.97,31,21.38,42,28.97,30,20.69,03033
3,34,116,42,36.21,30,25.86,23,19.83,21,18.1,03034
3,35,123,33,26.83,50,40.65,22,17.89,18,14.63,03035
3,36,34,6,17.65,11,32.35,13,38.24,4,11.76,03036
3,37,52,12,23.08,14,26.92,18,34.62,8,15.38,03037
3,38,180,59,32.78,36,20.0,55,30.56,30,16.67,03038
3,39,192,53,27.6,56,29.17,49,25.52,34,17.71,03039
3,40,116,42,36.21,33,28.45,22,18.97,19,16.38,03040
3,41,115,34,29.57,38,33.04,19,16.52,24,20.87,03041
3,42,69,20,28.99,16,23.19,20,28.99,13,18.84,03042
3,43,14,7,50.0,3,21.43,2,14.29,2,14.29,03043
3,44,24,7,29.17,3,12.5,8,33.33,6,25.0,03044
3,45,152,39,25.66,39,25.66,46,30.26,28,18.42,03045
3,46,11,6,54.55,0,0.0,3,27.27,2,18.18,03046
3,47,78,28,35.9,24,30.77,19,24.36,7,8.97,03047
3,48,74,16,21.62,28,37.84,19,25.68,11,14.86,03048
3,49,29,11,37.93,3,10.34,10,34.48,5,17.24,03049
3,50,63,21,33.33,17,26.98,17,26.98,8,12.7,03050
4,1,182,38,20.88,73,40.11,31,17.03,40,21.98,04001
4,2,213,71,33.33,46,21.6,49,23.0,47,22.07,04002
4,3,188,65,34.57,53,28.19,30,15.96,40,21.28,04003
4,4,131,52,39.69,31,23.66,28,21.37,20,15.27,04004
4,5,210,54,25.71,61,29.05,47,22.38,48,22.86,04005
4,6,67,22,32.84,16,23.88,11,16.42,18,26.87,04006
4,7,172,55,31.98,57,33.14,26,15.12,34,19.77,04007
4,8,174,49,28.16,46,26.44,46,26.44,33,18.97,04008
4,9,341,96,28.15,94,27.57,62,18.18,89,26.1,04009
4,10,155,40,25.81,57,36.77,33,21.29,25,16.13,04010
4,11,107,28,26.17,32,29.91,33,30.84,14,13.08,04011
4,12,91,34,37.36,27,29.67,16,17.58,14,15.38,04012
4,13,119,35,29.41,55,46.22,14,11.76,15,12.61,04013
4,14,93,22,23.66,29,31.18,23,24.73,19,20.43,04014
4,15,113,39,34.51,27,23.89,21,18.58,26,23.01,04015
4,16,174,51,29.31,48,27.59,38,21.84,37,21.26,04016
4,17,166,55,33.13,52,31.33,33,19.88,26,15.66,04017
4,18,144,43,29.86,32,22.22,42,29.17,27,18.75,04018
4,19,142,49,34.51,38,26.76,34,23.94,21,14.79,04019
4,20,78,23,29.49,21,26.92,21,26.92,13,16.67,04020
4,21,206,48,23.3,94,45.63,32,15.53,32,15.53,04021
4,22,205,55,26.83,85,41.46,26,12.68,39,19.02,04022
4,23,125,37,29.6,54,43.2,15,12.0,19,15.2,04023
4,24,143,35,24.48,65,45.45,17,11.89,26,18.18,04024
4,25,178,61,34.27,45,25.28,20,11.24,52,29.21,04025
4,26,160,50,31.25,36,22.5,37,23.13,37,23.13,04026
4,27,133,41,30.83,37,27.82,30,22.56,25,18.8,04027
4,28,104,21,20.19,59,56.73,10,9.62,14,13.46,04028
4,29,135,32,23.7,64,47.41,17,12.59,22,16.3,04029
4,30,130,40,30.77,32,24.62,26,20.0,32,24.62,04030
4,31,87,19,21.84,56,64.37,5,5.75,7,8.05,04031
4,32,158,20,12.66,100,63.29,7,4.43,31,19.62,04032
4,33,112,32,28.57,33,29.46,22,19.64,25,22.32,04033
4,34,123,22,17.89,64,52.03,15,12.2,22,17.89,04034
4,35,80,26,32.5,20,25.0,19,23.75,15,18.75,04035
4,36,109,30,27.52,42,38.53,14,12.84,23,21.1,04036
4,37,0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,257,61,23.74,100,38.91,42,16.34,54,21.01,04038
4,39,101,26,25.74,36,35.64,16,15.84,23,22.77,04039
4,40,115,34,29.57,30,26.09,30,26.09,21,18.26,04040
4,41,61,12,19.67,35,57.38,5,8.2,9,14.75,04041
4,42,180,54,30.0,51,28.33,42,23.33,33,18.33,04042
4,43,105,24,22.86,52,49.52,16,15.24,13,12.38,04043
4,44,95,44,46.32,23,24.21,11,11.58,17,17.89,04044
4,45,287,75,26.13,130,45.3,38,13.24,44,15.33,04045
4,46,114,22,19.3,50,43.86,19,16.67,23,20.18,04046
4,47,166,38,22.89,79,47.59,22,13.25,27,16.27,04047
4,48,203,56,27.59,93,45.81,29,14.29,25,12.32,04048
4,49,110,38,34.55,23,20.91,29,26.36,20,18.18,04049
4,50,135,37,27.41,38,28.15,30,22.22,30,22.22,04050
4,51,138,43,31.16,53,38.41,21,15.22,21,15.22,04051
4,52,174,60,34.48,45,25.86,47,27.01,22,12.64,04052
5,1,146,42,28.77,37,25.34,31,21.23,36,24.66,05001
5,2,126,37,29.37,35,27.78,32,25.4,22,17.46,05002
5,3,63,11,17.46,32,50.79,7,11.11,13,20.63,05003
5,4,103,33,32.04,22,21.36,26,25.24,22,21.36,05004
5,5,107,39,36.45,22,20.56,26,24.3,20,18.69,05005
5,6,157,48,30.57,36,22.93,29,18.47,44,28.03,05006
5,7,155,45,29.03,46,29.68,30,19.35,34,21.94,05007
5,8,179,32,17.88,125,69.83,12,6.7,10,5.59,05008
5,9,128,48,37.5,28,21.88,33,25.78,19,14.84,05009
5,10,104,36,34.62,26,25.0,22,21.15,20,19.23,05010
5,11,114,26,22.81,68,59.65,4,3.51,16,14.04,05011
5,12,68,18,26.47,14,20.59,20,29.41,16,23.53,05012
5,13,140,38,27.14,28,20.0,36,25.71,38,27.14,05013
5,14,192,46,23.96,101,52.6,16,8.33,29,15.1,05014
5,15,102,35,34.31,36,35.29,18,17.65,13,12.75,05015
5,16,100,31,31.0,26,26.0,30,30.0,13,13.0,05016
5,17,120,43,35.83,27,22.5,30,25.0,20,16.67,05017
5,18,118,33,27.97,38,32.2,25,21.19,22,18.64,05018
5,19,69,20,28.99,21,30.43,13,18.84,15,21.74,05019
5,20,55,19,34.55,7,12.73,18,32.73,11,20.0,05020
5,21,117,33,28.21,25,21.37,32,27.35,27,23.08,05021
5,22,135,42,31.11,24,17.78,35,25.93,34,25.19,05022
5,23,85,28,32.94,22,25.88,21,24.71,14,16.47,05023
5,24,142,40,28.17,68,47.89,11,7.75,23,16.2,05024
5,25,98,42,42.86,18,18.37,18,18.37,20,20.41,05025
5,26,132,41,31.06,30,22.73,32,24.24,29,21.97,05026
5,27,138,29,21.01,92,66.67,5,3.62,12,8.7,05027
5,28,167,51,30.54,49,29.34,29,17.37,38,22.75,05028
5,29,141,42,29.79,41,29.08,24,17.02,34,24.11,05029
5,30,112,26,23.21,75,66.96,6,5.36,5,4.46,05030
5,31,113,37,32.74,19,16.81,24,21.24,33,29.2,05031
5,32,261,73,27.97,76,29.12,54,20.69,58,22.22,05032
5,33,93,29,31.18,28,30.11,24,25.81,12,12.9,05033
5,34,141,53,37.59,26,18.44,26,18.44,36,25.53,05034
5,35,104,26,25.0,42,40.38,17,16.35,19,18.27,05035
5,36,57,20,35.09,9,15.79,19,33.33,9,15.79,05036
5,37,107,23,21.5,64,59.81,7,6.54,13,12.15,05037
5,38,169,39,23.08,95,56.21,17,10.06,18,10.65,05038
5,39,171,35,20.47,118,69.01,6,3.51,12,7.02,05039
5,40,114,36,31.58,28,24.56,26,22.81,24,21.05,05040
5,41,99,23,23.23,65,65.66,3,3.03,8,8.08,05041
5,42,132,45,34.09,23,17.42,38,28.79,26,19.7,05042
5,43,153,43,28.1,40,26.14,28,18.3,42,27.45,05043
5,44,139,36,25.9,43,30.94,34,24.46,26,18.71,05044
5,45,74,21,28.38,28,37.84,11,14.86,14,18.92,05045
5,46,120,27,22.5,67,55.83,11,9.17,15,12.5,05046
5,47,106,39,36.79,18,16.98,29,27.36,20,18.87,05047
5,48,87,17,19.54,38,43.68,14,16.09,18,20.69,05048
5,49,30,8,26.67,5,16.67,9,30.0,8,26.67,05049
5,50,82,27,32.93,26,31.71,15,18.29,14,17.07,05050
5,51,88,20,22.73,24,27.27,26,29.55,18,20.45,05051
5,52,9,0,0.0,7,77.78,1,11.11,1,11.11,05052
5,53,154,50,32.47,61,39.61,20,12.99,23,14.94,05053
5,54,213,61,28.64,46,21.6,42,19.72,64,30.05,05054
5,55,106,30,28.3,24,22.64,27,25.47,25,23.58,05055
6,1,213,61,28.64,50,23.47,49,23.0,53,24.88,06001
6,2,176,40,22.73,49,27.84,41,23.3,46,26.14,06002
6,3,174,51,29.31,55,31.61,41,23.56,27,15.52,06003
6,4,111,34,30.63,19,17.12,32,28.83,26,23.42,06004
6,5,52,17,32.69,13,25.0,16,30.77,6,11.54,06005
6,6,125,39,31.2,37,29.6,27,21.6,22,17.6,06006
6,7,139,45,32.37,37,26.62,34,24.46,23,16.55,06007
6,8,200,55,27.5,52,26.0,50,25.0,43,21.5,06008
6,9,149,34,22.82,48,32.21,32,21.48,35,23.49,06009
6,10,264,73,27.65,65,24.62,73,27.65,53,20.08,06010
6,11,140,45,32.14,34,24.29,32,22.86,29,20.71,06011
6,12,108,32,29.63,29,26.85,37,34.26,10,9.26,06012
6,13,119,39,32.77,31,26.05,28,23.53,21,17.65,06013
6,14,120,37,30.83,25,20.83,35,29.17,23,19.17,06014
6,15,73,25,34.25,14,19.18,18,24.66,16,21.92,06015
6,16,178,54,30.34,50,28.09,46,25.84,28,15.73,06016
6,17,188,62,32.98,38,20.21,27,14.36,61,32.45,06017
6,18,63,18,28.57,14,22.22,19,30.16,12,19.05,06018
6,19,167,57,34.13,39,23.35,42,25.15,29,17.37,06019
6,20,148,43,29.05,34,22.97,50,33.78,21,14.19,06020
6,21,152,34,22.37,45,29.61,46,30.26,27,17.76,06021
6,22,126,34,26.98,32,25.4,36,28.57,24,19.05,06022
6,23,131,39,29.77,29,22.14,38,29.01,25,19.08,06023
6,24,149,45,30.2,35,23.49,30,20.13,39,26.17,06024
6,25,79,22,27.85,31,39.24,11,13.92,15,18.99,06025
6,26,168,45,26.79,51,30.36,42,25.0,30,17.86,06026
6,27,198,48,24.24,66,33.33,43,21.72,41,20.71,06027
6,28,302,90,29.8,74,24.5,65,21.52,73,24.17,06028
6,29,204,49,24.02,68,33.33,39,19.12,48,23.53,06029
6,30,98,26,26.53,23,23.47,26,26.53,23,23.47,06030
6,31,174,48,27.59,57,32.76,38,21.84,31,17.82,06031
6,32,143,43,30.07,27,18.88,49,34.27,24,16.78,06032
6,33,181,68,37.57,39,21.55,41,22.65,33,18.23,06033
6,34,118,40,33.9,28,23.73,29,24.58,21,17.8,06034
6,35,130,45,34.62,22,16.92,34,26.15,29,22.31,06035
6,36,87,26,29.89,12,13.79,32,36.78,17,19.54,06036
6,37,196,38,19.39,80,40.82,40,20.41,38,19.39,06037
6,38,156,52,33.33,31,19.87,44,28.21,29,18.59,06038
6,39,103,36,34.95,25,24.27,29,28.16,13,12.62,06039
6,40,65,16,24.62,15,23.08,23,35.38,11,16.92,06040
6,41,179,39,21.79,69,38.55,33,18.44,38,21.23,06041
6,42,55,18,32.73,15,27.27,15,27.27,7,12.73,06042
6,43,152,36,23.68,52,34.21,36,23.68,28,18.42,06043
6,44,150,51,34.0,35,23.33,28,18.67,36,24.0,06044
6,45,118,32,27.12,39,33.05,26,22.03,21,17.8,06045
6,46,146,48,32.88,27,18.49,34,23.29,37,25.34,06046
6,47,157,42,26.75,45,28.66,47,29.94,23,14.65,06047
6,48,126,26,20.63,45,35.71,35,27.78,20,15.87,06048
6,49,130,37,28.46,29,22.31,39,30.0,25,19.23,06049
6,50,163,54,33.13,42,25.77,31,19.02,36,22.09,06050
6,51,89,28,31.46,19,21.35,18,20.22,24,26.97,06051
6,52,90,27,30.0,19,21.11,27,30.0,17,18.89,06052
6,53,126,34,26.98,27,21.43,36,28.57,29,23.02,06053
6,54,121,42,34.71,33,27.27,20,16.53,26,21.49,06054
6,55,118,29,24.58,32,27.12,36,30.51,21,17.8,06055
6,56,121,28,23.14,39,32.23,32,26.45,22,18.18,06056
6,57,70,18,25.71,20,28.57,17,24.29,15,21.43,06057
6,58,180,46,25.56,58,32.22,36,20.0,40,22.22,06058
6,59,143,42,29.37,38,26.57,34,23.78,29,20.28,06059
6,60,100,33,33.0,23,23.0,27,27.0,17,17.0,06060
6,61,74,23,31.08,16,21.62,24,32.43,11,14.86,06061
6,62,122,27,22.13,31,25.41,30,24.59,34,27.87,06062
6,63,142,49,34.51,37,26.06,30,21.13,26,18.31,06063
6,64,179,49,27.37,52,29.05,45,25.14,33,18.44,06064
7,1,271,75,27.68,65,23.99,76,28.04,55,20.3,07001
7,2,152,48,31.58,44,28.95,39,25.66,21,13.82,07002
7,3,82,27,32.93,22,26.83,16,19.51,17,20.73,07003
7,4,83,32,38.55,13,15.66,25,30.12,13,15.66,07004
7,5,70,23,32.86,15,21.43,18,25.71,14,20.0,07005
7,6,91,33,36.26,24,26.37,22,24.18,12,13.19,07006
7,7,80,24,30.0,18,22.5,23,28.75,15,18.75,07007
7,8,34,14,41.18,9,26.47,7,20.59,4,11.76,07008
7,9,133,31,23.31,36,27.07,33,24.81,33,24.81,07009
7,10,70,14,20.0,19,27.14,16,22.86,21,30.0,07010
7,11,144,36,25.0,34,23.61,33,22.92,41,28.47,07011
7,12,93,25,26.88,23,24.73,33,35.48,12,12.9,07012
7,13,88,21,23.86,24,27.27,22,25.0,21,23.86,07013
7,14,122,36,29.51,35,28.69,27,22.13,24,19.67,07014
7,15,63,21,33.33,11,17.46,14,22.22,17,26.98,07015
7,16,59,17,28.81,11,18.64,20,33.9,11,18.64,07016
7,17,60,23,38.33,14,23.33,12,20.0,11,18.33,07017
7,18,87,35,40.23,25,28.74,17,19.54,10,11.49,07018
7,19,170,61,35.88,28,16.47,47,27.65,34,20.0,07019
7,20,44,14,31.82,8,18.18,17,38.64,5,11.36,07020
7,21,108,39,36.11,11,10.19,37,34.26,21,19.44,07021
7,22,93,31,33.33,22,23.66,24,25.81,16,17.2,07022
7,23,104,34,32.69,25,24.04,27,25.96,18,17.31,07023
7,24,123,42,34.15,29,23.58,28,22.76,24,19.51,07024
7,25,163,43,26.38,56,34.36,38,23.31,26,15.95,07025
7,26,155,51,32.9,47,30.32,33,21.29,24,15.48,07026
7,27,200,72,36.0,51,25.5,45,22.5,32,16.0,07027
7,28,109,39,35.78,20,18.35,24,22.02,26,23.85,07028
7,29,106,32,30.19,27,25.47,25,23.58,22,20.75,07029
7,30,154,49,31.82,37,24.03,41,26.62,27,17.53,07030
7,31,144,36,25.0,36,25.0,45,31.25,27,18.75,07031
7,32,80,28,35.0,18,22.5,24,30.0,10,12.5,07032
7,33,102,29,28.43,27,26.47,25,24.51,21,20.59,07033
7,34,124,32,25.81,43,34.68,27,21.77,22,17.74,07034
7,35,159,52,32.7,44,27.67,27,16.98,36,22.64,07035
7,36,141,54,38.3,32,22.7,32,22.7,23,16.31,07036
7,37,69,28,40.58,16,23.19,19,27.54,6,8.7,07037
7,38,87,38,43.68,14,16.09,20,22.99,15,17.24,07038
7,39,84,24,28.57,24,28.57,17,20.24,19,22.62,07039
7,40,93,25,26.88,21,22.58,18,19.35,29,31.18,07040
7,41,107,24,22.43,27,25.23,33,30.84,23,21.5,07041
7,42,166,56,33.73,34,20.48,55,33.13,21,12.65,07042
7,43,129,47,36.43,26,20.16,36,27.91,20,15.5,07043
7,44,185,55,29.73,41,22.16,48,25.95,41,22.16,07044
7,45,201,75,37.31,64,31.84,29,14.43,33,16.42,07045
7,46,61,22,36.07,10,16.39,18,29.51,11,18.03,07046
7,47,101,38,37.62,21,20.79,24,23.76,18,17.82,07047
7,48,108,45,41.67,27,25.0,27,25.0,9,8.33,07048
7,49,71,21,29.58,24,33.8,14,19.72,12,16.9,07049
7,50,91,19,20.88,24,26.37,21,23.08,27,29.67,07050
7,51,211,67,31.75,65,30.81,46,21.8,33,15.64,07051
7,52,100,34,34.0,19,19.0,25,25.0,22,22.0,07052
7,53,110,42,38.18,16,14.55,36,32.73,16,14.55,07053
7,54,59,20,33.9,12,20.34,20,33.9,7,11.86,07054
7,55,105,29,27.62,28,26.67,30,28.57,18,17.14,07055
7,56,93,31,33.33,26,27.96,19,20.43,17,18.28,07056
7,57,102,20,19.61,31,30.39,15,14.71,36,35.29,07057
7,58,163,53,32.52,36,22.09,37,22.7,37,22.7,07058
7,59,65,16,24.62,19,29.23,16,24.62,14,21.54,07059
7,60,79,31,39.24,20,25.32,19,24.05,9,11.39,07060
7,61,118,32,27.12,34,28.81,30,25.42,22,18.64,07061
8,1,175,53,30.29,47,26.86,46,26.29,29,16.57,08001
8,2,81,16,19.75,19,23.46,24,29.63,22,27.16,08002
8,3,222,55,24.77,69,31.08,52,23.42,46,20.72,08003
8,4,151,49,32.45,31,20.53,41,27.15,30,19.87,08004
8,5,213,54,25.35,44,20.66,52,24.41,63,29.58,08005
8,6,172,34,19.77,68,39.53,44,25.58,26,15.12,08006
8,7,119,33,27.73,29,24.37,33,27.73,24,20.17,08007
8,8,204,63,30.88,46,22.55,53,25.98,42,20.59,08008
8,9,191,53,27.75,55,28.8,53,27.75,30,15.71,08009
8,10,244,64,26.23,77,31.56,47,19.26,56,22.95,08010
8,11,131,40,30.53,29,22.14,36,27.48,26,19.85,08011
8,12,117,36,30.77,35,29.91,34,29.06,12,10.26,08012
8,13,102,32,31.37,24,23.53,28,27.45,18,17.65,08013
8,14,78,20,25.64,19,24.36,24,30.77,15,19.23,08014
8,15,111,39,35.14,28,25.23,21,18.92,23,20.72,08015
8,16,184,38,20.65,56,30.43,51,27.72,39,21.2,08016
8,17,139,41,29.5,39,28.06,32,23.02,27,19.42,08017
8,18,74,26,35.14,14,18.92,22,29.73,12,16.22,08018
8,19,213,58,27.23,46,21.6,65,30.52,44,20.66,08019
8,20,116,30,25.86,40,34.48,30,25.86,16,13.79,08020
8,21,125,38,30.4,40,32.0,27,21.6,20,16.0,08021
8,22,114,33,28.95,29,25.44,29,25.44,23,20.18,08022
8,23,129,43,33.33,40,31.01,30,23.26,16,12.4,08023
8,24,164,50,30.49,47,28.66,31,18.9,36,21.95,08024
8,25,137,34,24.82,33,24.09,38,27.74,32,23.36,08025
8,26,99,25,25.25,25,25.25,26,26.26,23,23.23,08026
8,27,169,45,26.63,39,23.08,44,26.04,41,24.26,08027
8,28,113,37,32.74,34,30.09,25,22.12,17,15.04,08028
8,29,151,36,23.84,56,37.09,35,23.18,24,15.89,08029
