ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Monica Torres-Linares,Monica Torres-Linares Percent,Ronald Oliver,Ronald Oliver Percent,precinct_id
3,46,15,13,86.67,2,13.33,0,0.0,03046
3,49,33,23,69.7,6,18.18,4,12.12,03049
4,1,218,146,66.97,62,28.44,10,4.59,04001
4,2,244,199,81.56,31,12.7,14,5.74,04002
4,3,215,183,85.12,21,9.77,11,5.12,04003
4,4,166,142,85.54,13,7.83,11,6.63,04004
4,5,248,207,83.47,20,8.06,21,8.47,04005
4,6,83,74,89.16,6,7.23,3,3.61,04006
4,7,212,172,81.13,24,11.32,16,7.55,04007
4,8,201,171,85.07,20,9.95,10,4.98,04008
4,9,416,372,89.42,30,7.21,14,3.37,04009
4,10,187,148,79.14,31,16.58,8,4.28,04010
4,11,119,105,88.24,7,5.88,7,5.88,04011
4,12,103,86,83.5,8,7.77,9,8.74,04012
4,13,136,94,69.12,31,22.79,11,8.09,04013
4,14,107,87,81.31,12,11.21,8,7.48,04014
4,15,136,101,74.26,26,19.12,9,6.62,04015
4,16,202,178,88.12,14,6.93,10,4.95,04016
4,17,184,136,73.91,34,18.48,14,7.61,04017
4,18,171,138,80.7,21,12.28,12,7.02,04018
4,19,165,136,82.42,15,9.09,14,8.48,04019
4,20,102,89,87.25,6,5.88,7,6.86,04020
4,21,238,169,71.01,54,22.69,15,6.3,04021
4,22,246,176,71.54,62,25.2,8,3.25,04022
4,23,140,95,67.86,40,28.57,5,3.57,04023
4,24,167,127,76.05,36,21.56,4,2.4,04024
4,25,209,181,86.6,23,11.0,5,2.39,04025
4,26,187,159,85.03,19,10.16,9,4.81,04026
4,27,149,131,87.92,9,6.04,9,6.04,04027
4,28,120,72,60.0,42,35.0,6,5.0,04028
4,29,152,99,65.13,45,29.61,8,5.26,04029
4,30,154,128,83.12,15,9.74,11,7.14,04030
4,31,97,40,41.24,49,50.52,8,8.25,04031
4,32,178,105,58.99,64,35.96,9,5.06,04032
4,33,136,108,79.41,17,12.5,11,8.09,04033
4,34,137,72,52.55,60,43.8,5,3.65,04034
4,35,90,72,80.0,10,11.11,8,8.89,04035
4,36,127,84,66.14,32,25.2,11,8.66,04036
4,37,0,0,0.0,0,0.0,0,0.0,04037
4,38,290,203,70.0,68,23.45,19,6.55,04038
4,39,123,111,90.24,5,4.07,7,5.69,04039
4,40,149,131,87.92,9,6.04,9,6.04,04040
4,41,63,34,53.97,24,38.1,5,7.94,04041
4,42,206,173,83.98,22,10.68,11,5.34,04042
4,43,118,73,61.86,40,33.9,5,4.24,04043
4,44,112,77,68.75,28,25.0,7,6.25,04044
4,45,348,267,76.72,49,14.08,32,9.2,04045
4,46,132,107,81.06,20,15.15,5,3.79,04046
4,47,197,142,72.08,42,21.32,13,6.6,04047
4,48,225,150,66.67,64,28.44,11,4.89,04048
4,49,129,111,86.05,11,8.53,7,5.43,04049
4,50,158,131,82.91,18,11.39,9,5.7,04050
4,51,166,149,89.76,10,6.02,7,4.22,04051
4,52,202,171,84.65,25,12.38,6,2.97,04052
5,1,184,162,88.04,16,8.7,6,3.26,05001
5,2,145,123,84.83,16,11.03,6,4.14,05002
5,3,69,45,65.22,18,26.09,6,8.7,05003
5,4,132,112,84.85,13,9.85,7,5.3,05004
5,5,124,105,84.68,13,10.48,6,4.84,05005
5,6,177,153,86.44,18,10.17,6,3.39,05006
5,7,177,154,87.01,17,9.6,6,3.39,05007
5,8,197,77,39.09,104,52.79,16,8.12,05008
5,9,141,121,85.82,10,7.09,10,7.09,05009
5,10,119,92,77.31,18,15.13,9,7.56,05010
5,11,137,86,62.77,48,35.04,3,2.19,05011
5,12,88,75,85.23,9,10.23,4,4.55,05012
5,13,155,131,84.52,14,9.03,10,6.45,05013
5,14,202,118,58.42,71,35.15,13,6.44,05014
5,15,125,91,72.8,28,22.4,6,4.8,05015
5,16,115,95,82.61,15,13.04,5,4.35,05016
5,17,140,112,80.0,19,13.57,9,6.43,05017
5,18,141,117,82.98,16,11.35,8,5.67,05018
5,19,75,65,86.67,8,10.67,2,2.67,05019
5,20,59,52,88.14,3,5.08,4,6.78,05020
5,21,143,127,88.81,13,9.09,3,2.1,05021
5,22,151,126,83.44,18,11.92,7,4.64,05022
5,23,95,84,88.42,6,6.32,5,5.26,05023
5,24,170,122,71.76,46,27.06,2,1.18,05024
5,25,118,97,82.2,13,11.02,8,6.78,05025
5,26,155,134,86.45,15,9.68,6,3.87,05026
5,27,156,65,41.67,84,53.85,7,4.49,05027
5,28,198,163,82.32,22,11.11,13,6.57,05028
5,29,167,144,86.23,17,10.18,6,3.59,05029
5,30,119,44,36.97,73,61.34,2,1.68,05030
5,31,133,107,80.45,19,14.29,7,5.26,05031
5,32,303,251,82.84,30,9.9,22,7.26,05032
5,33,109,94,86.24,6,5.5,9,8.26,05033
5,34,162,129,79.63,16,9.88,17,10.49,05034
5,35,118,74,62.71,36,30.51,8,6.78,05035
5,36,61,45,73.77,12,19.67,4,6.56,05036
5,37,121,75,61.98,40,33.06,6,4.96,05037
5,38,177,97,54.8,75,42.37,5,2.82,05038
5,39,187,74,39.57,109,58.29,4,2.14,05039
5,40,126,103,81.75,19,15.08,4,3.17,05040
5,41,97,40,41.24,53,54.64,4,4.12,05041
5,42,151,135,89.4,10,6.62,6,3.97,05042
5,43,188,161,85.64,18,9.57,9,4.79,05043
5,44,158,128,81.01,24,15.19,6,3.8,05044
5,45,82,73,89.02,7,8.54,2,2.44,05045
5,46,141,80,56.74,53,37.59,8,5.67,05046
5,47,128,115,89.84,6,4.69,7,5.47,05047
5,48,103,66,64.08,34,33.01,3,2.91,05048
5,49,33,26,78.79,6,18.18,1,3.03,05049
5,50,104,87,83.65,13,12.5,4,3.85,05050
5,51,93,72,77.42,10,10.75,11,11.83,05051
5,52,8,6,75.0,2,25.0,0,0.0,05052
5,53,170,118,69.41,47,27.65,5,2.94,05053
5,54,249,213,85.54,20,8.03,16,6.43,05054
5,55,137,124,90.51,8,5.84,5,3.65,05055
6,4,134,112,83.58,12,8.96,10,7.46,06004
6,5,65,57,87.69,3,4.62,5,7.69,06005
6,6,146,125,85.62,13,8.9,8,5.48,06006
6,7,160,140,87.5,13,8.13,7,4.38,06007
6,11,159,134,84.28,19,11.95,6,3.77,06011
6,12,128,101,78.91,17,13.28,10,7.81,06012
6,15,86,67,77.91,13,15.12,6,6.98,06015
6,20,166,148,89.16,13,7.83,5,3.01,06020
6,23,153,136,88.89,9,5.88,8,5.23,06023
6,30,107,97,90.65,8,7.48,2,1.87,06030
6,32,159,137,86.16,8,5.03,14,8.81,06032
6,33,209,184,88.04,16,7.66,9,4.31,06033
6,36,98,80,81.63,10,10.2,8,8.16,06036
6,39,117,100,85.47,10,8.55,7,5.98,06039
6,40,77,62,80.52,8,10.39,7,9.09,06040
6,42,63,51,80.95,6,9.52,6,9.52,06042
6,48,141,120,85.11,10,7.09,11,7.8,06048
6,49,152,140,92.11,8,5.26,4,2.63,06049
6,55,134,118,88.06,11,8.21,5,3.73,06055
6,56,134,117,87.31,13,9.7,4,2.99,06056
6,61,83,70,84.34,7,8.43,6,7.23,06061
7,9,141,113,80.14,16,11.35,12,8.51,07009
7,23,8,8,100.0,0,0.0,0,0.0,07023
7,35,178,147,82.58,23,12.92,8,4.49,07035
7,40,109,94,86.24,10,9.17,5,4.59,07040
7,50,102,87,85.29,6,5.88,9,8.82,07050
8,57,149,134,89.93,9,6.04,6,4.03,08057
8,67,88,78,88.64,10,11.36,0,0.0,08067
8,68,74,67,90.54,4,5.41,3,4.05,08068
8,69,92,77,83.7,9,9.78,6,6.52,08069
8,70,169,142,84.02,15,8.88,12,7.1,08070
17,2,109,93,85.32,13,11.93,3,2.75,17002
17,3,57,51,89.47,5,8.77,1,1.75,17003
17,4,162,140,86.42,10,6.17,12,7.41,17004
17,5,100,86,86.0,7,7.0,7,7.0,17005
17,7,100,81,81.0,14,14.0,5,5.0,17007
17,9,78,70,89.74,2,2.56,6,7.69,17009
17,10,120,105,87.5,9,7.5,6,5.0,17010
17,11,107,87,81.31,14,13.08,6,5.61,17011
17,12,183,157,85.79,19,10.38,7,3.83,17012
17,15,127,99,77.95,12,9.45,16,12.6,17015
17,18,141,123,87.23,7,4.96,11,7.8,17018
17,20,87,74,85.06,7,8.05,6,6.9,17020
17,21,181,156,86.19,13,7.18,12,6.63,17021
17,22,126,111,88.1,6,4.76,9,7.14,17022
17,23,60,52,86.67,5,8.33,3,5.0,17023
17,24,111,97,87.39,9,8.11,5,4.5,17024
17,25,74,58,78.38,4,5.41,12,16.22,17025
17,26,143,124,86.71,9,6.29,10,6.99,17026
17,27,157,131,83.44,11,7.01,15,9.55,17027
17,28,95,76,80.0,11,11.58,8,8.42,17028
17,29,121,106,87.6,9,7.44,6,4.96,17029
17,30,135,112,82.96,16,11.85,7,5.19,17030
17,31,92,77,83.7,9,9.78,6,6.52,17031
17,32,107,89,83.18,10,9.35,8,7.48,17032
17,33,88,77,87.5,8,9.09,3,3.41,17033
17,35,82,69,84.15,7,8.54,6,7.32,17035
17,37,92,75,81.52,12,13.04,5,5.43,17037
17,38,94,79,84.04,9,9.57,6,6.38,17038
17,40,84,67,79.76,12,14.29,5,5.95,17040
17,44,62,48,77.42,7,11.29,7,11.29,17044
17,47,54,42,77.78,4,7.41,8,14.81,17047
17,48,120,105,87.5,9,7.5,6,5.0,17048
17,50,91,84,92.31,2,2.2,5,5.49,17050
17,51,121,98,80.99,12,9.92,11,9.09,17051
17,52,141,123,87.23,6,4.26,12,8.51,17052
17,53,127,100,78.74,22,17.32,5,3.94,17053
17,54,139,122,87.77,10,7.19,7,5.04,17054
17,55,103,83,80.58,14,13.59,6,5.83,17055
17,56,106,88,83.02,11,10.38,7,6.6,17056
17,57,122,105,86.07,11,9.02,6,4.92,17057
17,61,98,82,83.67,9,9.18,7,7.14,17061
18,4,190,148,77.89,25,13.16,17,8.95,18004
18,7,83,57,68.67,20,24.1,6,7.23,18007
18,8,69,55,79.71,9,13.04,5,7.25,18008
18,9,196,156,79.59,25,12.76,15,7.65,18009
18,10,270,230,85.19,24,8.89,16,5.93,18010
18,12,217,186,85.71,17,7.83,14,6.45,18012
18,13,177,146,82.49,17,9.6,14,7.91,18013
18,14,196,167,85.2,20,10.2,9,4.59,18014
18,16,167,143,85.63,9,5.39,15,8.98,18016
18,18,173,146,84.39,11,6.36,16,9.25,18018
18,19,224,196,87.5,19,8.48,9,4.02,18019
18,20,150,128,85.33,10,6.67,12,8.0,18020
18,21,236,183,77.54,38,16.1,15,6.36,18021
18,22,189,163,86.24,16,8.47,10,5.29,18022
18,24,207,186,89.86,12,5.8,9,4.35,18024
18,25,182,159,87.36,17,9.34,6,3.3,18025
18,26,154,131,85.06,12,7.79,11,7.14,18026
18,31,108,84,77.78,16,14.81,8,7.41,18031
18,32,238,204,85.71,21,8.82,13,5.46,18032
18,33,0,0,0.0,0,0.0,0,0.0,18033
18,34,276,241,87.32,19,6.88,16,5.8,18034
18,35,227,179,78.85,34,14.98,14,6.17,18035
18,36,50,28,56.0,15,30.0,7,14.0,18036
18,37,144,116,80.56,22,15.28,6,4.17,18037
18,38,183,156,85.25,14,7.65,13,7.1,18038
18,40,218,183,83.94,21,9.63,14,6.42,18040
18,44,92,63,68.48,18,19.57,11,11.96,18044
18,45,206,183,88.83,12,5.83,11,5.34,18045
18,51,206,179,86.89,15,7.28,12,5.83,18051
18,52,187,149,79.68,21,11.23,17,9.09,18052
18,54,167,142,85.03,15,8.98,10,5.99,18054
18,58,0,0,0.0,0,0.0,0,0.0,18058
18,59,5,5,100.0,0,0.0,0,0.0,18059
18,60,173,151,87.28,12,6.94,10,5.78,18060
18,61,155,130,83.87,14,9.03,11,7.1,18061
20,1,112,90,80.36,13,11.61,9,8.04,20001
20,2,100,94,94.0,4,4.0,2,2.0,20002
20,3,91,76,83.52,8,8.79,7,7.69,20003
20,5,81,69,85.19,6,7.41,6,7.41,20005
20,6,141,119,84.4,13,9.22,9,6.38,20006
20,9,159,124,77.99,26,16.35,9,5.66,20009
20,10,77,70,90.91,6,7.79,1,1.3,20010
20,14,145,129,88.97,7,4.83,9,6.21,20014
20,16,159,132,83.02,19,11.95,8,5.03,20016
20,18,74,60,81.08,6,8.11,8,10.81,20018
20,22,164,135,82.32,18,10.98,11,6.71,20022
20,24,111,89,80.18,15,13.51,7,6.31,20024
20,26,119,99,83.19,13,10.92,7,5.88,20026
20,29,116,92,79.31,19,16.38,5,4.31,20029
20,32,76,57,75.0,7,9.21,12,15.79,20032
20,34,167,114,68.26,40,23.95,13,7.78,20034
20,36,92,74,80.43,10,10.87,8,8.7,20036
20,37,122,104,85.25,11,9.02,7,5.74,20037
20,38,29,24,82.76,3,10.34,2,6.9,20038
20,47,82,67,81.71,7,8.54,8,9.76,20047
21,29,71,61,85.92,6,8.45,4,5.63,21029
21,52,29,24,82.76,3,10.34,2,6.9,21052
21,74,50,41,82.0,3,6.0,6,12.0,21074
42,2,81,33,40.74,39,48.15,9,11.11,42002
42,5,91,21,23.08,54,59.34,16,17.58,42005
42,6,225,88,39.11,109,48.44,28,12.44,42006
42,11,117,41,35.04,67,57.26,9,7.69,42011
42,13,206,79,38.35,104,50.49,23,11.17,42013
42,25,80,23,28.75,50,62.5,7,8.75,42025
42,31,81,25,30.86,52,64.2,4,4.94,42031
42,35,92,27,29.35,57,61.96,8,8.7,42035
42,37,71,22,30.99,40,56.34,9,12.68,42037
42,38,78,29,37.18,39,50.0,10,12.82,42038
42,40,110,22,20.0,75,68.18,13,11.82,42040
42,41,118,32,27.12,70,59.32,16,13.56,42041
42,43,115,29,25.22,70,60.87,16,13.91,42043
42,44,89,31,34.83,39,43.82,19,21.35,42044
42,47,70,17,24.29,50,71.43,3,4.29,42047
42,50,141,44,31.21,81,57.45,16,11.35,42050
42,51,177,62,35.03,93,52.54,22,12.43,42051
42,52,49,20,40.82,22,44.9,7,14.29,42052
42,53,140,50,35.71,72,51.43,18,12.86,42053
42,54,79,31,39.24,45,56.96,3,3.8,42054
42,62,64,21,32.81,33,51.56,10,15.63,42062
42,63,109,37,33.94,63,57.8,9,8.26,42063
42,64,41,23,56.1,8,19.51,10,24.39,42064
42,65,90,18,20.0,55,61.11,17,18.89,42065
42,66,88,44,50.0,38,43.18,6,6.82,42066
