ward,precinct,total,Earlean Collins,Earlean Collins Percent,Adekunle ''Ade'' B. Onayemi,Adekunle ''Ade'' B. Onayemi Percent,Chris Harris,Chris Harris Percent,Derrick Smith,Derrick Smith Percent,precinct_id
27,26,109,73,66.97,10,9.17,8,7.34,18,16.51,27026
27,27,95,42,44.21,8,8.42,12,12.63,33,34.74,27027
27,29,62,24,38.71,7,11.29,5,8.06,26,41.94,27029
27,30,44,19,43.18,2,4.55,1,2.27,22,50.0,27030
27,31,75,40,53.33,5,6.67,7,9.33,23,30.67,27031
27,33,84,32,38.1,21,25.0,2,2.38,29,34.52,27033
27,34,92,49,53.26,7,7.61,5,5.43,31,33.7,27034
27,36,111,44,39.64,18,16.22,4,3.6,45,40.54,27036
27,40,79,31,39.24,2,2.53,7,8.86,39,49.37,27040
27,41,61,14,22.95,18,29.51,16,26.23,13,21.31,27041
27,44,83,47,56.63,13,15.66,5,6.02,18,21.69,27044
27,45,87,38,43.68,1,1.15,2,2.3,46,52.87,27045
27,46,86,36,41.86,4,4.65,5,5.81,41,47.67,27046
27,47,66,39,59.09,4,6.06,5,7.58,18,27.27,27047
27,48,127,78,61.42,5,3.94,8,6.3,36,28.35,27048
27,49,95,55,57.89,14,14.74,9,9.47,17,17.89,27049
27,50,24,6,25.0,7,29.17,7,29.17,4,16.67,27050
27,52,72,32,44.44,10,13.89,10,13.89,20,27.78,27052
27,53,69,16,23.19,20,28.99,11,15.94,22,31.88,27053
27,54,10,0,0.0,3,30.0,4,40.0,3,30.0,27054
27,55,81,36,44.44,5,6.17,1,1.23,39,48.15,27055
27,56,45,5,11.11,21,46.67,9,20.0,10,22.22,27056
27,57,58,15,25.86,26,44.83,7,12.07,10,17.24,27057
27,59,11,6,54.55,0,0.0,2,18.18,3,27.27,27059
28,1,86,53,61.63,12,13.95,7,8.14,14,16.28,28001
28,2,116,80,68.97,3,2.59,11,9.48,22,18.97,28002
28,3,71,40,56.34,5,7.04,4,5.63,22,30.99,28003
28,4,107,81,75.7,8,7.48,3,2.8,15,14.02,28004
28,5,68,37,54.41,18,26.47,4,5.88,9,13.24,28005
28,6,64,53,82.81,6,9.38,3,4.69,2,3.13,28006
28,7,79,59,74.68,2,2.53,7,8.86,11,13.92,28007
28,8,82,62,75.61,8,9.76,5,6.1,7,8.54,28008
28,9,77,57,74.03,7,9.09,3,3.9,10,12.99,28009
28,11,71,46,64.79,8,11.27,7,9.86,10,14.08,28011
28,12,57,41,71.93,1,1.75,3,5.26,12,21.05,28012
28,13,31,26,83.87,2,6.45,1,3.23,2,6.45,28013
28,14,56,35,62.5,6,10.71,6,10.71,9,16.07,28014
28,15,88,53,60.23,10,11.36,4,4.55,21,23.86,28015
28,16,77,51,66.23,9,11.69,6,7.79,11,14.29,28016
28,17,84,59,70.24,10,11.9,4,4.76,11,13.1,28017
28,18,119,87,73.11,10,8.4,2,1.68,20,16.81,28018
28,19,109,68,62.39,16,14.68,10,9.17,15,13.76,28019
28,20,98,74,75.51,5,5.1,7,7.14,12,12.24,28020
28,21,118,91,77.12,3,2.54,6,5.08,18,15.25,28021
28,22,81,54,66.67,9,11.11,4,4.94,14,17.28,28022
28,23,79,48,60.76,9,11.39,6,7.59,16,20.25,28023
28,24,53,33,62.26,7,13.21,3,5.66,10,18.87,28024
28,25,71,43,60.56,5,7.04,8,11.27,15,21.13,28025
28,26,91,64,70.33,9,9.89,2,2.2,16,17.58,28026
28,27,105,73,69.52,10,9.52,5,4.76,17,16.19,28027
28,28,47,32,68.09,5,10.64,4,8.51,6,12.77,28028
28,30,64,38,59.38,10,15.63,6,9.38,10,15.63,28030
28,31,71,57,80.28,3,4.23,2,2.82,9,12.68,28031
28,33,120,78,65.0,12,10.0,12,10.0,18,15.0,28033
28,37,149,121,81.21,4,2.68,9,6.04,15,10.07,28037
28,39,87,52,59.77,8,9.2,4,4.6,23,26.44,28039
28,40,133,91,68.42,15,11.28,6,4.51,21,15.79,28040
28,41,80,52,65.0,6,7.5,6,7.5,16,20.0,28041
28,42,64,44,68.75,5,7.81,1,1.56,14,21.88,28042
28,43,140,98,70.0,17,12.14,7,5.0,18,12.86,28043
28,44,124,90,72.58,10,8.06,10,8.06,14,11.29,28044
28,45,91,66,72.53,9,9.89,2,2.2,14,15.38,28045
28,46,94,61,64.89,7,7.45,5,5.32,21,22.34,28046
28,47,89,46,51.69,4,4.49,15,16.85,24,26.97,28047
28,48,45,27,60.0,8,17.78,6,13.33,4,8.89,28048
28,49,44,32,72.73,5,11.36,5,11.36,2,4.55,28049
28,51,90,59,65.56,9,10.0,7,7.78,15,16.67,28051
28,55,82,58,70.73,9,10.98,7,8.54,8,9.76,28055
28,56,79,40,50.63,12,15.19,6,7.59,21,26.58,28056
28,57,99,62,62.63,9,9.09,9,9.09,19,19.19,28057
28,58,88,53,60.23,9,10.23,6,6.82,20,22.73,28058
28,59,77,56,72.73,7,9.09,1,1.3,13,16.88,28059
28,60,51,41,80.39,3,5.88,1,1.96,6,11.76,28060
29,1,213,111,52.11,64,30.05,12,5.63,26,12.21,29001
29,3,187,123,65.78,24,12.83,15,8.02,25,13.37,29003
29,4,144,98,68.06,25,17.36,8,5.56,13,9.03,29004
29,5,117,80,68.38,12,10.26,2,1.71,23,19.66,29005
29,8,85,53,62.35,11,12.94,9,10.59,12,14.12,29008
29,11,128,82,64.06,26,20.31,4,3.13,16,12.5,29011
29,12,173,103,59.54,38,21.97,6,3.47,26,15.03,29012
29,13,131,92,70.23,17,12.98,7,5.34,15,11.45,29013
29,14,163,107,65.64,20,12.27,8,4.91,28,17.18,29014
29,15,176,107,60.8,25,14.2,10,5.68,34,19.32,29015
29,16,209,168,80.38,9,4.31,8,3.83,24,11.48,29016
29,17,106,70,66.04,10,9.43,4,3.77,22,20.75,29017
29,18,149,109,73.15,10,6.71,6,4.03,24,16.11,29018
29,19,182,131,71.98,20,10.99,2,1.1,29,15.93,29019
29,20,141,106,75.18,16,11.35,3,2.13,16,11.35,29020
29,21,95,58,61.05,13,13.68,7,7.37,17,17.89,29021
29,22,102,54,52.94,22,21.57,15,14.71,11,10.78,29022
29,23,114,78,68.42,18,15.79,6,5.26,12,10.53,29023
29,25,120,100,83.33,6,5.0,2,1.67,12,10.0,29025
29,26,106,79,74.53,8,7.55,8,7.55,11,10.38,29026
29,27,69,41,59.42,10,14.49,9,13.04,9,13.04,29027
29,28,160,118,73.75,9,5.63,10,6.25,23,14.38,29028
29,29,150,112,74.67,15,10.0,3,2.0,20,13.33,29029
29,31,133,95,71.43,9,6.77,12,9.02,17,12.78,29031
29,33,129,93,72.09,17,13.18,4,3.1,15,11.63,29033
29,34,86,38,44.19,25,29.07,7,8.14,16,18.6,29034
29,35,92,50,54.35,19,20.65,7,7.61,16,17.39,29035
29,36,140,90,64.29,16,11.43,5,3.57,29,20.71,29036
29,37,108,59,54.63,14,12.96,6,5.56,29,26.85,29037
29,38,125,88,70.4,15,12.0,8,6.4,14,11.2,29038
29,40,180,117,65.0,23,12.78,5,2.78,35,19.44,29040
29,41,162,118,72.84,12,7.41,5,3.09,27,16.67,29041
29,42,149,101,67.79,15,10.07,7,4.7,26,17.45,29042
29,43,170,114,67.06,20,11.76,4,2.35,32,18.82,29043
29,44,122,75,61.48,26,21.31,3,2.46,18,14.75,29044
29,45,95,62,65.26,12,12.63,10,10.53,11,11.58,29045
29,46,119,72,60.5,16,13.45,10,8.4,21,17.65,29046
29,47,181,118,65.19,35,19.34,10,5.52,18,9.94,29047
29,48,111,70,63.06,17,15.32,9,8.11,15,13.51,29048
29,49,173,93,53.76,34,19.65,8,4.62,38,21.97,29049
32,6,0,0,0.0,0,0.0,0,0.0,0,0.0,32006
32,11,81,24,29.63,31,38.27,13,16.05,13,16.05,32011
32,12,18,6,33.33,5,27.78,5,27.78,2,11.11,32012
32,46,16,3,18.75,6,37.5,4,25.0,3,18.75,32046
36,23,85,30,35.29,25,29.41,12,14.12,18,21.18,36023
36,24,134,58,43.28,27,20.15,11,8.21,38,28.36,36024
36,44,154,59,38.31,50,32.47,18,11.69,27,17.53,36044
36,54,183,62,33.88,56,30.6,22,12.02,43,23.5,36054
37,2,82,53,64.63,6,7.32,8,9.76,15,18.29,37002
37,3,54,29,53.7,4,7.41,9,16.67,12,22.22,37003
37,4,125,70,56.0,10,8.0,15,12.0,30,24.0,37004
37,5,146,93,63.7,17,11.64,11,7.53,25,17.12,37005
37,6,128,89,69.53,16,12.5,4,3.13,19,14.84,37006
37,7,127,77,60.63,17,13.39,9,7.09,24,18.9,37007
37,8,77,38,49.35,12,15.58,8,10.39,19,24.68,37008
37,9,120,62,51.67,13,10.83,9,7.5,36,30.0,37009
37,10,125,70,56.0,13,10.4,11,8.8,31,24.8,37010
37,12,70,34,48.57,14,20.0,12,17.14,10,14.29,37012
37,13,100,61,61.0,13,13.0,8,8.0,18,18.0,37013
37,14,167,111,66.47,18,10.78,11,6.59,27,16.17,37014
37,15,126,79,62.7,14,11.11,6,4.76,27,21.43,37015
37,16,113,64,56.64,13,11.5,12,10.62,24,21.24,37016
37,17,119,68,57.14,17,14.29,7,5.88,27,22.69,37017
37,18,147,93,63.27,12,8.16,14,9.52,28,19.05,37018
37,20,96,58,60.42,13,13.54,10,10.42,15,15.63,37020
37,21,128,81,63.28,12,9.38,5,3.91,30,23.44,37021
37,22,66,40,60.61,6,9.09,6,9.09,14,21.21,37022
37,23,94,50,53.19,12,12.77,7,7.45,25,26.6,37023
37,24,117,83,70.94,4,3.42,11,9.4,19,16.24,37024
37,25,153,93,60.78,20,13.07,13,8.5,27,17.65,37025
37,26,147,87,59.18,9,6.12,12,8.16,39,26.53,37026
37,27,118,76,64.41,15,12.71,5,4.24,22,18.64,37027
37,28,110,76,69.09,12,10.91,5,4.55,17,15.45,37028
37,29,121,75,61.98,20,16.53,5,4.13,21,17.36,37029
37,30,66,39,59.09,7,10.61,9,13.64,11,16.67,37030
37,31,153,88,57.52,19,12.42,14,9.15,32,20.92,37031
37,32,121,69,57.02,16,13.22,11,9.09,25,20.66,37032
37,33,99,58,58.59,11,11.11,12,12.12,18,18.18,37033
37,34,121,78,64.46,11,9.09,8,6.61,24,19.83,37034
37,35,136,102,75.0,10,7.35,7,5.15,17,12.5,37035
37,36,127,81,63.78,11,8.66,13,10.24,22,17.32,37036
37,37,110,54,49.09,17,15.45,4,3.64,35,31.82,37037
37,38,117,82,70.09,12,10.26,7,5.98,16,13.68,37038
37,40,134,84,62.69,13,9.7,8,5.97,29,21.64,37040
37,41,138,91,65.94,10,7.25,8,5.8,29,21.01,37041
37,43,103,66,64.08,10,9.71,6,5.83,21,20.39,37043
