ward,precinct,total,Darlena Williams-Burnett,Darlena Williams-Burnett Percent,Jim Ascot,Jim Ascot Percent,Danny K. Davis,Danny K. Davis Percent,Sharon Denise Dixon,Sharon Denise Dixon Percent,precinct_id
27,51,16,11,68.75,1,6.25,4,25.0,0,0.0,27051
27,52,72,19,26.39,1,1.39,50,69.44,2,2.78,27052
27,53,85,39,45.88,7,8.24,28,32.94,11,12.94,27053
27,54,104,18,17.31,24,23.08,45,43.27,17,16.35,27054
27,55,90,36,40.0,0,0.0,49,54.44,5,5.56,27055
27,57,70,18,25.71,11,15.71,26,37.14,15,21.43,27057
27,58,36,7,19.44,3,8.33,22,61.11,4,11.11,27058
28,1,101,10,9.9,0,0.0,80,79.21,11,10.89,28001
28,2,129,14,10.85,3,2.33,104,80.62,8,6.2,28002
28,3,75,7,9.33,1,1.33,65,86.67,2,2.67,28003
28,4,114,9,7.89,0,0.0,102,89.47,3,2.63,28004
28,5,75,13,17.33,3,4.0,54,72.0,5,6.67,28005
28,6,77,10,12.99,0,0.0,65,84.42,2,2.6,28006
28,7,88,9,10.23,1,1.14,69,78.41,9,10.23,28007
28,8,90,13,14.44,1,1.11,74,82.22,2,2.22,28008
28,9,83,8,9.64,1,1.2,71,85.54,3,3.61,28009
28,10,32,4,12.5,1,3.13,27,84.38,0,0.0,28010
28,11,74,8,10.81,0,0.0,63,85.14,3,4.05,28011
28,12,65,7,10.77,1,1.54,54,83.08,3,4.62,28012
28,13,37,2,5.41,0,0.0,33,89.19,2,5.41,28013
28,14,60,5,8.33,1,1.67,50,83.33,4,6.67,28014
28,15,91,14,15.38,0,0.0,71,78.02,6,6.59,28015
28,16,79,7,8.86,1,1.27,67,84.81,4,5.06,28016
28,17,98,10,10.2,3,3.06,78,79.59,7,7.14,28017
28,18,131,18,13.74,2,1.53,108,82.44,3,2.29,28018
28,19,110,12,10.91,2,1.82,88,80.0,8,7.27,28019
28,20,112,22,19.64,0,0.0,84,75.0,6,5.36,28020
28,21,132,17,12.88,1,0.76,110,83.33,4,3.03,28021
28,22,88,13,14.77,1,1.14,67,76.14,7,7.95,28022
28,23,87,15,17.24,0,0.0,63,72.41,9,10.34,28023
28,24,57,5,8.77,2,3.51,46,80.7,4,7.02,28024
28,25,83,12,14.46,1,1.2,67,80.72,3,3.61,28025
28,26,93,10,10.75,1,1.08,77,82.8,5,5.38,28026
28,27,113,12,10.62,4,3.54,90,79.65,7,6.19,28027
28,28,51,7,13.73,1,1.96,39,76.47,4,7.84,28028
28,30,69,8,11.59,1,1.45,58,84.06,2,2.9,28030
28,31,80,8,10.0,0,0.0,67,83.75,5,6.25,28031
28,32,89,15,16.85,1,1.12,70,78.65,3,3.37,28032
28,33,125,18,14.4,1,0.8,96,76.8,10,8.0,28033
28,35,74,13,17.57,0,0.0,56,75.68,5,6.76,28035
28,36,73,13,17.81,0,0.0,58,79.45,2,2.74,28036
28,37,164,14,8.54,1,0.61,137,83.54,12,7.32,28037
28,39,96,16,16.67,1,1.04,74,77.08,5,5.21,28039
28,40,143,9,6.29,1,0.7,124,86.71,9,6.29,28040
28,41,93,12,12.9,3,3.23,74,79.57,4,4.3,28041
28,42,73,12,16.44,2,2.74,52,71.23,7,9.59,28042
28,43,155,18,11.61,1,0.65,123,79.35,13,8.39,28043
28,44,143,28,19.58,2,1.4,107,74.83,6,4.2,28044
28,45,102,8,7.84,0,0.0,91,89.22,3,2.94,28045
28,46,98,9,9.18,0,0.0,82,83.67,7,7.14,28046
28,47,127,11,8.66,2,1.57,102,80.31,12,9.45,28047
28,48,49,7,14.29,1,2.04,35,71.43,6,12.24,28048
28,49,47,5,10.64,1,2.13,39,82.98,2,4.26,28049
28,50,62,6,9.68,0,0.0,46,74.19,10,16.13,28050
28,51,106,7,6.6,1,0.94,95,89.62,3,2.83,28051
28,52,74,11,14.86,5,6.76,47,63.51,11,14.86,28052
28,53,59,8,13.56,7,11.86,36,61.02,8,13.56,28053
28,54,67,7,10.45,0,0.0,53,79.1,7,10.45,28054
28,55,86,4,4.65,0,0.0,77,89.53,5,5.81,28055
28,56,89,11,12.36,3,3.37,69,77.53,6,6.74,28056
28,57,114,15,13.16,3,2.63,85,74.56,11,9.65,28057
28,58,91,10,10.99,0,0.0,76,83.52,5,5.49,28058
28,59,83,8,9.64,0,0.0,70,84.34,5,6.02,28059
28,60,64,11,17.19,0,0.0,49,76.56,4,6.25,28060
28,61,59,10,16.95,8,13.56,33,55.93,8,13.56,28061
29,1,224,20,8.93,1,0.45,193,86.16,10,4.46,29001
29,3,199,18,9.05,1,0.5,173,86.93,7,3.52,29003
29,4,157,6,3.82,2,1.27,140,89.17,9,5.73,29004
29,5,127,13,10.24,0,0.0,106,83.46,8,6.3,29005
29,7,0,0,0.0,0,0.0,0,0.0,0,0.0,29007
29,8,90,8,8.89,0,0.0,77,85.56,5,5.56,29008
29,11,138,26,18.84,1,0.72,101,73.19,10,7.25,29011
29,12,181,25,13.81,2,1.1,145,80.11,9,4.97,29012
29,13,143,14,9.79,1,0.7,122,85.31,6,4.2,29013
29,14,173,22,12.72,4,2.31,132,76.3,15,8.67,29014
29,15,184,18,9.78,2,1.09,155,84.24,9,4.89,29015
29,16,215,27,12.56,0,0.0,179,83.26,9,4.19,29016
29,17,116,19,16.38,3,2.59,91,78.45,3,2.59,29017
29,18,168,21,12.5,0,0.0,136,80.95,11,6.55,29018
29,19,193,14,7.25,3,1.55,164,84.97,12,6.22,29019
29,20,158,12,7.59,3,1.9,134,84.81,9,5.7,29020
29,21,108,12,11.11,2,1.85,87,80.56,7,6.48,29021
29,22,112,18,16.07,6,5.36,79,70.54,9,8.04,29022
29,23,118,14,11.86,1,0.85,101,85.59,2,1.69,29023
29,25,133,16,12.03,0,0.0,114,85.71,3,2.26,29025
29,26,108,7,6.48,0,0.0,99,91.67,2,1.85,29026
29,27,79,8,10.13,0,0.0,65,82.28,6,7.59,29027
29,28,166,20,12.05,3,1.81,137,82.53,6,3.61,29028
29,29,158,17,10.76,2,1.27,128,81.01,11,6.96,29029
29,31,137,16,11.68,0,0.0,115,83.94,6,4.38,29031
29,33,148,14,9.46,2,1.35,129,87.16,3,2.03,29033
29,34,95,14,14.74,8,8.42,70,73.68,3,3.16,29034
29,35,103,14,13.59,1,0.97,81,78.64,7,6.8,29035
29,36,170,14,8.24,1,0.59,146,85.88,9,5.29,29036
29,37,128,16,12.5,1,0.78,104,81.25,7,5.47,29037
29,38,137,12,8.76,1,0.73,116,84.67,8,5.84,29038
29,40,183,24,13.11,1,0.55,155,84.7,3,1.64,29040
29,41,165,20,12.12,3,1.82,130,78.79,12,7.27,29041
29,42,152,7,4.61,2,1.32,137,90.13,6,3.95,29042
29,43,169,18,10.65,0,0.0,144,85.21,7,4.14,29043
29,44,119,15,12.61,1,0.84,101,84.87,2,1.68,29044
29,45,106,13,12.26,0,0.0,89,83.96,4,3.77,29045
29,46,127,17,13.39,1,0.79,105,82.68,4,3.15,29046
29,47,180,20,11.11,2,1.11,147,81.67,11,6.11,29047
29,48,114,11,9.65,0,0.0,96,84.21,7,6.14,29048
29,49,181,32,17.68,2,1.1,137,75.69,10,5.52,29049
32,1,103,10,9.71,15,14.56,57,55.34,21,20.39,32001
32,6,113,13,11.5,10,8.85,69,61.06,21,18.58,32006
32,12,31,6,19.35,3,9.68,15,48.39,7,22.58,32012
32,17,29,2,6.9,5,17.24,10,34.48,12,41.38,32017
32,26,98,10,10.2,20,20.41,44,44.9,24,24.49,32026
32,37,0,0,0.0,0,0.0,0,0.0,0,0.0,32037
32,46,21,2,9.52,6,28.57,9,42.86,4,19.05,32046
32,50,130,9,6.92,22,16.92,60,46.15,39,30.0,32050
32,51,124,6,4.84,20,16.13,59,47.58,39,31.45,32051
36,23,90,24,26.67,8,8.89,50,55.56,8,8.89,36023
36,24,143,26,18.18,2,1.4,108,75.52,7,4.9,36024
36,44,121,17,14.05,8,6.61,82,67.77,14,11.57,36044
36,54,160,29,18.13,9,5.63,98,61.25,24,15.0,36054
37,2,103,19,18.45,3,2.91,72,69.9,9,8.74,37002
37,3,60,11,18.33,4,6.67,39,65.0,6,10.0,37003
37,4,138,18,13.04,6,4.35,109,78.99,5,3.62,37004
37,5,161,24,14.91,2,1.24,132,81.99,3,1.86,37005
37,6,139,14,10.07,2,1.44,118,84.89,5,3.6,37006
37,7,146,19,13.01,2,1.37,114,78.08,11,7.53,37007
37,8,89,12,13.48,4,4.49,61,68.54,12,13.48,37008
37,9,123,12,9.76,1,0.81,103,83.74,7,5.69,37009
37,10,135,21,15.56,5,3.7,100,74.07,9,6.67,37010
37,12,71,15,21.13,3,4.23,45,63.38,8,11.27,37012
37,13,111,23,20.72,6,5.41,75,67.57,7,6.31,37013
37,14,197,34,17.26,1,0.51,155,78.68,7,3.55,37014
37,15,138,16,11.59,0,0.0,116,84.06,6,4.35,37015
37,16,123,22,17.89,0,0.0,89,72.36,12,9.76,37016
37,17,130,17,13.08,1,0.77,105,80.77,7,5.38,37017
37,18,151,10,6.62,3,1.99,131,86.75,7,4.64,37018
37,20,105,16,15.24,0,0.0,86,81.9,3,2.86,37020
37,21,137,15,10.95,0,0.0,115,83.94,7,5.11,37021
37,22,74,10,13.51,1,1.35,59,79.73,4,5.41,37022
37,23,99,18,18.18,0,0.0,75,75.76,6,6.06,37023
37,24,124,12,9.68,3,2.42,103,83.06,6,4.84,37024
37,25,162,20,12.35,2,1.23,130,80.25,10,6.17,37025
37,26,149,16,10.74,1,0.67,119,79.87,13,8.72,37026
37,27,127,26,20.47,4,3.15,90,70.87,7,5.51,37027
37,28,132,19,14.39,5,3.79,96,72.73,12,9.09,37028
37,29,131,18,13.74,1,0.76,105,80.15,7,5.34,37029
37,30,74,11,14.86,3,4.05,55,74.32,5,6.76,37030
37,31,159,21,13.21,0,0.0,128,80.5,10,6.29,37031
37,32,125,12,9.6,0,0.0,105,84.0,8,6.4,37032
37,33,111,15,13.51,4,3.6,87,78.38,5,4.5,37033
37,34,131,18,13.74,1,0.76,108,82.44,4,3.05,37034
37,35,153,20,13.07,2,1.31,122,79.74,9,5.88,37035
37,36,136,24,17.65,0,0.0,108,79.41,4,2.94,37036
37,37,119,18,15.13,4,3.36,93,78.15,4,3.36,37037
37,38,127,13,10.24,1,0.79,105,82.68,8,6.3,37038
37,40,137,19,13.87,0,0.0,107,78.1,11,8.03,37040
37,41,143,31,21.68,2,1.4,100,69.93,10,6.99,37041
37,42,70,16,22.86,7,10.0,38,54.29,9,12.86,37042
37,43,113,17,15.04,2,1.77,91,80.53,3,2.65,37043
42,1,172,10,5.81,25,14.53,82,47.67,55,31.98,42001
