ward,precinct,total,Ricardo Munoz,Ricardo Munoz Percent,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,Humberto ''Berto'' Ramirez,Humberto ''Berto'' Ramirez Percent,precinct_id
26,19,117,50,42.74,34,29.06,33,28.21,26019
26,20,68,28,41.18,30,44.12,10,14.71,26020
26,21,47,19,40.43,15,31.91,13,27.66,26021
26,22,34,14,41.18,10,29.41,10,29.41,26022
26,23,48,22,45.83,13,27.08,13,27.08,26023
26,24,35,18,51.43,12,34.29,5,14.29,26024
26,25,35,15,42.86,8,22.86,12,34.29,26025
26,26,35,16,45.71,7,20.0,12,34.29,26026
26,27,67,35,52.24,19,28.36,13,19.4,26027
26,28,50,22,44.0,14,28.0,14,28.0,26028
26,29,52,25,48.08,15,28.85,12,23.08,26029
26,30,46,20,43.48,11,23.91,15,32.61,26030
26,31,60,25,41.67,18,30.0,17,28.33,26031
26,32,58,25,43.1,26,44.83,7,12.07,26032
26,34,72,26,36.11,28,38.89,18,25.0,26034
26,35,68,24,35.29,26,38.24,18,26.47,26035
26,36,42,15,35.71,20,47.62,7,16.67,26036
26,37,39,24,61.54,8,20.51,7,17.95,26037
26,38,33,7,21.21,15,45.45,11,33.33,26038
26,39,45,25,55.56,9,20.0,11,24.44,26039
26,40,45,27,60.0,10,22.22,8,17.78,26040
26,41,67,25,37.31,26,38.81,16,23.88,26041
26,42,32,8,25.0,12,37.5,12,37.5,26042
26,43,57,25,43.86,20,35.09,12,21.05,26043
26,44,37,23,62.16,6,16.22,8,21.62,26044
26,45,62,32,51.61,14,22.58,16,25.81,26045
26,46,14,5,35.71,6,42.86,3,21.43,26046
26,47,23,9,39.13,10,43.48,4,17.39,26047
26,48,81,26,32.1,32,39.51,23,28.4,26048
26,49,38,13,34.21,15,39.47,10,26.32,26049
26,50,31,7,22.58,14,45.16,10,32.26,26050
26,51,53,26,49.06,20,37.74,7,13.21,26051
26,52,21,4,19.05,9,42.86,8,38.1,26052
26,53,22,5,22.73,13,59.09,4,18.18,26053
26,54,39,21,53.85,9,23.08,9,23.08,26054
26,55,52,27,51.92,10,19.23,15,28.85,26055
26,56,47,18,38.3,19,40.43,10,21.28,26056
26,57,53,25,47.17,20,37.74,8,15.09,26057
26,58,59,29,49.15,17,28.81,13,22.03,26058
26,59,52,24,46.15,14,26.92,14,26.92,26059
26,60,42,18,42.86,16,38.1,8,19.05,26060
26,61,31,19,61.29,9,29.03,3,9.68,26061
26,62,65,30,46.15,19,29.23,16,24.62,26062
26,63,27,15,55.56,9,33.33,3,11.11,26063
27,13,64,24,37.5,21,32.81,19,29.69,27013
27,18,18,4,22.22,10,55.56,4,22.22,27018
27,32,91,47,51.65,20,21.98,24,26.37,27032
27,35,66,29,43.94,20,30.3,17,25.76,27035
27,38,47,17,36.17,14,29.79,16,34.04,27038
27,41,63,21,33.33,16,25.4,26,41.27,27041
27,56,45,21,46.67,16,35.56,8,17.78,27056
27,59,86,49,56.98,19,22.09,18,20.93,27059
28,29,97,47,48.45,37,38.14,13,13.4,28029
28,34,22,19,86.36,1,4.55,2,9.09,28034
28,38,43,20,46.51,17,39.53,6,13.95,28038
29,6,50,26,52.0,15,30.0,9,18.0,29006
29,7,58,27,46.55,17,29.31,14,24.14,29007
29,10,56,27,48.21,18,32.14,11,19.64,29010
29,24,9,3,33.33,4,44.44,2,22.22,29024
29,39,73,40,54.79,19,26.03,14,19.18,29039
30,4,56,30,53.57,13,23.21,13,23.21,30004
30,5,32,16,50.0,9,28.13,7,21.88,30005
30,17,7,5,71.43,0,0.0,2,28.57,30017
30,18,43,16,37.21,16,37.21,11,25.58,30018
30,19,42,12,28.57,19,45.24,11,26.19,30019
30,20,61,30,49.18,16,26.23,15,24.59,30020
30,21,60,29,48.33,17,28.33,14,23.33,30021
30,22,56,29,51.79,14,25.0,13,23.21,30022
30,23,66,29,43.94,20,30.3,17,25.76,30023
30,24,59,21,35.59,24,40.68,14,23.73,30024
30,25,34,13,38.24,10,29.41,11,32.35,30025
30,26,51,31,60.78,13,25.49,7,13.73,30026
30,27,84,31,36.9,35,41.67,18,21.43,30027
30,29,39,15,38.46,15,38.46,9,23.08,30029
30,31,46,27,58.7,12,26.09,7,15.22,30031
30,32,31,12,38.71,7,22.58,12,38.71,30032
30,33,56,33,58.93,14,25.0,9,16.07,30033
30,35,60,23,38.33,22,36.67,15,25.0,30035
30,36,81,28,34.57,43,53.09,10,12.35,30036
30,41,54,23,42.59,25,46.3,6,11.11,30041
31,1,28,13,46.43,10,35.71,5,17.86,31001
31,2,45,12,26.67,17,37.78,16,35.56,31002
31,4,57,29,50.88,22,38.6,6,10.53,31004
31,5,83,20,24.1,52,62.65,11,13.25,31005
31,6,52,19,36.54,18,34.62,15,28.85,31006
31,7,56,14,25.0,35,62.5,7,12.5,31007
31,10,19,12,63.16,6,31.58,1,5.26,31010
31,11,68,22,32.35,25,36.76,21,30.88,31011
31,12,63,26,41.27,25,39.68,12,19.05,31012
31,13,52,21,40.38,24,46.15,7,13.46,31013
31,14,57,14,24.56,36,63.16,7,12.28,31014
31,16,25,6,24.0,9,36.0,10,40.0,31016
31,17,47,11,23.4,29,61.7,7,14.89,31017
31,18,45,10,22.22,24,53.33,11,24.44,31018
31,20,43,21,48.84,13,30.23,9,20.93,31020
31,21,69,33,47.83,27,39.13,9,13.04,31021
31,22,49,17,34.69,20,40.82,12,24.49,31022
31,23,40,16,40.0,20,50.0,4,10.0,31023
31,24,59,21,35.59,21,35.59,17,28.81,31024
31,25,70,31,44.29,28,40.0,11,15.71,31025
31,27,42,13,30.95,18,42.86,11,26.19,31027
31,30,101,25,24.75,67,66.34,9,8.91,31030
31,31,99,36,36.36,43,43.43,20,20.2,31031
31,34,31,17,54.84,10,32.26,4,12.9,31034
31,35,46,16,34.78,18,39.13,12,26.09,31035
31,36,79,29,36.71,36,45.57,14,17.72,31036
31,37,57,23,40.35,24,42.11,10,17.54,31037
31,39,24,8,33.33,14,58.33,2,8.33,31039
31,40,43,11,25.58,26,60.47,6,13.95,31040
31,42,87,34,39.08,42,48.28,11,12.64,31042
31,44,41,18,43.9,13,31.71,10,24.39,31044
31,49,27,8,29.63,12,44.44,7,25.93,31049
31,51,48,20,41.67,19,39.58,9,18.75,31051
32,1,14,7,50.0,4,28.57,3,21.43,32001
32,2,106,41,38.68,32,30.19,33,31.13,32002
32,3,64,26,40.63,27,42.19,11,17.19,32003
32,4,70,27,38.57,28,40.0,15,21.43,32004
32,5,57,22,38.6,17,29.82,18,31.58,32005
32,11,68,24,35.29,28,41.18,16,23.53,32011
32,12,33,13,39.39,11,33.33,9,27.27,32012
32,14,74,25,33.78,34,45.95,15,20.27,32014
32,16,80,34,42.5,38,47.5,8,10.0,32016
32,17,54,17,31.48,19,35.19,18,33.33,32017
32,28,56,22,39.29,20,35.71,14,25.0,32028
32,29,75,22,29.33,43,57.33,10,13.33,32029
32,31,91,27,29.67,41,45.05,23,25.27,32031
32,33,60,21,35.0,20,33.33,19,31.67,32033
32,34,83,31,37.35,30,36.14,22,26.51,32034
32,35,91,26,28.57,38,41.76,27,29.67,32035
32,36,56,19,33.93,22,39.29,15,26.79,32036
32,46,15,8,53.33,6,40.0,1,6.67,32046
32,52,24,6,25.0,9,37.5,9,37.5,32052
33,1,105,46,43.81,33,31.43,26,24.76,33001
33,2,121,53,43.8,48,39.67,20,16.53,33002
33,3,118,52,44.07,46,38.98,20,16.95,33003
33,4,137,63,45.99,45,32.85,29,21.17,33004
33,6,141,51,36.17,57,40.43,33,23.4,33006
33,8,84,32,38.1,25,29.76,27,32.14,33008
33,11,112,45,40.18,40,35.71,27,24.11,33011
33,12,117,51,43.59,43,36.75,23,19.66,33012
33,13,140,71,50.71,42,30.0,27,19.29,33013
33,15,111,43,38.74,45,40.54,23,20.72,33015
33,16,85,47,55.29,18,21.18,20,23.53,33016
33,17,151,62,41.06,62,41.06,27,17.88,33017
33,19,112,46,41.07,39,34.82,27,24.11,33019
33,20,122,60,49.18,44,36.07,18,14.75,33020
33,21,130,70,53.85,29,22.31,31,23.85,33021
33,22,59,18,30.51,22,37.29,19,32.2,33022
33,26,115,47,40.87,37,32.17,31,26.96,33026
33,27,86,34,39.53,29,33.72,23,26.74,33027
35,1,106,43,40.57,43,40.57,20,18.87,35001
35,2,72,37,51.39,19,26.39,16,22.22,35002
35,3,62,26,41.94,19,30.65,17,27.42,35003
35,4,113,48,42.48,46,40.71,19,16.81,35004
35,5,85,28,32.94,34,40.0,23,27.06,35005
35,6,84,31,36.9,35,41.67,18,21.43,35006
35,7,75,41,54.67,23,30.67,11,14.67,35007
35,8,70,18,25.71,38,54.29,14,20.0,35008
35,9,83,27,32.53,41,49.4,15,18.07,35009
35,10,90,37,41.11,34,37.78,19,21.11,35010
35,11,70,24,34.29,31,44.29,15,21.43,35011
35,12,112,37,33.04,47,41.96,28,25.0,35012
35,13,24,11,45.83,7,29.17,6,25.0,35013
35,14,110,51,46.36,38,34.55,21,19.09,35014
35,15,84,31,36.9,35,41.67,18,21.43,35015
35,16,96,31,32.29,47,48.96,18,18.75,35016
35,17,93,35,37.63,36,38.71,22,23.66,35017
35,18,104,32,30.77,47,45.19,25,24.04,35018
35,19,72,28,38.89,22,30.56,22,30.56,35019
35,20,75,37,49.33,27,36.0,11,14.67,35020
35,21,82,38,46.34,28,34.15,16,19.51,35021
35,23,59,30,50.85,16,27.12,13,22.03,35023
35,24,52,19,36.54,20,38.46,13,25.0,35024
35,25,81,22,27.16,37,45.68,22,27.16,35025
35,26,115,52,45.22,38,33.04,25,21.74,35026
35,27,111,33,29.73,45,40.54,33,29.73,35027
35,28,78,30,38.46,28,35.9,20,25.64,35028
35,29,99,31,31.31,45,45.45,23,23.23,35029
35,30,134,50,37.31,52,38.81,32,23.88,35030
35,31,37,15,40.54,15,40.54,7,18.92,35031
35,32,63,25,39.68,19,30.16,19,30.16,35032
35,34,77,30,38.96,33,42.86,14,18.18,35034
35,35,98,37,37.76,37,37.76,24,24.49,35035
35,36,54,22,40.74,24,44.44,8,14.81,35036
36,4,61,29,47.54,24,39.34,8,13.11,36004
36,33,50,15,30.0,20,40.0,15,30.0,36033
36,44,34,11,32.35,13,38.24,10,29.41,36044
36,54,32,8,25.0,20,62.5,4,12.5,36054
36,55,7,2,28.57,2,28.57,3,42.86,36055
37,1,59,25,42.37,23,38.98,11,18.64,37001
37,11,27,9,33.33,12,44.44,6,22.22,37011
37,19,70,35,50.0,21,30.0,14,20.0,37019
37,39,87,33,37.93,31,35.63,23,26.44,37039
