ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",precinct_id
8,34,191,191,100.0,08034
8,36,157,157,100.0,08036
8,39,175,175,100.0,08039
8,42,163,163,100.0,08042
8,44,134,134,100.0,08044
8,46,124,124,100.0,08046
8,47,174,174,100.0,08047
8,49,214,214,100.0,08049
8,50,176,176,100.0,08050
8,51,207,207,100.0,08051
8,57,147,147,100.0,08057
8,60,136,136,100.0,08060
8,62,161,161,100.0,08062
8,63,169,169,100.0,08063
8,65,106,106,100.0,08065
8,66,240,240,100.0,08066
8,70,167,167,100.0,08070
9,1,168,168,100.0,09001
9,2,157,157,100.0,09002
9,3,45,45,100.0,09003
9,4,141,141,100.0,09004
9,5,158,158,100.0,09005
9,6,161,161,100.0,09006
9,7,133,133,100.0,09007
9,8,140,140,100.0,09008
9,9,208,208,100.0,09009
9,10,139,139,100.0,09010
9,11,98,98,100.0,09011
9,12,132,132,100.0,09012
9,13,169,169,100.0,09013
9,14,208,208,100.0,09014
9,15,115,115,100.0,09015
9,16,96,96,100.0,09016
9,17,122,122,100.0,09017
9,18,149,149,100.0,09018
9,19,150,150,100.0,09019
9,20,180,180,100.0,09020
9,21,177,177,100.0,09021
9,22,195,195,100.0,09022
9,23,102,102,100.0,09023
9,24,30,30,100.0,09024
9,25,107,107,100.0,09025
9,26,80,80,100.0,09026
9,27,124,124,100.0,09027
9,28,50,50,100.0,09028
9,29,115,115,100.0,09029
9,30,157,157,100.0,09030
9,31,129,129,100.0,09031
9,32,136,136,100.0,09032
9,33,97,97,100.0,09033
9,34,113,113,100.0,09034
9,35,194,194,100.0,09035
9,37,128,128,100.0,09037
9,38,149,149,100.0,09038
9,39,171,171,100.0,09039
9,40,172,172,100.0,09040
9,41,160,160,100.0,09041
9,42,39,39,100.0,09042
9,43,68,68,100.0,09043
9,44,90,90,100.0,09044
9,45,132,132,100.0,09045
9,46,137,137,100.0,09046
9,48,173,173,100.0,09048
9,49,74,74,100.0,09049
9,50,153,153,100.0,09050
9,51,95,95,100.0,09051
9,52,185,185,100.0,09052
9,53,63,63,100.0,09053
10,1,106,106,100.0,10001
10,2,67,67,100.0,10002
10,3,112,112,100.0,10003
10,4,68,68,100.0,10004
10,5,78,78,100.0,10005
10,6,109,109,100.0,10006
10,7,28,28,100.0,10007
10,8,62,62,100.0,10008
10,9,87,87,100.0,10009
10,10,73,73,100.0,10010
10,11,90,90,100.0,10011
10,12,66,66,100.0,10012
10,13,70,70,100.0,10013
10,14,78,78,100.0,10014
10,15,38,38,100.0,10015
10,16,80,80,100.0,10016
10,17,73,73,100.0,10017
10,18,60,60,100.0,10018
10,19,88,88,100.0,10019
10,20,60,60,100.0,10020
10,21,66,66,100.0,10021
10,22,57,57,100.0,10022
10,23,76,76,100.0,10023
10,24,79,79,100.0,10024
10,25,109,109,100.0,10025
10,26,61,61,100.0,10026
10,27,94,94,100.0,10027
10,28,78,78,100.0,10028
10,29,118,118,100.0,10029
10,30,69,69,100.0,10030
10,31,88,88,100.0,10031
10,32,73,73,100.0,10032
10,33,66,66,100.0,10033
10,34,82,82,100.0,10034
10,35,93,93,100.0,10035
10,36,108,108,100.0,10036
10,37,62,62,100.0,10037
10,38,95,95,100.0,10038
10,39,82,82,100.0,10039
10,40,62,62,100.0,10040
10,41,117,117,100.0,10041
10,42,68,68,100.0,10042
10,43,45,45,100.0,10043
10,44,74,74,100.0,10044
10,45,40,40,100.0,10045
10,46,72,72,100.0,10046
10,47,64,64,100.0,10047
10,48,69,69,100.0,10048
34,1,234,234,100.0,34001
34,2,181,181,100.0,34002
34,3,160,160,100.0,34003
34,4,156,156,100.0,34004
34,5,121,121,100.0,34005
34,6,115,115,100.0,34006
34,7,220,220,100.0,34007
34,9,111,111,100.0,34009
34,10,161,161,100.0,34010
34,11,90,90,100.0,34011
34,12,187,187,100.0,34012
34,14,121,121,100.0,34014
34,15,124,124,100.0,34015
34,16,88,88,100.0,34016
34,17,108,108,100.0,34017
34,18,92,92,100.0,34018
34,20,264,264,100.0,34020
34,21,168,168,100.0,34021
34,22,204,204,100.0,34022
34,23,141,141,100.0,34023
34,24,141,141,100.0,34024
34,25,190,190,100.0,34025
34,26,74,74,100.0,34026
34,27,124,124,100.0,34027
34,28,86,86,100.0,34028
34,30,205,205,100.0,34030
34,31,83,83,100.0,34031
34,32,123,123,100.0,34032
34,34,217,217,100.0,34034
34,35,196,196,100.0,34035
34,36,181,181,100.0,34036
34,37,140,140,100.0,34037
34,38,110,110,100.0,34038
34,39,91,91,100.0,34039
34,40,168,168,100.0,34040
34,41,85,85,100.0,34041
34,42,218,218,100.0,34042
34,43,227,227,100.0,34043
34,44,218,218,100.0,34044
34,46,139,139,100.0,34046
34,48,221,221,100.0,34048
34,49,240,240,100.0,34049
34,50,164,164,100.0,34050
34,52,112,112,100.0,34052
34,53,91,91,100.0,34053
34,54,111,111,100.0,34054
34,56,67,67,100.0,34056
34,59,143,143,100.0,34059
34,60,167,167,100.0,34060
34,61,129,129,100.0,34061
