ward,precinct,total,Joseph Mario Moreno,Joseph Mario Moreno Percent,Jesus G. Garcia,Jesus G. Garcia Percent,precinct_id
23,6,53,37,69.81,16,30.19,23006
23,9,187,85,45.45,102,54.55,23009
23,24,110,47,42.73,63,57.27,23024
23,29,147,60,40.82,87,59.18,23029
24,44,59,20,33.9,39,66.1,24044
24,53,109,34,31.19,75,68.81,24053
25,1,133,56,42.11,77,57.89,25001
25,2,178,33,18.54,145,81.46,25002
25,3,44,27,61.36,17,38.64,25003
25,5,133,72,54.14,61,45.86,25005
25,7,108,43,39.81,65,60.19,25007
25,8,131,36,27.48,95,72.52,25008
25,9,173,47,27.17,126,72.83,25009
25,11,145,35,24.14,110,75.86,25011
25,12,103,31,30.1,72,69.9,25012
25,13,158,49,31.01,109,68.99,25013
25,15,148,66,44.59,82,55.41,25015
25,17,193,57,29.53,136,70.47,25017
25,19,151,54,35.76,97,64.24,25019
25,20,147,66,44.9,81,55.1,25020
25,22,61,25,40.98,36,59.02,25022
25,23,147,27,18.37,120,81.63,25023
25,24,172,49,28.49,123,71.51,25024
25,29,61,23,37.7,38,62.3,25029
25,30,136,36,26.47,100,73.53,25030
25,31,78,34,43.59,44,56.41,25031
28,29,97,35,36.08,62,63.92,28029
28,34,20,6,30.0,14,70.0,28034
28,38,42,15,35.71,27,64.29,28038
