ward,precinct,total,Joel Barry Pollak,Joel Barry Pollak Percent,Janice D. Schakowsky,Janice D. Schakowsky Percent,Simon Ribeiro,Simon Ribeiro Percent,precinct_id
46,23,276,34,12.32,237,85.87,5,1.81,46023
46,25,448,121,27.01,314,70.09,13,2.9,46025
46,26,334,37,11.08,284,85.03,13,3.89,46026
46,27,372,100,26.88,262,70.43,10,2.69,46027
46,28,405,119,29.38,281,69.38,5,1.23,46028
46,30,355,83,23.38,264,74.37,8,2.25,46030
46,32,243,43,17.7,189,77.78,11,4.53,46032
46,33,383,70,18.28,303,79.11,10,2.61,46033
46,34,344,40,11.63,297,86.34,7,2.03,46034
46,35,412,80,19.42,307,74.51,25,6.07,46035
46,38,269,58,21.56,200,74.35,11,4.09,46038
46,39,414,111,26.81,299,72.22,4,0.97,46039
46,40,263,69,26.24,190,72.24,4,1.52,46040
46,41,312,74,23.72,231,74.04,7,2.24,46041
46,42,329,29,8.81,289,87.84,11,3.34,46042
46,45,385,69,17.92,305,79.22,11,2.86,46045
46,46,303,39,12.87,255,84.16,9,2.97,46046
46,47,141,15,10.64,117,82.98,9,6.38,46047
48,1,342,44,12.87,282,82.46,16,4.68,48001
48,2,271,54,19.93,209,77.12,8,2.95,48002
48,3,453,48,10.6,391,86.31,14,3.09,48003
48,4,421,86,20.43,325,77.2,10,2.38,48004
48,5,296,63,21.28,224,75.68,9,3.04,48005
48,6,412,74,17.96,325,78.88,13,3.16,48006
48,7,293,35,11.95,249,84.98,9,3.07,48007
48,8,253,66,26.09,180,71.15,7,2.77,48008
48,9,330,70,21.21,248,75.15,12,3.64,48009
48,10,222,23,10.36,188,84.68,11,4.95,48010
48,11,351,39,11.11,305,86.89,7,1.99,48011
48,12,322,45,13.98,270,83.85,7,2.17,48012
48,13,304,55,18.09,238,78.29,11,3.62,48013
48,14,419,155,36.99,257,61.34,7,1.67,48014
48,15,200,35,17.5,158,79.0,7,3.5,48015
48,16,287,42,14.63,235,81.88,10,3.48,48016
48,17,380,58,15.26,313,82.37,9,2.37,48017
48,18,212,20,9.43,181,85.38,11,5.19,48018
48,19,281,29,10.32,245,87.19,7,2.49,48019
48,20,210,43,20.48,163,77.62,4,1.9,48020
48,21,353,51,14.45,286,81.02,16,4.53,48021
48,22,402,83,20.65,308,76.62,11,2.74,48022
48,23,276,33,11.96,232,84.06,11,3.99,48023
48,24,177,16,9.04,154,87.01,7,3.95,48024
48,25,331,40,12.08,289,87.31,2,0.6,48025
48,26,350,60,17.14,280,80.0,10,2.86,48026
48,27,228,39,17.11,187,82.02,2,0.88,48027
48,28,271,46,16.97,218,80.44,7,2.58,48028
48,29,239,42,17.57,192,80.33,5,2.09,48029
48,30,320,34,10.63,274,85.63,12,3.75,48030
48,31,276,21,7.61,235,85.14,20,7.25,48031
48,32,269,28,10.41,226,84.01,15,5.58,48032
48,33,267,42,15.73,213,79.78,12,4.49,48033
48,34,353,51,14.45,293,83.0,9,2.55,48034
48,35,140,27,19.29,104,74.29,9,6.43,48035
48,36,281,41,14.59,228,81.14,12,4.27,48036
48,37,292,40,13.7,245,83.9,7,2.4,48037
48,38,366,45,12.3,313,85.52,8,2.19,48038
48,39,292,49,16.78,234,80.14,9,3.08,48039
48,40,228,22,9.65,201,88.16,5,2.19,48040
48,41,206,34,16.5,162,78.64,10,4.85,48041
48,42,310,25,8.06,274,88.39,11,3.55,48042
48,43,402,35,8.71,355,88.31,12,2.99,48043
48,44,414,36,8.7,365,88.16,13,3.14,48044
48,45,257,31,12.06,221,85.99,5,1.95,48045
48,46,202,26,12.87,166,82.18,10,4.95,48046
48,47,272,29,10.66,223,81.99,20,7.35,48047
48,48,346,58,16.76,275,79.48,13,3.76,48048
48,49,145,23,15.86,117,80.69,5,3.45,48049
48,50,356,47,13.2,292,82.02,17,4.78,48050
48,51,449,58,12.92,382,85.08,9,2.0,48051
48,52,239,25,10.46,206,86.19,8,3.35,48052
48,53,196,26,13.27,157,80.1,13,6.63,48053
48,54,262,25,9.54,229,87.4,8,3.05,48054
49,1,298,11,3.69,277,92.95,10,3.36,49001
49,2,423,71,16.78,338,79.91,14,3.31,49002
49,3,203,12,5.91,183,90.15,8,3.94,49003
49,4,161,17,10.56,139,86.34,5,3.11,49004
49,5,297,16,5.39,269,90.57,12,4.04,49005
49,6,318,48,15.09,263,82.7,7,2.2,49006
49,7,248,30,12.1,209,84.27,9,3.63,49007
49,8,321,49,15.26,266,82.87,6,1.87,49008
49,9,243,24,9.88,209,86.01,10,4.12,49009
49,10,267,34,12.73,225,84.27,8,3.0,49010
49,11,207,20,9.66,176,85.02,11,5.31,49011
49,12,316,26,8.23,281,88.92,9,2.85,49012
49,13,381,52,13.65,319,83.73,10,2.62,49013
49,14,313,42,13.42,263,84.03,8,2.56,49014
49,15,257,27,10.51,223,86.77,7,2.72,49015
49,16,227,30,13.22,191,84.14,6,2.64,49016
49,17,102,14,13.73,82,80.39,6,5.88,49017
49,18,218,26,11.93,177,81.19,15,6.88,49018
49,19,207,21,10.14,178,85.99,8,3.86,49019
49,20,363,49,13.5,299,82.37,15,4.13,49020
49,21,91,20,21.98,69,75.82,2,2.2,49021
49,22,272,22,8.09,230,84.56,20,7.35,49022
49,23,233,18,7.73,205,87.98,10,4.29,49023
49,24,298,30,10.07,261,87.58,7,2.35,49024
49,25,330,24,7.27,292,88.48,14,4.24,49025
49,26,331,82,24.77,237,71.6,12,3.63,49026
49,27,436,25,5.73,396,90.83,15,3.44,49027
49,28,219,22,10.05,193,88.13,4,1.83,49028
49,29,368,51,13.86,308,83.7,9,2.45,49029
49,30,320,41,12.81,271,84.69,8,2.5,49030
49,31,283,35,12.37,236,83.39,12,4.24,49031
49,32,197,28,14.21,156,79.19,13,6.6,49032
49,33,230,25,10.87,201,87.39,4,1.74,49033
49,34,299,27,9.03,263,87.96,9,3.01,49034
49,35,337,46,13.65,279,82.79,12,3.56,49035
49,36,418,42,10.05,363,86.84,13,3.11,49036
49,37,456,48,10.53,388,85.09,20,4.39,49037
49,38,261,18,6.9,235,90.04,8,3.07,49038
49,39,266,16,6.02,239,89.85,11,4.14,49039
49,40,261,45,17.24,208,79.69,8,3.07,49040
49,41,294,30,10.2,257,87.41,7,2.38,49041
49,42,309,23,7.44,269,87.06,17,5.5,49042
50,1,376,203,53.99,169,44.95,4,1.06,50001
50,2,375,140,37.33,226,60.27,9,2.4,50002
50,3,296,106,35.81,184,62.16,6,2.03,50003
50,4,312,75,24.04,234,75.0,3,0.96,50004
50,5,391,221,56.52,163,41.69,7,1.79,50005
50,6,202,33,16.34,166,82.18,3,1.49,50006
50,7,343,55,16.03,282,82.22,6,1.75,50007
50,8,187,30,16.04,151,80.75,6,3.21,50008
50,9,229,58,25.33,162,70.74,9,3.93,50009
50,10,250,125,50.0,118,47.2,7,2.8,50010
50,11,335,227,67.76,106,31.64,2,0.6,50011
50,12,200,84,42.0,114,57.0,2,1.0,50012
50,13,348,50,14.37,285,81.9,13,3.74,50013
50,14,141,59,41.84,79,56.03,3,2.13,50014
50,15,346,68,19.65,267,77.17,11,3.18,50015
50,16,158,73,46.2,83,52.53,2,1.27,50016
50,17,256,96,37.5,152,59.38,8,3.13,50017
50,18,248,82,33.06,155,62.5,11,4.44,50018
50,19,255,56,21.96,190,74.51,9,3.53,50019
50,20,277,71,25.63,193,69.68,13,4.69,50020
50,21,305,77,25.25,219,71.8,9,2.95,50021
50,22,299,39,13.04,250,83.61,10,3.34,50022
50,23,238,107,44.96,121,50.84,10,4.2,50023
50,24,298,56,18.79,234,78.52,8,2.68,50024
50,25,326,188,57.67,132,40.49,6,1.84,50025
50,26,221,50,22.62,168,76.02,3,1.36,50026
50,27,132,52,39.39,78,59.09,2,1.52,50027
50,28,302,73,24.17,219,72.52,10,3.31,50028
50,29,304,57,18.75,241,79.28,6,1.97,50029
