ward,precinct,total,Wes Fowler,Wes Fowler Percent,precinct_id
46,1,483,109,22.57,46001
46,2,324,42,12.96,46002
46,3,344,56,16.28,46003
46,4,280,43,15.36,46004
46,5,222,45,20.27,46005
46,6,343,49,14.29,46006
46,7,218,36,16.51,46007
46,8,328,56,17.07,46008
46,9,281,63,22.42,46009
46,10,269,63,23.42,46010
46,11,330,68,20.61,46011
46,12,342,56,16.37,46012
46,13,316,81,25.63,46013
46,14,263,19,7.22,46014
46,15,367,91,24.8,46015
46,16,284,64,22.54,46016
46,17,414,96,23.19,46017
46,18,313,68,21.73,46018
46,19,368,42,11.41,46019
46,20,226,38,16.81,46020
46,22,234,56,23.93,46022
46,23,263,37,14.07,46023
46,24,274,59,21.53,46024
46,25,413,126,30.51,46025
46,26,310,38,12.26,46026
46,27,339,96,28.32,46027
46,28,377,113,29.97,46028
46,29,276,56,20.29,46029
46,30,331,83,25.08,46030
46,31,363,80,22.04,46031
46,32,232,41,17.67,46032
46,33,353,74,20.96,46033
46,34,311,39,12.54,46034
46,35,378,84,22.22,46035
46,36,313,75,23.96,46036
46,37,245,51,20.82,46037
46,38,255,52,20.39,46038
46,39,373,103,27.61,46039
46,40,221,58,26.24,46040
46,41,281,69,24.56,46041
46,42,305,33,10.82,46042
46,43,400,70,17.5,46043
46,44,274,48,17.52,46044
46,45,359,72,20.06,46045
46,46,283,42,14.84,46046
46,47,131,19,14.5,46047
48,1,314,48,15.29,48001
48,2,257,62,24.12,48002
48,3,418,47,11.24,48003
48,4,399,93,23.31,48004
48,5,272,64,23.53,48005
48,6,388,84,21.65,48006
48,7,271,39,14.39,48007
48,8,224,69,30.8,48008
48,9,312,79,25.32,48009
48,11,318,34,10.69,48011
48,12,307,50,16.29,48012
48,13,279,60,21.51,48013
48,14,388,143,36.86,48014
48,15,189,39,20.63,48015
48,16,257,38,14.79,48016
48,17,365,73,20.0,48017
48,18,207,31,14.98,48018
48,19,255,30,11.76,48019
48,20,191,38,19.9,48020
48,21,331,59,17.82,48021
48,22,381,85,22.31,48022
48,23,259,47,18.15,48023
48,24,156,13,8.33,48024
48,25,306,40,13.07,48025
48,26,330,76,23.03,48026
48,27,215,38,17.67,48027
48,28,251,44,17.53,48028
48,29,227,44,19.38,48029
48,30,291,45,15.46,48030
48,31,263,30,11.41,48031
48,32,255,26,10.2,48032
48,33,250,47,18.8,48033
48,34,315,46,14.6,48034
48,35,129,28,21.71,48035
48,36,264,44,16.67,48036
48,37,272,41,15.07,48037
48,38,343,54,15.74,48038
48,39,270,56,20.74,48039
48,40,211,28,13.27,48040
48,41,188,37,19.68,48041
48,42,283,28,9.89,48042
48,43,368,43,11.68,48043
48,44,389,47,12.08,48044
48,45,239,41,17.15,48045
48,46,194,30,15.46,48046
48,47,248,34,13.71,48047
48,48,311,68,21.86,48048
48,49,77,16,20.78,48049
48,50,328,49,14.94,48050
48,51,412,67,16.26,48051
48,52,220,22,10.0,48052
48,53,179,29,16.2,48053
48,54,252,28,11.11,48054
49,2,387,68,17.57,49002
49,4,141,19,13.48,49004
49,7,228,24,10.53,49007
49,9,219,31,14.16,49009
49,17,96,12,12.5,49017
49,21,87,19,21.84,49021
49,32,178,28,15.73,49032
49,37,429,59,13.75,49037
50,8,165,42,25.45,50008
50,17,225,63,28.0,50017
50,23,210,70,33.33,50023
50,24,256,50,19.53,50024
50,25,283,98,34.63,50025
50,26,204,48,23.53,50026
50,29,290,59,20.34,50029
50,32,289,43,14.88,50032
50,34,232,30,12.93,50034
50,39,213,59,27.7,50039
50,43,253,41,16.21,50043
50,44,223,76,34.08,50044
50,45,164,69,42.07,50045
