ward,precinct,total,Maureen Masterson Pulia,Maureen Masterson Pulia Percent,Daniel J. Gallagher,Daniel J. Gallagher Percent,precinct_id
7,8,72,5,6.94,67,93.06,07008
7,9,205,5,2.44,200,97.56,07009
7,10,155,7,4.52,148,95.48,07010
7,11,243,10,4.12,233,95.88,07011
7,12,184,10,5.43,174,94.57,07012
7,13,166,5,3.01,161,96.99,07013
7,14,257,13,5.06,244,94.94,07014
7,15,148,5,3.38,143,96.62,07015
7,16,154,4,2.6,150,97.4,07016
7,17,111,3,2.7,108,97.3,07017
7,18,141,6,4.26,135,95.74,07018
7,19,321,17,5.3,304,94.7,07019
7,20,107,2,1.87,105,98.13,07020
7,21,259,4,1.54,255,98.46,07021
7,22,157,11,7.01,146,92.99,07022
7,23,220,9,4.09,211,95.91,07023
7,24,213,6,2.82,207,97.18,07024
7,25,279,10,3.58,269,96.42,07025
7,26,283,14,4.95,269,95.05,07026
7,27,313,13,4.15,300,95.85,07027
7,28,247,10,4.05,237,95.95,07028
7,29,201,5,2.49,196,97.51,07029
7,30,254,10,3.94,244,96.06,07030
7,31,219,15,6.85,204,93.15,07031
7,32,165,16,9.7,149,90.3,07032
7,33,171,6,3.51,165,96.49,07033
7,34,227,6,2.64,221,97.36,07034
7,35,271,16,5.9,255,94.1,07035
7,36,252,9,3.57,243,96.43,07036
7,37,125,4,3.2,121,96.8,07037
7,38,176,4,2.27,172,97.73,07038
7,39,198,2,1.01,196,98.99,07039
7,40,266,19,7.14,247,92.86,07040
7,41,187,5,2.67,182,97.33,07041
7,42,341,7,2.05,334,97.95,07042
7,43,253,12,4.74,241,95.26,07043
7,44,335,17,5.07,318,94.93,07044
7,45,300,14,4.67,286,95.33,07045
7,46,107,3,2.8,104,97.2,07046
7,47,213,2,0.94,211,99.06,07047
7,48,193,3,1.55,190,98.45,07048
7,49,113,2,1.77,111,98.23,07049
7,50,171,8,4.68,163,95.32,07050
7,51,389,12,3.08,377,96.92,07051
7,52,172,4,2.33,168,97.67,07052
7,53,189,9,4.76,180,95.24,07053
7,54,96,3,3.13,93,96.88,07054
7,55,199,5,2.51,194,97.49,07055
7,56,213,10,4.69,203,95.31,07056
7,57,158,9,5.7,149,94.3,07057
7,58,252,7,2.78,245,97.22,07058
7,59,123,6,4.88,117,95.12,07059
7,60,168,5,2.98,163,97.02,07060
7,61,203,5,2.46,198,97.54,07061
8,1,273,10,3.66,263,96.34,08001
8,2,139,1,0.72,138,99.28,08002
8,3,316,8,2.53,308,97.47,08003
8,4,229,7,3.06,222,96.94,08004
8,5,270,7,2.59,263,97.41,08005
8,6,259,8,3.09,251,96.91,08006
8,7,234,11,4.7,223,95.3,08007
8,8,297,9,3.03,288,96.97,08008
8,9,322,11,3.42,311,96.58,08009
8,10,343,8,2.33,335,97.67,08010
8,11,258,9,3.49,249,96.51,08011
8,12,263,8,3.04,255,96.96,08012
8,13,192,2,1.04,190,98.96,08013
8,14,173,3,1.73,170,98.27,08014
8,15,201,9,4.48,192,95.52,08015
8,16,273,9,3.3,264,96.7,08016
8,17,234,3,1.28,231,98.72,08017
8,18,155,3,1.94,152,98.06,08018
8,19,316,10,3.16,306,96.84,08019
8,20,193,3,1.55,190,98.45,08020
8,21,197,10,5.08,187,94.92,08021
8,22,208,4,1.92,204,98.08,08022
8,23,224,5,2.23,219,97.77,08023
8,24,248,7,2.82,241,97.18,08024
8,25,245,9,3.67,236,96.33,08025
8,26,185,4,2.16,181,97.84,08026
8,27,293,13,4.44,280,95.56,08027
8,28,211,5,2.37,206,97.63,08028
8,29,283,6,2.12,277,97.88,08029
8,30,231,9,3.9,222,96.1,08030
8,31,172,3,1.74,169,98.26,08031
8,32,365,9,2.47,356,97.53,08032
8,33,232,5,2.16,227,97.84,08033
8,34,324,5,1.54,319,98.46,08034
8,35,287,8,2.79,279,97.21,08035
8,36,223,5,2.24,218,97.76,08036
8,37,288,5,1.74,283,98.26,08037
8,38,270,8,2.96,262,97.04,08038
8,39,276,4,1.45,272,98.55,08039
8,40,216,6,2.78,210,97.22,08040
8,41,193,6,3.11,187,96.89,08041
8,42,272,9,3.31,263,96.69,08042
8,43,207,6,2.9,201,97.1,08043
8,44,201,9,4.48,192,95.52,08044
8,45,206,5,2.43,201,97.57,08045
8,46,216,7,3.24,209,96.76,08046
8,47,253,7,2.77,246,97.23,08047
8,48,232,7,3.02,225,96.98,08048
8,49,340,6,1.76,334,98.24,08049
8,50,254,5,1.97,249,98.03,08050
8,51,323,6,1.86,317,98.14,08051
8,52,259,8,3.09,251,96.91,08052
8,53,262,12,4.58,250,95.42,08053
8,54,263,13,4.94,250,95.06,08054
8,55,244,4,1.64,240,98.36,08055
8,56,276,12,4.35,264,95.65,08056
8,57,225,5,2.22,220,97.78,08057
8,58,265,8,3.02,257,96.98,08058
8,59,146,5,3.42,141,96.58,08059
8,60,232,3,1.29,229,98.71,08060
8,61,198,7,3.54,191,96.46,08061
8,62,216,4,1.85,212,98.15,08062
8,63,275,12,4.36,263,95.64,08063
8,64,236,12,5.08,224,94.92,08064
8,65,172,6,3.49,166,96.51,08065
8,66,381,18,4.72,363,95.28,08066
8,67,167,4,2.4,163,97.6,08067
8,68,160,5,3.13,155,96.88,08068
8,69,158,10,6.33,148,93.67,08069
8,70,286,15,5.24,271,94.76,08070
9,1,286,8,2.8,278,97.2,09001
9,2,288,6,2.08,282,97.92,09002
9,3,96,2,2.08,94,97.92,09003
9,4,237,9,3.8,228,96.2,09004
9,5,306,9,2.94,297,97.06,09005
9,6,293,8,2.73,285,97.27,09006
9,7,190,8,4.21,182,95.79,09007
9,8,273,8,2.93,265,97.07,09008
9,9,306,11,3.59,295,96.41,09009
9,10,259,7,2.7,252,97.3,09010
9,11,177,5,2.82,172,97.18,09011
9,12,239,1,0.42,238,99.58,09012
9,13,299,7,2.34,292,97.66,09013
9,14,356,9,2.53,347,97.47,09014
9,15,212,7,3.3,205,96.7,09015
9,16,181,4,2.21,177,97.79,09016
9,17,216,3,1.39,213,98.61,09017
9,18,251,7,2.79,244,97.21,09018
9,19,236,4,1.69,232,98.31,09019
9,20,260,1,0.38,259,99.62,09020
9,21,261,13,4.98,248,95.02,09021
9,22,311,7,2.25,304,97.75,09022
9,23,191,3,1.57,188,98.43,09023
9,24,101,7,6.93,94,93.07,09024
9,25,198,40,20.2,158,79.8,09025
9,26,179,7,3.91,172,96.09,09026
9,27,249,8,3.21,241,96.79,09027
9,28,115,5,4.35,110,95.65,09028
9,29,203,5,2.46,198,97.54,09029
9,30,238,4,1.68,234,98.32,09030
9,31,213,9,4.23,204,95.77,09031
9,32,226,3,1.33,223,98.67,09032
9,33,208,6,2.88,202,97.12,09033
9,34,195,7,3.59,188,96.41,09034
9,35,304,9,2.96,295,97.04,09035
9,36,311,7,2.25,304,97.75,09036
9,37,201,36,17.91,165,82.09,09037
9,38,266,14,5.26,252,94.74,09038
9,39,301,4,1.33,297,98.67,09039
9,40,266,7,2.63,259,97.37,09040
9,41,281,17,6.05,264,93.95,09041
9,42,103,2,1.94,101,98.06,09042
9,43,170,9,5.29,161,94.71,09043
9,44,154,6,3.9,148,96.1,09044
9,45,224,7,3.13,217,96.88,09045
9,46,207,5,2.42,202,97.58,09046
9,47,298,7,2.35,291,97.65,09047
9,48,269,6,2.23,263,97.77,09048
9,49,169,3,1.78,166,98.22,09049
9,50,224,4,1.79,220,98.21,09050
9,51,148,10,6.76,138,93.24,09051
9,52,271,6,2.21,265,97.79,09052
9,53,148,4,2.7,144,97.3,09053
10,1,183,8,4.37,175,95.63,10001
10,2,136,46,33.82,90,66.18,10002
10,3,188,85,45.21,103,54.79,10003
10,4,126,13,10.32,113,89.68,10004
10,5,161,39,24.22,122,75.78,10005
10,6,209,4,1.91,205,98.09,10006
10,7,48,4,8.33,44,91.67,10007
10,8,178,69,38.76,109,61.24,10008
10,9,181,68,37.57,113,62.43,10009
10,10,178,73,41.01,105,58.99,10010
10,11,174,53,30.46,121,69.54,10011
10,12,135,25,18.52,110,81.48,10012
10,13,158,44,27.85,114,72.15,10013
10,14,178,64,35.96,114,64.04,10014
10,15,78,24,30.77,54,69.23,10015
10,16,181,76,41.99,105,58.01,10016
10,17,158,50,31.65,108,68.35,10017
10,18,139,4,2.88,135,97.12,10018
10,19,211,70,33.18,141,66.82,10019
10,20,137,39,28.47,98,71.53,10020
10,21,166,68,40.96,98,59.04,10021
10,22,133,5,3.76,128,96.24,10022
10,23,142,33,23.24,109,76.76,10023
10,24,163,77,47.24,86,52.76,10024
10,25,191,23,12.04,168,87.96,10025
10,26,157,36,22.93,121,77.07,10026
10,27,196,63,32.14,133,67.86,10027
10,28,160,6,3.75,154,96.25,10028
10,29,199,9,4.52,190,95.48,10029
10,30,161,27,16.77,134,83.23,10030
10,31,159,46,28.93,113,71.07,10031
10,32,167,35,20.96,132,79.04,10032
10,33,171,34,19.88,137,80.12,10033
10,34,167,23,13.77,144,86.23,10034
10,35,153,25,16.34,128,83.66,10035
10,36,210,12,5.71,198,94.29,10036
10,37,137,7,5.11,130,94.89,10037
10,38,186,48,25.81,138,74.19,10038
10,39,155,29,18.71,126,81.29,10039
10,40,119,13,10.92,106,89.08,10040
10,41,224,77,34.38,147,65.63,10041
10,42,171,68,39.77,103,60.23,10042
10,43,101,8,7.92,93,92.08,10043
10,44,157,27,17.2,130,82.8,10044
10,45,102,20,19.61,82,80.39,10045
10,46,162,32,19.75,130,80.25,10046
10,47,135,26,19.26,109,80.74,10047
10,48,144,8,5.56,136,94.44,10048
11,1,249,60,24.1,189,75.9,11001
11,2,186,39,20.97,147,79.03,11002
11,3,163,28,17.18,135,82.82,11003
11,4,206,36,17.48,170,82.52,11004
11,5,129,30,23.26,99,76.74,11005
11,6,235,37,15.74,198,84.26,11006
11,7,185,36,19.46,149,80.54,11007
11,8,185,43,23.24,142,76.76,11008
11,9,121,27,22.31,94,77.69,11009
11,10,113,23,20.35,90,79.65,11010
11,11,333,98,29.43,235,70.57,11011
11,12,222,39,17.57,183,82.43,11012
11,13,189,33,17.46,156,82.54,11013
11,14,166,46,27.71,120,72.29,11014
11,15,160,33,20.63,127,79.38,11015
11,16,219,46,21.0,173,79.0,11016
11,17,274,51,18.61,223,81.39,11017
11,18,167,55,32.93,112,67.07,11018
11,19,182,45,24.73,137,75.27,11019
11,20,163,33,20.25,130,79.75,11020
11,21,192,56,29.17,136,70.83,11021
11,22,163,22,13.5,141,86.5,11022
11,23,148,33,22.3,115,77.7,11023
11,24,371,91,24.53,280,75.47,11024
11,25,198,43,21.72,155,78.28,11025
11,26,244,42,17.21,202,82.79,11026
11,27,174,58,33.33,116,66.67,11027
11,28,152,33,21.71,119,78.29,11028
11,29,189,31,16.4,158,83.6,11029
11,30,201,45,22.39,156,77.61,11030
11,31,145,49,33.79,96,66.21,11031
11,32,154,40,25.97,114,74.03,11032
11,33,126,30,23.81,96,76.19,11033
11,34,121,27,22.31,94,77.69,11034
11,35,295,64,21.69,231,78.31,11035
11,36,59,16,27.12,43,72.88,11036
11,37,276,89,32.25,187,67.75,11037
11,38,260,72,27.69,188,72.31,11038
11,39,284,73,25.7,211,74.3,11039
11,40,114,29,25.44,85,74.56,11040
11,41,100,20,20.0,80,80.0,11041
11,42,145,26,17.93,119,82.07,11042
11,43,222,61,27.48,161,72.52,11043
11,44,199,44,22.11,155,77.89,11044
11,45,98,35,35.71,63,64.29,11045
11,46,105,25,23.81,80,76.19,11046
11,47,163,49,30.06,114,69.94,11047
11,48,74,19,25.68,55,74.32,11048
11,49,172,40,23.26,132,76.74,11049
11,50,103,26,25.24,77,74.76,11050
12,1,88,11,12.5,77,87.5,12001
12,2,93,15,16.13,78,83.87,12002
12,3,145,31,21.38,114,78.62,12003
12,4,96,24,25.0,72,75.0,12004
12,5,96,14,14.58,82,85.42,12005
12,6,79,13,16.46,66,83.54,12006
12,7,158,16,10.13,142,89.87,12007
12,8,200,32,16.0,168,84.0,12008
12,9,104,21,20.19,83,79.81,12009
12,10,134,25,18.66,109,81.34,12010
12,11,182,23,12.64,159,87.36,12011
12,12,106,24,22.64,82,77.36,12012
12,13,196,45,22.96,151,77.04,12013
12,14,138,22,15.94,116,84.06,12014
12,15,86,13,15.12,73,84.88,12015
12,16,110,16,14.55,94,85.45,12016
12,17,121,20,16.53,101,83.47,12017
12,18,141,14,9.93,127,90.07,12018
12,19,189,40,21.16,149,78.84,12019
12,20,132,26,19.7,106,80.3,12020
12,21,135,21,15.56,114,84.44,12021
12,22,101,14,13.86,87,86.14,12022
12,23,142,28,19.72,114,80.28,12023
12,24,169,34,20.12,135,79.88,12024
13,1,225,68,30.22,157,69.78,13001
13,2,154,31,20.13,123,79.87,13002
13,3,247,47,19.03,200,80.97,13003
13,4,318,130,40.88,188,59.12,13004
13,5,230,47,20.43,183,79.57,13005
13,6,190,48,25.26,142,74.74,13006
13,7,200,41,20.5,159,79.5,13007
13,8,228,90,39.47,138,60.53,13008
13,9,245,53,21.63,192,78.37,13009
13,10,191,45,23.56,146,76.44,13010
13,11,191,41,21.47,150,78.53,13011
13,12,181,48,26.52,133,73.48,13012
13,13,260,42,16.15,218,83.85,13013
13,14,198,54,27.27,144,72.73,13014
13,15,277,51,18.41,226,81.59,13015
13,16,251,68,27.09,183,72.91,13016
13,17,225,77,34.22,148,65.78,13017
13,18,180,41,22.78,139,77.22,13018
13,19,275,35,12.73,240,87.27,13019
13,20,211,39,18.48,172,81.52,13020
13,21,235,50,21.28,185,78.72,13021
13,22,179,48,26.82,131,73.18,13022
13,23,180,41,22.78,139,77.22,13023
13,24,209,57,27.27,152,72.73,13024
13,25,181,53,29.28,128,70.72,13025
13,26,214,59,27.57,155,72.43,13026
