ward,precinct,total,Robert B. Steele,Robert B. Steele Percent,Michael Smith,Michael Smith Percent,precinct_id
12,18,39,39,100.0,0,0.0,12018
15,2,158,153,96.84,5,3.16,15002
15,3,165,156,94.55,9,5.45,15003
15,4,176,170,96.59,6,3.41,15004
15,5,180,177,98.33,3,1.67,15005
15,7,199,187,93.97,12,6.03,15007
15,8,261,248,95.02,13,4.98,15008
15,9,207,193,93.24,14,6.76,15009
15,11,209,203,97.13,6,2.87,15011
15,12,124,118,95.16,6,4.84,15012
15,17,192,184,95.83,8,4.17,15017
15,18,149,144,96.64,5,3.36,15018
15,19,166,161,96.99,5,3.01,15019
15,20,113,110,97.35,3,2.65,15020
15,21,187,180,96.26,7,3.74,15021
15,23,135,133,98.52,2,1.48,15023
15,26,168,165,98.21,3,1.79,15026
15,27,184,178,96.74,6,3.26,15027
15,30,223,210,94.17,13,5.83,15030
15,31,159,156,98.11,3,1.89,15031
15,33,118,113,95.76,5,4.24,15033
15,34,172,166,96.51,6,3.49,15034
15,35,215,205,95.35,10,4.65,15035
15,36,158,154,97.47,4,2.53,15036
15,37,144,140,97.22,4,2.78,15037
15,38,152,143,94.08,9,5.92,15038
15,39,171,169,98.83,2,1.17,15039
15,40,171,164,95.91,7,4.09,15040
15,41,277,267,96.39,10,3.61,15041
15,42,119,112,94.12,7,5.88,15042
15,43,146,142,97.26,4,2.74,15043
15,46,119,119,100.0,0,0.0,15046
15,47,230,228,99.13,2,0.87,15047
15,48,164,154,93.9,10,6.1,15048
15,51,124,118,95.16,6,4.84,15051
15,52,151,147,97.35,4,2.65,15052
16,3,171,164,95.91,7,4.09,16003
16,5,162,155,95.68,7,4.32,16005
16,9,232,216,93.1,16,6.9,16009
16,14,177,173,97.74,4,2.26,16014
16,15,218,216,99.08,2,0.92,16015
16,16,198,194,97.98,4,2.02,16016
16,20,153,149,97.39,4,2.61,16020
16,22,165,163,98.79,2,1.21,16022
16,24,105,104,99.05,1,0.95,16024
16,25,126,122,96.83,4,3.17,16025
16,26,191,188,98.43,3,1.57,16026
16,27,277,271,97.83,6,2.17,16027
16,28,209,205,98.09,4,1.91,16028
16,31,231,227,98.27,4,1.73,16031
16,33,141,131,92.91,10,7.09,16033
16,34,170,165,97.06,5,2.94,16034
16,36,182,175,96.15,7,3.85,16036
16,37,126,122,96.83,4,3.17,16037
16,38,133,129,96.99,4,3.01,16038
16,40,188,182,96.81,6,3.19,16040
16,41,89,86,96.63,3,3.37,16041
16,43,190,186,97.89,4,2.11,16043
17,1,135,125,92.59,10,7.41,17001
17,6,176,170,96.59,6,3.41,17006
17,8,175,169,96.57,6,3.43,17008
17,13,161,155,96.27,6,3.73,17013
17,14,209,203,97.13,6,2.87,17014
17,16,176,170,96.59,6,3.41,17016
17,17,187,181,96.79,6,3.21,17017
17,19,107,106,99.07,1,0.93,17019
17,34,190,186,97.89,4,2.11,17034
17,36,118,114,96.61,4,3.39,17036
17,39,172,166,96.51,6,3.49,17039
17,41,178,169,94.94,9,5.06,17041
17,42,192,185,96.35,7,3.65,17042
17,43,165,162,98.18,3,1.82,17043
17,45,133,131,98.5,2,1.5,17045
17,46,198,189,95.45,9,4.55,17046
17,49,142,139,97.89,3,2.11,17049
17,58,198,190,95.96,8,4.04,17058
17,59,137,136,99.27,1,0.73,17059
17,60,297,287,96.63,10,3.37,17060
17,62,165,162,98.18,3,1.82,17062
17,63,172,166,96.51,6,3.49,17063
17,64,158,148,93.67,10,6.33,17064
18,5,266,257,96.62,9,3.38,18005
18,8,0,0,0.0,0,0.0,18008
18,27,286,270,94.41,16,5.59,18027
18,33,232,226,97.41,6,2.59,18033
18,39,286,273,95.45,13,4.55,18039
18,42,234,210,89.74,24,10.26,18042
18,47,262,253,96.56,9,3.44,18047
18,49,210,194,92.38,16,7.62,18049
18,50,276,262,94.93,14,5.07,18050
18,58,265,254,95.85,11,4.15,18058
18,59,189,182,96.3,7,3.7,18059
20,7,66,63,95.45,3,4.55,20007
20,11,159,156,98.11,3,1.89,20011
20,12,133,129,96.99,4,3.01,20012
20,13,184,176,95.65,8,4.35,20013
20,17,171,163,95.32,8,4.68,20017
20,19,195,190,97.44,5,2.56,20019
20,20,107,105,98.13,2,1.87,20020
20,23,299,291,97.32,8,2.68,20023
20,25,169,163,96.45,6,3.55,20025
20,27,192,181,94.27,11,5.73,20027
20,28,220,213,96.82,7,3.18,20028
20,30,222,213,95.95,9,4.05,20030
20,31,268,260,97.01,8,2.99,20031
20,33,267,253,94.76,14,5.24,20033
20,35,123,120,97.56,3,2.44,20035
20,39,212,203,95.75,9,4.25,20039
20,40,174,170,97.7,4,2.3,20040
20,42,191,183,95.81,8,4.19,20042
20,43,72,70,97.22,2,2.78,20043
20,44,263,249,94.68,14,5.32,20044
20,45,106,101,95.28,5,4.72,20045
20,46,199,193,96.98,6,3.02,20046
20,48,83,82,98.8,1,1.2,20048
20,49,148,146,98.65,2,1.35,20049
20,50,123,119,96.75,4,3.25,20050
22,7,241,236,97.93,5,2.07,22007
22,18,2,2,100.0,0,0.0,22018
22,19,166,162,97.59,4,2.41,22019
22,21,220,211,95.91,9,4.09,22021
24,1,301,290,96.35,11,3.65,24001
24,2,183,174,95.08,9,4.92,24002
24,3,194,187,96.39,7,3.61,24003
24,4,222,216,97.3,6,2.7,24004
24,5,217,215,99.08,2,0.92,24005
24,6,281,269,95.73,12,4.27,24006
24,7,179,176,98.32,3,1.68,24007
24,8,212,202,95.28,10,4.72,24008
24,9,221,208,94.12,13,5.88,24009
24,10,161,159,98.76,2,1.24,24010
24,11,148,145,97.97,3,2.03,24011
24,12,206,199,96.6,7,3.4,24012
24,13,188,183,97.34,5,2.66,24013
24,14,275,270,98.18,5,1.82,24014
24,15,186,177,95.16,9,4.84,24015
24,16,154,151,98.05,3,1.95,24016
24,17,195,189,96.92,6,3.08,24017
24,18,144,140,97.22,4,2.78,24018
24,19,140,135,96.43,5,3.57,24019
24,20,169,166,98.22,3,1.78,24020
24,21,134,132,98.51,2,1.49,24021
24,22,241,235,97.51,6,2.49,24022
24,23,156,148,94.87,8,5.13,24023
24,24,155,150,96.77,5,3.23,24024
24,25,268,260,97.01,8,2.99,24025
24,26,258,244,94.57,14,5.43,24026
24,27,108,100,92.59,8,7.41,24027
24,28,263,254,96.58,9,3.42,24028
24,29,267,253,94.76,14,5.24,24029
24,30,246,238,96.75,8,3.25,24030
24,31,212,200,94.34,12,5.66,24031
24,32,200,193,96.5,7,3.5,24032
24,33,170,166,97.65,4,2.35,24033
24,34,216,205,94.91,11,5.09,24034
24,35,311,299,96.14,12,3.86,24035
24,36,200,192,96.0,8,4.0,24036
24,37,222,210,94.59,12,5.41,24037
24,38,258,242,93.8,16,6.2,24038
24,39,204,197,96.57,7,3.43,24039
24,40,270,250,92.59,20,7.41,24040
24,41,207,198,95.65,9,4.35,24041
24,42,139,137,98.56,2,1.44,24042
24,43,278,268,96.4,10,3.6,24043
24,44,113,111,98.23,2,1.77,24044
24,45,189,184,97.35,5,2.65,24045
24,46,260,256,98.46,4,1.54,24046
24,47,176,172,97.73,4,2.27,24047
24,48,121,113,93.39,8,6.61,24048
24,49,395,385,97.47,10,2.53,24049
24,50,354,338,95.48,16,4.52,24050
24,51,315,303,96.19,12,3.81,24051
24,52,175,169,96.57,6,3.43,24052
24,54,254,245,96.46,9,3.54,24054
24,56,268,257,95.9,11,4.1,24056
25,3,141,133,94.33,8,5.67,25003
25,4,244,179,73.36,65,26.64,25004
25,5,78,59,75.64,19,24.36,25005
25,6,170,127,74.71,43,25.29,25006
25,8,1,1,100.0,0,0.0,25008
25,10,150,129,86.0,21,14.0,25010
25,14,110,80,72.73,30,27.27,25014
25,16,128,94,73.44,34,26.56,25016
25,18,221,186,84.16,35,15.84,25018
25,21,168,124,73.81,44,26.19,25021
25,25,228,160,70.18,68,29.82,25025
25,26,171,124,72.51,47,27.49,25026
25,27,210,157,74.76,53,25.24,25027
25,28,299,217,72.58,82,27.42,25028
25,29,411,308,74.94,103,25.06,25029
27,1,418,282,67.46,136,32.54,27001
27,5,137,99,72.26,38,27.74,27005
27,6,68,65,95.59,3,4.41,27006
27,9,288,259,89.93,29,10.07,27009
27,11,97,79,81.44,18,18.56,27011
27,12,303,238,78.55,65,21.45,27012
27,16,97,77,79.38,20,20.62,27016
27,17,88,61,69.32,27,30.68,27017
27,18,2,2,100.0,0,0.0,27018
27,20,299,293,97.99,6,2.01,27020
27,21,168,157,93.45,11,6.55,27021
27,28,243,194,79.84,49,20.16,27028
27,37,223,204,91.48,19,8.52,27037
27,39,101,90,89.11,11,10.89,27039
27,42,200,149,74.5,51,25.5,27042
27,43,66,62,93.94,4,6.06,27043
27,51,34,34,100.0,0,0.0,27051
27,58,124,83,66.94,41,33.06,27058
28,10,55,52,94.55,3,5.45,28010
28,32,200,189,94.5,11,5.5,28032
28,35,189,180,95.24,9,4.76,28035
28,36,173,172,99.42,1,0.58,28036
28,50,129,124,96.12,5,3.88,28050
28,52,165,150,90.91,15,9.09,28052
28,53,98,87,88.78,11,11.22,28053
28,54,152,148,97.37,4,2.63,28054
28,61,150,124,82.67,26,17.33,28061
32,46,1,1,100.0,0,0.0,32046
42,1,366,278,75.96,88,24.04,42001
42,3,262,203,77.48,59,22.52,42003
42,4,268,191,71.27,77,28.73,42004
42,7,240,167,69.58,73,30.42,42007
42,8,364,269,73.9,95,26.1,42008
42,9,697,503,72.17,194,27.83,42009
42,10,221,176,79.64,45,20.36,42010
42,12,207,160,77.29,47,22.71,42012
42,14,297,226,76.09,71,23.91,42014
42,15,325,223,68.62,102,31.38,42015
42,16,202,165,81.68,37,18.32,42016
42,17,456,343,75.22,113,24.78,42017
42,18,608,418,68.75,190,31.25,42018
42,19,122,85,69.67,37,30.33,42019
42,20,177,134,75.71,43,24.29,42020
42,21,230,158,68.7,72,31.3,42021
42,22,238,168,70.59,70,29.41,42022
42,23,336,258,76.79,78,23.21,42023
42,24,292,213,72.95,79,27.05,42024
42,26,294,238,80.95,56,19.05,42026
42,27,301,213,70.76,88,29.24,42027
42,28,284,203,71.48,81,28.52,42028
42,29,322,234,72.67,88,27.33,42029
42,30,199,141,70.85,58,29.15,42030
42,32,260,190,73.08,70,26.92,42032
42,33,347,263,75.79,84,24.21,42033
42,34,257,198,77.04,59,22.96,42034
42,36,219,159,72.6,60,27.4,42036
42,39,131,100,76.34,31,23.66,42039
42,42,179,139,77.65,40,22.35,42042
42,45,259,201,77.61,58,22.39,42045
42,46,256,183,71.48,73,28.52,42046
42,48,221,157,71.04,64,28.96,42048
42,49,69,50,72.46,19,27.54,42049
42,55,335,239,71.34,96,28.66,42055
42,56,412,310,75.24,102,24.76,42056
42,57,241,186,77.18,55,22.82,42057
42,58,205,147,71.71,58,28.29,42058
42,59,385,279,72.47,106,27.53,42059
42,60,143,103,72.03,40,27.97,42060
42,61,230,164,71.3,66,28.7,42061
42,67,537,395,73.56,142,26.44,42067
42,68,337,234,69.44,103,30.56,42068
42,69,221,158,71.49,63,28.51,42069
43,13,165,119,72.12,46,27.88,43013
43,19,220,159,72.27,61,27.73,43019
43,28,375,274,73.07,101,26.93,43028
43,30,203,135,66.5,68,33.5,43030
43,35,325,242,74.46,83,25.54,43035
43,37,249,191,76.71,58,23.29,43037
43,39,206,142,68.93,64,31.07,43039
43,40,118,88,74.58,30,25.42,43040
43,51,298,218,73.15,80,26.85,43051
43,54,226,156,69.03,70,30.97,43054
43,55,111,93,83.78,18,16.22,43055
