ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Marie J. ''Jenny'' Wohadlo,Marie J. ''Jenny'' Wohadlo Percent,precinct_id
17,30,266,265,99.62,1,0.38,17030
17,31,200,198,99.0,2,1.0,17031
17,32,257,254,98.83,3,1.17,17032
17,33,187,182,97.33,5,2.67,17033
17,35,136,133,97.79,3,2.21,17035
17,37,184,179,97.28,5,2.72,17037
17,38,194,193,99.48,1,0.52,17038
17,40,193,190,98.45,3,1.55,17040
17,44,140,137,97.86,3,2.14,17044
17,47,128,125,97.66,3,2.34,17047
17,48,235,225,95.74,10,4.26,17048
17,50,221,216,97.74,5,2.26,17050
17,51,263,260,98.86,3,1.14,17051
17,52,296,293,98.99,3,1.01,17052
17,53,218,210,96.33,8,3.67,17053
17,54,240,238,99.17,2,0.83,17054
17,55,216,210,97.22,6,2.78,17055
17,56,238,234,98.32,4,1.68,17056
17,57,253,251,99.21,2,0.79,17057
17,61,207,203,98.07,4,1.93,17061
18,4,340,324,95.29,16,4.71,18004
18,7,247,223,90.28,24,9.72,18007
18,8,118,115,97.46,3,2.54,18008
18,9,325,303,93.23,22,6.77,18009
18,10,459,445,96.95,14,3.05,18010
18,12,358,346,96.65,12,3.35,18012
18,13,353,336,95.18,17,4.82,18013
18,14,351,335,95.44,16,4.56,18014
18,16,371,363,97.84,8,2.16,18016
18,18,266,262,98.5,4,1.5,18018
18,19,357,356,99.72,1,0.28,18019
18,20,300,297,99.0,3,1.0,18020
18,21,431,407,94.43,24,5.57,18021
18,22,401,389,97.01,12,2.99,18022
18,24,334,330,98.8,4,1.2,18024
18,25,318,315,99.06,3,0.94,18025
18,26,253,242,95.65,11,4.35,18026
18,31,295,284,96.27,11,3.73,18031
18,32,386,377,97.67,9,2.33,18032
18,33,32,30,93.75,2,6.25,18033
18,34,399,377,94.49,22,5.51,18034
18,35,381,366,96.06,15,3.94,18035
18,36,97,89,91.75,8,8.25,18036
18,37,258,246,95.35,12,4.65,18037
18,38,342,338,98.83,4,1.17,18038
18,40,354,337,95.2,17,4.8,18040
18,44,198,184,92.93,14,7.07,18044
18,45,327,321,98.17,6,1.83,18045
18,51,361,351,97.23,10,2.77,18051
18,52,327,323,98.78,4,1.22,18052
18,54,285,276,96.84,9,3.16,18054
18,58,21,20,95.24,1,4.76,18058
18,59,85,83,97.65,2,2.35,18059
18,60,341,336,98.53,5,1.47,18060
18,61,292,287,98.29,5,1.71,18061
20,1,238,231,97.06,7,2.94,20001
20,2,201,197,98.01,4,1.99,20002
20,3,221,220,99.55,1,0.45,20003
20,5,159,157,98.74,2,1.26,20005
20,6,270,265,98.15,5,1.85,20006
20,9,346,332,95.95,14,4.05,20009
20,10,182,180,98.9,2,1.1,20010
20,14,305,299,98.03,6,1.97,20014
20,16,306,287,93.79,19,6.21,20016
20,18,159,157,98.74,2,1.26,20018
20,22,354,334,94.35,20,5.65,20022
20,24,269,248,92.19,21,7.81,20024
20,26,237,221,93.25,16,6.75,20026
20,29,273,259,94.87,14,5.13,20029
20,32,170,158,92.94,12,7.06,20032
20,34,377,319,84.62,58,15.38,20034
20,36,195,191,97.95,4,2.05,20036
20,37,228,218,95.61,10,4.39,20037
20,38,42,40,95.24,2,4.76,20038
20,47,181,176,97.24,5,2.76,20047
21,29,153,151,98.69,2,1.31,21029
21,52,49,49,100.0,0,0.0,21052
21,74,101,98,97.03,3,2.97,21074
42,2,195,152,77.95,43,22.05,42002
42,5,228,148,64.91,80,35.09,42005
42,6,421,279,66.27,142,33.73,42006
42,11,284,175,61.62,109,38.38,42011
42,13,403,248,61.54,155,38.46,42013
42,25,232,148,63.79,84,36.21,42025
42,31,280,162,57.86,118,42.14,42031
42,35,215,139,64.65,76,35.35,42035
42,37,256,162,63.28,94,36.72,42037
42,38,193,135,69.95,58,30.05,42038
42,40,267,163,61.05,104,38.95,42040
42,41,458,294,64.19,164,35.81,42041
42,43,245,149,60.82,96,39.18,42043
42,44,255,177,69.41,78,30.59,42044
42,47,156,96,61.54,60,38.46,42047
42,50,421,232,55.11,189,44.89,42050
42,51,554,356,64.26,198,35.74,42051
42,52,132,86,65.15,46,34.85,42052
42,53,348,239,68.68,109,31.32,42053
42,54,210,144,68.57,66,31.43,42054
42,62,176,124,70.45,52,29.55,42062
42,63,245,167,68.16,78,31.84,42063
42,64,97,73,75.26,24,24.74,42064
42,65,353,223,63.17,130,36.83,42065
42,66,244,170,69.67,74,30.33,42066
