ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,precinct_id
5,9,252,252,100.0,05009
5,10,223,223,100.0,05010
5,11,235,235,100.0,05011
5,13,250,250,100.0,05013
5,14,388,388,100.0,05014
5,15,246,246,100.0,05015
5,16,195,195,100.0,05016
5,17,264,264,100.0,05017
5,18,260,260,100.0,05018
5,19,144,144,100.0,05019
5,21,287,287,100.0,05021
5,22,242,242,100.0,05022
5,23,170,170,100.0,05023
5,24,224,224,100.0,05024
5,25,274,274,100.0,05025
5,26,271,271,100.0,05026
5,27,389,389,100.0,05027
5,28,286,286,100.0,05028
5,29,249,249,100.0,05029
5,30,246,246,100.0,05030
5,31,239,239,100.0,05031
5,32,424,424,100.0,05032
5,33,165,165,100.0,05033
5,34,299,299,100.0,05034
5,35,217,217,100.0,05035
5,36,128,128,100.0,05036
5,37,225,225,100.0,05037
5,38,274,274,100.0,05038
5,39,360,360,100.0,05039
5,40,276,276,100.0,05040
5,41,252,252,100.0,05041
5,42,273,273,100.0,05042
5,43,273,273,100.0,05043
5,44,300,300,100.0,05044
5,45,158,158,100.0,05045
5,46,240,240,100.0,05046
5,47,217,217,100.0,05047
5,48,200,200,100.0,05048
5,49,56,56,100.0,05049
5,51,172,172,100.0,05051
5,52,14,14,100.0,05052
5,53,314,314,100.0,05053
5,54,365,365,100.0,05054
5,55,247,247,100.0,05055
6,39,0,0,0.0,06039
7,3,176,176,100.0,07003
7,8,72,72,100.0,07008
7,9,222,222,100.0,07009
7,10,165,165,100.0,07010
7,11,264,264,100.0,07011
7,14,271,271,100.0,07014
7,15,151,151,100.0,07015
7,16,169,169,100.0,07016
7,17,117,117,100.0,07017
7,18,150,150,100.0,07018
7,20,118,118,100.0,07020
7,22,174,174,100.0,07022
7,23,246,246,100.0,07023
7,28,260,260,100.0,07028
7,29,218,218,100.0,07029
7,32,164,164,100.0,07032
7,35,286,286,100.0,07035
7,39,216,216,100.0,07039
7,40,293,293,100.0,07040
7,44,377,377,100.0,07044
7,45,329,329,100.0,07045
7,46,121,121,100.0,07046
7,54,102,102,100.0,07054
7,56,223,223,100.0,07056
7,57,182,182,100.0,07057
8,70,310,310,100.0,08070
10,1,188,188,100.0,10001
10,4,138,138,100.0,10004
10,7,51,51,100.0,10007
10,18,138,138,100.0,10018
10,22,128,128,100.0,10022
10,23,14,14,100.0,10023
10,25,178,178,100.0,10025
10,37,131,131,100.0,10037
10,43,95,95,100.0,10043
10,45,104,104,100.0,10045
10,47,125,125,100.0,10047
10,48,152,152,100.0,10048
20,2,176,176,100.0,20002
20,5,131,131,100.0,20005
20,9,303,303,100.0,20009
20,14,0,0,0.0,20014
20,16,277,277,100.0,20016
20,18,125,125,100.0,20018
20,22,319,319,100.0,20022
20,24,249,249,100.0,20024
20,26,212,212,100.0,20026
20,29,240,240,100.0,20029
20,32,148,148,100.0,20032
20,34,359,359,100.0,20034
20,36,168,168,100.0,20036
20,38,42,42,100.0,20038
20,47,161,161,100.0,20047
42,1,302,302,100.0,42001
42,2,165,165,100.0,42002
42,5,188,188,100.0,42005
42,6,336,336,100.0,42006
42,7,182,182,100.0,42007
42,9,202,202,100.0,42009
42,11,217,217,100.0,42011
42,13,326,326,100.0,42013
42,23,249,249,100.0,42023
42,24,179,179,100.0,42024
42,25,184,184,100.0,42025
42,29,229,229,100.0,42029
42,31,233,233,100.0,42031
42,35,181,181,100.0,42035
42,37,196,196,100.0,42037
42,38,166,166,100.0,42038
42,40,217,217,100.0,42040
42,41,384,384,100.0,42041
42,42,137,137,100.0,42042
42,43,186,186,100.0,42043
42,44,204,204,100.0,42044
42,47,126,126,100.0,42047
42,48,163,163,100.0,42048
42,50,330,330,100.0,42050
42,51,443,443,100.0,42051
42,52,107,107,100.0,42052
42,53,298,298,100.0,42053
42,54,177,177,100.0,42054
42,61,144,144,100.0,42061
42,62,138,138,100.0,42062
42,63,195,195,100.0,42063
42,64,78,78,100.0,42064
42,65,299,299,100.0,42065
42,66,202,202,100.0,42066
43,35,247,247,100.0,43035
43,40,88,88,100.0,43040
