ward,precinct,total,Mark M. Weiman,Mark M. Weiman Percent,Danny K. Davis,Danny K. Davis Percent,Clarence Desmond Clemons,Clarence Desmond Clemons Percent,precinct_id
16,18,215,0,0.0,211,98.14,4,1.86,16018
16,20,160,2,1.25,155,96.88,3,1.88,16020
16,22,169,1,0.59,166,98.22,2,1.18,16022
16,29,161,4,2.48,152,94.41,5,3.11,16029
16,30,169,2,1.18,165,97.63,2,1.18,16030
16,33,143,1,0.7,140,97.9,2,1.4,16033
20,27,204,3,1.47,196,96.08,5,2.45,20027
20,31,282,6,2.13,270,95.74,6,2.13,20031
20,40,182,3,1.65,179,98.35,0,0.0,20040
20,45,157,3,1.91,150,95.54,4,2.55,20045
20,48,90,1,1.11,88,97.78,1,1.11,20048
22,7,247,0,0.0,244,98.79,3,1.21,22007
22,18,2,0,0.0,2,100.0,0,0.0,22018
22,19,172,2,1.16,169,98.26,1,0.58,22019
22,21,227,5,2.2,217,95.59,5,2.2,22021
24,1,316,1,0.32,309,97.78,6,1.9,24001
24,2,192,0,0.0,188,97.92,4,2.08,24002
24,3,204,2,0.98,198,97.06,4,1.96,24003
24,4,227,0,0.0,223,98.24,4,1.76,24004
24,5,226,2,0.88,222,98.23,2,0.88,24005
24,6,284,2,0.7,274,96.48,8,2.82,24006
24,7,198,3,1.52,192,96.97,3,1.52,24007
24,8,224,2,0.89,218,97.32,4,1.79,24008
24,9,228,6,2.63,217,95.18,5,2.19,24009
24,10,172,2,1.16,168,97.67,2,1.16,24010
24,11,155,0,0.0,152,98.06,3,1.94,24011
24,12,213,3,1.41,206,96.71,4,1.88,24012
24,13,196,4,2.04,186,94.9,6,3.06,24013
24,14,294,2,0.68,290,98.64,2,0.68,24014
24,15,185,0,0.0,183,98.92,2,1.08,24015
24,16,157,1,0.64,153,97.45,3,1.91,24016
24,17,197,2,1.02,192,97.46,3,1.52,24017
24,18,149,0,0.0,146,97.99,3,2.01,24018
24,19,150,1,0.67,148,98.67,1,0.67,24019
24,20,172,2,1.16,168,97.67,2,1.16,24020
24,21,146,3,2.05,142,97.26,1,0.68,24021
24,22,242,2,0.83,235,97.11,5,2.07,24022
24,23,169,1,0.59,161,95.27,7,4.14,24023
24,24,160,2,1.25,155,96.88,3,1.88,24024
24,25,281,2,0.71,274,97.51,5,1.78,24025
24,26,265,3,1.13,258,97.36,4,1.51,24026
24,27,119,4,3.36,112,94.12,3,2.52,24027
24,28,280,5,1.79,272,97.14,3,1.07,24028
24,29,276,5,1.81,267,96.74,4,1.45,24029
24,30,246,5,2.03,236,95.93,5,2.03,24030
24,31,225,1,0.44,219,97.33,5,2.22,24031
24,32,207,2,0.97,200,96.62,5,2.42,24032
24,33,168,0,0.0,165,98.21,3,1.79,24033
24,34,230,1,0.43,223,96.96,6,2.61,24034
24,35,321,4,1.25,311,96.88,6,1.87,24035
24,36,212,1,0.47,207,97.64,4,1.89,24036
24,37,233,3,1.29,224,96.14,6,2.58,24037
24,38,264,9,3.41,250,94.7,5,1.89,24038
24,39,213,1,0.47,210,98.59,2,0.94,24039
24,40,273,7,2.56,256,93.77,10,3.66,24040
24,41,213,4,1.88,204,95.77,5,2.35,24041
24,42,149,0,0.0,146,97.99,3,2.01,24042
24,43,288,9,3.13,278,96.53,1,0.35,24043
24,44,119,0,0.0,116,97.48,3,2.52,24044
24,45,197,2,1.02,194,98.48,1,0.51,24045
24,46,271,1,0.37,267,98.52,3,1.11,24046
24,47,185,1,0.54,181,97.84,3,1.62,24047
24,48,126,1,0.79,124,98.41,1,0.79,24048
24,49,409,2,0.49,404,98.78,3,0.73,24049
24,50,371,5,1.35,358,96.5,8,2.16,24050
24,51,335,2,0.6,329,98.21,4,1.19,24051
24,52,189,2,1.06,186,98.41,1,0.53,24052
24,54,265,4,1.51,256,96.6,5,1.89,24054
24,55,223,0,0.0,220,98.65,3,1.35,24055
24,56,270,2,0.74,266,98.52,2,0.74,24056
25,3,318,59,18.55,248,77.99,11,3.46,25003
25,4,276,71,25.72,191,69.2,14,5.07,25004
25,5,83,16,19.28,63,75.9,4,4.82,25005
25,6,1,0,0.0,1,100.0,0,0.0,25006
25,8,1,0,0.0,1,100.0,0,0.0,25008
25,10,157,12,7.64,141,89.81,4,2.55,25010
25,14,147,45,30.61,96,65.31,6,4.08,25014
25,16,157,25,15.92,123,78.34,9,5.73,25016
25,18,252,50,19.84,198,78.57,4,1.59,25018
25,21,183,54,29.51,125,68.31,4,2.19,25021
25,25,260,64,24.62,188,72.31,8,3.08,25025
25,26,193,53,27.46,136,70.47,4,2.07,25026
25,27,235,59,25.11,167,71.06,9,3.83,25027
25,28,343,88,25.66,245,71.43,10,2.92,25028
25,29,665,167,25.11,471,70.83,27,4.06,25029
26,17,129,51,39.53,71,55.04,7,5.43,26017
26,28,0,0,0.0,0,0.0,0,0.0,26028
26,33,101,39,38.61,60,59.41,2,1.98,26033
26,46,216,58,26.85,149,68.98,9,4.17,26046
27,1,523,213,40.73,299,57.17,11,2.1,27001
27,2,165,3,1.82,158,95.76,4,2.42,27002
27,3,174,1,0.57,170,97.7,3,1.72,27003
27,4,146,8,5.48,136,93.15,2,1.37,27004
27,5,160,58,36.25,102,63.75,0,0.0,27005
27,6,75,1,1.33,73,97.33,1,1.33,27006
27,7,371,113,30.46,247,66.58,11,2.96,27007
27,8,212,3,1.42,207,97.64,2,0.94,27008
27,9,311,31,9.97,274,88.1,6,1.93,27009
27,10,339,7,2.06,328,96.76,4,1.18,27010
27,11,277,85,30.69,185,66.79,7,2.53,27011
27,12,368,123,33.42,237,64.4,8,2.17,27012
27,14,295,4,1.36,280,94.92,11,3.73,27014
27,15,126,5,3.97,117,92.86,4,3.17,27015
27,16,114,41,35.96,72,63.16,1,0.88,27016
27,17,356,128,35.96,212,59.55,16,4.49,27017
27,18,156,51,32.69,99,63.46,6,3.85,27018
27,19,211,4,1.9,205,97.16,2,0.95,27019
27,20,318,1,0.31,317,99.69,0,0.0,27020
27,21,186,8,4.3,171,91.94,7,3.76,27021
27,22,226,5,2.21,216,95.58,5,2.21,27022
27,23,41,0,0.0,41,100.0,0,0.0,27023
27,24,177,3,1.69,172,97.18,2,1.13,27024
27,25,133,2,1.5,130,97.74,1,0.75,27025
27,26,206,9,4.37,190,92.23,7,3.4,27026
27,27,257,17,6.61,234,91.05,6,2.33,27027
27,28,290,85,29.31,199,68.62,6,2.07,27028
27,29,167,3,1.8,161,96.41,3,1.8,27029
27,30,130,4,3.08,123,94.62,3,2.31,27030
27,31,162,3,1.85,153,94.44,6,3.7,27031
27,33,210,20,9.52,184,87.62,6,2.86,27033
27,34,257,1,0.39,254,98.83,2,0.78,27034
27,36,229,8,3.49,215,93.89,6,2.62,27036
27,37,256,23,8.98,229,89.45,4,1.56,27037
27,39,110,7,6.36,99,90.0,4,3.64,27039
27,40,180,0,0.0,176,97.78,4,2.22,27040
27,42,245,93,37.96,146,59.59,6,2.45,27042
27,43,68,1,1.47,67,98.53,0,0.0,27043
27,44,162,2,1.23,157,96.91,3,1.85,27044
27,45,175,0,0.0,173,98.86,2,1.14,27045
27,46,174,4,2.3,169,97.13,1,0.57,27046
27,47,176,1,0.57,173,98.3,2,1.14,27047
27,48,266,2,0.75,262,98.5,2,0.75,27048
27,49,213,4,1.88,204,95.77,5,2.35,27049
27,50,338,109,32.25,222,65.68,7,2.07,27050
27,51,38,1,2.63,37,97.37,0,0.0,27051
27,52,193,1,0.52,191,98.96,1,0.52,27052
27,53,203,34,16.75,162,79.8,7,3.45,27053
27,54,382,136,35.6,234,61.26,12,3.14,27054
27,55,182,3,1.65,177,97.25,2,1.1,27055
27,57,190,53,27.89,130,68.42,7,3.68,27057
27,58,154,59,38.31,91,59.09,4,2.6,27058
28,1,232,1,0.43,226,97.41,5,2.16,28001
28,2,276,5,1.81,264,95.65,7,2.54,28002
28,3,173,1,0.58,170,98.27,2,1.16,28003
28,4,239,1,0.42,235,98.33,3,1.26,28004
28,5,195,12,6.15,180,92.31,3,1.54,28005
28,6,148,0,0.0,148,100.0,0,0.0,28006
28,7,178,1,0.56,173,97.19,4,2.25,28007
28,8,205,2,0.98,201,98.05,2,0.98,28008
28,9,174,3,1.72,168,96.55,3,1.72,28009
28,10,55,0,0.0,54,98.18,1,1.82,28010
28,11,165,0,0.0,163,98.79,2,1.21,28011
28,12,149,1,0.67,148,99.33,0,0.0,28012
28,13,132,1,0.76,129,97.73,2,1.52,28013
28,14,131,0,0.0,128,97.71,3,2.29,28014
28,15,192,0,0.0,189,98.44,3,1.56,28015
28,16,185,3,1.62,179,96.76,3,1.62,28016
28,17,183,2,1.09,177,96.72,4,2.19,28017
28,18,271,2,0.74,267,98.52,2,0.74,28018
28,19,259,4,1.54,249,96.14,6,2.32,28019
28,20,240,2,0.83,237,98.75,1,0.42,28020
28,21,269,2,0.74,263,97.77,4,1.49,28021
28,22,200,1,0.5,194,97.0,5,2.5,28022
28,23,180,2,1.11,177,98.33,1,0.56,28023
28,24,155,4,2.58,147,94.84,4,2.58,28024
28,25,160,3,1.88,154,96.25,3,1.88,28025
28,26,180,2,1.11,178,98.89,0,0.0,28026
28,27,237,1,0.42,231,97.47,5,2.11,28027
28,28,132,0,0.0,128,96.97,4,3.03,28028
28,30,166,2,1.2,162,97.59,2,1.2,28030
28,31,189,0,0.0,184,97.35,5,2.65,28031
28,32,207,4,1.93,200,96.62,3,1.45,28032
28,33,245,5,2.04,236,96.33,4,1.63,28033
28,35,187,0,0.0,178,95.19,9,4.81,28035
28,36,177,1,0.56,176,99.44,0,0.0,28036
28,37,300,7,2.33,288,96.0,5,1.67,28037
28,39,234,1,0.43,230,98.29,3,1.28,28039
28,40,284,3,1.06,272,95.77,9,3.17,28040
28,41,205,1,0.49,199,97.07,5,2.44,28041
28,42,162,0,0.0,158,97.53,4,2.47,28042
28,43,277,8,2.89,265,95.67,4,1.44,28043
28,44,277,5,1.81,268,96.75,4,1.44,28044
28,45,232,1,0.43,230,99.14,1,0.43,28045
28,46,191,1,0.52,186,97.38,4,2.09,28046
28,47,229,9,3.93,214,93.45,6,2.62,28047
28,48,121,2,1.65,119,98.35,0,0.0,28048
28,49,96,1,1.04,92,95.83,3,3.13,28049
28,50,132,1,0.76,128,96.97,3,2.27,28050
28,51,205,4,1.95,196,95.61,5,2.44,28051
28,52,179,9,5.03,165,92.18,5,2.79,28052
28,53,104,11,10.58,90,86.54,3,2.88,28053
28,54,158,1,0.63,153,96.84,4,2.53,28054
28,55,193,0,0.0,193,100.0,0,0.0,28055
28,56,196,3,1.53,186,94.9,7,3.57,28056
28,57,196,2,1.02,188,95.92,6,3.06,28057
28,58,238,4,1.68,229,96.22,5,2.1,28058
28,59,172,1,0.58,170,98.84,1,0.58,28059
28,60,153,0,0.0,149,97.39,4,2.61,28060
28,61,158,18,11.39,135,85.44,5,3.16,28061
29,1,404,5,1.24,392,97.03,7,1.73,29001
29,3,359,2,0.56,348,96.94,9,2.51,29003
29,4,271,3,1.11,266,98.15,2,0.74,29004
29,5,245,2,0.82,238,97.14,5,2.04,29005
29,7,2,0,0.0,2,100.0,0,0.0,29007
29,8,186,1,0.54,182,97.85,3,1.61,29008
29,11,303,7,2.31,290,95.71,6,1.98,29011
29,12,333,15,4.5,309,92.79,9,2.7,29012
29,13,301,5,1.66,292,97.01,4,1.33,29013
29,14,339,6,1.77,328,96.76,5,1.47,29014
29,15,322,2,0.62,314,97.52,6,1.86,29015
29,16,411,2,0.49,396,96.35,13,3.16,29016
29,17,260,3,1.15,255,98.08,2,0.77,29017
29,18,317,3,0.95,306,96.53,8,2.52,29018
29,19,381,5,1.31,367,96.33,9,2.36,29019
29,20,328,10,3.05,311,94.82,7,2.13,29020
29,21,268,5,1.87,259,96.64,4,1.49,29021
29,22,266,23,8.65,233,87.59,10,3.76,29022
29,23,254,1,0.39,249,98.03,4,1.57,29023
29,25,314,1,0.32,311,99.04,2,0.64,29025
29,26,252,0,0.0,247,98.02,5,1.98,29026
29,27,244,1,0.41,238,97.54,5,2.05,29027
29,28,370,6,1.62,361,97.57,3,0.81,29028
29,29,364,10,2.75,347,95.33,7,1.92,29029
29,31,262,3,1.15,256,97.71,3,1.15,29031
29,33,256,1,0.39,250,97.66,5,1.95,29033
29,34,201,22,10.95,173,86.07,6,2.99,29034
29,35,247,5,2.02,237,95.95,5,2.02,29035
29,36,356,4,1.12,345,96.91,7,1.97,29036
29,37,274,2,0.73,264,96.35,8,2.92,29037
29,38,266,2,0.75,263,98.87,1,0.38,29038
29,40,395,2,0.51,388,98.23,5,1.27,29040
29,41,332,2,0.6,325,97.89,5,1.51,29041
29,42,333,2,0.6,325,97.6,6,1.8,29042
29,43,323,2,0.62,317,98.14,4,1.24,29043
29,44,259,3,1.16,252,97.3,4,1.54,29044
29,45,252,2,0.79,249,98.81,1,0.4,29045
29,46,283,4,1.41,271,95.76,8,2.83,29046
29,47,357,9,2.52,342,95.8,6,1.68,29047
29,48,276,7,2.54,258,93.48,11,3.99,29048
29,49,368,3,0.82,359,97.55,6,1.63,29049
32,1,278,59,21.22,202,72.66,17,6.12,32001
32,6,298,75,25.17,210,70.47,13,4.36,32006
32,12,70,9,12.86,56,80.0,5,7.14,32012
32,17,119,24,20.17,92,77.31,3,2.52,32017
32,26,263,53,20.15,194,73.76,16,6.08,32026
32,37,1,0,0.0,1,100.0,0,0.0,32037
32,46,91,32,35.16,53,58.24,6,6.59,32046
32,50,339,132,38.94,199,58.7,8,2.36,32050
32,51,412,173,41.99,225,54.61,14,3.4,32051
36,23,123,14,11.38,104,84.55,5,4.07,36023
36,24,309,20,6.47,286,92.56,3,0.97,36024
36,44,224,37,16.52,173,77.23,14,6.25,36044
36,54,279,25,8.96,242,86.74,12,4.3,36054
37,2,256,10,3.91,240,93.75,6,2.34,37002
37,3,182,6,3.3,172,94.51,4,2.2,37003
37,4,318,6,1.89,308,96.86,4,1.26,37004
37,5,332,4,1.2,328,98.8,0,0.0,37005
37,6,320,5,1.56,309,96.56,6,1.88,37006
37,7,338,3,0.89,331,97.93,4,1.18,37007
37,8,240,8,3.33,230,95.83,2,0.83,37008
37,9,277,2,0.72,270,97.47,5,1.81,37009
37,10,275,10,3.64,261,94.91,4,1.45,37010
37,12,204,9,4.41,192,94.12,3,1.47,37012
37,13,248,7,2.82,238,95.97,3,1.21,37013
37,14,364,2,0.55,360,98.9,2,0.55,37014
37,15,292,2,0.68,285,97.6,5,1.71,37015
37,16,324,9,2.78,308,95.06,7,2.16,37016
37,17,264,0,0.0,262,99.24,2,0.76,37017
37,18,337,4,1.19,326,96.74,7,2.08,37018
37,20,286,3,1.05,282,98.6,1,0.35,37020
37,21,288,2,0.69,281,97.57,5,1.74,37021
37,22,182,4,2.2,172,94.51,6,3.3,37022
37,23,223,0,0.0,221,99.1,2,0.9,37023
37,24,290,5,1.72,277,95.52,8,2.76,37024
37,25,335,4,1.19,324,96.72,7,2.09,37025
37,26,334,4,1.2,324,97.01,6,1.8,37026
37,27,325,2,0.62,320,98.46,3,0.92,37027
37,28,273,7,2.56,259,94.87,7,2.56,37028
37,29,315,1,0.32,308,97.78,6,1.9,37029
37,30,191,5,2.62,183,95.81,3,1.57,37030
37,31,297,3,1.01,287,96.63,7,2.36,37031
37,32,298,1,0.34,292,97.99,5,1.68,37032
37,33,250,4,1.6,245,98.0,1,0.4,37033
37,34,322,4,1.24,315,97.83,3,0.93,37034
37,35,296,3,1.01,291,98.31,2,0.68,37035
37,36,259,3,1.16,255,98.46,1,0.39,37036
37,37,264,2,0.76,257,97.35,5,1.89,37037
37,38,318,6,1.89,307,96.54,5,1.57,37038
37,40,274,2,0.73,265,96.72,7,2.55,37040
37,41,341,3,0.88,324,95.01,14,4.11,37041
37,42,171,13,7.6,150,87.72,8,4.68,37042
37,43,251,12,4.78,235,93.63,4,1.59,37043
42,1,454,161,35.46,283,62.33,10,2.2,42001
42,2,238,65,27.31,164,68.91,9,3.78,42002
42,3,320,107,33.44,210,65.63,3,0.94,42003
42,4,351,155,44.16,189,53.85,7,1.99,42004
42,5,289,85,29.41,201,69.55,3,1.04,42005
42,6,506,171,33.79,332,65.61,3,0.59,42006
42,7,294,109,37.07,172,58.5,13,4.42,42007
42,8,415,149,35.9,255,61.45,11,2.65,42008
42,9,837,282,33.69,522,62.37,33,3.94,42009
42,10,274,98,35.77,168,61.31,8,2.92,42010
42,11,379,174,45.91,200,52.77,5,1.32,42011
42,12,254,105,41.34,148,58.27,1,0.39,42012
42,13,481,174,36.17,290,60.29,17,3.53,42013
42,14,370,145,39.19,214,57.84,11,2.97,42014
42,15,368,129,35.05,232,63.04,7,1.9,42015
42,16,244,93,38.11,149,61.07,2,0.82,42016
42,17,557,169,30.34,372,66.79,16,2.87,42017
42,18,705,263,37.3,412,58.44,30,4.26,42018
42,19,161,80,49.69,80,49.69,1,0.62,42019
42,20,214,73,34.11,132,61.68,9,4.21,42020
42,21,277,105,37.91,170,61.37,2,0.72,42021
42,22,314,154,49.04,155,49.36,5,1.59,42022
42,23,407,163,40.05,230,56.51,14,3.44,42023
42,24,381,154,40.42,222,58.27,5,1.31,42024
42,25,294,91,30.95,192,65.31,11,3.74,42025
42,26,331,77,23.26,243,73.41,11,3.32,42026
42,27,366,120,32.79,230,62.84,16,4.37,42027
42,28,327,106,32.42,214,65.44,7,2.14,42028
42,29,401,175,43.64,220,54.86,6,1.5,42029
42,30,236,82,34.75,142,60.17,12,5.08,42030
42,31,358,164,45.81,190,53.07,4,1.12,42031
42,32,329,127,38.6,197,59.88,5,1.52,42032
42,33,398,118,29.65,267,67.09,13,3.27,42033
42,34,300,86,28.67,207,69.0,7,2.33,42034
42,35,264,104,39.39,159,60.23,1,0.38,42035
42,36,271,109,40.22,156,57.56,6,2.21,42036
42,37,314,125,39.81,183,58.28,6,1.91,42037
42,38,262,99,37.79,158,60.31,5,1.91,42038
42,39,169,78,46.15,88,52.07,3,1.78,42039
42,40,358,150,41.9,203,56.7,5,1.4,42040
42,41,581,228,39.24,341,58.69,12,2.07,42041
42,42,225,89,39.56,133,59.11,3,1.33,42042
42,43,317,117,36.91,192,60.57,8,2.52,42043
42,44,294,85,28.91,205,69.73,4,1.36,42044
42,45,318,92,28.93,214,67.3,12,3.77,42045
42,46,330,142,43.03,178,53.94,10,3.03,42046
42,47,202,67,33.17,134,66.34,1,0.5,42047
42,48,304,152,50.0,147,48.36,5,1.64,42048
42,49,110,63,57.27,41,37.27,6,5.45,42049
42,50,527,227,43.07,283,53.7,17,3.23,42050
42,51,673,255,37.89,391,58.1,27,4.01,42051
42,52,167,61,36.53,101,60.48,5,2.99,42052
42,53,416,138,33.17,264,63.46,14,3.37,42053
42,54,260,87,33.46,168,64.62,5,1.92,42054
42,55,420,176,41.9,239,56.9,5,1.19,42055
42,56,544,242,44.49,293,53.86,9,1.65,42056
42,57,302,93,30.79,199,65.89,10,3.31,42057
42,58,267,139,52.06,121,45.32,7,2.62,42058
42,59,498,209,41.97,281,56.43,8,1.61,42059
42,60,175,62,35.43,110,62.86,3,1.71,42060
42,61,295,144,48.81,147,49.83,4,1.36,42061
42,62,218,75,34.4,139,63.76,4,1.83,42062
42,63,312,112,35.9,198,63.46,2,0.64,42063
42,64,119,30,25.21,81,68.07,8,6.72,42064
42,65,454,179,39.43,261,57.49,14,3.08,42065
42,66,311,111,35.69,192,61.74,8,2.57,42066
42,67,692,299,43.21,382,55.2,11,1.59,42067
42,68,431,195,45.24,228,52.9,8,1.86,42068
42,69,250,75,30.0,165,66.0,10,4.0,42069
43,1,419,122,29.12,284,67.78,13,3.1,43001
43,3,358,124,34.64,231,64.53,3,0.84,43003
43,4,457,171,37.42,274,59.96,12,2.63,43004
43,5,355,132,37.18,215,60.56,8,2.25,43005
43,9,303,132,43.56,166,54.79,5,1.65,43009
43,10,328,134,40.85,192,58.54,2,0.61,43010
43,11,287,108,37.63,177,61.67,2,0.7,43011
43,13,189,75,39.68,112,59.26,2,1.06,43013
43,15,288,110,38.19,173,60.07,5,1.74,43015
43,16,327,128,39.14,195,59.63,4,1.22,43016
43,18,407,157,38.57,243,59.71,7,1.72,43018
43,19,269,108,40.15,155,57.62,6,2.23,43019
43,23,270,85,31.48,179,66.3,6,2.22,43023
43,24,338,126,37.28,199,58.88,13,3.85,43024
43,25,358,98,27.37,252,70.39,8,2.23,43025
43,26,281,100,35.59,173,61.57,8,2.85,43026
43,28,449,185,41.2,255,56.79,9,2.0,43028
43,30,247,97,39.27,147,59.51,3,1.21,43030
43,35,408,171,41.91,231,56.62,6,1.47,43035
43,36,295,107,36.27,182,61.69,6,2.03,43036
43,37,325,131,40.31,188,57.85,6,1.85,43037
43,39,252,99,39.29,145,57.54,8,3.17,43039
43,40,147,59,40.14,85,57.82,3,2.04,43040
43,41,191,67,35.08,120,62.83,4,2.09,43041
43,42,286,113,39.51,169,59.09,4,1.4,43042
43,46,423,184,43.5,231,54.61,8,1.89,43046
43,47,321,128,39.88,187,58.26,6,1.87,43047
