ward,precinct,total,William M. Beavers,William M. Beavers Percent,Joseph A. Barton,Joseph A. Barton Percent,precinct_id
8,7,260,243,93.46,17,6.54,08007
8,8,337,307,91.1,30,8.9,08008
8,9,357,333,93.28,24,6.72,08009
8,10,381,349,91.6,32,8.4,08010
8,11,299,280,93.65,19,6.35,08011
8,12,286,264,92.31,22,7.69,08012
8,13,241,228,94.61,13,5.39,08013
8,14,196,188,95.92,8,4.08,08014
8,15,227,210,92.51,17,7.49,08015
8,16,306,280,91.5,26,8.5,08016
8,17,254,240,94.49,14,5.51,08017
8,18,173,166,95.95,7,4.05,08018
8,19,357,322,90.2,35,9.8,08019
8,20,208,198,95.19,10,4.81,08020
8,21,216,205,94.91,11,5.09,08021
8,22,246,237,96.34,9,3.66,08022
8,23,254,238,93.7,16,6.3,08023
8,24,289,269,93.08,20,6.92,08024
8,25,287,267,93.03,20,6.97,08025
8,26,188,182,96.81,6,3.19,08026
8,27,324,293,90.43,31,9.57,08027
8,28,237,220,92.83,17,7.17,08028
8,29,304,290,95.39,14,4.61,08029
8,30,244,227,93.03,17,6.97,08030
8,31,198,184,92.93,14,7.07,08031
8,32,417,396,94.96,21,5.04,08032
8,33,257,250,97.28,7,2.72,08033
8,34,358,337,94.13,21,5.87,08034
8,35,335,316,94.33,19,5.67,08035
8,36,254,238,93.7,16,6.3,08036
8,37,334,318,95.21,16,4.79,08037
8,38,293,283,96.59,10,3.41,08038
8,39,301,293,97.34,8,2.66,08039
8,40,250,232,92.8,18,7.2,08040
8,41,226,214,94.69,12,5.31,08041
8,42,292,269,92.12,23,7.88,08042
8,43,217,208,95.85,9,4.15,08043
8,44,219,199,90.87,20,9.13,08044
8,45,231,223,96.54,8,3.46,08045
8,46,241,225,93.36,16,6.64,08046
8,47,283,273,96.47,10,3.53,08047
8,48,249,229,91.97,20,8.03,08048
8,49,370,341,92.16,29,7.84,08049
8,50,298,273,91.61,25,8.39,08050
8,51,376,349,92.82,27,7.18,08051
8,52,283,265,93.64,18,6.36,08052
8,53,309,285,92.23,24,7.77,08053
8,54,301,282,93.69,19,6.31,08054
8,55,278,265,95.32,13,4.68,08055
8,56,314,298,94.9,16,5.1,08056
8,58,297,283,95.29,14,4.71,08058
8,59,175,165,94.29,10,5.71,08059
8,60,261,240,91.95,21,8.05,08060
8,61,219,205,93.61,14,6.39,08061
8,62,241,216,89.63,25,10.37,08062
8,63,299,269,89.97,30,10.03,08063
8,64,268,254,94.78,14,5.22,08064
8,65,193,180,93.26,13,6.74,08065
8,66,419,399,95.23,20,4.77,08066
9,8,310,294,94.84,16,5.16,09008
9,20,310,290,93.55,20,6.45,09020
9,21,305,296,97.05,9,2.95,09021
9,25,172,114,66.28,58,33.72,09025
9,27,281,265,94.31,16,5.69,09027
9,36,346,332,95.95,14,4.05,09036
9,37,228,155,67.98,73,32.02,09037
9,47,344,325,94.48,19,5.52,09047
9,49,189,182,96.3,7,3.7,09049
9,51,163,152,93.25,11,6.75,09051
10,1,215,204,94.88,11,5.12,10001
10,2,154,108,70.13,46,29.87,10002
10,3,212,121,57.08,91,42.92,10003
10,4,160,137,85.63,23,14.38,10004
10,5,177,124,70.06,53,29.94,10005
10,6,255,242,94.9,13,5.1,10006
10,7,56,50,89.29,6,10.71,10007
10,8,199,129,64.82,70,35.18,10008
10,9,195,114,58.46,81,41.54,10009
10,10,198,133,67.17,65,32.83,10010
10,11,197,139,70.56,58,29.44,10011
10,12,160,120,75.0,40,25.0,10012
10,13,166,120,72.29,46,27.71,10013
10,14,190,119,62.63,71,37.37,10014
10,15,96,60,62.5,36,37.5,10015
10,16,199,102,51.26,97,48.74,10016
10,17,171,98,57.31,73,42.69,10017
10,18,159,143,89.94,16,10.06,10018
10,19,234,147,62.82,87,37.18,10019
10,20,160,108,67.5,52,32.5,10020
10,21,195,115,58.97,80,41.03,10021
10,22,161,142,88.2,19,11.8,10022
10,23,160,126,78.75,34,21.25,10023
10,24,179,91,50.84,88,49.16,10024
10,25,230,202,87.83,28,12.17,10025
10,26,175,127,72.57,48,27.43,10026
10,27,222,153,68.92,69,31.08,10027
10,28,198,184,92.93,14,7.07,10028
10,29,224,218,97.32,6,2.68,10029
10,30,185,147,79.46,38,20.54,10030
10,31,183,117,63.93,66,36.07,10031
10,32,187,126,67.38,61,32.62,10032
10,33,192,152,79.17,40,20.83,10033
10,34,180,142,78.89,38,21.11,10034
10,35,172,139,80.81,33,19.19,10035
10,36,239,217,90.79,22,9.21,10036
10,37,159,137,86.16,22,13.84,10037
10,38,215,159,73.95,56,26.05,10038
10,39,186,133,71.51,53,28.49,10039
10,40,176,151,85.8,25,14.2,10040
10,41,229,143,62.45,86,37.55,10041
10,42,190,115,60.53,75,39.47,10042
10,43,115,94,81.74,21,18.26,10043
10,44,188,143,76.06,45,23.94,10044
10,45,121,88,72.73,33,27.27,10045
10,46,187,144,77.01,43,22.99,10046
10,47,147,111,75.51,36,24.49,10047
10,48,174,153,87.93,21,12.07,10048
18,30,250,246,98.4,4,1.6,18030
18,46,295,283,95.93,12,4.07,18046
18,53,195,183,93.85,12,6.15,18053
19,43,79,75,94.94,4,5.06,19043
19,48,21,20,95.24,1,4.76,19048
19,50,59,55,93.22,4,6.78,19050
21,1,408,383,93.87,25,6.13,21001
21,2,278,269,96.76,9,3.24,21002
21,3,250,238,95.2,12,4.8,21003
21,4,283,279,98.59,4,1.41,21004
21,5,286,272,95.1,14,4.9,21005
21,6,249,240,96.39,9,3.61,21006
21,7,285,272,95.44,13,4.56,21007
21,8,303,282,93.07,21,6.93,21008
21,9,331,312,94.26,19,5.74,21009
21,10,224,218,97.32,6,2.68,21010
21,11,290,275,94.83,15,5.17,21011
21,12,296,280,94.59,16,5.41,21012
21,13,159,153,96.23,6,3.77,21013
21,14,261,253,96.93,8,3.07,21014
21,15,226,215,95.13,11,4.87,21015
21,16,265,257,96.98,8,3.02,21016
21,17,292,279,95.55,13,4.45,21017
21,18,249,237,95.18,12,4.82,21018
21,19,241,230,95.44,11,4.56,21019
21,20,176,166,94.32,10,5.68,21020
21,21,319,304,95.3,15,4.7,21021
21,22,254,242,95.28,12,4.72,21022
21,23,210,200,95.24,10,4.76,21023
21,24,311,299,96.14,12,3.86,21024
21,25,235,219,93.19,16,6.81,21025
21,26,230,216,93.91,14,6.09,21026
21,27,309,284,91.91,25,8.09,21027
21,28,202,193,95.54,9,4.46,21028
21,30,197,185,93.91,12,6.09,21030
21,31,374,356,95.19,18,4.81,21031
21,32,262,249,95.04,13,4.96,21032
21,33,274,262,95.62,12,4.38,21033
21,34,334,322,96.41,12,3.59,21034
21,35,170,164,96.47,6,3.53,21035
21,36,242,233,96.28,9,3.72,21036
21,37,307,287,93.49,20,6.51,21037
21,38,282,266,94.33,16,5.67,21038
21,39,249,241,96.79,8,3.21,21039
21,40,246,230,93.5,16,6.5,21040
21,41,225,216,96.0,9,4.0,21041
21,42,287,275,95.82,12,4.18,21042
21,43,270,252,93.33,18,6.67,21043
21,44,278,268,96.4,10,3.6,21044
21,45,240,224,93.33,16,6.67,21045
21,46,230,218,94.78,12,5.22,21046
21,47,332,309,93.07,23,6.93,21047
21,48,302,290,96.03,12,3.97,21048
21,49,373,352,94.37,21,5.63,21049
21,50,280,258,92.14,22,7.86,21050
21,51,296,291,98.31,5,1.69,21051
21,52,237,229,96.62,8,3.38,21052
21,53,246,239,97.15,7,2.85,21053
21,54,251,236,94.02,15,5.98,21054
21,55,286,276,96.5,10,3.5,21055
21,56,225,216,96.0,9,4.0,21056
21,57,252,245,97.22,7,2.78,21057
21,58,216,197,91.2,19,8.8,21058
21,59,328,311,94.82,17,5.18,21059
21,60,284,270,95.07,14,4.93,21060
21,61,318,303,95.28,15,4.72,21061
21,62,302,296,98.01,6,1.99,21062
21,63,238,233,97.9,5,2.1,21063
21,64,162,152,93.83,10,6.17,21064
21,65,376,350,93.09,26,6.91,21065
21,66,227,221,97.36,6,2.64,21066
21,67,291,275,94.5,16,5.5,21067
21,68,289,284,98.27,5,1.73,21068
21,69,217,209,96.31,8,3.69,21069
21,70,232,221,95.26,11,4.74,21070
21,71,237,224,94.51,13,5.49,21071
21,72,285,271,95.09,14,4.91,21072
21,73,355,338,95.21,17,4.79,21073
34,8,337,313,92.88,24,7.12,34008
34,13,378,363,96.03,15,3.97,34013
34,19,67,64,95.52,3,4.48,34019
34,29,321,311,96.88,10,3.12,34029
34,45,303,288,95.05,15,4.95,34045
34,55,362,338,93.37,24,6.63,34055
34,56,171,162,94.74,9,5.26,34056
34,57,301,290,96.35,11,3.65,34057
34,58,331,320,96.68,11,3.32,34058
