ward,precinct,total,Jesus G. Garcia,Jesus G. Garcia Percent,Paloma Andrade,Paloma Andrade Percent,precinct_id
14,29,222,205,92.34,17,7.66,14029
14,30,160,141,88.13,19,11.88,14030
14,31,177,154,87.01,23,12.99,14031
14,32,130,119,91.54,11,8.46,14032
14,33,117,106,90.6,11,9.4,14033
14,34,134,120,89.55,14,10.45,14034
14,35,161,146,90.68,15,9.32,14035
15,1,138,130,94.2,8,5.8,15001
15,10,136,120,88.24,16,11.76,15010
15,14,217,191,88.02,26,11.98,15014
15,16,126,112,88.89,14,11.11,15016
15,25,180,172,95.56,8,4.44,15025
15,28,196,175,89.29,21,10.71,15028
15,32,188,177,94.15,11,5.85,15032
15,44,174,162,93.1,12,6.9,15044
15,49,139,130,93.53,9,6.47,15049
16,1,47,43,91.49,4,8.51,16001
16,4,137,121,88.32,16,11.68,16004
16,13,119,107,89.92,12,10.08,16013
16,17,131,108,82.44,23,17.56,16017
16,21,163,143,87.73,20,12.27,16021
16,23,110,102,92.73,8,7.27,16023
16,32,162,136,83.95,26,16.05,16032
16,35,195,183,93.85,12,6.15,16035
16,39,169,144,85.21,25,14.79,16039
16,42,146,122,83.56,24,16.44,16042
16,44,36,33,91.67,3,8.33,16044
20,4,174,156,89.66,18,10.34,20004
20,8,70,63,90.0,7,10.0,20008
20,15,185,164,88.65,21,11.35,20015
20,21,98,86,87.76,12,12.24,20021
20,41,76,67,88.16,9,11.84,20041
22,1,139,121,87.05,18,12.95,22001
22,2,119,98,82.35,21,17.65,22002
22,3,197,156,79.19,41,20.81,22003
22,4,160,145,90.63,15,9.38,22004
22,5,184,162,88.04,22,11.96,22005
22,6,152,136,89.47,16,10.53,22006
22,8,124,108,87.1,16,12.9,22008
22,9,178,162,91.01,16,8.99,22009
22,10,177,150,84.75,27,15.25,22010
22,11,159,141,88.68,18,11.32,22011
22,12,134,127,94.78,7,5.22,22012
22,13,197,159,80.71,38,19.29,22013
22,14,106,99,93.4,7,6.6,22014
22,15,125,114,91.2,11,8.8,22015
22,16,198,167,84.34,31,15.66,22016
22,17,174,155,89.08,19,10.92,22017
22,18,190,173,91.05,17,8.95,22018
22,20,172,149,86.63,23,13.37,22020
22,22,149,130,87.25,19,12.75,22022
22,23,185,171,92.43,14,7.57,22023
22,24,123,107,86.99,16,13.01,22024
22,25,132,120,90.91,12,9.09,22025
22,26,140,117,83.57,23,16.43,22026
22,27,207,183,88.41,24,11.59,22027
22,28,110,92,83.64,18,16.36,22028
22,29,112,96,85.71,16,14.29,22029
23,6,78,63,80.77,15,19.23,23006
23,9,250,215,86.0,35,14.0,23009
23,24,170,144,84.71,26,15.29,23024
23,29,201,168,83.58,33,16.42,23029
24,44,139,128,92.09,11,7.91,24044
24,53,166,154,92.77,12,7.23,24053
25,1,235,196,83.4,39,16.6,25001
25,2,311,264,84.89,47,15.11,25002
25,3,138,105,76.09,33,23.91,25003
25,5,144,116,80.56,28,19.44,25005
25,7,226,188,83.19,38,16.81,25007
25,8,242,208,85.95,34,14.05,25008
25,9,312,266,85.26,46,14.74,25009
25,11,268,233,86.94,35,13.06,25011
25,12,241,189,78.42,52,21.58,25012
25,13,257,220,85.6,37,14.4,25013
25,15,227,187,82.38,40,17.62,25015
25,17,362,296,81.77,66,18.23,25017
25,19,281,253,90.04,28,9.96,25019
25,20,266,230,86.47,36,13.53,25020
25,22,129,106,82.17,23,17.83,25022
25,23,297,245,82.49,52,17.51,25023
25,24,301,249,82.72,52,17.28,25024
25,29,164,131,79.88,33,20.12,25029
25,30,253,211,83.4,42,16.6,25030
25,31,147,109,74.15,38,25.85,25031
28,29,188,165,87.77,23,12.23,28029
28,34,56,52,92.86,4,7.14,28034
28,38,91,82,90.11,9,9.89,28038
