ward,precinct,total,Mike Quigley,Mike Quigley Percent,Matthew Reichel,Matthew Reichel Percent,precinct_id
32,18,297,202,68.01,8,2.69,32018
32,19,309,229,74.11,12,3.88,32019
32,20,333,217,65.17,5,1.5,32020
32,21,273,201,73.63,5,1.83,32021
32,22,401,290,72.32,11,2.74,32022
32,23,333,249,74.77,10,3.0,32023
32,24,452,254,56.19,11,2.43,32024
32,25,285,207,72.63,12,4.21,32025
32,27,348,228,65.52,12,3.45,32027
32,30,400,250,62.5,5,1.25,32030
32,32,364,221,60.71,5,1.37,32032
32,37,280,210,75.0,8,2.86,32037
32,38,362,269,74.31,13,3.59,32038
32,39,427,265,62.06,10,2.34,32039
32,40,377,274,72.68,19,5.04,32040
32,41,425,288,67.76,6,1.41,32041
32,42,417,288,69.06,20,4.8,32042
32,43,383,241,62.92,2,0.52,32043
32,44,239,174,72.8,16,6.69,32044
32,45,331,235,71.0,9,2.72,32045
32,47,379,236,62.27,10,2.64,32047
32,48,474,336,70.89,11,2.32,32048
32,49,222,160,72.07,7,3.15,32049
32,50,85,55,64.71,2,2.35,32050
33,5,303,242,79.87,25,8.25,33005
33,7,475,378,79.58,28,5.89,33007
33,9,357,277,77.59,22,6.16,33009
33,10,367,291,79.29,18,4.9,33010
33,14,316,248,78.48,24,7.59,33014
33,18,118,93,78.81,9,7.63,33018
33,22,216,186,86.11,10,4.63,33022
33,23,392,318,81.12,21,5.36,33023
33,24,445,357,80.22,21,4.72,33024
33,25,429,341,79.49,21,4.9,33025
35,22,108,93,86.11,6,5.56,35022
35,33,255,206,80.78,9,3.53,35033
36,1,202,159,78.71,7,3.47,36001
36,2,226,173,76.55,7,3.1,36002
36,3,391,344,87.98,9,2.3,36003
36,5,208,133,63.94,4,1.92,36005
36,6,230,180,78.26,4,1.74,36006
36,7,197,120,60.91,9,4.57,36007
36,8,257,170,66.15,17,6.61,36008
36,9,235,161,68.51,10,4.26,36009
36,10,180,128,71.11,5,2.78,36010
36,11,328,214,65.24,12,3.66,36011
36,12,176,121,68.75,9,5.11,36012
36,13,334,244,73.05,10,2.99,36013
36,14,248,193,77.82,10,4.03,36014
36,15,224,160,71.43,10,4.46,36015
36,16,383,317,82.77,12,3.13,36016
36,17,246,151,61.38,6,2.44,36017
36,18,310,188,60.65,4,1.29,36018
36,19,257,187,72.76,9,3.5,36019
36,20,340,253,74.41,12,3.53,36020
36,21,426,276,64.79,10,2.35,36021
36,22,358,256,71.51,7,1.96,36022
36,25,188,119,63.3,14,7.45,36025
36,26,286,184,64.34,7,2.45,36026
36,27,138,89,64.49,7,5.07,36027
36,28,216,148,68.52,9,4.17,36028
36,29,212,147,69.34,4,1.89,36029
36,30,320,198,61.88,10,3.13,36030
36,31,278,192,69.06,9,3.24,36031
36,32,244,156,63.93,12,4.92,36032
36,33,80,61,76.25,2,2.5,36033
36,34,206,124,60.19,4,1.94,36034
36,35,275,188,68.36,5,1.82,36035
36,36,227,163,71.81,7,3.08,36036
36,37,231,140,60.61,11,4.76,36037
36,38,162,119,73.46,7,4.32,36038
36,39,243,141,58.02,15,6.17,36039
36,40,287,182,63.41,14,4.88,36040
36,41,211,147,69.67,10,4.74,36041
36,42,232,159,68.53,10,4.31,36042
36,43,229,171,74.67,13,5.68,36043
36,45,255,208,81.57,8,3.14,36045
36,46,209,139,66.51,2,0.96,36046
36,47,161,122,75.78,5,3.11,36047
36,48,209,138,66.03,6,2.87,36048
36,49,338,225,66.57,8,2.37,36049
36,50,213,146,68.54,4,1.88,36050
36,51,226,170,75.22,9,3.98,36051
36,52,250,183,73.2,8,3.2,36052
36,53,166,113,68.07,4,2.41,36053
36,55,344,268,77.91,9,2.62,36055
37,39,12,10,83.33,2,16.67,37039
38,1,274,179,65.33,18,6.57,38001
38,2,201,151,75.12,6,2.99,38002
38,3,184,112,60.87,9,4.89,38003
38,4,138,102,73.91,5,3.62,38004
38,5,435,333,76.55,16,3.68,38005
38,6,227,171,75.33,9,3.96,38006
38,7,288,204,70.83,17,5.9,38007
38,8,180,108,60.0,7,3.89,38008
38,9,276,201,72.83,6,2.17,38009
38,10,332,251,75.6,19,5.72,38010
38,11,185,121,65.41,11,5.95,38011
38,12,249,172,69.08,12,4.82,38012
38,13,218,155,71.1,10,4.59,38013
38,14,201,141,70.15,12,5.97,38014
38,15,161,114,70.81,9,5.59,38015
38,16,237,176,74.26,12,5.06,38016
38,17,192,159,82.81,1,0.52,38017
38,18,255,162,63.53,22,8.63,38018
38,19,283,181,63.96,14,4.95,38019
38,20,349,250,71.63,12,3.44,38020
38,21,226,152,67.26,8,3.54,38021
38,22,244,168,68.85,11,4.51,38022
38,23,178,126,70.79,10,5.62,38023
38,24,165,125,75.76,5,3.03,38024
38,25,204,158,77.45,7,3.43,38025
38,26,175,111,63.43,11,6.29,38026
38,27,150,108,72.0,4,2.67,38027
38,28,182,140,76.92,6,3.3,38028
38,29,202,146,72.28,14,6.93,38029
38,30,218,157,72.02,12,5.5,38030
38,31,273,204,74.73,19,6.96,38031
38,32,284,196,69.01,11,3.87,38032
38,33,200,150,75.0,6,3.0,38033
38,34,145,108,74.48,7,4.83,38034
38,35,289,195,67.47,16,5.54,38035
38,36,235,169,71.91,4,1.7,38036
38,37,242,180,74.38,9,3.72,38037
38,38,268,171,63.81,10,3.73,38038
38,39,243,174,71.6,9,3.7,38039
38,40,202,135,66.83,8,3.96,38040
38,41,344,255,74.13,16,4.65,38041
38,42,276,200,72.46,9,3.26,38042
38,43,254,175,68.9,20,7.87,38043
38,44,255,163,63.92,16,6.27,38044
38,45,301,209,69.44,12,3.99,38045
38,46,216,160,74.07,6,2.78,38046
38,47,237,158,66.67,20,8.44,38047
38,48,234,176,75.21,10,4.27,38048
38,49,241,160,66.39,11,4.56,38049
38,50,254,165,64.96,7,2.76,38050
38,51,180,132,73.33,5,2.78,38051
38,52,253,186,73.52,11,4.35,38052
38,53,53,43,81.13,2,3.77,38053
39,1,273,161,58.97,10,3.66,39001
39,2,389,244,62.72,13,3.34,39002
39,3,287,187,65.16,5,1.74,39003
39,4,221,140,63.35,6,2.71,39004
39,5,211,158,74.88,9,4.27,39005
39,6,289,182,62.98,14,4.84,39006
39,7,181,143,79.01,8,4.42,39007
39,8,262,202,77.1,14,5.34,39008
39,9,308,238,77.27,11,3.57,39009
39,10,218,176,80.73,12,5.5,39010
39,11,296,222,75.0,11,3.72,39011
39,12,237,202,85.23,6,2.53,39012
39,13,172,130,75.58,7,4.07,39013
39,14,278,215,77.34,19,6.83,39014
39,15,267,155,58.05,7,2.62,39015
39,16,205,156,76.1,6,2.93,39016
39,17,223,175,78.48,5,2.24,39017
39,18,300,224,74.67,14,4.67,39018
39,19,173,127,73.41,13,7.51,39019
39,20,267,163,61.05,8,3.0,39020
39,21,176,130,73.86,11,6.25,39021
39,22,240,200,83.33,10,4.17,39022
39,23,158,133,84.18,4,2.53,39023
39,24,244,208,85.25,8,3.28,39024
39,25,300,216,72.0,15,5.0,39025
39,26,291,162,55.67,12,4.12,39026
39,27,294,227,77.21,15,5.1,39027
39,28,311,249,80.06,6,1.93,39028
39,29,279,214,76.7,15,5.38,39029
39,30,160,130,81.25,7,4.38,39030
39,31,195,147,75.38,12,6.15,39031
39,32,190,131,68.95,6,3.16,39032
39,33,336,250,74.4,17,5.06,39033
39,34,328,248,75.61,26,7.93,39034
39,35,323,249,77.09,14,4.33,39035
39,36,222,162,72.97,8,3.6,39036
39,37,399,262,65.66,13,3.26,39037
39,38,313,220,70.29,7,2.24,39038
39,39,113,88,77.88,7,6.19,39039
39,40,185,100,54.05,4,2.16,39040
39,41,118,86,72.88,3,2.54,39041
39,42,244,148,60.66,7,2.87,39042
39,43,280,210,75.0,19,6.79,39043
39,44,382,287,75.13,23,6.02,39044
39,45,166,136,81.93,8,4.82,39045
39,46,225,176,78.22,10,4.44,39046
39,47,179,121,67.6,6,3.35,39047
40,1,183,136,74.32,16,8.74,40001
40,2,165,125,75.76,8,4.85,40002
40,5,310,239,77.1,17,5.48,40005
40,6,295,249,84.41,19,6.44,40006
40,10,297,227,76.43,15,5.05,40010
40,14,294,230,78.23,11,3.74,40014
40,15,249,202,81.12,11,4.42,40015
40,17,130,98,75.38,11,8.46,40017
40,19,259,192,74.13,12,4.63,40019
40,20,236,183,77.54,14,5.93,40020
40,21,253,194,76.68,14,5.53,40021
40,23,371,310,83.56,18,4.85,40023
40,24,172,109,63.37,12,6.98,40024
40,25,195,145,74.36,3,1.54,40025
40,29,302,227,75.17,10,3.31,40029
40,30,294,219,74.49,8,2.72,40030
40,31,219,157,71.69,6,2.74,40031
40,32,150,110,73.33,9,6.0,40032
40,34,167,125,74.85,5,2.99,40034
40,36,298,235,78.86,16,5.37,40036
40,38,142,116,81.69,7,4.93,40038
40,40,169,144,85.21,4,2.37,40040
40,41,59,53,89.83,1,1.69,40041
40,44,172,121,70.35,9,5.23,40044
40,45,437,328,75.06,28,6.41,40045
40,48,172,118,68.6,2,1.16,40048
40,49,184,137,74.46,9,4.89,40049
41,3,339,199,58.7,15,4.42,41003
41,6,336,219,65.18,10,2.98,41006
41,9,399,250,62.66,12,3.01,41009
41,10,335,200,59.7,10,2.99,41010
41,12,358,241,67.32,8,2.23,41012
41,14,384,237,61.72,18,4.69,41014
41,16,374,238,63.64,18,4.81,41016
41,19,410,255,62.2,18,4.39,41019
41,21,394,253,64.21,15,3.81,41021
41,22,321,185,57.63,10,3.12,41022
41,23,320,193,60.31,11,3.44,41023
41,24,364,204,56.04,14,3.85,41024
41,30,427,266,62.3,19,4.45,41030
41,35,413,237,57.38,16,3.87,41035
41,38,378,225,59.52,13,3.44,41038
41,39,255,153,60.0,8,3.14,41039
41,44,394,251,63.71,11,2.79,41044
41,46,278,178,64.03,12,4.32,41046
41,47,326,179,54.91,11,3.37,41047
41,50,402,262,65.17,15,3.73,41050
41,51,260,168,64.62,7,2.69,41051
41,53,371,214,57.68,18,4.85,41053
41,54,258,166,64.34,8,3.1,41054
41,57,318,185,58.18,14,4.4,41057
43,2,391,234,59.85,11,2.81,43002
43,6,245,172,70.2,6,2.45,43006
43,7,360,259,71.94,10,2.78,43007
43,8,434,321,73.96,8,1.84,43008
43,12,405,279,68.89,8,1.98,43012
43,14,280,216,77.14,7,2.5,43014
43,17,408,256,62.75,9,2.21,43017
43,20,321,242,75.39,7,2.18,43020
43,21,348,245,70.4,7,2.01,43021
43,22,315,190,60.32,7,2.22,43022
43,27,272,189,69.49,3,1.1,43027
43,29,286,187,65.38,9,3.15,43029
43,31,407,270,66.34,9,2.21,43031
43,32,334,247,73.95,6,1.8,43032
43,33,237,155,65.4,9,3.8,43033
43,34,164,109,66.46,9,5.49,43034
43,38,251,176,70.12,4,1.59,43038
43,43,289,186,64.36,5,1.73,43043
43,44,346,233,67.34,8,2.31,43044
43,45,143,92,64.34,1,0.7,43045
43,48,313,231,73.8,10,3.19,43048
43,50,294,186,63.27,6,2.04,43050
43,53,325,233,71.69,5,1.54,43053
43,56,240,161,67.08,3,1.25,43056
43,57,252,170,67.46,9,3.57,43057
43,58,249,187,75.1,9,3.61,43058
43,59,295,215,72.88,4,1.36,43059
44,1,298,227,76.17,10,3.36,44001
44,2,252,185,73.41,8,3.17,44002
44,5,363,297,81.82,7,1.93,44005
44,6,366,265,72.4,15,4.1,44006
44,8,143,103,72.03,2,1.4,44008
44,9,290,193,66.55,11,3.79,44009
44,10,282,201,71.28,4,1.42,44010
44,11,345,260,75.36,16,4.64,44011
44,12,285,222,77.89,5,1.75,44012
44,13,243,179,73.66,7,2.88,44013
44,14,301,216,71.76,13,4.32,44014
44,15,430,329,76.51,14,3.26,44015
44,16,353,269,76.2,8,2.27,44016
44,17,374,303,81.02,10,2.67,44017
44,18,263,181,68.82,8,3.04,44018
44,19,208,165,79.33,3,1.44,44019
44,20,332,248,74.7,7,2.11,44020
44,21,422,326,77.25,7,1.66,44021
44,22,381,290,76.12,12,3.15,44022
44,23,304,237,77.96,9,2.96,44023
44,24,254,194,76.38,8,3.15,44024
44,25,366,271,74.04,10,2.73,44025
44,26,303,253,83.5,9,2.97,44026
44,27,432,307,71.06,8,1.85,44027
44,28,247,156,63.16,3,1.21,44028
44,29,418,290,69.38,13,3.11,44029
44,30,313,259,82.75,7,2.24,44030
44,31,404,273,67.57,10,2.48,44031
44,32,263,213,80.99,8,3.04,44032
44,33,398,344,86.43,15,3.77,44033
44,34,218,170,77.98,5,2.29,44034
44,36,355,248,69.86,12,3.38,44036
44,37,454,380,83.7,13,2.86,44037
44,38,353,228,64.59,12,3.4,44038
44,39,388,231,59.54,12,3.09,44039
44,40,367,239,65.12,14,3.81,44040
44,41,378,273,72.22,17,4.5,44041
44,42,468,376,80.34,12,2.56,44042
44,43,416,295,70.91,14,3.37,44043
44,44,393,314,79.9,12,3.05,44044
44,45,419,309,73.75,14,3.34,44045
44,46,257,210,81.71,5,1.95,44046
44,47,524,354,67.56,13,2.48,44047
44,50,346,218,63.01,16,4.62,44050
44,51,280,193,68.93,7,2.5,44051
45,1,233,163,69.96,20,8.58,45001
45,2,356,235,66.01,9,2.53,45002
45,3,307,215,70.03,18,5.86,45003
45,4,393,236,60.05,9,2.29,45004
45,5,373,220,58.98,17,4.56,45005
45,6,303,194,64.03,19,6.27,45006
45,7,304,208,68.42,20,6.58,45007
45,8,241,165,68.46,19,7.88,45008
45,9,320,212,66.25,12,3.75,45009
45,10,340,234,68.82,15,4.41,45010
45,11,288,199,69.1,14,4.86,45011
45,12,353,244,69.12,17,4.82,45012
45,13,328,233,71.04,12,3.66,45013
45,14,341,236,69.21,19,5.57,45014
45,15,302,192,63.58,13,4.3,45015
45,16,292,229,78.42,13,4.45,45016
45,17,256,174,67.97,14,5.47,45017
45,18,278,217,78.06,10,3.6,45018
45,19,327,217,66.36,16,4.89,45019
45,20,265,183,69.06,11,4.15,45020
45,21,275,178,64.73,9,3.27,45021
45,22,272,172,63.24,14,5.15,45022
45,23,325,213,65.54,15,4.62,45023
45,24,389,252,64.78,16,4.11,45024
45,25,286,214,74.83,19,6.64,45025
45,26,324,245,75.62,16,4.94,45026
45,27,256,183,71.48,7,2.73,45027
45,28,239,185,77.41,7,2.93,45028
45,29,311,218,70.1,19,6.11,45029
45,30,322,213,66.15,11,3.42,45030
45,31,302,223,73.84,15,4.97,45031
45,32,214,144,67.29,12,5.61,45032
45,33,280,176,62.86,14,5.0,45033
45,34,231,159,68.83,9,3.9,45034
45,35,303,213,70.3,15,4.95,45035
45,36,305,191,62.62,17,5.57,45036
45,37,303,213,70.3,21,6.93,45037
45,38,341,254,74.49,14,4.11,45038
45,39,327,231,70.64,15,4.59,45039
45,40,320,246,76.88,17,5.31,45040
45,41,209,154,73.68,8,3.83,45041
45,42,283,199,70.32,10,3.53,45042
45,43,240,173,72.08,11,4.58,45043
45,44,323,213,65.94,19,5.88,45044
45,45,235,150,63.83,8,3.4,45045
45,46,309,224,72.49,12,3.88,45046
45,47,287,193,67.25,16,5.57,45047
45,48,281,207,73.67,9,3.2,45048
45,49,274,198,72.26,12,4.38,45049
45,50,272,179,65.81,12,4.41,45050
45,51,298,175,58.72,18,6.04,45051
45,52,309,201,65.05,16,5.18,45052
45,53,233,147,63.09,17,7.3,45053
46,3,367,308,83.92,12,3.27,46003
46,5,239,188,78.66,11,4.6,46005
46,13,348,255,73.28,9,2.59,46013
46,17,456,366,80.26,9,1.97,46017
46,18,343,275,80.17,7,2.04,46018
46,24,303,240,79.21,11,3.63,46024
46,29,307,244,79.48,9,2.93,46029
46,31,403,329,81.64,15,3.72,46031
46,36,336,255,75.89,11,3.27,46036
46,37,257,207,80.54,9,3.5,46037
46,43,428,362,84.58,16,3.74,46043
46,44,300,256,85.33,0,0.0,46044
47,1,401,316,78.8,24,5.99,47001
47,2,273,213,78.02,9,3.3,47002
47,3,284,208,73.24,16,5.63,47003
47,4,353,280,79.32,5,1.42,47004
47,5,411,324,78.83,19,4.62,47005
47,6,401,308,76.81,13,3.24,47006
47,7,326,261,80.06,9,2.76,47007
47,8,425,330,77.65,14,3.29,47008
47,9,283,221,78.09,13,4.59,47009
47,10,250,205,82.0,18,7.2,47010
47,11,566,464,81.98,40,7.07,47011
47,12,367,280,76.29,19,5.18,47012
47,13,481,403,83.78,29,6.03,47013
47,14,265,212,80.0,16,6.04,47014
47,15,400,340,85.0,18,4.5,47015
47,16,344,276,80.23,19,5.52,47016
47,17,339,259,76.4,18,5.31,47017
47,18,406,311,76.6,12,2.96,47018
47,19,390,323,82.82,25,6.41,47019
47,20,421,334,79.33,19,4.51,47020
47,21,393,312,79.39,25,6.36,47021
47,22,328,251,76.52,14,4.27,47022
47,23,191,153,80.1,14,7.33,47023
47,24,407,295,72.48,9,2.21,47024
47,25,430,323,75.12,16,3.72,47025
47,26,604,502,83.11,40,6.62,47026
47,27,343,266,77.55,16,4.66,47027
47,28,439,349,79.5,34,7.74,47028
47,29,420,305,72.62,15,3.57,47029
47,30,385,317,82.34,22,5.71,47030
47,31,403,346,85.86,14,3.47,47031
47,32,413,341,82.57,25,6.05,47032
47,33,338,278,82.25,19,5.62,47033
47,34,438,362,82.65,29,6.62,47034
47,35,513,410,79.92,18,3.51,47035
47,36,532,426,80.08,41,7.71,47036
47,37,474,353,74.47,27,5.7,47037
47,38,422,343,81.28,18,4.27,47038
47,39,351,287,81.77,8,2.28,47039
47,40,358,286,79.89,25,6.98,47040
47,41,589,499,84.72,18,3.06,47041
47,42,298,232,77.85,21,7.05,47042
47,43,244,184,75.41,6,2.46,47043
47,44,360,259,71.94,13,3.61,47044
47,45,391,313,80.05,35,8.95,47045
47,46,280,218,77.86,7,2.5,47046
47,47,322,236,73.29,15,4.66,47047
47,48,55,47,85.45,1,1.82,47048
47,49,254,203,79.92,11,4.33,47049
47,50,352,261,74.15,14,3.98,47050
47,51,212,169,79.72,6,2.83,47051
47,52,209,175,83.73,2,0.96,47052
50,44,255,153,60.0,5,1.96,50044
50,45,175,94,53.71,6,3.43,50045
