ward,precinct,total,Brian G. Doherty,Brian G. Doherty Percent,John G. Mulroe,John G. Mulroe Percent,precinct_id
45,34,235,86,36.6,149,63.4,45034
45,35,304,112,36.84,192,63.16,45035
45,37,297,104,35.02,193,64.98,45037
45,38,337,122,36.2,215,63.8,45038
45,39,322,104,32.3,218,67.7,45039
45,40,316,87,27.53,229,72.47,45040
45,41,207,77,37.2,130,62.8,45041
45,42,273,122,44.69,151,55.31,45042
45,43,235,73,31.06,162,68.94,45043
45,44,319,161,50.47,158,49.53,45044
45,45,232,92,39.66,140,60.34,45045
45,46,305,104,34.1,201,65.9,45046
45,47,284,110,38.73,174,61.27,45047
45,48,276,96,34.78,180,65.22,45048
45,49,283,93,32.86,190,67.14,45049
45,50,266,108,40.6,158,59.4,45050
45,51,296,140,47.3,156,52.7,45051
45,52,308,126,40.91,182,59.09,45052
45,53,230,100,43.48,130,56.52,45053
