ward,precinct,total,Steve Kim,Steve Kim Percent,Lisa Madigan,Lisa Madigan Percent,Bill Malan,Bill Malan Percent,precinct_id
4,34,262,18,6.87,232,88.55,0,0.0,04034
4,35,221,4,1.81,214,96.83,0,0.0,04035
4,36,244,3,1.23,229,93.85,2,0.82,04036
4,37,8,0,0.0,8,100.0,0,0.0,04037
4,38,489,13,2.66,464,94.89,2,0.41,04038
4,39,238,1,0.42,231,97.06,2,0.84,04039
4,40,362,12,3.31,337,93.09,3,0.83,04040
4,41,176,9,5.11,154,87.5,2,1.14,04041
4,42,362,14,3.87,341,94.2,2,0.55,04042
4,43,230,11,4.78,208,90.43,0,0.0,04043
4,44,197,6,3.05,182,92.39,1,0.51,04044
4,45,507,15,2.96,474,93.49,2,0.39,04045
4,46,265,1,0.38,256,96.6,0,0.0,04046
4,47,464,14,3.02,433,93.32,3,0.65,04047
4,48,427,24,5.62,387,90.63,3,0.7,04048
4,49,268,5,1.87,259,96.64,0,0.0,04049
4,50,295,6,2.03,283,95.93,1,0.34,04050
4,51,303,4,1.32,290,95.71,5,1.65,04051
4,52,360,6,1.67,347,96.39,2,0.56,04052
5,1,330,6,1.82,314,95.15,3,0.91,05001
5,2,269,5,1.86,260,96.65,1,0.37,05002
5,3,166,3,1.81,159,95.78,1,0.6,05003
5,4,222,5,2.25,211,95.05,2,0.9,05004
5,5,277,3,1.08,271,97.83,1,0.36,05005
5,6,361,4,1.11,348,96.4,4,1.11,05006
5,7,328,7,2.13,311,94.82,1,0.3,05007
5,8,400,25,6.25,358,89.5,3,0.75,05008
5,9,291,4,1.37,282,96.91,1,0.34,05009
5,10,261,9,3.45,249,95.4,3,1.15,05010
5,11,268,18,6.72,239,89.18,2,0.75,05011
5,12,201,5,2.49,191,95.02,0,0.0,05012
5,13,304,6,1.97,287,94.41,4,1.32,05013
5,14,434,14,3.23,403,92.86,3,0.69,05014
5,15,298,19,6.38,261,87.58,5,1.68,05015
5,16,230,2,0.87,224,97.39,2,0.87,05016
5,17,329,2,0.61,321,97.57,3,0.91,05017
5,18,319,7,2.19,301,94.36,0,0.0,05018
5,19,167,2,1.2,161,96.41,2,1.2,05019
5,20,160,0,0.0,160,100.0,0,0.0,05020
5,21,334,2,0.6,328,98.2,2,0.6,05021
5,22,291,3,1.03,281,96.56,0,0.0,05022
5,23,199,3,1.51,192,96.48,1,0.5,05023
5,24,260,9,3.46,244,93.85,0,0.0,05024
5,25,317,3,0.95,308,97.16,1,0.32,05025
5,26,326,1,0.31,319,97.85,1,0.31,05026
5,27,451,50,11.09,380,84.26,2,0.44,05027
5,28,326,3,0.92,312,95.71,2,0.61,05028
5,29,295,8,2.71,281,95.25,1,0.34,05029
5,30,304,26,8.55,255,83.88,10,3.29,05030
5,31,272,3,1.1,263,96.69,0,0.0,05031
5,32,469,11,2.35,447,95.31,1,0.21,05032
5,33,199,1,0.5,194,97.49,2,1.01,05033
5,34,354,3,0.85,345,97.46,2,0.56,05034
5,35,247,18,7.29,220,89.07,4,1.62,05035
5,36,154,1,0.65,147,95.45,0,0.0,05036
5,37,255,6,2.35,235,92.16,2,0.78,05037
5,38,314,9,2.87,298,94.9,3,0.96,05038
5,39,419,26,6.21,377,89.98,7,1.67,05039
5,40,315,3,0.95,301,95.56,1,0.32,05040
5,41,310,27,8.71,264,85.16,4,1.29,05041
5,42,335,6,1.79,323,96.42,1,0.3,05042
5,43,314,6,1.91,298,94.9,1,0.32,05043
5,44,334,3,0.9,319,95.51,2,0.6,05044
5,45,177,1,0.56,174,98.31,0,0.0,05045
5,46,290,17,5.86,257,88.62,4,1.38,05046
5,47,251,3,1.2,246,98.01,0,0.0,05047
5,48,223,8,3.59,202,90.58,2,0.9,05048
5,49,71,1,1.41,70,98.59,0,0.0,05049
5,50,257,0,0.0,253,98.44,1,0.39,05050
5,51,212,4,1.89,200,94.34,2,0.94,05051
5,52,14,1,7.14,13,92.86,0,0.0,05052
5,53,356,15,4.21,332,93.26,2,0.56,05053
5,54,421,3,0.71,404,95.96,2,0.48,05054
5,55,292,5,1.71,280,95.89,1,0.34,05055
6,1,360,1,0.28,354,98.33,0,0.0,06001
6,2,343,4,1.17,332,96.79,0,0.0,06002
6,3,351,3,0.85,341,97.15,0,0.0,06003
6,4,234,11,4.7,215,91.88,3,1.28,06004
6,5,156,2,1.28,153,98.08,1,0.64,06005
6,6,273,2,0.73,262,95.97,2,0.73,06006
6,7,301,4,1.33,288,95.68,2,0.66,06007
6,8,393,2,0.51,383,97.46,3,0.76,06008
6,9,301,7,2.33,286,95.02,4,1.33,06009
6,10,434,2,0.46,427,98.39,1,0.23,06010
6,11,283,3,1.06,268,94.7,3,1.06,06011
6,12,307,2,0.65,299,97.39,1,0.33,06012
6,13,285,4,1.4,273,95.79,1,0.35,06013
6,14,299,1,0.33,293,97.99,2,0.67,06014
6,15,227,0,0.0,217,95.59,3,1.32,06015
6,16,359,3,0.84,344,95.82,3,0.84,06016
6,17,362,3,0.83,350,96.69,2,0.55,06017
6,18,194,2,1.03,187,96.39,1,0.52,06018
6,19,365,7,1.92,346,94.79,2,0.55,06019
6,20,320,1,0.31,314,98.13,0,0.0,06020
6,21,319,1,0.31,316,99.06,0,0.0,06021
6,22,314,1,0.32,308,98.09,0,0.0,06022
6,23,243,4,1.65,234,96.3,2,0.82,06023
6,24,304,4,1.32,293,96.38,2,0.66,06024
6,25,228,3,1.32,222,97.37,0,0.0,06025
6,26,343,1,0.29,338,98.54,0,0.0,06026
6,27,393,1,0.25,387,98.47,0,0.0,06027
6,28,522,3,0.57,505,96.74,3,0.57,06028
6,29,380,6,1.58,366,96.32,1,0.26,06029
6,30,273,6,2.2,264,96.7,0,0.0,06030
6,31,361,2,0.55,355,98.34,1,0.28,06031
6,32,318,1,0.31,310,97.48,1,0.31,06032
6,33,383,3,0.78,376,98.17,0,0.0,06033
6,34,265,5,1.89,255,96.23,2,0.75,06034
6,35,290,4,1.38,276,95.17,3,1.03,06035
6,36,212,4,1.89,205,96.7,0,0.0,06036
6,37,362,2,0.55,352,97.24,1,0.28,06037
6,38,320,4,1.25,304,95.0,1,0.31,06038
6,39,286,7,2.45,266,93.01,2,0.7,06039
6,40,181,1,0.55,179,98.9,0,0.0,06040
6,41,346,8,2.31,329,95.09,1,0.29,06041
6,42,174,1,0.57,167,95.98,1,0.57,06042
6,43,327,0,0.0,317,96.94,2,0.61,06043
6,44,313,6,1.92,300,95.85,1,0.32,06044
6,45,229,2,0.87,225,98.25,1,0.44,06045
6,46,289,2,0.69,280,96.89,1,0.35,06046
6,47,319,5,1.57,309,96.87,0,0.0,06047
6,48,293,5,1.71,285,97.27,1,0.34,06048
6,49,341,6,1.76,327,95.89,0,0.0,06049
6,50,322,6,1.86,308,95.65,2,0.62,06050
6,51,217,0,0.0,212,97.7,1,0.46,06051
6,52,201,1,0.5,194,96.52,1,0.5,06052
6,53,282,5,1.77,268,95.04,2,0.71,06053
6,54,318,2,0.63,309,97.17,3,0.94,06054
6,55,275,3,1.09,265,96.36,4,1.45,06055
6,56,224,0,0.0,215,95.98,2,0.89,06056
6,57,186,1,0.54,184,98.92,0,0.0,06057
6,58,318,5,1.57,305,95.91,0,0.0,06058
6,59,312,1,0.32,305,97.76,0,0.0,06059
6,60,200,1,0.5,190,95.0,0,0.0,06060
6,61,172,1,0.58,168,97.67,1,0.58,06061
6,62,282,2,0.71,273,96.81,2,0.71,06062
6,63,269,3,1.12,263,97.77,0,0.0,06063
6,64,355,6,1.69,341,96.06,1,0.28,06064
7,1,475,4,0.84,458,96.42,3,0.63,07001
7,2,323,3,0.93,315,97.52,0,0.0,07002
7,3,199,2,1.01,191,95.98,1,0.5,07003
7,4,230,5,2.17,220,95.65,0,0.0,07004
7,5,243,5,2.06,234,96.3,1,0.41,07005
7,6,224,1,0.45,219,97.77,1,0.45,07006
7,7,196,2,1.02,188,95.92,2,1.02,07007
7,8,84,1,1.19,77,91.67,0,0.0,07008
7,9,255,6,2.35,244,95.69,1,0.39,07009
7,10,196,2,1.02,186,94.9,1,0.51,07010
7,11,303,5,1.65,287,94.72,2,0.66,07011
7,12,217,4,1.84,204,94.01,1,0.46,07012
7,13,193,4,2.07,187,96.89,1,0.52,07013
7,14,314,6,1.91,300,95.54,2,0.64,07014
7,15,186,7,3.76,175,94.09,0,0.0,07015
7,16,195,3,1.54,189,96.92,0,0.0,07016
7,17,140,0,0.0,136,97.14,1,0.71,07017
7,18,176,2,1.14,171,97.16,1,0.57,07018
7,19,402,7,1.74,386,96.02,2,0.5,07019
7,20,134,1,0.75,130,97.01,1,0.75,07020
7,21,287,6,2.09,276,96.17,1,0.35,07021
7,22,204,7,3.43,195,95.59,0,0.0,07022
7,23,300,4,1.33,291,97.0,0,0.0,07023
7,24,246,1,0.41,235,95.53,2,0.81,07024
7,25,338,3,0.89,324,95.86,1,0.3,07025
7,26,333,3,0.9,320,96.1,2,0.6,07026
7,27,382,5,1.31,368,96.34,1,0.26,07027
7,28,314,2,0.64,306,97.45,2,0.64,07028
7,29,250,7,2.8,233,93.2,4,1.6,07029
7,30,302,4,1.32,292,96.69,1,0.33,07030
7,31,261,2,0.77,255,97.7,0,0.0,07031
7,32,200,13,6.5,186,93.0,0,0.0,07032
7,33,207,2,0.97,197,95.17,1,0.48,07033
7,34,256,2,0.78,252,98.44,0,0.0,07034
7,35,330,6,1.82,317,96.06,1,0.3,07035
7,36,287,4,1.39,280,97.56,1,0.35,07036
7,37,147,2,1.36,139,94.56,2,1.36,07037
7,38,208,0,0.0,201,96.63,4,1.92,07038
7,39,254,1,0.39,250,98.43,0,0.0,07039
7,40,341,12,3.52,321,94.13,1,0.29,07040
7,41,224,3,1.34,216,96.43,0,0.0,07041
7,42,411,1,0.24,404,98.3,1,0.24,07042
7,43,302,6,1.99,289,95.7,0,0.0,07043
7,44,428,16,3.74,398,92.99,6,1.4,07044
7,45,383,6,1.57,368,96.08,2,0.52,07045
7,46,150,1,0.67,140,93.33,4,2.67,07046
7,47,257,3,1.17,246,95.72,1,0.39,07047
7,48,232,1,0.43,227,97.84,1,0.43,07048
7,49,142,2,1.41,139,97.89,0,0.0,07049
7,50,193,4,2.07,185,95.85,0,0.0,07050
7,51,455,3,0.66,445,97.8,0,0.0,07051
7,52,206,3,1.46,200,97.09,0,0.0,07052
7,53,217,3,1.38,211,97.24,0,0.0,07053
7,54,122,5,4.1,113,92.62,2,1.64,07054
7,55,230,2,0.87,225,97.83,0,0.0,07055
7,56,255,3,1.18,243,95.29,0,0.0,07056
7,57,203,5,2.46,191,94.09,2,0.99,07057
7,58,304,2,0.66,295,97.04,0,0.0,07058
7,59,150,1,0.67,145,96.67,1,0.67,07059
7,60,192,1,0.52,190,98.96,0,0.0,07060
7,61,242,1,0.41,238,98.35,0,0.0,07061
8,1,315,1,0.32,310,98.41,0,0.0,08001
8,2,159,2,1.26,151,94.97,1,0.63,08002
8,3,372,5,1.34,358,96.24,1,0.27,08003
8,4,294,1,0.34,290,98.64,2,0.68,08004
8,5,337,3,0.89,326,96.74,1,0.3,08005
8,6,310,2,0.65,302,97.42,4,1.29,08006
8,7,271,2,0.74,266,98.15,1,0.37,08007
8,8,355,4,1.13,343,96.62,0,0.0,08008
8,9,371,3,0.81,364,98.11,1,0.27,08009
8,10,404,1,0.25,395,97.77,2,0.5,08010
8,11,315,1,0.32,304,96.51,3,0.95,08011
8,12,297,3,1.01,290,97.64,2,0.67,08012
8,13,251,4,1.59,244,97.21,0,0.0,08013
8,14,206,3,1.46,198,96.12,0,0.0,08014
8,15,233,3,1.29,229,98.28,1,0.43,08015
8,16,316,9,2.85,302,95.57,1,0.32,08016
8,17,267,3,1.12,261,97.75,0,0.0,08017
8,18,178,1,0.56,174,97.75,0,0.0,08018
8,19,367,8,2.18,347,94.55,2,0.54,08019
8,20,225,0,0.0,221,98.22,0,0.0,08020
8,21,229,2,0.87,224,97.82,0,0.0,08021
8,22,258,1,0.39,253,98.06,1,0.39,08022
8,23,264,0,0.0,259,98.11,2,0.76,08023
8,24,302,3,0.99,293,97.02,1,0.33,08024
8,25,295,3,1.02,287,97.29,1,0.34,08025
8,26,197,1,0.51,192,97.46,1,0.51,08026
8,27,339,3,0.88,327,96.46,0,0.0,08027
8,28,246,1,0.41,243,98.78,0,0.0,08028
8,29,320,1,0.31,314,98.13,0,0.0,08029
8,30,260,9,3.46,246,94.62,0,0.0,08030
8,31,212,2,0.94,202,95.28,0,0.0,08031
8,32,437,8,1.83,421,96.34,2,0.46,08032
8,33,267,2,0.75,260,97.38,1,0.37,08033
8,34,377,2,0.53,368,97.61,1,0.27,08034
8,35,344,2,0.58,334,97.09,1,0.29,08035
8,36,267,1,0.37,261,97.75,1,0.37,08036
8,37,354,4,1.13,343,96.89,3,0.85,08037
8,38,304,3,0.99,297,97.7,0,0.0,08038
8,39,308,3,0.97,300,97.4,3,0.97,08039
8,40,256,4,1.56,247,96.48,1,0.39,08040
8,41,231,4,1.73,224,96.97,1,0.43,08041
8,42,304,2,0.66,291,95.72,2,0.66,08042
8,43,245,1,0.41,238,97.14,2,0.82,08043
8,44,231,4,1.73,225,97.4,0,0.0,08044
8,45,236,1,0.42,230,97.46,0,0.0,08045
8,46,255,3,1.18,250,98.04,0,0.0,08046
8,47,295,5,1.69,287,97.29,0,0.0,08047
8,48,260,4,1.54,253,97.31,1,0.38,08048
8,49,392,2,0.51,380,96.94,2,0.51,08049
8,50,316,2,0.63,306,96.84,1,0.32,08050
8,51,383,3,0.78,370,96.61,3,0.78,08051
8,52,294,0,0.0,287,97.62,0,0.0,08052
8,53,329,4,1.22,317,96.35,1,0.3,08053
8,54,307,5,1.63,299,97.39,0,0.0,08054
8,55,281,2,0.71,271,96.44,1,0.36,08055
8,56,330,1,0.3,323,97.88,1,0.3,08056
8,57,265,2,0.75,255,96.23,4,1.51,08057
8,58,310,3,0.97,303,97.74,1,0.32,08058
8,59,183,2,1.09,180,98.36,0,0.0,08059
8,60,272,1,0.37,266,97.79,3,1.1,08060
8,61,226,2,0.88,218,96.46,0,0.0,08061
8,62,254,2,0.79,244,96.06,1,0.39,08062
8,63,307,3,0.98,297,96.74,0,0.0,08063
8,64,273,4,1.47,262,95.97,2,0.73,08064
8,65,199,1,0.5,195,97.99,0,0.0,08065
8,66,444,6,1.35,430,96.85,1,0.23,08066
8,67,210,0,0.0,207,98.57,1,0.48,08067
8,68,190,3,1.58,185,97.37,1,0.53,08068
8,69,186,1,0.54,178,95.7,1,0.54,08069
8,70,370,1,0.27,361,97.57,2,0.54,08070
9,1,347,2,0.58,341,98.27,0,0.0,09001
9,2,350,3,0.86,343,98.0,1,0.29,09002
9,3,128,0,0.0,127,99.22,0,0.0,09003
9,4,296,4,1.35,288,97.3,3,1.01,09004
9,5,364,6,1.65,347,95.33,2,0.55,09005
9,6,368,6,1.63,355,96.47,2,0.54,09006
9,7,252,2,0.79,237,94.05,1,0.4,09007
9,8,330,7,2.12,314,95.15,2,0.61,09008
9,9,372,6,1.61,357,95.97,1,0.27,09009
9,10,310,1,0.32,301,97.1,3,0.97,09010
9,11,230,2,0.87,222,96.52,3,1.3,09011
9,12,288,0,0.0,284,98.61,3,1.04,09012
9,13,340,1,0.29,336,98.82,0,0.0,09013
9,14,419,4,0.95,412,98.33,0,0.0,09014
9,15,275,2,0.73,268,97.45,0,0.0,09015
9,16,239,0,0.0,236,98.74,0,0.0,09016
9,17,299,3,1.0,292,97.66,0,0.0,09017
9,18,307,4,1.3,294,95.77,3,0.98,09018
9,19,309,2,0.65,302,97.73,1,0.32,09019
9,20,327,2,0.61,318,97.25,1,0.31,09020
9,21,319,6,1.88,310,97.18,0,0.0,09021
9,22,366,3,0.82,357,97.54,0,0.0,09022
9,23,233,2,0.86,224,96.14,3,1.29,09023
9,24,141,2,1.42,136,96.45,1,0.71,09024
9,25,237,27,11.39,205,86.5,2,0.84,09025
9,26,231,1,0.43,227,98.27,2,0.87,09026
9,27,293,5,1.71,280,95.56,3,1.02,09027
9,28,146,2,1.37,142,97.26,0,0.0,09028
9,29,264,2,0.76,258,97.73,0,0.0,09029
9,30,310,2,0.65,306,98.71,0,0.0,09030
9,31,241,1,0.41,235,97.51,0,0.0,09031
9,32,280,3,1.07,272,97.14,1,0.36,09032
9,33,275,2,0.73,269,97.82,0,0.0,09033
9,34,242,2,0.83,234,96.69,0,0.0,09034
9,35,341,3,0.88,327,95.89,3,0.88,09035
9,36,363,3,0.83,353,97.25,3,0.83,09036
9,37,253,22,8.7,221,87.35,4,1.58,09037
9,38,317,5,1.58,308,97.16,1,0.32,09038
9,39,370,2,0.54,361,97.57,3,0.81,09039
9,40,332,2,0.6,322,96.99,2,0.6,09040
9,41,341,8,2.35,324,95.01,0,0.0,09041
9,42,152,1,0.66,150,98.68,0,0.0,09042
9,43,203,3,1.48,195,96.06,2,0.99,09043
9,44,220,2,0.91,215,97.73,0,0.0,09044
9,45,282,5,1.77,270,95.74,1,0.35,09045
9,46,246,4,1.63,237,96.34,0,0.0,09046
9,47,347,2,0.58,338,97.41,1,0.29,09047
9,48,320,3,0.94,311,97.19,1,0.31,09048
9,49,200,1,0.5,196,98.0,0,0.0,09049
9,50,295,1,0.34,294,99.66,0,0.0,09050
9,51,173,8,4.62,162,93.64,0,0.0,09051
9,52,329,6,1.82,313,95.14,2,0.61,09052
9,53,170,1,0.59,165,97.06,1,0.59,09053
10,1,235,4,1.7,219,93.19,5,2.13,10001
10,2,173,25,14.45,142,82.08,5,2.89,10002
