ward,precinct,total,Raymond G. Wardingley,Raymond G. Wardingley Percent,Bobby L. Rush,Bobby L. Rush Percent,Jeff Adams,Jeff Adams Percent,precinct_id
5,33,199,1,0.5,196,98.49,2,1.01,05033
5,35,252,28,11.11,205,81.35,19,7.54,05035
5,39,400,33,8.25,319,79.75,48,12.0,05039
5,41,309,30,9.71,250,80.91,29,9.39,05041
5,45,174,1,0.57,171,98.28,2,1.15,05045
5,48,216,16,7.41,179,82.87,21,9.72,05048
5,50,256,1,0.39,250,97.66,5,1.95,05050
5,51,209,3,1.44,205,98.09,1,0.48,05051
5,52,20,1,5.0,18,90.0,1,5.0,05052
5,53,362,23,6.35,328,90.61,11,3.04,05053
5,55,288,1,0.35,284,98.61,3,1.04,05055
6,1,360,4,1.11,349,96.94,7,1.94,06001
6,2,344,4,1.16,336,97.67,4,1.16,06002
6,3,351,3,0.85,343,97.72,5,1.42,06003
6,4,234,6,2.56,226,96.58,2,0.85,06004
6,5,155,0,0.0,154,99.35,1,0.65,06005
6,6,274,6,2.19,260,94.89,8,2.92,06006
6,7,300,2,0.67,289,96.33,9,3.0,06007
6,8,396,1,0.25,391,98.74,4,1.01,06008
6,9,299,1,0.33,296,99.0,2,0.67,06009
6,10,428,3,0.7,416,97.2,9,2.1,06010
6,11,281,4,1.42,272,96.8,5,1.78,06011
6,12,304,2,0.66,298,98.03,4,1.32,06012
6,13,286,1,0.35,279,97.55,6,2.1,06013
6,14,291,2,0.69,285,97.94,4,1.37,06014
6,15,226,1,0.44,221,97.79,4,1.77,06015
6,16,361,5,1.39,350,96.95,6,1.66,06016
6,17,360,2,0.56,353,98.06,5,1.39,06017
6,18,194,1,0.52,190,97.94,3,1.55,06018
6,19,364,6,1.65,353,96.98,5,1.37,06019
6,20,315,2,0.63,311,98.73,2,0.63,06020
6,23,248,4,1.61,244,98.39,0,0.0,06023
6,24,303,3,0.99,296,97.69,4,1.32,06024
6,25,231,2,0.87,226,97.84,3,1.3,06025
6,26,340,1,0.29,336,98.82,3,0.88,06026
6,27,393,3,0.76,387,98.47,3,0.76,06027
6,28,526,6,1.14,512,97.34,8,1.52,06028
6,29,379,5,1.32,364,96.04,10,2.64,06029
6,30,278,3,1.08,272,97.84,3,1.08,06030
6,31,372,2,0.54,363,97.58,7,1.88,06031
6,32,317,4,1.26,306,96.53,7,2.21,06032
6,33,382,3,0.79,373,97.64,6,1.57,06033
6,34,260,4,1.54,253,97.31,3,1.15,06034
6,35,292,3,1.03,279,95.55,10,3.42,06035
6,36,209,2,0.96,206,98.56,1,0.48,06036
6,37,361,3,0.83,353,97.78,5,1.39,06037
6,38,320,1,0.31,308,96.25,11,3.44,06038
6,39,284,9,3.17,275,96.83,0,0.0,06039
6,40,182,1,0.55,179,98.35,2,1.1,06040
6,41,340,5,1.47,329,96.76,6,1.76,06041
6,42,172,0,0.0,170,98.84,2,1.16,06042
6,43,326,4,1.23,312,95.71,10,3.07,06043
6,44,311,3,0.96,304,97.75,4,1.29,06044
6,45,232,6,2.59,222,95.69,4,1.72,06045
6,46,287,6,2.09,277,96.52,4,1.39,06046
6,47,321,2,0.62,310,96.57,9,2.8,06047
6,48,289,2,0.69,283,97.92,4,1.38,06048
6,49,336,5,1.49,329,97.92,2,0.6,06049
6,50,323,6,1.86,314,97.21,3,0.93,06050
6,51,218,1,0.46,214,98.17,3,1.38,06051
6,52,198,1,0.51,194,97.98,3,1.52,06052
6,53,284,5,1.76,271,95.42,8,2.82,06053
6,54,320,2,0.63,313,97.81,5,1.56,06054
6,55,279,5,1.79,270,96.77,4,1.43,06055
6,56,219,1,0.46,216,98.63,2,0.91,06056
6,57,183,0,0.0,182,99.45,1,0.55,06057
6,58,318,6,1.89,298,93.71,14,4.4,06058
6,59,313,3,0.96,303,96.81,7,2.24,06059
6,60,201,2,1.0,194,96.52,5,2.49,06060
6,61,173,1,0.58,169,97.69,3,1.73,06061
6,62,281,1,0.36,276,98.22,4,1.42,06062
6,63,267,1,0.37,264,98.88,2,0.75,06063
8,1,318,3,0.94,308,96.86,7,2.2,08001
8,2,158,1,0.63,153,96.84,4,2.53,08002
8,3,72,0,0.0,72,100.0,0,0.0,08003
8,6,312,1,0.32,307,98.4,4,1.28,08006
8,10,404,4,0.99,394,97.52,6,1.49,08010
8,11,310,2,0.65,305,98.39,3,0.97,08011
8,12,292,4,1.37,279,95.55,9,3.08,08012
8,13,253,4,1.58,245,96.84,4,1.58,08013
8,14,204,4,1.96,198,97.06,2,0.98,08014
8,16,320,5,1.56,308,96.25,7,2.19,08016
8,18,178,1,0.56,175,98.31,2,1.12,08018
8,20,218,0,0.0,211,96.79,7,3.21,08020
8,21,222,3,1.35,218,98.2,1,0.45,08021
8,22,258,1,0.39,254,98.45,3,1.16,08022
8,29,309,3,0.97,303,98.06,3,0.97,08029
8,30,261,4,1.53,254,97.32,3,1.15,08030
8,31,209,2,0.96,201,96.17,6,2.87,08031
8,33,265,1,0.38,263,99.25,1,0.38,08033
8,35,344,5,1.45,331,96.22,8,2.33,08035
8,37,355,4,1.13,351,98.87,0,0.0,08037
8,38,305,4,1.31,298,97.7,3,0.98,08038
8,40,257,3,1.17,253,98.44,1,0.39,08040
8,41,231,3,1.3,223,96.54,5,2.16,08041
8,43,239,3,1.26,234,97.91,2,0.84,08043
8,45,236,1,0.42,231,97.88,4,1.69,08045
8,48,249,5,2.01,238,95.58,6,2.41,08048
8,52,291,3,1.03,281,96.56,7,2.41,08052
8,53,325,6,1.85,314,96.62,5,1.54,08053
8,54,307,5,1.63,297,96.74,5,1.63,08054
8,55,284,5,1.76,274,96.48,5,1.76,08055
8,56,321,1,0.31,314,97.82,6,1.87,08056
8,58,305,3,0.98,300,98.36,2,0.66,08058
8,59,185,3,1.62,182,98.38,0,0.0,08059
8,61,229,1,0.44,225,98.25,3,1.31,08061
8,64,280,5,1.79,273,97.5,2,0.71,08064
8,67,206,3,1.46,200,97.09,3,1.46,08067
8,68,189,2,1.06,183,96.83,4,2.12,08068
8,69,188,5,2.66,180,95.74,3,1.6,08069
9,36,358,2,0.56,350,97.77,6,1.68,09036
9,47,346,5,1.45,338,97.69,3,0.87,09047
15,2,166,2,1.2,163,98.19,1,0.6,15002
15,3,167,4,2.4,159,95.21,4,2.4,15003
15,4,180,1,0.56,174,96.67,5,2.78,15004
15,5,190,2,1.05,187,98.42,1,0.53,15005
15,6,212,7,3.3,202,95.28,3,1.42,15006
15,7,206,3,1.46,199,96.6,4,1.94,15007
15,8,274,5,1.82,258,94.16,11,4.01,15008
15,9,215,8,3.72,201,93.49,6,2.79,15009
15,11,224,6,2.68,214,95.54,4,1.79,15011
15,12,129,0,0.0,125,96.9,4,3.1,15012
15,17,193,1,0.52,188,97.41,4,2.07,15017
15,18,157,0,0.0,156,99.36,1,0.64,15018
15,19,174,1,0.57,169,97.13,4,2.3,15019
15,20,123,0,0.0,119,96.75,4,3.25,15020
15,21,186,1,0.54,181,97.31,4,2.15,15021
15,22,230,6,2.61,218,94.78,6,2.61,15022
15,23,141,2,1.42,138,97.87,1,0.71,15023
15,24,193,7,3.63,181,93.78,5,2.59,15024
15,26,171,1,0.58,168,98.25,2,1.17,15026
15,27,185,3,1.62,176,95.14,6,3.24,15027
15,29,99,1,1.01,96,96.97,2,2.02,15029
15,30,232,6,2.59,225,96.98,1,0.43,15030
15,31,165,1,0.61,163,98.79,1,0.61,15031
15,33,167,4,2.4,161,96.41,2,1.2,15033
15,34,178,2,1.12,174,97.75,2,1.12,15034
15,35,230,0,0.0,227,98.7,3,1.3,15035
15,36,161,2,1.24,157,97.52,2,1.24,15036
15,37,151,0,0.0,149,98.68,2,1.32,15037
15,38,156,2,1.28,150,96.15,4,2.56,15038
15,39,181,3,1.66,178,98.34,0,0.0,15039
15,40,183,1,0.55,179,97.81,3,1.64,15040
15,41,279,13,4.66,265,94.98,1,0.36,15041
15,42,119,1,0.84,117,98.32,1,0.84,15042
15,43,155,1,0.65,153,98.71,1,0.65,15043
15,45,89,3,3.37,83,93.26,3,3.37,15045
15,46,119,0,0.0,118,99.16,1,0.84,15046
15,47,237,1,0.42,233,98.31,3,1.27,15047
15,48,167,6,3.59,161,96.41,0,0.0,15048
15,49,79,4,5.06,74,93.67,1,1.27,15049
15,50,193,5,2.59,185,95.85,3,1.55,15050
15,51,142,1,0.7,139,97.89,2,1.41,15051
15,52,151,1,0.66,148,98.01,2,1.32,15052
16,2,140,2,1.43,137,97.86,1,0.71,16002
16,3,179,2,1.12,175,97.77,2,1.12,16003
16,5,171,1,0.58,167,97.66,3,1.75,16005
16,8,182,5,2.75,176,96.7,1,0.55,16008
16,9,245,3,1.22,235,95.92,7,2.86,16009
16,10,290,4,1.38,282,97.24,4,1.38,16010
16,12,128,4,3.13,124,96.88,0,0.0,16012
16,14,188,1,0.53,185,98.4,2,1.06,16014
16,19,229,4,1.75,219,95.63,6,2.62,16019
16,24,110,1,0.91,107,97.27,2,1.82,16024
16,25,136,1,0.74,133,97.79,2,1.47,16025
16,26,196,0,0.0,194,98.98,2,1.02,16026
16,27,302,4,1.32,295,97.68,3,0.99,16027
16,28,228,0,0.0,227,99.56,1,0.44,16028
16,31,240,2,0.83,235,97.92,3,1.25,16031
16,34,175,1,0.57,173,98.86,1,0.57,16034
16,36,186,3,1.61,181,97.31,2,1.08,16036
16,37,128,1,0.78,125,97.66,2,1.56,16037
16,38,137,1,0.73,135,98.54,1,0.73,16038
16,40,195,2,1.03,191,97.95,2,1.03,16040
16,41,89,1,1.12,87,97.75,1,1.12,16041
16,43,202,2,0.99,199,98.51,1,0.5,16043
16,44,199,11,5.53,181,90.95,7,3.52,16044
17,1,140,1,0.71,134,95.71,5,3.57,17001
17,2,243,4,1.65,234,96.3,5,2.06,17002
17,3,167,4,2.4,159,95.21,4,2.4,17003
17,4,336,2,0.6,330,98.21,4,1.19,17004
17,5,195,2,1.03,190,97.44,3,1.54,17005
17,6,179,2,1.12,175,97.77,2,1.12,17006
17,7,275,4,1.45,268,97.45,3,1.09,17007
17,8,182,3,1.65,179,98.35,0,0.0,17008
17,9,150,1,0.67,146,97.33,3,2.0,17009
17,10,226,3,1.33,221,97.79,2,0.88,17010
17,11,250,3,1.2,245,98.0,2,0.8,17011
17,12,324,3,0.93,316,97.53,5,1.54,17012
17,13,170,2,1.18,167,98.24,1,0.59,17013
17,14,221,6,2.71,213,96.38,2,0.9,17014
17,15,281,4,1.42,269,95.73,8,2.85,17015
17,16,187,4,2.14,180,96.26,3,1.6,17016
17,17,185,2,1.08,181,97.84,2,1.08,17017
17,18,250,3,1.2,242,96.8,5,2.0,17018
17,19,109,0,0.0,107,98.17,2,1.83,17019
17,20,206,0,0.0,204,99.03,2,0.97,17020
17,21,290,3,1.03,276,95.17,11,3.79,17021
17,22,255,5,1.96,249,97.65,1,0.39,17022
17,23,163,2,1.23,158,96.93,3,1.84,17023
17,24,258,5,1.94,250,96.9,3,1.16,17024
17,25,156,0,0.0,156,100.0,0,0.0,17025
17,26,299,1,0.33,293,97.99,5,1.67,17026
17,27,301,5,1.66,292,97.01,4,1.33,17027
17,28,197,1,0.51,193,97.97,3,1.52,17028
17,29,239,2,0.84,235,98.33,2,0.84,17029
17,30,277,1,0.36,275,99.28,1,0.36,17030
17,31,207,1,0.48,205,99.03,1,0.48,17031
17,32,271,1,0.37,267,98.52,3,1.11,17032
17,33,188,2,1.06,183,97.34,3,1.6,17033
17,34,199,0,0.0,196,98.49,3,1.51,17034
17,35,142,3,2.11,135,95.07,4,2.82,17035
17,36,121,1,0.83,118,97.52,2,1.65,17036
17,37,193,1,0.52,188,97.41,4,2.07,17037
17,38,203,2,0.99,199,98.03,2,0.99,17038
17,39,187,3,1.6,182,97.33,2,1.07,17039
17,40,200,2,1.0,195,97.5,3,1.5,17040
17,41,184,2,1.09,181,98.37,1,0.54,17041
17,42,204,0,0.0,204,100.0,0,0.0,17042
17,43,170,0,0.0,170,100.0,0,0.0,17043
17,44,149,0,0.0,149,100.0,0,0.0,17044
17,45,134,0,0.0,132,98.51,2,1.49,17045
17,46,209,3,1.44,203,97.13,3,1.44,17046
17,47,130,1,0.77,127,97.69,2,1.54,17047
17,48,230,3,1.3,220,95.65,7,3.04,17048
17,49,154,3,1.95,151,98.05,0,0.0,17049
17,50,229,5,2.18,222,96.94,2,0.87,17050
17,51,274,3,1.09,267,97.45,4,1.46,17051
17,52,313,2,0.64,310,99.04,1,0.32,17052
17,53,227,3,1.32,222,97.8,2,0.88,17053
17,54,252,1,0.4,246,97.62,5,1.98,17054
17,55,220,1,0.45,217,98.64,2,0.91,17055
17,56,243,2,0.82,238,97.94,3,1.23,17056
17,57,259,1,0.39,257,99.23,1,0.39,17057
17,58,203,1,0.49,201,99.01,1,0.49,17058
17,59,143,1,0.7,142,99.3,0,0.0,17059
17,60,307,3,0.98,301,98.05,3,0.98,17060
17,61,215,1,0.47,212,98.6,2,0.93,17061
17,62,177,0,0.0,176,99.44,1,0.56,17062
17,63,182,0,0.0,178,97.8,4,2.2,17063
17,64,162,0,0.0,158,97.53,4,2.47,17064
18,1,154,11,7.14,141,91.56,2,1.3,18001
18,2,317,23,7.26,285,89.91,9,2.84,18002
18,4,345,18,5.22,321,93.04,6,1.74,18004
18,5,271,3,1.11,262,96.68,6,2.21,18005
18,7,266,33,12.41,226,84.96,7,2.63,18007
18,8,117,3,2.56,111,94.87,3,2.56,18008
18,9,334,20,5.99,299,89.52,15,4.49,18009
18,10,466,10,2.15,444,95.28,12,2.58,18010
18,11,300,44,14.67,242,80.67,14,4.67,18011
18,12,370,11,2.97,354,95.68,5,1.35,18012
18,13,367,20,5.45,340,92.64,7,1.91,18013
18,14,357,10,2.8,341,95.52,6,1.68,18014
18,16,381,12,3.15,359,94.23,10,2.62,18016
18,17,300,18,6.0,273,91.0,9,3.0,18017
18,18,276,7,2.54,265,96.01,4,1.45,18018
18,19,363,4,1.1,358,98.62,1,0.28,18019
18,20,307,1,0.33,306,99.67,0,0.0,18020
18,21,449,23,5.12,417,92.87,9,2.0,18021
18,22,411,13,3.16,393,95.62,5,1.22,18022
18,23,278,10,3.6,258,92.81,10,3.6,18023
18,24,338,4,1.18,329,97.34,5,1.48,18024
18,25,322,1,0.31,319,99.07,2,0.62,18025
18,26,254,11,4.33,237,93.31,6,2.36,18026
18,27,296,14,4.73,277,93.58,5,1.69,18027
18,29,335,44,13.13,278,82.99,13,3.88,18029
18,30,261,0,0.0,259,99.23,2,0.77,18030
18,31,299,15,5.02,275,91.97,9,3.01,18031
18,32,393,1,0.25,386,98.22,6,1.53,18032
18,33,273,2,0.73,266,97.44,5,1.83,18033
18,34,405,27,6.67,370,91.36,8,1.98,18034
18,35,390,18,4.62,365,93.59,7,1.79,18035
18,36,211,18,8.53,187,88.63,6,2.84,18036
18,37,268,9,3.36,253,94.4,6,2.24,18037
18,38,344,1,0.29,341,99.13,2,0.58,18038
18,39,299,11,3.68,281,93.98,7,2.34,18039
18,40,366,15,4.1,343,93.72,8,2.19,18040
18,42,238,23,9.66,209,87.82,6,2.52,18042
18,44,209,13,6.22,190,90.91,6,2.87,18044
18,45,332,2,0.6,325,97.89,5,1.51,18045
18,46,302,1,0.33,300,99.34,1,0.33,18046
18,47,283,11,3.89,268,94.7,4,1.41,18047
18,49,218,2,0.92,212,97.25,4,1.83,18049
18,50,283,6,2.12,270,95.41,7,2.47,18050
18,51,371,5,1.35,362,97.57,4,1.08,18051
18,52,335,4,1.19,326,97.31,5,1.49,18052
18,53,199,0,0.0,196,98.49,3,1.51,18053
18,54,295,5,1.69,285,96.61,5,1.69,18054
18,58,293,5,1.71,284,96.93,4,1.37,18058
18,59,283,7,2.47,273,96.47,3,1.06,18059
18,60,345,4,1.16,338,97.97,3,0.87,18060
18,61,297,1,0.34,293,98.65,3,1.01,18061
19,28,406,20,4.93,371,91.38,15,3.69,19028
19,43,541,14,2.59,505,93.35,22,4.07,19043
19,48,549,15,2.73,526,95.81,8,1.46,19048
19,50,433,5,1.15,423,97.69,5,1.15,19050
19,60,303,7,2.31,291,96.04,5,1.65,19060
20,1,247,3,1.21,238,96.36,6,2.43,20001
20,2,210,6,2.86,202,96.19,2,0.95,20002
20,3,228,2,0.88,224,98.25,2,0.88,20003
20,5,167,1,0.6,163,97.6,3,1.8,20005
20,6,274,0,0.0,268,97.81,6,2.19,20006
20,7,71,1,1.41,70,98.59,0,0.0,20007
20,9,351,4,1.14,339,96.58,8,2.28,20009
20,10,189,3,1.59,182,96.3,4,2.12,20010
20,11,165,3,1.82,161,97.58,1,0.61,20011
20,12,138,1,0.72,136,98.55,1,0.72,20012
20,13,202,2,0.99,197,97.52,3,1.49,20013
20,14,322,3,0.93,316,98.14,3,0.93,20014
20,16,325,13,4.0,294,90.46,18,5.54,20016
20,17,180,3,1.67,167,92.78,10,5.56,20017
20,18,162,1,0.62,159,98.15,2,1.23,20018
20,19,204,1,0.49,201,98.53,2,0.98,20019
20,20,112,1,0.89,109,97.32,2,1.79,20020
20,22,363,7,1.93,343,94.49,13,3.58,20022
20,23,318,0,0.0,313,98.43,5,1.57,20023
20,24,284,4,1.41,268,94.37,12,4.23,20024
20,25,175,0,0.0,172,98.29,3,1.71,20025
20,26,254,5,1.97,234,92.13,15,5.91,20026
20,28,230,1,0.43,220,95.65,9,3.91,20028
20,29,289,11,3.81,270,93.43,8,2.77,20029
20,30,232,4,1.72,222,95.69,6,2.59,20030
20,32,177,3,1.69,167,94.35,7,3.95,20032
20,33,276,1,0.36,271,98.19,4,1.45,20033
20,34,416,13,3.13,377,90.63,26,6.25,20034
20,35,126,2,1.59,122,96.83,2,1.59,20035
20,36,201,1,0.5,194,96.52,6,2.99,20036
20,37,240,4,1.67,229,95.42,7,2.92,20037
20,38,47,2,4.26,45,95.74,0,0.0,20038
20,39,220,2,0.91,216,98.18,2,0.91,20039
20,42,198,2,1.01,192,96.97,4,2.02,20042
20,43,72,0,0.0,72,100.0,0,0.0,20043
20,44,269,5,1.86,264,98.14,0,0.0,20044
20,46,204,3,1.47,195,95.59,6,2.94,20046
20,47,189,2,1.06,185,97.88,2,1.06,20047
20,49,153,4,2.61,145,94.77,4,2.61,20049
20,50,123,1,0.81,119,96.75,3,2.44,20050
21,1,422,4,0.95,412,97.63,6,1.42,21001
21,2,284,4,1.41,279,98.24,1,0.35,21002
21,3,254,4,1.57,246,96.85,4,1.57,21003
21,4,292,0,0.0,289,98.97,3,1.03,21004
21,5,297,1,0.34,294,98.99,2,0.67,21005
21,6,259,3,1.16,251,96.91,5,1.93,21006
21,7,300,5,1.67,291,97.0,4,1.33,21007
21,8,313,2,0.64,307,98.08,4,1.28,21008
21,9,337,2,0.59,327,97.03,8,2.37,21009
21,10,234,3,1.28,227,97.01,4,1.71,21010
21,11,313,2,0.64,303,96.81,8,2.56,21011
21,12,304,4,1.32,292,96.05,8,2.63,21012
21,13,160,0,0.0,159,99.38,1,0.63,21013
21,14,274,4,1.46,269,98.18,1,0.36,21014
21,15,231,2,0.87,225,97.4,4,1.73,21015
21,16,268,4,1.49,262,97.76,2,0.75,21016
21,17,295,2,0.68,288,97.63,5,1.69,21017
21,18,250,3,1.2,246,98.4,1,0.4,21018
21,19,246,0,0.0,242,98.37,4,1.63,21019
21,20,182,1,0.55,178,97.8,3,1.65,21020
21,21,331,3,0.91,319,96.37,9,2.72,21021
21,22,262,3,1.15,254,96.95,5,1.91,21022
21,23,226,3,1.33,217,96.02,6,2.65,21023
21,24,318,0,0.0,315,99.06,3,0.94,21024
21,25,239,1,0.42,232,97.07,6,2.51,21025
21,26,236,1,0.42,232,98.31,3,1.27,21026
21,27,312,3,0.96,298,95.51,11,3.53,21027
21,28,218,2,0.92,215,98.62,1,0.46,21028
21,29,157,0,0.0,156,99.36,1,0.64,21029
21,30,203,2,0.99,198,97.54,3,1.48,21030
21,31,393,1,0.25,383,97.46,9,2.29,21031
21,32,272,3,1.1,266,97.79,3,1.1,21032
21,33,291,2,0.69,286,98.28,3,1.03,21033
21,34,345,1,0.29,341,98.84,3,0.87,21034
21,35,172,2,1.16,167,97.09,3,1.74,21035
21,36,247,5,2.02,241,97.57,1,0.4,21036
21,37,322,3,0.93,311,96.58,8,2.48,21037
21,38,286,2,0.7,280,97.9,4,1.4,21038
21,39,256,0,0.0,255,99.61,1,0.39,21039
21,40,255,0,0.0,254,99.61,1,0.39,21040
21,41,233,2,0.86,229,98.28,2,0.86,21041
21,42,297,4,1.35,287,96.63,6,2.02,21042
21,43,274,4,1.46,268,97.81,2,0.73,21043
21,44,291,5,1.72,279,95.88,7,2.41,21044
21,45,247,4,1.62,241,97.57,2,0.81,21045
21,46,231,1,0.43,228,98.7,2,0.87,21046
21,47,345,1,0.29,340,98.55,4,1.16,21047
21,48,319,1,0.31,315,98.75,3,0.94,21048
21,49,391,4,1.02,382,97.7,5,1.28,21049
21,50,292,1,0.34,284,97.26,7,2.4,21050
21,51,309,3,0.97,303,98.06,3,0.97,21051
21,52,297,3,1.01,288,96.97,6,2.02,21052
21,53,260,2,0.77,256,98.46,2,0.77,21053
21,54,261,4,1.53,252,96.55,5,1.92,21054
21,55,289,2,0.69,281,97.23,6,2.08,21055
21,56,238,4,1.68,233,97.9,1,0.42,21056
21,57,260,3,1.15,256,98.46,1,0.38,21057
21,58,224,1,0.45,220,98.21,3,1.34,21058
21,59,349,1,0.29,344,98.57,4,1.15,21059
21,60,293,0,0.0,289,98.63,4,1.37,21060
21,61,365,4,1.1,358,98.08,3,0.82,21061
21,62,309,1,0.32,302,97.73,6,1.94,21062
21,63,250,1,0.4,246,98.4,3,1.2,21063
21,64,168,2,1.19,164,97.62,2,1.19,21064
21,65,398,4,1.01,385,96.73,9,2.26,21065
21,66,229,3,1.31,224,97.82,2,0.87,21066
21,67,301,1,0.33,298,99.0,2,0.66,21067
21,68,307,1,0.33,303,98.7,3,0.98,21068
21,69,227,1,0.44,222,97.8,4,1.76,21069
21,70,239,2,0.84,232,97.07,5,2.09,21070
21,71,237,0,0.0,234,98.73,3,1.27,21071
21,72,299,6,2.01,289,96.66,4,1.34,21072
21,73,363,4,1.1,353,97.25,6,1.65,21073
21,74,105,2,1.9,101,96.19,2,1.9,21074
34,8,344,1,0.29,340,98.84,3,0.87,34008
34,13,385,4,1.04,377,97.92,4,1.04,34013
34,19,69,2,2.9,65,94.2,2,2.9,34019
34,29,357,4,1.12,350,98.04,3,0.84,34029
34,33,178,3,1.69,175,98.31,0,0.0,34033
34,44,48,0,0.0,45,93.75,3,6.25,34044
34,45,312,2,0.64,305,97.76,5,1.6,34045
34,47,198,3,1.52,193,97.47,2,1.01,34047
34,51,498,4,0.8,487,97.79,7,1.41,34051
34,55,368,6,1.63,352,95.65,10,2.72,34055
34,57,304,2,0.66,300,98.68,2,0.66,34057
34,58,333,2,0.6,328,98.5,3,0.9,34058
