ward,precinct,total,Edward Harmening,Edward Harmening Percent,precinct_id
18,32,291,291,100.0,18032
18,33,203,203,100.0,18033
18,34,304,304,100.0,18034
18,35,292,292,100.0,18035
18,36,156,156,100.0,18036
18,37,207,207,100.0,18037
18,39,210,210,100.0,18039
18,40,291,291,100.0,18040
18,41,183,183,100.0,18041
18,42,184,184,100.0,18042
18,43,159,159,100.0,18043
18,44,161,161,100.0,18044
18,47,214,214,100.0,18047
18,48,114,114,100.0,18048
18,49,166,166,100.0,18049
18,50,204,204,100.0,18050
18,54,214,214,100.0,18054
18,55,176,176,100.0,18055
18,56,195,195,100.0,18056
18,57,163,163,100.0,18057
18,58,218,218,100.0,18058
18,59,211,211,100.0,18059
18,62,145,145,100.0,18062
19,1,244,244,100.0,19001
19,2,239,239,100.0,19002
19,3,183,183,100.0,19003
19,4,206,206,100.0,19004
19,5,314,314,100.0,19005
19,6,204,204,100.0,19006
19,7,236,236,100.0,19007
19,8,148,148,100.0,19008
19,9,165,165,100.0,19009
19,10,340,340,100.0,19010
19,11,233,233,100.0,19011
19,12,201,201,100.0,19012
19,13,204,204,100.0,19013
19,14,296,296,100.0,19014
19,15,176,176,100.0,19015
19,16,271,271,100.0,19016
19,17,245,245,100.0,19017
19,18,298,298,100.0,19018
19,19,263,263,100.0,19019
19,20,270,270,100.0,19020
19,21,170,170,100.0,19021
19,22,287,287,100.0,19022
19,23,285,285,100.0,19023
19,24,206,206,100.0,19024
19,25,293,293,100.0,19025
19,26,285,285,100.0,19026
19,27,180,180,100.0,19027
19,28,305,305,100.0,19028
19,29,191,191,100.0,19029
19,30,225,225,100.0,19030
19,31,205,205,100.0,19031
19,32,266,266,100.0,19032
19,33,257,257,100.0,19033
19,34,250,250,100.0,19034
19,35,266,266,100.0,19035
19,36,344,344,100.0,19036
19,37,299,299,100.0,19037
19,38,294,294,100.0,19038
19,39,136,136,100.0,19039
19,40,276,276,100.0,19040
19,41,151,151,100.0,19041
19,42,292,292,100.0,19042
19,43,345,345,100.0,19043
19,44,201,201,100.0,19044
19,45,248,248,100.0,19045
19,46,295,295,100.0,19046
19,47,405,405,100.0,19047
19,48,408,408,100.0,19048
19,49,337,337,100.0,19049
19,50,311,311,100.0,19050
19,51,167,167,100.0,19051
19,52,189,189,100.0,19052
19,53,259,259,100.0,19053
19,54,163,163,100.0,19054
19,55,185,185,100.0,19055
19,56,313,313,100.0,19056
19,57,288,288,100.0,19057
19,58,215,215,100.0,19058
19,59,243,243,100.0,19059
19,61,298,298,100.0,19061
19,62,235,235,100.0,19062
19,63,187,187,100.0,19063
21,20,10,10,100.0,21020
23,1,176,176,100.0,23001
23,2,240,240,100.0,23002
23,3,176,176,100.0,23003
23,4,175,175,100.0,23004
23,5,154,154,100.0,23005
23,6,181,181,100.0,23006
23,7,149,149,100.0,23007
23,8,148,148,100.0,23008
23,9,196,196,100.0,23009
23,10,210,210,100.0,23010
23,11,200,200,100.0,23011
23,12,200,200,100.0,23012
23,13,210,210,100.0,23013
23,14,143,143,100.0,23014
23,15,181,181,100.0,23015
23,16,193,193,100.0,23016
23,17,221,221,100.0,23017
23,18,138,138,100.0,23018
23,19,159,159,100.0,23019
23,20,139,139,100.0,23020
23,21,243,243,100.0,23021
23,22,184,184,100.0,23022
23,23,152,152,100.0,23023
23,24,134,134,100.0,23024
23,25,134,134,100.0,23025
23,26,161,161,100.0,23026
23,27,170,170,100.0,23027
23,28,164,164,100.0,23028
23,29,134,134,100.0,23029
23,30,176,176,100.0,23030
23,32,204,204,100.0,23032
23,33,174,174,100.0,23033
23,34,152,152,100.0,23034
23,35,141,141,100.0,23035
23,36,213,213,100.0,23036
23,37,130,130,100.0,23037
23,38,165,165,100.0,23038
23,39,138,138,100.0,23039
23,40,152,152,100.0,23040
23,41,162,162,100.0,23041
23,42,163,163,100.0,23042
23,43,198,198,100.0,23043
23,44,178,178,100.0,23044
23,45,210,210,100.0,23045
23,46,177,177,100.0,23046
23,47,200,200,100.0,23047
23,48,138,138,100.0,23048
23,49,203,203,100.0,23049
23,50,112,112,100.0,23050
23,51,150,150,100.0,23051
23,52,225,225,100.0,23052
23,53,114,114,100.0,23053
23,54,214,214,100.0,23054
34,19,46,46,100.0,34019
34,33,136,136,100.0,34033
