ward,precinct,total,William C. ''Bill'' Miceli,William C. ''Bill'' Miceli Percent,John A. Fritchey,John A. Fritchey Percent,precinct_id
38,40,192,64,33.33,128,66.67,38040
38,41,321,89,27.73,232,72.27,38041
38,42,262,87,33.21,175,66.79,38042
38,43,238,81,34.03,157,65.97,38043
38,44,247,92,37.25,155,62.75,38044
38,45,273,89,32.6,184,67.4,38045
38,46,206,65,31.55,141,68.45,38046
38,47,224,79,35.27,145,64.73,38047
38,48,222,61,27.48,161,72.52,38048
38,49,230,89,38.7,141,61.3,38049
38,50,243,102,41.98,141,58.02,38050
38,51,168,50,29.76,118,70.24,38051
38,52,242,72,29.75,170,70.25,38052
38,53,50,11,22.0,39,78.0,38053
39,4,0,0,0.0,0,0.0,39004
39,5,195,84,43.08,111,56.92,39005
39,6,279,121,43.37,158,56.63,39006
39,7,171,44,25.73,127,74.27,39007
39,8,258,76,29.46,182,70.54,39008
39,9,303,77,25.41,226,74.59,39009
39,10,204,36,17.65,168,82.35,39010
39,11,285,90,31.58,195,68.42,39011
39,12,226,36,15.93,190,84.07,39012
39,14,260,44,16.92,216,83.08,39014
39,19,169,52,30.77,117,69.23,39019
39,21,171,42,24.56,129,75.44,39021
39,22,231,37,16.02,194,83.98,39022
39,25,278,78,28.06,200,71.94,39025
39,27,275,68,24.73,207,75.27,39027
39,28,293,65,22.18,228,77.82,39028
39,29,257,49,19.07,208,80.93,39029
39,30,149,25,16.78,124,83.22,39030
39,31,177,41,23.16,136,76.84,39031
39,33,306,83,27.12,223,72.88,39033
39,34,307,87,28.34,220,71.66,39034
39,35,303,82,27.06,221,72.94,39035
39,38,300,122,40.67,178,59.33,39038
39,43,257,56,21.79,201,78.21,39043
39,44,358,80,22.35,278,77.65,39044
39,45,153,26,16.99,127,83.01,39045
39,46,216,51,23.61,165,76.39,39046
40,1,165,41,24.85,124,75.15,40001
40,5,296,64,21.62,232,78.38,40005
40,6,266,34,12.78,232,87.22,40006
40,14,272,55,20.22,217,79.78,40014
40,17,121,31,25.62,90,74.38,40017
40,19,244,66,27.05,178,72.95,40019
40,20,226,45,19.91,181,80.09,40020
40,21,241,42,17.43,199,82.57,40021
40,23,356,53,14.89,303,85.11,40023
40,24,164,55,33.54,109,66.46,40024
40,30,179,45,25.14,134,74.86,40030
40,32,138,41,29.71,97,70.29,40032
40,34,149,41,27.52,108,72.48,40034
40,36,278,62,22.3,216,77.7,40036
40,38,133,28,21.05,105,78.95,40038
40,40,160,29,18.13,131,81.88,40040
40,41,328,45,13.72,283,86.28,40041
40,42,288,58,20.14,230,79.86,40042
40,43,294,50,17.01,244,82.99,40043
40,44,158,43,27.22,115,72.78,40044
40,48,158,47,29.75,111,70.25,40048
40,49,82,19,23.17,63,76.83,40049
44,9,85,40,47.06,45,52.94,44009
44,47,92,22,23.91,70,76.09,44047
45,1,227,63,27.75,164,72.25,45001
45,7,289,85,29.41,204,70.59,45007
45,8,169,52,30.77,117,69.23,45008
45,10,324,129,39.81,195,60.19,45010
45,12,338,130,38.46,208,61.54,45012
45,14,328,113,34.45,215,65.55,45014
45,16,280,64,22.86,216,77.14,45016
45,20,256,90,35.16,166,64.84,45020
45,25,275,70,25.45,205,74.55,45025
45,26,186,65,34.95,121,65.05,45026
45,28,225,49,21.78,176,78.22,45028
45,29,289,96,33.22,193,66.78,45029
45,31,286,70,24.48,216,75.52,45031
45,38,215,72,33.49,143,66.51,45038
45,39,64,20,31.25,44,68.75,45039
45,40,22,7,31.82,15,68.18,45040
45,46,297,88,29.63,209,70.37,45046
45,47,274,91,33.21,183,66.79,45047
45,48,275,73,26.55,202,73.45,45048
45,50,255,89,34.9,166,65.1,45050
45,53,220,88,40.0,132,60.0,45053
46,21,148,20,13.51,128,86.49,46021
47,1,378,69,18.25,309,81.75,47001
47,2,258,57,22.09,201,77.91,47002
47,3,271,73,26.94,198,73.06,47003
47,4,337,78,23.15,259,76.85,47004
47,5,379,78,20.58,301,79.42,47005
47,6,387,73,18.86,314,81.14,47006
47,7,309,60,19.42,249,80.58,47007
47,8,405,90,22.22,315,77.78,47008
47,9,272,56,20.59,216,79.41,47009
47,10,226,31,13.72,195,86.28,47010
47,11,537,75,13.97,462,86.03,47011
47,12,349,69,19.77,280,80.23,47012
47,13,452,51,11.28,401,88.72,47013
47,14,249,44,17.67,205,82.33,47014
47,15,382,33,8.64,349,91.36,47015
47,16,335,54,16.12,281,83.88,47016
47,17,321,70,21.81,251,78.19,47017
47,18,382,88,23.04,294,76.96,47018
47,19,371,47,12.67,324,87.33,47019
47,20,391,79,20.2,312,79.8,47020
47,21,375,62,16.53,313,83.47,47021
47,22,307,72,23.45,235,76.55,47022
47,23,181,32,17.68,149,82.32,47023
47,24,385,99,25.71,286,74.29,47024
47,25,401,89,22.19,312,77.81,47025
47,26,566,83,14.66,483,85.34,47026
47,27,316,70,22.15,246,77.85,47027
47,28,413,74,17.92,339,82.08,47028
47,29,400,113,28.25,287,71.75,47029
47,30,360,50,13.89,310,86.11,47030
47,31,383,54,14.1,329,85.9,47031
47,32,383,62,16.19,321,83.81,47032
47,33,319,38,11.91,281,88.09,47033
47,34,410,62,15.12,348,84.88,47034
47,35,483,95,19.67,388,80.33,47035
47,36,500,74,14.8,426,85.2,47036
47,37,442,107,24.21,335,75.79,47037
47,38,390,67,17.18,323,82.82,47038
47,39,333,68,20.42,265,79.58,47039
47,40,336,59,17.56,277,82.44,47040
47,41,551,80,14.52,471,85.48,47041
47,42,279,50,17.92,229,82.08,47042
47,43,226,57,25.22,169,74.78,47043
47,44,347,104,29.97,243,70.03,47044
47,45,368,62,16.85,306,83.15,47045
47,46,270,58,21.48,212,78.52,47046
47,47,298,75,25.17,223,74.83,47047
47,48,53,7,13.21,46,86.79,47048
47,49,238,56,23.53,182,76.47,47049
47,50,333,84,25.23,249,74.77,47050
47,51,196,38,19.39,158,80.61,47051
47,52,198,29,14.65,169,85.35,47052
48,10,206,27,13.11,179,86.89,48010
48,49,57,4,7.02,53,92.98,48049
