ward,precinct,total,Michael A Bendas,Michael A Bendas Percent,Daniel William Lipinski,Daniel William Lipinski Percent,precinct_id
13,25,224,35,15.63,174,77.68,13025
13,26,260,47,18.08,201,77.31,13026
13,27,273,35,12.82,228,83.52,13027
13,28,189,15,7.94,158,83.6,13028
13,29,228,30,13.16,188,82.46,13029
13,30,299,40,13.38,246,82.27,13030
13,31,256,18,7.03,227,88.67,13031
13,32,278,7,2.52,261,93.88,13032
13,33,237,19,8.02,204,86.08,13033
13,34,338,19,5.62,306,90.53,13034
13,35,266,21,7.89,233,87.59,13035
13,36,127,19,14.96,107,84.25,13036
13,37,258,24,9.3,217,84.11,13037
13,38,276,45,16.3,215,77.9,13038
13,39,231,24,10.39,199,86.15,13039
13,40,277,43,15.52,227,81.95,13040
13,41,219,19,8.68,185,84.47,13041
13,42,232,28,12.07,189,81.47,13042
13,43,259,32,12.36,200,77.22,13043
13,44,286,16,5.59,261,91.26,13044
13,45,325,47,14.46,266,81.85,13045
13,46,258,26,10.08,217,84.11,13046
13,47,268,33,12.31,226,84.33,13047
14,2,180,28,15.56,142,78.89,14002
14,25,186,24,12.9,151,81.18,14025
14,28,192,16,8.33,163,84.9,14028
15,1,143,9,6.29,134,93.71,15001
15,10,144,21,14.58,112,77.78,15010
15,13,148,10,6.76,137,92.57,15013
15,14,220,31,14.09,177,80.45,15014
15,15,173,10,5.78,157,90.75,15015
15,16,139,20,14.39,108,77.7,15016
15,25,181,9,4.97,165,91.16,15025
15,28,206,14,6.8,181,87.86,15028
15,32,192,16,8.33,174,90.63,15032
15,44,212,11,5.19,196,92.45,15044
15,49,70,6,8.57,58,82.86,15049
16,1,121,3,2.48,113,93.39,16001
16,4,140,7,5.0,124,88.57,16004
16,6,77,2,2.6,69,89.61,16006
16,7,178,8,4.49,165,92.7,16007
16,11,216,3,1.39,206,95.37,16011
16,13,154,14,9.09,133,86.36,16013
16,17,138,17,12.32,114,82.61,16017
16,23,153,18,11.76,127,83.01,16023
16,32,81,6,7.41,72,88.89,16032
16,35,201,14,6.97,174,86.57,16035
16,39,178,24,13.48,141,79.21,16039
16,42,147,22,14.97,119,80.95,16042
18,3,220,38,17.27,168,76.36,18003
18,6,255,49,19.22,196,76.86,18006
18,15,166,26,15.66,132,79.52,18015
18,28,274,46,16.79,219,79.93,18028
18,41,280,50,17.86,223,79.64,18041
18,43,216,19,8.8,189,87.5,18043
18,48,167,21,12.57,134,80.24,18048
18,55,268,52,19.4,205,76.49,18055
18,56,273,22,8.06,241,88.28,18056
18,57,224,21,9.38,199,88.84,18057
18,62,202,20,9.9,177,87.62,18062
19,1,372,86,23.12,273,73.39,19001
19,2,335,39,11.64,275,82.09,19002
19,3,324,113,34.88,206,63.58,19003
19,4,345,101,29.28,223,64.64,19004
19,5,415,47,11.33,338,81.45,19005
19,6,324,110,33.95,196,60.49,19006
19,7,341,64,18.77,257,75.37,19007
19,8,281,73,25.98,198,70.46,19008
19,9,271,82,30.26,181,66.79,19009
19,10,477,99,20.75,334,70.02,19010
19,11,392,133,33.93,246,62.76,19011
19,12,363,117,32.23,238,65.56,19012
19,13,277,22,7.94,234,84.48,19013
19,14,421,60,14.25,329,78.15,19014
19,15,325,105,32.31,207,63.69,19015
19,16,425,125,29.41,288,67.76,19016
19,17,371,115,31.0,232,62.53,19017
19,18,427,83,19.44,310,72.6,19018
19,19,390,65,16.67,286,73.33,19019
19,20,354,45,12.71,285,80.51,19020
19,21,265,68,25.66,181,68.3,19021
19,22,435,110,25.29,301,69.2,19022
19,23,426,126,29.58,281,65.96,19023
19,24,331,93,28.1,225,67.98,19024
19,25,436,111,25.46,296,67.89,19025
19,26,436,105,24.08,295,67.66,19026
19,27,272,31,11.4,199,73.16,19027
19,29,346,110,31.79,221,63.87,19029
19,30,380,122,32.11,239,62.89,19030
19,31,324,73,22.53,210,64.81,19031
19,32,376,75,19.95,274,72.87,19032
19,33,415,108,26.02,295,71.08,19033
19,34,363,81,22.31,245,67.49,19034
19,35,354,70,19.77,247,69.77,19035
19,36,483,44,9.11,403,83.44,19036
19,37,395,49,12.41,301,76.2,19037
19,38,389,37,9.51,313,80.46,19038
19,39,182,3,1.65,176,96.7,19039
19,40,399,64,16.04,292,73.18,19040
19,41,292,90,30.82,182,62.33,19041
19,42,393,44,11.2,314,79.9,19042
19,44,346,110,31.79,215,62.14,19044
19,45,379,102,26.91,255,67.28,19045
19,46,443,118,26.64,304,68.62,19046
19,47,537,43,8.01,447,83.24,19047
19,49,449,47,10.47,360,80.18,19049
19,51,271,70,25.83,194,71.59,19051
19,52,314,97,30.89,206,65.61,19052
19,53,362,83,22.93,257,70.99,19053
19,54,289,91,31.49,178,61.59,19054
19,55,299,84,28.09,197,65.89,19055
19,56,458,103,22.49,328,71.62,19056
19,57,429,69,16.08,305,71.1,19057
19,58,362,94,25.97,252,69.61,19058
19,59,422,141,33.41,266,63.03,19059
19,61,440,83,18.86,336,76.36,19061
19,62,360,72,20.0,265,73.61,19062
19,63,267,26,9.74,224,83.9,19063
20,41,85,8,9.41,69,81.18,20041
23,1,308,65,21.1,230,74.68,23001
23,2,358,62,17.32,276,77.09,23002
23,3,299,69,23.08,220,73.58,23003
23,4,281,44,15.66,219,77.94,23004
23,5,231,21,9.09,198,85.71,23005
23,6,265,33,12.45,221,83.4,23006
23,7,287,53,18.47,219,76.31,23007
23,8,275,36,13.09,225,81.82,23008
23,10,298,23,7.72,259,86.91,23010
23,11,333,57,17.12,260,78.08,23011
23,12,311,65,20.9,230,73.95,23012
23,13,351,91,25.93,235,66.95,23013
23,14,251,49,19.52,186,74.1,23014
23,15,306,68,22.22,227,74.18,23015
23,16,317,55,17.35,242,76.34,23016
23,17,342,68,19.88,257,75.15,23017
23,18,236,45,19.07,175,74.15,23018
23,19,265,45,16.98,204,76.98,23019
23,20,242,35,14.46,199,82.23,23020
23,21,323,4,1.24,307,95.05,23021
23,22,293,51,17.41,225,76.79,23022
23,23,266,47,17.67,211,79.32,23023
23,25,193,21,10.88,160,82.9,23025
23,26,307,77,25.08,226,73.62,23026
23,27,261,68,26.05,179,68.58,23027
23,28,301,54,17.94,230,76.41,23028
23,30,278,50,17.99,215,77.34,23030
23,31,249,39,15.66,186,74.7,23031
23,32,293,20,6.83,259,88.4,23032
23,33,310,41,13.23,250,80.65,23033
23,34,239,43,17.99,172,71.97,23034
23,35,199,3,1.51,184,92.46,23035
23,36,381,84,22.05,282,74.02,23036
23,37,181,7,3.87,170,93.92,23037
23,38,241,38,15.77,188,78.01,23038
23,39,261,55,21.07,192,73.56,23039
23,40,294,70,23.81,212,72.11,23040
23,41,261,34,13.03,211,80.84,23041
23,42,247,47,19.03,188,76.11,23042
23,43,355,86,24.23,253,71.27,23043
23,44,286,51,17.83,222,77.62,23044
23,45,346,56,16.18,274,79.19,23045
23,46,301,48,15.95,233,77.41,23046
23,47,352,66,18.75,264,75.0,23047
23,48,223,33,14.8,174,78.03,23048
23,49,370,62,16.76,295,79.73,23049
23,50,172,23,13.37,140,81.4,23050
23,51,220,24,10.91,189,85.91,23051
23,52,357,67,18.77,266,74.51,23052
23,53,167,23,13.77,135,80.84,23053
23,54,345,71,20.58,256,74.2,23054
