ward,precinct,total,Carl Segvich,Carl Segvich Percent,John P. Daley,John P. Daley Percent,precinct_id
13,21,299,56,18.73,243,81.27,13021
13,22,222,55,24.77,167,75.23,13022
13,23,218,57,26.15,161,73.85,13023
13,24,233,67,28.76,166,71.24,13024
13,25,229,66,28.82,163,71.18,13025
13,26,259,79,30.5,180,69.5,13026
13,27,264,56,21.21,208,78.79,13027
13,29,228,56,24.56,172,75.44,13029
13,32,269,22,8.18,247,91.82,13032
13,35,187,32,17.11,155,82.89,13035
13,36,125,27,21.6,98,78.4,13036
13,37,256,48,18.75,208,81.25,13037
13,38,273,71,26.01,202,73.99,13038
13,39,189,41,21.69,148,78.31,13039
13,40,239,60,25.1,179,74.9,13040
13,41,216,39,18.06,177,81.94,13041
13,42,224,47,20.98,177,79.02,13042
13,43,251,68,27.09,183,72.91,13043
13,44,282,37,13.12,245,86.88,13044
13,45,323,84,26.01,239,73.99,13045
13,46,181,38,20.99,143,79.01,13046
13,47,262,51,19.47,211,80.53,13047
14,2,175,37,21.14,138,78.86,14002
14,25,179,41,22.91,138,77.09,14025
14,28,181,36,19.89,145,80.11,14028
15,6,201,16,7.96,185,92.04,15006
15,13,146,14,9.59,132,90.41,15013
15,15,175,11,6.29,164,93.71,15015
15,22,221,9,4.07,212,95.93,15022
15,24,185,13,7.03,172,92.97,15024
15,29,93,5,5.38,88,94.62,15029
15,33,36,3,8.33,33,91.67,15033
15,44,31,2,6.45,29,93.55,15044
15,45,89,5,5.62,84,94.38,15045
15,50,187,11,5.88,176,94.12,15050
16,1,71,3,4.23,68,95.77,16001
16,2,128,2,1.56,126,98.44,16002
16,6,77,5,6.49,72,93.51,16006
16,7,172,14,8.14,158,91.86,16007
16,8,177,8,4.52,169,95.48,16008
16,10,276,10,3.62,266,96.38,16010
16,11,207,9,4.35,198,95.65,16011
16,12,119,8,6.72,111,93.28,16012
16,13,26,1,3.85,25,96.15,16013
16,18,202,4,1.98,198,98.02,16018
16,19,215,6,2.79,209,97.21,16019
16,23,36,4,11.11,32,88.89,16023
16,29,160,5,3.13,155,96.88,16029
16,30,161,4,2.48,157,97.52,16030
16,44,154,9,5.84,145,94.16,16044
18,1,153,10,6.54,143,93.46,18001
18,2,305,29,9.51,276,90.49,18002
18,3,213,79,37.09,134,62.91,18003
18,6,244,78,31.97,166,68.03,18006
18,7,5,0,0.0,5,100.0,18007
18,11,295,39,13.22,256,86.78,18011
18,15,158,42,26.58,116,73.42,18015
18,17,286,16,5.59,270,94.41,18017
18,23,271,15,5.54,256,94.46,18023
18,28,261,88,33.72,173,66.28,18028
18,29,320,46,14.38,274,85.63,18029
18,36,104,15,14.42,89,85.58,18036
18,41,272,77,28.31,195,71.69,18041
18,43,206,31,15.05,175,84.95,18043
18,48,162,41,25.31,121,74.69,18048
18,55,262,101,38.55,161,61.45,18055
18,56,262,35,13.36,227,86.64,18056
18,57,214,23,10.75,191,89.25,18057
18,62,200,32,16.0,168,84.0,18062
19,1,370,121,32.7,249,67.3,19001
19,2,331,54,16.31,277,83.69,19002
19,3,322,170,52.8,152,47.2,19003
19,4,338,134,39.64,204,60.36,19004
19,5,415,76,18.31,339,81.69,19005
19,6,320,132,41.25,188,58.75,19006
19,7,337,89,26.41,248,73.59,19007
19,8,277,132,47.65,145,52.35,19008
19,9,263,121,46.01,142,53.99,19009
19,10,460,121,26.3,339,73.7,19010
19,11,395,204,51.65,191,48.35,19011
19,12,351,164,46.72,187,53.28,19012
19,13,267,33,12.36,234,87.64,19013
19,14,410,91,22.2,319,77.8,19014
19,15,317,147,46.37,170,53.63,19015
19,16,425,175,41.18,250,58.82,19016
19,17,366,136,37.16,230,62.84,19017
19,18,421,99,23.52,322,76.48,19018
19,19,381,108,28.35,273,71.65,19019
19,20,344,64,18.6,280,81.4,19020
19,21,264,114,43.18,150,56.82,19021
19,22,418,127,30.38,291,69.62,19022
19,23,423,164,38.77,259,61.23,19023
19,24,329,150,45.59,179,54.41,19024
19,25,427,164,38.41,263,61.59,19025
19,26,424,161,37.97,263,62.03,19026
19,27,255,39,15.29,216,84.71,19027
19,28,389,37,9.51,352,90.49,19028
19,29,341,153,44.87,188,55.13,19029
19,30,375,160,42.67,215,57.33,19030
19,31,314,125,39.81,189,60.19,19031
19,32,366,132,36.07,234,63.93,19032
19,33,416,181,43.51,235,56.49,19033
19,34,362,125,34.53,237,65.47,19034
19,35,356,97,27.25,259,72.75,19035
19,36,475,63,13.26,412,86.74,19036
19,37,391,78,19.95,313,80.05,19037
19,38,375,56,14.93,319,85.07,19038
19,39,177,9,5.08,168,94.92,19039
19,40,392,95,24.23,297,75.77,19040
19,41,287,124,43.21,163,56.79,19041
19,42,375,67,17.87,308,82.13,19042
19,44,338,151,44.67,187,55.33,19044
19,45,367,143,38.96,224,61.04,19045
19,46,428,154,35.98,274,64.02,19046
19,47,524,83,15.84,441,84.16,19047
19,49,440,65,14.77,375,85.23,19049
19,51,269,108,40.15,161,59.85,19051
19,52,309,130,42.07,179,57.93,19052
19,53,361,119,32.96,242,67.04,19053
19,54,289,130,44.98,159,55.02,19054
19,55,298,126,42.28,172,57.72,19055
19,56,448,129,28.79,319,71.21,19056
19,57,414,94,22.71,320,77.29,19057
19,58,354,161,45.48,193,54.52,19058
19,59,414,185,44.69,229,55.31,19059
19,60,299,25,8.36,274,91.64,19060
19,61,437,123,28.15,314,71.85,19061
19,62,349,95,27.22,254,72.78,19062
19,63,258,37,14.34,221,85.66,19063
20,41,5,1,20.0,4,80.0,20041
20,45,42,2,4.76,40,95.24,20045
23,1,290,120,41.38,170,58.62,23001
23,2,346,120,34.68,226,65.32,23002
23,3,291,132,45.36,159,54.64,23003
23,4,272,105,38.6,167,61.4,23004
23,5,215,39,18.14,176,81.86,23005
23,6,161,46,28.57,115,71.43,23006
23,7,277,100,36.1,177,63.9,23007
23,8,266,71,26.69,195,73.31,23008
23,10,294,53,18.03,241,81.97,23010
23,11,319,127,39.81,192,60.19,23011
23,12,298,122,40.94,176,59.06,23012
23,13,345,142,41.16,203,58.84,23013
23,14,244,105,43.03,139,56.97,23014
23,15,300,121,40.33,179,59.67,23015
23,16,301,99,32.89,202,67.11,23016
23,17,334,134,40.12,200,59.88,23017
23,18,238,90,37.82,148,62.18,23018
23,19,258,95,36.82,163,63.18,23019
23,20,243,77,31.69,166,68.31,23020
23,21,285,8,2.81,277,97.19,23021
23,22,289,112,38.75,177,61.25,23022
23,23,259,105,40.54,154,59.46,23023
23,25,189,41,21.69,148,78.31,23025
23,26,290,131,45.17,159,54.83,23026
23,27,254,95,37.4,159,62.6,23027
23,28,292,112,38.36,180,61.64,23028
23,30,265,99,37.36,166,62.64,23030
23,31,238,48,20.17,190,79.83,23031
23,32,281,51,18.15,230,81.85,23032
23,33,291,77,26.46,214,73.54,23033
23,34,232,62,26.72,170,73.28,23034
23,35,201,7,3.48,194,96.52,23035
23,36,367,153,41.69,214,58.31,23036
23,37,176,8,4.55,168,95.45,23037
23,38,232,79,34.05,153,65.95,23038
23,39,253,106,41.9,147,58.1,23039
23,40,283,119,42.05,164,57.95,23040
23,41,244,66,27.05,178,72.95,23041
23,42,238,88,36.97,150,63.03,23042
23,43,337,135,40.06,202,59.94,23043
23,44,282,94,33.33,188,66.67,23044
23,45,338,108,31.95,230,68.05,23045
23,46,293,112,38.23,181,61.77,23046
23,47,335,135,40.3,200,59.7,23047
23,48,209,63,30.14,146,69.86,23048
23,49,354,130,36.72,224,63.28,23049
23,50,168,48,28.57,120,71.43,23050
23,51,218,58,26.61,160,73.39,23051
23,52,352,125,35.51,227,64.49,23052
23,53,163,41,25.15,122,74.85,23053
23,54,338,144,42.6,194,57.4,23054
