ward,precinct,total,Paul Chialdikas,Paul Chialdikas Percent,Jimmy Lee Tillman II,Jimmy Lee Tillman II Percent,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Barbara McGowan,Barbara McGowan Percent,Michael A. Alvarez,Michael A. Alvarez Percent,Diana Horton,Diana Horton Percent,John ''Jack'' Ailey,John ''Jack'' Ailey Percent,Nadine Bopp,Nadine Bopp Percent,precinct_id
3,39,836,8,0.96,19,2.27,246,29.43,277,33.13,263,31.46,15,1.79,3,0.36,5,0.6,03039
3,40,540,1,0.19,7,1.3,163,30.19,174,32.22,167,30.93,14,2.59,6,1.11,8,1.48,03040
3,41,492,22,4.47,17,3.46,133,27.03,136,27.64,140,28.46,23,4.67,9,1.83,12,2.44,03041
3,42,403,2,0.5,7,1.74,110,27.3,142,35.24,122,30.27,9,2.23,6,1.49,5,1.24,03042
3,43,98,0,0.0,1,1.02,29,29.59,36,36.73,32,32.65,0,0.0,0,0.0,0,0.0,03043
3,44,186,0,0.0,2,1.08,53,28.49,61,32.8,67,36.02,2,1.08,1,0.54,0,0.0,03044
3,45,800,53,6.63,39,4.88,205,25.63,217,27.13,212,26.5,36,4.5,17,2.13,21,2.63,03045
3,46,129,1,0.78,1,0.78,40,31.01,46,35.66,41,31.78,0,0.0,0,0.0,0,0.0,03046
3,47,353,2,0.57,5,1.42,105,29.75,121,34.28,110,31.16,8,2.27,0,0.0,2,0.57,03047
3,48,414,2,0.48,1,0.24,136,32.85,140,33.82,132,31.88,2,0.48,1,0.24,0,0.0,03048
3,49,221,1,0.45,4,1.81,62,28.05,74,33.48,70,31.67,4,1.81,3,1.36,3,1.36,03049
3,50,298,2,0.67,2,0.67,81,27.18,117,39.26,88,29.53,4,1.34,1,0.34,3,1.01,03050
4,1,1201,56,4.66,40,3.33,305,25.4,311,25.9,299,24.9,68,5.66,46,3.83,76,6.33,04001
4,2,954,10,1.05,10,1.05,277,29.04,316,33.12,285,29.87,24,2.52,13,1.36,19,1.99,04002
4,3,840,6,0.71,16,1.9,223,26.55,271,32.26,264,31.43,30,3.57,18,2.14,12,1.43,04003
4,4,756,7,0.93,6,0.79,207,27.38,268,35.45,233,30.82,18,2.38,6,0.79,11,1.46,04004
4,5,1006,13,1.29,17,1.69,281,27.93,329,32.7,298,29.62,33,3.28,16,1.59,19,1.89,04005
4,6,277,1,0.36,4,1.44,74,26.71,95,34.3,82,29.6,11,3.97,4,1.44,6,2.17,04006
4,7,883,8,0.91,19,2.15,238,26.95,289,32.73,262,29.67,36,4.08,11,1.25,20,2.27,04007
4,8,881,4,0.45,14,1.59,247,28.04,288,32.69,276,31.33,20,2.27,16,1.82,16,1.82,04008
4,9,1396,11,0.79,22,1.58,404,28.94,467,33.45,422,30.23,35,2.51,11,0.79,24,1.72,04009
4,10,813,14,1.72,16,1.97,215,26.45,273,33.58,253,31.12,18,2.21,10,1.23,14,1.72,04010
4,11,597,1,0.17,6,1.01,163,27.3,217,36.35,194,32.5,10,1.68,2,0.34,4,0.67,04011
4,12,477,6,1.26,7,1.47,134,28.09,157,32.91,146,30.61,12,2.52,6,1.26,9,1.89,04012
4,13,639,30,4.69,14,2.19,167,26.13,176,27.54,166,25.98,29,4.54,22,3.44,35,5.48,04013
4,14,527,6,1.14,6,1.14,141,26.76,175,33.21,166,31.5,17,3.23,9,1.71,7,1.33,04014
4,15,631,18,2.85,23,3.65,159,25.2,189,29.95,186,29.48,25,3.96,14,2.22,17,2.69,04015
4,16,782,7,0.9,12,1.53,224,28.64,268,34.27,242,30.95,19,2.43,5,0.64,5,0.64,04016
4,17,818,32,3.91,27,3.3,232,28.36,237,28.97,226,27.63,25,3.06,20,2.44,19,2.32,04017
4,18,649,14,2.16,18,2.77,180,27.73,213,32.82,190,29.28,20,3.08,7,1.08,7,1.08,04018
4,19,700,9,1.29,12,1.71,193,27.57,236,33.71,217,31.0,11,1.57,10,1.43,12,1.71,04019
4,20,588,5,0.85,6,1.02,171,29.08,202,34.35,183,31.12,14,2.38,4,0.68,3,0.51,04020
4,21,1052,19,1.81,16,1.52,286,27.19,323,30.7,290,27.57,48,4.56,31,2.95,39,3.71,04021
4,22,940,26,2.77,11,1.17,268,28.51,273,29.04,259,27.55,40,4.26,22,2.34,41,4.36,04022
4,23,641,30,4.68,22,3.43,171,26.68,176,27.46,171,26.68,32,4.99,16,2.5,23,3.59,04023
4,24,792,21,2.65,18,2.27,215,27.15,230,29.04,226,28.54,30,3.79,22,2.78,30,3.79,04024
4,25,822,14,1.7,18,2.19,229,27.86,272,33.09,245,29.81,28,3.41,10,1.22,6,0.73,04025
4,26,773,8,1.03,6,0.78,215,27.81,269,34.8,243,31.44,18,2.33,6,0.78,8,1.03,04026
4,27,638,5,0.78,13,2.04,183,28.68,215,33.7,203,31.82,12,1.88,3,0.47,4,0.63,04027
4,28,474,27,5.7,15,3.16,116,24.47,117,24.68,118,24.89,30,6.33,19,4.01,32,6.75,04028
4,29,700,40,5.71,27,3.86,186,26.57,185,26.43,182,26.0,37,5.29,19,2.71,24,3.43,04029
4,30,589,12,2.04,17,2.89,157,26.66,198,33.62,176,29.88,16,2.72,4,0.68,9,1.53,04030
4,31,560,23,4.11,11,1.96,146,26.07,129,23.04,118,21.07,42,7.5,33,5.89,58,10.36,04031
4,32,945,49,5.19,25,2.65,241,25.5,229,24.23,238,25.19,54,5.71,45,4.76,64,6.77,04032
4,33,681,7,1.03,16,2.35,179,26.28,220,32.31,227,33.33,16,2.35,6,0.88,10,1.47,04033
4,34,617,33,5.35,20,3.24,154,24.96,145,23.5,143,23.18,37,6.0,31,5.02,54,8.75,04034
4,35,472,1,0.21,10,2.12,136,28.81,163,34.53,138,29.24,9,1.91,5,1.06,10,2.12,04035
4,36,544,10,1.84,8,1.47,145,26.65,173,31.8,166,30.51,20,3.68,8,1.47,14,2.57,04036
4,37,13,0,0.0,0,0.0,3,23.08,6,46.15,4,30.77,0,0.0,0,0.0,0,0.0,04037
4,38,1139,31,2.72,21,1.84,307,26.95,338,29.68,324,28.45,49,4.3,24,2.11,45,3.95,04038
4,39,504,2,0.4,9,1.79,136,26.98,170,33.73,149,29.56,17,3.37,10,1.98,11,2.18,04039
4,40,741,13,1.75,18,2.43,193,26.05,222,29.96,223,30.09,31,4.18,21,2.83,20,2.7,04040
4,41,412,26,6.31,12,2.91,104,25.24,84,20.39,92,22.33,33,8.01,27,6.55,34,8.25,04041
4,42,815,24,2.94,21,2.58,234,28.71,261,32.02,247,30.31,16,1.96,3,0.37,9,1.1,04042
4,43,510,16,3.14,11,2.16,132,25.88,126,24.71,126,24.71,36,7.06,27,5.29,36,7.06,04043
4,44,440,14,3.18,11,2.5,123,27.95,124,28.18,124,28.18,19,4.32,11,2.5,14,3.18,04044
4,45,1230,32,2.6,37,3.01,334,27.15,377,30.65,354,28.78,48,3.9,22,1.79,26,2.11,04045
4,46,580,7,1.21,12,2.07,154,26.55,190,32.76,173,29.83,17,2.93,9,1.55,18,3.1,04046
4,47,1077,33,3.06,23,2.14,287,26.65,295,27.39,289,26.83,53,4.92,40,3.71,57,5.29,04047
4,48,1009,51,5.05,33,3.27,264,26.16,275,27.25,255,25.27,49,4.86,25,2.48,57,5.65,04048
4,49,559,2,0.36,13,2.33,164,29.34,205,36.67,165,29.52,5,0.89,2,0.36,3,0.54,04049
4,50,674,8,1.19,8,1.19,197,29.23,226,33.53,201,29.82,17,2.52,5,0.74,12,1.78,04050
4,51,702,8,1.14,8,1.14,201,28.63,239,34.05,216,30.77,14,1.99,8,1.14,8,1.14,04051
4,52,762,4,0.52,14,1.84,218,28.61,255,33.46,249,32.68,13,1.71,5,0.66,4,0.52,04052
5,1,710,4,0.56,13,1.83,194,27.32,254,35.77,220,30.99,15,2.11,3,0.42,7,0.99,05001
5,2,538,6,1.12,9,1.67,149,27.7,172,31.97,186,34.57,8,1.49,3,0.56,5,0.93,05002
5,3,402,15,3.73,9,2.24,109,27.11,108,26.87,95,23.63,23,5.72,17,4.23,26,6.47,05003
5,4,473,1,0.21,15,3.17,127,26.85,162,34.25,144,30.44,13,2.75,6,1.27,5,1.06,05004
5,5,598,4,0.67,12,2.01,170,28.43,213,35.62,186,31.1,4,0.67,5,0.84,4,0.67,05005
5,6,732,5,0.68,11,1.5,211,28.83,258,35.25,232,31.69,12,1.64,1,0.14,2,0.27,05006
5,7,714,7,0.98,19,2.66,193,27.03,248,34.73,210,29.41,19,2.66,7,0.98,11,1.54,05007
5,8,1011,50,4.95,21,2.08,272,26.9,233,23.05,224,22.16,72,7.12,58,5.74,81,8.01,05008
5,9,652,4,0.61,10,1.53,178,27.3,226,34.66,210,32.21,12,1.84,4,0.61,8,1.23,05009
5,10,556,3,0.54,12,2.16,152,27.34,191,34.35,179,32.19,11,1.98,4,0.72,4,0.72,05010
5,11,651,48,7.37,23,3.53,174,26.73,161,24.73,154,23.66,31,4.76,19,2.92,41,6.3,05011
5,12,390,4,1.03,6,1.54,103,26.41,139,35.64,121,31.03,6,1.54,7,1.79,4,1.03,05012
5,13,651,13,2.0,17,2.61,167,25.65,204,31.34,189,29.03,28,4.3,18,2.76,15,2.3,05013
5,14,1041,37,3.55,20,1.92,275,26.42,285,27.38,259,24.88,57,5.48,36,3.46,72,6.92,05014
5,15,681,26,3.82,22,3.23,175,25.7,191,28.05,165,24.23,38,5.58,26,3.82,38,5.58,05015
5,16,472,6,1.27,6,1.27,132,27.97,157,33.26,144,30.51,18,3.81,3,0.64,6,1.27,05016
5,17,624,5,0.8,7,1.12,184,29.49,217,34.78,202,32.37,2,0.32,4,0.64,3,0.48,05017
5,18,676,11,1.63,13,1.92,180,26.63,198,29.29,210,31.07,24,3.55,20,2.96,20,2.96,05018
5,19,353,2,0.57,8,2.27,97,27.48,120,33.99,115,32.58,4,1.13,3,0.85,4,1.13,05019
5,20,332,1,0.3,3,0.9,98,29.52,109,32.83,110,33.13,7,2.11,1,0.3,3,0.9,05020
5,21,671,5,0.75,7,1.04,190,28.32,224,33.38,214,31.89,12,1.79,5,0.75,14,2.09,05021
5,22,593,5,0.84,11,1.85,165,27.82,202,34.06,187,31.53,9,1.52,8,1.35,6,1.01,05022
5,23,440,3,0.68,7,1.59,127,28.86,141,32.05,139,31.59,10,2.27,6,1.36,7,1.59,05023
5,24,656,24,3.66,16,2.44,183,27.9,191,29.12,169,25.76,28,4.27,15,2.29,30,4.57,05024
5,25,593,6,1.01,11,1.85,159,26.81,204,34.4,179,30.19,13,2.19,11,1.85,10,1.69,05025
5,26,607,3,0.49,10,1.65,172,28.34,219,36.08,185,30.48,11,1.81,2,0.33,5,0.82,05026
5,27,1073,81,7.55,40,3.73,261,24.32,224,20.88,232,21.62,75,6.99,66,6.15,94,8.76,05027
5,28,735,10,1.36,9,1.22,200,27.21,242,32.93,220,29.93,29,3.95,10,1.36,15,2.04,05028
5,29,681,11,1.62,13,1.91,187,27.46,218,32.01,201,29.52,31,4.55,6,0.88,14,2.06,05029
