ward,precinct,total,Luis Arroyo Jr.,Luis Arroyo Jr. Percent,Walter Zarnecki,Walter Zarnecki Percent,precinct_id
33,6,465,409,87.96,56,12.04,33006
33,8,314,283,90.13,31,9.87,33008
33,9,118,107,90.68,11,9.32,33009
33,11,593,512,86.34,81,13.66,33011
33,12,522,460,88.12,62,11.88,33012
33,13,527,466,88.43,61,11.57,33013
33,14,282,244,86.52,38,13.48,33014
33,15,525,470,89.52,55,10.48,33015
33,16,707,607,85.86,100,14.14,33016
33,17,593,504,84.99,89,15.01,33017
33,19,598,499,83.44,99,16.56,33019
33,20,623,572,91.81,51,8.19,33020
33,21,557,503,90.31,54,9.69,33021
33,22,50,39,78.0,11,22.0,33022
33,26,445,412,92.58,33,7.42,33026
33,27,599,534,89.15,65,10.85,33027
33,28,525,486,92.57,39,7.43,33028
35,1,480,419,87.29,61,12.71,35001
35,2,524,461,87.98,63,12.02,35002
35,3,428,406,94.86,22,5.14,35003
35,4,444,375,84.46,69,15.54,35004
35,5,428,393,91.82,35,8.18,35005
35,6,430,393,91.4,37,8.6,35006
35,7,483,454,94.0,29,6.0,35007
35,8,499,462,92.59,37,7.41,35008
35,9,397,335,84.38,62,15.62,35009
35,10,607,563,92.75,44,7.25,35010
35,11,527,470,89.18,57,10.82,35011
35,12,299,281,93.98,18,6.02,35012
35,13,315,293,93.02,22,6.98,35013
35,14,324,291,89.81,33,10.19,35014
35,15,570,523,91.75,47,8.25,35015
35,16,252,237,94.05,15,5.95,35016
35,17,521,483,92.71,38,7.29,35017
35,18,298,281,94.3,17,5.7,35018
35,19,245,226,92.24,19,7.76,35019
35,20,402,358,89.05,44,10.95,35020
35,21,408,377,92.4,31,7.6,35021
35,22,560,505,90.18,55,9.82,35022
35,23,466,408,87.55,58,12.45,35023
35,24,423,366,86.52,57,13.48,35024
35,25,537,496,92.36,41,7.64,35025
35,26,403,348,86.35,55,13.65,35026
35,27,387,332,85.79,55,14.21,35027
35,28,440,381,86.59,59,13.41,35028
35,29,395,348,88.1,47,11.9,35029
35,30,428,373,87.15,55,12.85,35030
35,31,471,405,85.99,66,14.01,35031
36,2,330,294,89.09,36,10.91,36002
36,4,112,101,90.18,11,9.82,36004
36,5,333,306,91.89,27,8.11,36005
36,6,308,275,89.29,33,10.71,36006
36,8,259,238,91.89,21,8.11,36008
36,9,336,300,89.29,36,10.71,36009
36,11,260,234,90.0,26,10.0,36011
36,12,229,214,93.45,15,6.55,36012
36,13,251,233,92.83,18,7.17,36013
36,21,289,264,91.35,25,8.65,36021
36,22,293,266,90.78,27,9.22,36022
36,23,315,276,87.62,39,12.38,36023
36,25,369,334,90.51,35,9.49,36025
45,1,380,324,85.26,56,14.74,45001
45,2,450,396,88.0,54,12.0,45002
45,3,407,329,80.84,78,19.16,45003
