ward,precinct,total,H Yvonne Coleman,H Yvonne Coleman Percent,precinct_id
15,22,103,103,100.0,15022
15,23,211,211,100.0,15023
15,24,150,150,100.0,15024
16,2,150,150,100.0,16002
16,3,192,192,100.0,16003
16,5,162,162,100.0,16005
16,6,206,206,100.0,16006
16,8,153,153,100.0,16008
16,9,235,235,100.0,16009
16,10,191,191,100.0,16010
16,11,21,21,100.0,16011
16,12,201,201,100.0,16012
16,14,162,162,100.0,16014
16,15,233,233,100.0,16015
16,16,196,196,100.0,16016
16,20,170,170,100.0,16020
16,21,190,190,100.0,16021
16,24,119,119,100.0,16024
16,25,262,262,100.0,16025
16,26,163,163,100.0,16026
16,27,180,180,100.0,16027
16,28,188,188,100.0,16028
16,29,181,181,100.0,16029
16,30,177,177,100.0,16030
16,31,231,231,100.0,16031
16,33,194,194,100.0,16033
16,34,205,205,100.0,16034
16,36,178,178,100.0,16036
17,8,30,30,100.0,17008
17,13,235,235,100.0,17013
17,19,61,61,100.0,17019
17,35,95,95,100.0,17035
17,36,99,99,100.0,17036
20,1,287,287,100.0,20001
20,2,114,114,100.0,20002
20,3,265,265,100.0,20003
20,4,111,111,100.0,20004
20,5,341,341,100.0,20005
20,6,135,135,100.0,20006
20,7,312,312,100.0,20007
20,8,274,274,100.0,20008
20,9,442,442,100.0,20009
20,10,197,197,100.0,20010
20,11,383,383,100.0,20011
20,12,236,236,100.0,20012
20,13,310,310,100.0,20013
20,14,129,129,100.0,20014
20,16,344,344,100.0,20016
20,17,19,19,100.0,20017
20,18,207,207,100.0,20018
20,19,308,308,100.0,20019
20,21,207,207,100.0,20021
20,22,398,398,100.0,20022
20,23,323,323,100.0,20023
20,24,344,344,100.0,20024
20,25,195,195,100.0,20025
20,26,305,305,100.0,20026
20,27,148,148,100.0,20027
20,28,195,195,100.0,20028
20,29,326,326,100.0,20029
20,30,137,137,100.0,20030
20,31,349,349,100.0,20031
20,32,277,277,100.0,20032
20,33,176,176,100.0,20033
20,34,517,517,100.0,20034
20,35,204,204,100.0,20035
20,36,100,100,100.0,20036
20,37,87,87,100.0,20037
20,38,94,94,100.0,20038
20,39,20,20,100.0,20039
