ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Craig Cameron,Craig Cameron Percent,precinct_id
16,20,227,219,96.48,8,3.52,16020
16,21,243,233,95.88,10,4.12,16021
16,22,234,227,97.01,7,2.99,16022
16,23,31,28,90.32,3,9.68,16023
16,24,153,151,98.69,2,1.31,16024
16,25,326,307,94.17,19,5.83,16025
16,26,216,209,96.76,7,3.24,16026
16,27,237,232,97.89,5,2.11,16027
16,29,271,269,99.26,2,0.74,16029
16,31,227,223,98.24,4,1.76,16031
16,33,263,255,96.96,8,3.04,16033
16,34,206,204,99.03,2,0.97,16034
16,35,237,229,96.62,8,3.38,16035
16,36,217,214,98.62,3,1.38,16036
17,6,171,166,97.08,5,2.92,17006
17,7,282,271,96.1,11,3.9,17007
17,8,10,10,100.0,0,0.0,17008
17,12,379,358,94.46,21,5.54,17012
17,13,294,286,97.28,8,2.72,17013
17,14,381,357,93.7,24,6.3,17014
17,16,90,85,94.44,5,5.56,17016
17,19,201,195,97.01,6,2.99,17019
17,25,14,14,100.0,0,0.0,17025
17,31,210,207,98.57,3,1.43,17031
17,33,154,148,96.1,6,3.9,17033
17,35,141,134,95.04,7,4.96,17035
17,36,56,55,98.21,1,1.79,17036
20,2,157,153,97.45,4,2.55,20002
20,4,125,124,99.2,1,0.8,20004
20,6,171,167,97.66,4,2.34,20006
20,11,313,305,97.44,8,2.56,20011
20,15,150,140,93.33,10,6.67,20015
20,17,221,206,93.21,15,6.79,20017
20,20,244,222,90.98,22,9.02,20020
20,21,261,251,96.17,10,3.83,20021
20,25,273,260,95.24,13,4.76,20025
20,27,93,86,92.47,7,7.53,20027
20,30,173,170,98.27,3,1.73,20030
20,31,321,319,99.38,2,0.62,20031
20,32,367,362,98.64,5,1.36,20032
20,36,126,121,96.03,5,3.97,20036
20,37,5,5,100.0,0,0.0,20037
20,38,126,121,96.03,5,3.97,20038
20,39,25,24,96.0,1,4.0,20039
22,14,132,126,95.45,6,4.55,22014
22,15,9,9,100.0,0,0.0,22015
22,19,176,168,95.45,8,4.55,22019
22,21,366,358,97.81,8,2.19,22021
23,17,89,80,89.89,9,10.11,23017
23,19,23,20,86.96,3,13.04,23019
23,31,60,48,80.0,12,20.0,23031
24,1,292,287,98.29,5,1.71,24001
24,2,302,295,97.68,7,2.32,24002
24,3,337,329,97.63,8,2.37,24003
24,4,256,249,97.27,7,2.73,24004
24,5,176,174,98.86,2,1.14,24005
24,6,320,314,98.13,6,1.88,24006
24,7,207,192,92.75,15,7.25,24007
24,8,157,153,97.45,4,2.55,24008
24,9,302,295,97.68,7,2.32,24009
24,10,140,136,97.14,4,2.86,24010
24,11,364,347,95.33,17,4.67,24011
24,12,189,180,95.24,9,4.76,24012
24,13,176,171,97.16,5,2.84,24013
24,14,298,292,97.99,6,2.01,24014
24,15,168,162,96.43,6,3.57,24015
24,16,175,157,89.71,18,10.29,24016
24,17,255,246,96.47,9,3.53,24017
24,18,361,357,98.89,4,1.11,24018
24,19,381,378,99.21,3,0.79,24019
24,20,269,265,98.51,4,1.49,24020
24,21,150,147,98.0,3,2.0,24021
24,22,398,391,98.24,7,1.76,24022
24,23,255,247,96.86,8,3.14,24023
24,24,351,337,96.01,14,3.99,24024
24,25,269,264,98.14,5,1.86,24025
24,26,438,425,97.03,13,2.97,24026
24,27,336,329,97.92,7,2.08,24027
24,28,214,210,98.13,4,1.87,24028
24,29,252,247,98.02,5,1.98,24029
24,30,185,182,98.38,3,1.62,24030
24,31,348,340,97.7,8,2.3,24031
24,32,167,160,95.81,7,4.19,24032
24,33,190,186,97.89,4,2.11,24033
24,34,301,294,97.67,7,2.33,24034
24,35,297,295,99.33,2,0.67,24035
24,36,379,368,97.1,11,2.9,24036
24,37,189,182,96.3,7,3.7,24037
24,38,261,250,95.79,11,4.21,24038
24,39,335,317,94.63,18,5.37,24039
24,40,371,362,97.57,9,2.43,24040
24,41,222,216,97.3,6,2.7,24041
25,3,788,627,79.57,161,20.43,25003
25,4,394,362,91.88,32,8.12,25004
25,6,150,122,81.33,28,18.67,25006
25,10,750,596,79.47,154,20.53,25010
25,14,248,210,84.68,38,15.32,25014
25,16,768,586,76.3,182,23.7,25016
25,18,284,230,80.99,54,19.01,25018
25,20,303,294,97.03,9,2.97,25020
25,21,875,752,85.94,123,14.06,25021
25,25,483,369,76.4,114,23.6,25025
25,27,570,474,83.16,96,16.84,25027
25,29,371,344,92.72,27,7.28,25029
25,31,908,702,77.31,206,22.69,25031
26,1,200,185,92.5,15,7.5,26001
26,3,443,383,86.46,60,13.54,26003
26,4,232,217,93.53,15,6.47,26004
26,10,238,229,96.22,9,3.78,26010
26,17,321,241,75.08,80,24.92,26017
26,19,222,203,91.44,19,8.56,26019
26,21,432,401,92.82,31,7.18,26021
26,27,208,190,91.35,18,8.65,26027
26,28,244,208,85.25,36,14.75,26028
26,33,343,318,92.71,25,7.29,26033
26,36,360,321,89.17,39,10.83,26036
26,39,238,212,89.08,26,10.92,26039
26,45,84,71,84.52,13,15.48,26045
26,46,271,207,76.38,64,23.62,26046
27,1,914,754,82.49,160,17.51,27001
27,2,472,397,84.11,75,15.89,27002
27,3,247,237,95.95,10,4.05,27003
27,4,216,201,93.06,15,6.94,27004
27,5,324,305,94.14,19,5.86,27005
27,6,512,437,85.35,75,14.65,27006
27,8,306,295,96.41,11,3.59,27008
27,9,234,174,74.36,60,25.64,27009
27,10,432,418,96.76,14,3.24,27010
27,11,613,492,80.26,121,19.74,27011
27,13,481,458,95.22,23,4.78,27013
27,14,205,203,99.02,2,0.98,27014
27,15,212,206,97.17,6,2.83,27015
27,16,502,413,82.27,89,17.73,27016
27,17,398,374,93.97,24,6.03,27017
27,18,291,278,95.53,13,4.47,27018
27,19,203,190,93.6,13,6.4,27019
27,20,320,315,98.44,5,1.56,27020
27,21,468,380,81.2,88,18.8,27021
27,22,195,190,97.44,5,2.56,27022
27,23,295,290,98.31,5,1.69,27023
27,24,289,275,95.16,14,4.84,27024
27,25,375,347,92.53,28,7.47,27025
27,26,314,301,95.86,13,4.14,27026
27,27,473,445,94.08,28,5.92,27027
27,28,417,332,79.62,85,20.38,27028
27,29,263,254,96.58,9,3.42,27029
27,30,191,182,95.29,9,4.71,27030
27,31,319,312,97.81,7,2.19,27031
27,32,367,344,93.73,23,6.27,27032
27,33,474,396,83.54,78,16.46,27033
27,34,295,285,96.61,10,3.39,27034
27,35,497,398,80.08,99,19.92,27035
27,36,334,322,96.41,12,3.59,27036
27,37,517,429,82.98,88,17.02,27037
27,38,658,551,83.74,107,16.26,27038
27,39,291,282,96.91,9,3.09,27039
27,40,552,450,81.52,102,18.48,27040
27,41,345,341,98.84,4,1.16,27041
27,42,116,110,94.83,6,5.17,27042
27,43,254,238,93.7,16,6.3,27043
27,44,270,264,97.78,6,2.22,27044
27,45,977,776,79.43,201,20.57,27045
27,47,290,271,93.45,19,6.55,27047
27,48,838,730,87.11,108,12.89,27048
27,49,292,284,97.26,8,2.74,27049
27,50,385,374,97.14,11,2.86,27050
28,1,233,225,96.57,8,3.43,28001
28,2,302,293,97.02,9,2.98,28002
28,3,269,261,97.03,8,2.97,28003
28,4,342,284,83.04,58,16.96,28004
28,5,222,209,94.14,13,5.86,28005
28,6,201,180,89.55,21,10.45,28006
28,7,313,305,97.44,8,2.56,28007
28,8,442,370,83.71,72,16.29,28008
28,9,320,316,98.75,4,1.25,28009
28,10,461,406,88.07,55,11.93,28010
28,11,687,629,91.56,58,8.44,28011
28,12,324,321,99.07,3,0.93,28012
28,13,373,363,97.32,10,2.68,28013
28,14,250,247,98.8,3,1.2,28014
28,15,70,69,98.57,1,1.43,28015
28,16,205,200,97.56,5,2.44,28016
28,17,277,273,98.56,4,1.44,28017
28,18,285,283,99.3,2,0.7,28018
28,19,292,267,91.44,25,8.56,28019
28,20,298,293,98.32,5,1.68,28020
28,21,268,264,98.51,4,1.49,28021
28,22,297,285,95.96,12,4.04,28022
28,23,369,359,97.29,10,2.71,28023
28,24,264,250,94.7,14,5.3,28024
28,25,445,432,97.08,13,2.92,28025
28,26,318,310,97.48,8,2.52,28026
28,27,379,284,74.93,95,25.07,28027
28,28,446,359,80.49,87,19.51,28028
28,29,173,165,95.38,8,4.62,28029
28,30,51,49,96.08,2,3.92,28030
28,31,437,423,96.8,14,3.2,28031
28,32,300,291,97.0,9,3.0,28032
28,33,341,335,98.24,6,1.76,28033
28,34,565,545,96.46,20,3.54,28034
28,35,373,365,97.86,8,2.14,28035
28,36,184,181,98.37,3,1.63,28036
28,37,406,403,99.26,3,0.74,28037
28,38,155,149,96.13,6,3.87,28038
28,39,244,235,96.31,9,3.69,28039
28,40,425,416,97.88,9,2.12,28040
28,41,234,227,97.01,7,2.99,28041
28,42,330,324,98.18,6,1.82,28042
28,43,394,390,98.98,4,1.02,28043
28,44,229,225,98.25,4,1.75,28044
28,45,449,371,82.63,78,17.37,28045
28,46,663,575,86.73,88,13.27,28046
29,1,525,442,84.19,83,15.81,29001
29,2,524,511,97.52,13,2.48,29002
29,3,434,427,98.39,7,1.61,29003
29,4,430,424,98.6,6,1.4,29004
29,5,341,327,95.89,14,4.11,29005
29,6,346,337,97.4,9,2.6,29006
29,7,417,382,91.61,35,8.39,29007
29,8,353,347,98.3,6,1.7,29008
29,9,2,1,50.0,1,50.0,29009
29,10,544,451,82.9,93,17.1,29010
29,11,239,233,97.49,6,2.51,29011
29,12,489,473,96.73,16,3.27,29012
29,13,434,422,97.24,12,2.76,29013
29,14,371,362,97.57,9,2.43,29014
29,15,465,447,96.13,18,3.87,29015
29,16,360,353,98.06,7,1.94,29016
29,17,360,355,98.61,5,1.39,29017
29,18,387,377,97.42,10,2.58,29018
29,19,407,392,96.31,15,3.69,29019
29,20,486,473,97.33,13,2.67,29020
29,21,506,497,98.22,9,1.78,29021
29,22,293,270,92.15,23,7.85,29022
29,24,355,340,95.77,15,4.23,29024
29,25,472,465,98.52,7,1.48,29025
29,26,408,388,95.1,20,4.9,29026
29,27,364,360,98.9,4,1.1,29027
29,28,485,475,97.94,10,2.06,29028
29,33,299,283,94.65,16,5.35,29033
29,34,306,277,90.52,29,9.48,29034
29,35,302,296,98.01,6,1.99,29035
29,36,349,338,96.85,11,3.15,29036
29,37,394,377,95.69,17,4.31,29037
29,40,445,433,97.3,12,2.7,29040
29,41,313,307,98.08,6,1.92,29041
29,42,444,440,99.1,4,0.9,29042
29,43,320,287,89.69,33,10.31,29043
29,44,515,489,94.95,26,5.05,29044
36,5,343,306,89.21,37,10.79,36005
36,21,84,73,86.9,11,13.1,36021
37,1,243,228,93.83,15,6.17,37001
37,2,292,272,93.15,20,6.85,37002
37,3,267,261,97.75,6,2.25,37003
37,4,281,256,91.1,25,8.9,37004
37,5,389,378,97.17,11,2.83,37005
37,6,399,391,97.99,8,2.01,37006
37,7,256,248,96.88,8,3.13,37007
37,8,257,244,94.94,13,5.06,37008
37,9,375,367,97.87,8,2.13,37009
37,10,416,397,95.43,19,4.57,37010
37,11,244,238,97.54,6,2.46,37011
37,12,262,247,94.27,15,5.73,37012
37,13,261,254,97.32,7,2.68,37013
37,14,372,361,97.04,11,2.96,37014
37,15,361,354,98.06,7,1.94,37015
37,16,389,376,96.66,13,3.34,37016
37,17,293,285,97.27,8,2.73,37017
37,18,312,301,96.47,11,3.53,37018
37,19,244,233,95.49,11,4.51,37019
37,20,296,289,97.64,7,2.36,37020
37,21,329,310,94.22,19,5.78,37021
37,22,315,288,91.43,27,8.57,37022
37,23,329,321,97.57,8,2.43,37023
37,24,389,378,97.17,11,2.83,37024
37,25,316,308,97.47,8,2.53,37025
37,26,447,428,95.75,19,4.25,37026
37,27,324,312,96.3,12,3.7,37027
37,28,305,290,95.08,15,4.92,37028
37,29,323,309,95.67,14,4.33,37029
37,30,344,338,98.26,6,1.74,37030
37,31,362,355,98.07,7,1.93,37031
37,32,314,300,95.54,14,4.46,37032
37,33,375,360,96.0,15,4.0,37033
37,34,338,327,96.75,11,3.25,37034
37,35,362,353,97.51,9,2.49,37035
37,36,343,339,98.83,4,1.17,37036
37,37,386,374,96.89,12,3.11,37037
37,38,352,340,96.59,12,3.41,37038
37,39,334,319,95.51,15,4.49,37039
37,40,366,360,98.36,6,1.64,37040
37,41,355,339,95.49,16,4.51,37041
42,1,528,364,68.94,164,31.06,42001
42,2,654,526,80.43,128,19.57,42002
42,3,614,501,81.6,113,18.4,42003
42,4,1191,891,74.81,300,25.19,42004
42,5,535,406,75.89,129,24.11,42005
42,6,580,411,70.86,169,29.14,42006
42,7,750,528,70.4,222,29.6,42007
42,8,526,410,77.95,116,22.05,42008
42,9,732,585,79.92,147,20.08,42009
42,10,829,644,77.68,185,22.32,42010
42,11,419,271,64.68,148,35.32,42011
42,12,530,380,71.7,150,28.3,42012
42,13,515,365,70.87,150,29.13,42013
42,14,793,585,73.77,208,26.23,42014
42,15,687,500,72.78,187,27.22,42015
42,16,637,501,78.65,136,21.35,42016
42,17,844,616,72.99,228,27.01,42017
42,18,678,506,74.63,172,25.37,42018
42,19,769,548,71.26,221,28.74,42019
42,20,712,485,68.12,227,31.88,42020
42,21,660,526,79.7,134,20.3,42021
42,22,321,211,65.73,110,34.27,42022
42,23,699,485,69.38,214,30.62,42023
42,24,633,457,72.2,176,27.8,42024
42,25,632,435,68.83,197,31.17,42025
42,26,837,618,73.84,219,26.16,42026
42,27,437,330,75.51,107,24.49,42027
42,28,657,490,74.58,167,25.42,42028
42,29,654,486,74.31,168,25.69,42029
42,30,512,348,67.97,164,32.03,42030
42,31,748,527,70.45,221,29.55,42031
42,32,685,466,68.03,219,31.97,42032
42,33,687,559,81.37,128,18.63,42033
42,34,522,353,67.62,169,32.38,42034
42,35,783,618,78.93,165,21.07,42035
42,36,1022,776,75.93,246,24.07,42036
42,37,462,350,75.76,112,24.24,42037
42,38,583,427,73.24,156,26.76,42038
42,39,884,664,75.11,220,24.89,42039
42,40,849,670,78.92,179,21.08,42040
42,41,639,495,77.46,144,22.54,42041
42,42,1033,818,79.19,215,20.81,42042
43,1,315,246,78.1,69,21.9,43001
43,5,73,55,75.34,18,24.66,43005
43,9,75,48,64.0,27,36.0,43009
43,33,612,428,69.93,184,30.07,43033
43,35,660,483,73.18,177,26.82,43035
43,45,359,278,77.44,81,22.56,43045
