ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Arthur J. Jones,Arthur J. Jones Percent,precinct_id
13,24,354,310,87.57,44,12.43,13024
13,25,345,314,91.01,31,8.99,13025
13,26,319,263,82.45,56,17.55,13026
13,27,313,265,84.66,48,15.34,13027
13,28,260,232,89.23,28,10.77,13028
13,29,264,240,90.91,24,9.09,13029
13,30,268,257,95.9,11,4.1,13030
13,31,380,309,81.32,71,18.68,13031
13,32,293,235,80.2,58,19.8,13032
13,33,346,279,80.64,67,19.36,13033
13,34,403,384,95.29,19,4.71,13034
13,35,312,287,91.99,25,8.01,13035
13,36,209,196,93.78,13,6.22,13036
13,37,379,345,91.03,34,8.97,13037
13,38,330,255,77.27,75,22.73,13038
13,39,335,313,93.43,22,6.57,13039
13,40,350,315,90.0,35,10.0,13040
13,41,298,277,92.95,21,7.05,13041
13,42,340,270,79.41,70,20.59,13042
13,43,351,304,86.61,47,13.39,13043
13,44,350,334,95.43,16,4.57,13044
13,45,393,330,83.97,63,16.03,13045
13,46,395,364,92.15,31,7.85,13046
13,47,365,344,94.25,21,5.75,13047
13,48,318,271,85.22,47,14.78,13048
14,1,431,332,77.03,99,22.97,14001
14,4,387,313,80.88,74,19.12,14004
14,5,35,33,94.29,2,5.71,14005
14,7,408,372,91.18,36,8.82,14007
14,8,390,354,90.77,36,9.23,14008
14,9,447,370,82.77,77,17.23,14009
14,12,386,342,88.6,44,11.4,14012
14,18,157,128,81.53,29,18.47,14018
14,21,333,301,90.39,32,9.61,14021
14,22,476,404,84.87,72,15.13,14022
14,23,303,261,86.14,42,13.86,14023
14,24,452,353,78.1,99,21.9,14024
14,25,4,4,100.0,0,0.0,14025
14,26,267,246,92.13,21,7.87,14026
14,29,279,258,92.47,21,7.53,14029
15,1,239,217,90.79,22,9.21,15001
15,5,67,61,91.04,6,8.96,15005
15,8,11,8,72.73,3,27.27,15008
15,13,257,240,93.39,17,6.61,15013
15,14,276,255,92.39,21,7.61,15014
15,15,162,143,88.27,19,11.73,15015
15,16,340,318,93.53,22,6.47,15016
15,19,286,259,90.56,27,9.44,15019
16,1,263,239,90.87,24,9.13,16001
16,7,8,8,100.0,0,0.0,16007
16,23,283,263,92.93,20,7.07,16023
16,32,296,278,93.92,18,6.08,16032
16,35,103,96,93.2,7,6.8,16035
18,15,384,352,91.67,32,8.33,18015
18,24,369,335,90.79,34,9.21,18024
18,25,365,324,88.77,41,11.23,18025
18,30,434,375,86.41,59,13.59,18030
18,40,401,363,90.52,38,9.48,18040
18,43,277,233,84.12,44,15.88,18043
18,46,405,361,89.14,44,10.86,18046
19,1,393,305,77.61,88,22.39,19001
19,2,74,68,91.89,6,8.11,19002
19,3,332,223,67.17,109,32.83,19003
19,4,476,357,75.0,119,25.0,19004
19,5,158,142,89.87,16,10.13,19005
19,6,451,304,67.41,147,32.59,19006
19,7,385,329,85.45,56,14.55,19007
19,8,471,301,63.91,170,36.09,19008
19,9,319,233,73.04,86,26.96,19009
19,10,458,394,86.03,64,13.97,19010
19,11,378,261,69.05,117,30.95,19011
19,12,353,237,67.14,116,32.86,19012
19,15,537,353,65.74,184,34.26,19015
19,16,449,315,70.16,134,29.84,19016
19,17,383,301,78.59,82,21.41,19017
19,18,391,341,87.21,50,12.79,19018
19,19,556,498,89.57,58,10.43,19019
19,21,398,247,62.06,151,37.94,19021
19,22,473,418,88.37,55,11.63,19022
19,23,443,336,75.85,107,24.15,19023
19,24,315,214,67.94,101,32.06,19024
19,25,353,286,81.02,67,18.98,19025
19,26,435,364,83.68,71,16.32,19026
19,29,438,284,64.84,154,35.16,19029
19,30,398,265,66.58,133,33.42,19030
19,32,397,313,78.84,84,21.16,19032
19,33,454,311,68.5,143,31.5,19033
19,34,400,336,84.0,64,16.0,19034
19,35,392,337,85.97,55,14.03,19035
19,41,393,265,67.43,128,32.57,19041
19,44,469,319,68.02,150,31.98,19044
19,45,425,327,76.94,98,23.06,19045
19,46,449,359,79.96,90,20.04,19046
19,50,361,285,78.95,76,21.05,19050
19,51,482,389,80.71,93,19.29,19051
19,52,453,297,65.56,156,34.44,19052
19,53,404,339,83.91,65,16.09,19053
19,54,357,241,67.51,116,32.49,19054
19,55,358,241,67.32,117,32.68,19055
19,56,462,418,90.48,44,9.52,19056
19,57,314,279,88.85,35,11.15,19057
20,4,47,45,95.74,2,4.26,20004
20,15,147,142,96.6,5,3.4,20015
20,20,0,0,0.0,0,0.0,20020
22,1,204,195,95.59,9,4.41,22001
22,2,411,361,87.83,50,12.17,22002
22,8,455,402,88.35,53,11.65,22008
22,12,306,264,86.27,42,13.73,22012
22,23,447,425,95.08,22,4.92,22023
23,1,351,272,77.49,79,22.51,23001
23,2,373,283,75.87,90,24.13,23002
23,3,359,284,79.11,75,20.89,23003
23,4,402,332,82.59,70,17.41,23004
23,5,349,323,92.55,26,7.45,23005
23,6,370,336,90.81,34,9.19,23006
23,7,277,253,91.34,24,8.66,23007
23,8,411,355,86.37,56,13.63,23008
23,9,129,118,91.47,11,8.53,23009
23,10,391,347,88.75,44,11.25,23010
23,11,347,323,93.08,24,6.92,23011
23,12,364,286,78.57,78,21.43,23012
23,14,340,288,84.71,52,15.29,23014
23,15,294,265,90.14,29,9.86,23015
23,16,359,280,77.99,79,22.01,23016
23,17,136,123,90.44,13,9.56,23017
23,18,295,217,73.56,78,26.44,23018
23,19,256,235,91.8,21,8.2,23019
23,20,193,158,81.87,35,18.13,23020
23,21,364,278,76.37,86,23.63,23021
23,22,370,311,84.05,59,15.95,23022
23,23,347,277,79.83,70,20.17,23023
23,25,289,251,86.85,38,13.15,23025
23,26,235,211,89.79,24,10.21,23026
23,27,300,218,72.67,82,27.33,23027
23,28,361,275,76.18,86,23.82,23028
23,29,306,260,84.97,46,15.03,23029
23,30,379,334,88.13,45,11.87,23030
23,31,216,192,88.89,24,11.11,23031
23,32,331,304,91.84,27,8.16,23032
23,33,352,313,88.92,39,11.08,23033
23,34,184,160,86.96,24,13.04,23034
23,35,257,186,72.37,71,27.63,23035
23,36,336,268,79.76,68,20.24,23036
23,37,369,297,80.49,72,19.51,23037
23,38,330,273,82.73,57,17.27,23038
23,39,72,69,95.83,3,4.17,23039
