ward,precinct,total,Dennis Deer,Dennis Deer Percent,precinct_id
28,16,183,183,100.0,28016
28,17,68,68,100.0,28017
28,18,255,255,100.0,28018
28,19,249,249,100.0,28019
28,27,287,287,100.0,28027
28,28,358,358,100.0,28028
28,29,152,152,100.0,28029
28,30,44,44,100.0,28030
28,32,265,265,100.0,28032
28,34,471,471,100.0,28034
28,35,339,339,100.0,28035
28,36,163,163,100.0,28036
28,40,108,108,100.0,28040
28,45,379,379,100.0,28045
28,46,553,553,100.0,28046
29,2,180,180,100.0,29002
29,6,255,255,100.0,29006
42,3,511,511,100.0,42003
42,9,573,573,100.0,42009
42,10,643,643,100.0,42010
42,12,389,389,100.0,42012
42,14,308,308,100.0,42014
42,16,491,491,100.0,42016
42,17,603,603,100.0,42017
42,18,539,539,100.0,42018
42,21,534,534,100.0,42021
42,25,441,441,100.0,42025
42,33,372,372,100.0,42033
42,36,821,821,100.0,42036
42,40,137,137,100.0,42040
42,41,497,497,100.0,42041
42,42,815,815,100.0,42042
