ward,precinct,total,Susana A. Mendoza,Susana A. Mendoza Percent,Darlene Senger,Darlene Senger Percent,Claire Ball,Claire Ball Percent,precinct_id
6,9,363,345,95.04,12,3.31,6,1.65,06009
6,10,240,223,92.92,7,2.92,10,4.17,06010
6,11,353,339,96.03,5,1.42,9,2.55,06011
6,12,290,278,95.86,7,2.41,5,1.72,06012
6,13,310,294,94.84,7,2.26,9,2.9,06013
6,14,369,352,95.39,3,0.81,14,3.79,06014
6,15,336,312,92.86,10,2.98,14,4.17,06015
6,16,413,386,93.46,12,2.91,15,3.63,06016
6,17,268,249,92.91,9,3.36,10,3.73,06017
6,18,288,273,94.79,7,2.43,8,2.78,06018
6,19,360,341,94.72,5,1.39,14,3.89,06019
6,20,238,226,94.96,5,2.1,7,2.94,06020
6,21,219,209,95.43,4,1.83,6,2.74,06021
6,22,238,225,94.54,8,3.36,5,2.1,06022
6,23,215,202,93.95,7,3.26,6,2.79,06023
6,24,208,193,92.79,11,5.29,4,1.92,06024
6,25,215,204,94.88,4,1.86,7,3.26,06025
6,26,292,269,92.12,8,2.74,15,5.14,06026
6,27,225,213,94.67,7,3.11,5,2.22,06027
6,28,197,186,94.42,5,2.54,6,3.05,06028
6,29,427,412,96.49,4,0.94,11,2.58,06029
6,30,311,281,90.35,14,4.5,16,5.14,06030
6,31,403,386,95.78,3,0.74,14,3.47,06031
6,32,366,351,95.9,7,1.91,8,2.19,06032
6,33,394,363,92.13,18,4.57,13,3.3,06033
6,34,406,389,95.81,2,0.49,15,3.69,06034
6,35,359,341,94.99,7,1.95,11,3.06,06035
6,36,463,445,96.11,12,2.59,6,1.3,06036
6,37,406,380,93.6,12,2.96,14,3.45,06037
6,38,421,398,94.54,14,3.33,9,2.14,06038
6,39,327,308,94.19,11,3.36,8,2.45,06039
6,40,354,332,93.79,6,1.69,16,4.52,06040
6,41,395,385,97.47,4,1.01,6,1.52,06041
6,42,406,384,94.58,13,3.2,9,2.22,06042
6,43,359,340,94.71,13,3.62,6,1.67,06043
6,44,390,372,95.38,10,2.56,8,2.05,06044
6,45,420,400,95.24,6,1.43,14,3.33,06045
6,46,274,263,95.99,6,2.19,5,1.82,06046
6,47,281,265,94.31,10,3.56,6,2.14,06047
6,48,419,393,93.79,6,1.43,20,4.77,06048
7,1,347,327,94.24,14,4.03,6,1.73,07001
7,2,363,344,94.77,9,2.48,10,2.75,07002
7,3,402,383,95.27,11,2.74,8,1.99,07003
7,4,392,361,92.09,11,2.81,20,5.1,07004
7,5,318,296,93.08,11,3.46,11,3.46,07005
7,6,490,466,95.1,11,2.24,13,2.65,07006
7,7,373,358,95.98,6,1.61,9,2.41,07007
7,8,318,294,92.45,12,3.77,12,3.77,07008
7,9,663,623,93.97,20,3.02,20,3.02,07009
7,10,426,401,94.13,13,3.05,12,2.82,07010
7,11,414,394,95.17,13,3.14,7,1.69,07011
7,12,360,345,95.83,4,1.11,11,3.06,07012
7,13,237,223,94.09,5,2.11,9,3.8,07013
7,14,413,397,96.13,7,1.69,9,2.18,07014
7,15,366,353,96.45,3,0.82,10,2.73,07015
7,16,290,274,94.48,6,2.07,10,3.45,07016
7,17,323,299,92.57,8,2.48,16,4.95,07017
7,18,341,311,91.2,16,4.69,14,4.11,07018
7,19,356,335,94.1,7,1.97,14,3.93,07019
7,20,292,282,96.58,4,1.37,6,2.05,07020
7,21,278,259,93.17,10,3.6,9,3.24,07021
7,22,321,293,91.28,14,4.36,14,4.36,07022
7,23,363,352,96.97,4,1.1,7,1.93,07023
7,24,310,297,95.81,8,2.58,5,1.61,07024
7,25,300,280,93.33,13,4.33,7,2.33,07025
7,26,308,294,95.45,5,1.62,9,2.92,07026
7,27,308,296,96.1,7,2.27,5,1.62,07027
7,28,279,265,94.98,6,2.15,8,2.87,07028
7,29,315,291,92.38,12,3.81,12,3.81,07029
7,30,270,254,94.07,5,1.85,11,4.07,07030
7,31,250,239,95.6,3,1.2,8,3.2,07031
7,32,497,469,94.37,15,3.02,13,2.62,07032
7,33,488,467,95.7,11,2.25,10,2.05,07033
7,34,443,421,95.03,9,2.03,13,2.93,07034
7,35,406,377,92.86,13,3.2,16,3.94,07035
7,36,442,419,94.8,10,2.26,13,2.94,07036
7,37,395,372,94.18,8,2.03,15,3.8,07037
7,38,320,307,95.94,8,2.5,5,1.56,07038
7,39,341,327,95.89,6,1.76,8,2.35,07039
7,40,326,310,95.09,7,2.15,9,2.76,07040
7,41,375,358,95.47,9,2.4,8,2.13,07041
7,42,313,303,96.81,5,1.6,5,1.6,07042
7,43,383,356,92.95,16,4.18,11,2.87,07043
7,44,321,315,98.13,1,0.31,5,1.56,07044
7,45,354,338,95.48,13,3.67,3,0.85,07045
7,46,159,150,94.34,6,3.77,3,1.89,07046
8,1,340,316,92.94,13,3.82,11,3.24,08001
8,2,364,337,92.58,11,3.02,16,4.4,08002
8,3,449,426,94.88,10,2.23,13,2.9,08003
8,4,444,426,95.95,3,0.68,15,3.38,08004
8,5,440,420,95.45,10,2.27,10,2.27,08005
8,6,408,392,96.08,12,2.94,4,0.98,08006
8,7,457,439,96.06,9,1.97,9,1.97,08007
8,8,387,374,96.64,8,2.07,5,1.29,08008
8,9,268,260,97.01,2,0.75,6,2.24,08009
8,10,498,469,94.18,9,1.81,20,4.02,08010
8,11,334,308,92.22,13,3.89,13,3.89,08011
8,12,346,330,95.38,6,1.73,10,2.89,08012
8,13,451,424,94.01,13,2.88,14,3.1,08013
8,14,290,275,94.83,8,2.76,7,2.41,08014
8,15,355,333,93.8,10,2.82,12,3.38,08015
8,16,122,110,90.16,5,4.1,7,5.74,08016
8,17,351,344,98.01,4,1.14,3,0.85,08017
8,18,382,358,93.72,12,3.14,12,3.14,08018
8,19,419,401,95.7,8,1.91,10,2.39,08019
8,20,450,426,94.67,10,2.22,14,3.11,08020
8,21,491,469,95.52,12,2.44,10,2.04,08021
8,22,363,350,96.42,4,1.1,9,2.48,08022
8,23,336,317,94.35,6,1.79,13,3.87,08023
8,24,244,230,94.26,4,1.64,10,4.1,08024
8,25,392,364,92.86,16,4.08,12,3.06,08025
8,26,364,339,93.13,17,4.67,8,2.2,08026
8,27,433,410,94.69,11,2.54,12,2.77,08027
8,28,408,383,93.87,10,2.45,15,3.68,08028
8,29,458,430,93.89,12,2.62,16,3.49,08029
8,30,420,392,93.33,10,2.38,18,4.29,08030
8,31,295,273,92.54,13,4.41,9,3.05,08031
8,32,324,317,97.84,2,0.62,5,1.54,08032
8,33,374,353,94.39,11,2.94,10,2.67,08033
8,34,380,363,95.53,7,1.84,10,2.63,08034
8,35,427,407,95.32,9,2.11,11,2.58,08035
8,36,420,402,95.71,7,1.67,11,2.62,08036
8,37,333,316,94.89,9,2.7,8,2.4,08037
8,38,269,260,96.65,2,0.74,7,2.6,08038
8,39,398,376,94.47,8,2.01,14,3.52,08039
8,40,300,287,95.67,6,2.0,7,2.33,08040
8,41,449,429,95.55,7,1.56,13,2.9,08041
8,42,481,457,95.01,6,1.25,18,3.74,08042
8,43,219,207,94.52,7,3.2,5,2.28,08043
8,44,274,264,96.35,5,1.82,5,1.82,08044
8,45,384,360,93.75,17,4.43,7,1.82,08045
8,46,317,304,95.9,3,0.95,10,3.15,08046
8,47,323,303,93.81,9,2.79,11,3.41,08047
8,48,366,352,96.17,4,1.09,10,2.73,08048
8,49,370,355,95.95,5,1.35,10,2.7,08049
8,50,397,373,93.95,10,2.52,14,3.53,08050
8,51,436,412,94.5,9,2.06,15,3.44,08051
8,52,484,468,96.69,4,0.83,12,2.48,08052
8,53,230,215,93.48,6,2.61,9,3.91,08053
8,54,319,308,96.55,3,0.94,8,2.51,08054
8,55,316,299,94.62,9,2.85,8,2.53,08055
8,56,394,380,96.45,5,1.27,9,2.28,08056
9,1,377,359,95.23,8,2.12,10,2.65,09001
9,2,333,320,96.1,5,1.5,8,2.4,09002
9,3,299,281,93.98,9,3.01,9,3.01,09003
9,4,287,277,96.52,4,1.39,6,2.09,09004
9,5,366,361,98.63,2,0.55,3,0.82,09005
9,6,342,329,96.2,6,1.75,7,2.05,09006
9,7,313,290,92.65,10,3.19,13,4.15,09007
9,8,366,349,95.36,5,1.37,12,3.28,09008
9,9,403,387,96.03,6,1.49,10,2.48,09009
9,10,302,286,94.7,8,2.65,8,2.65,09010
9,11,243,229,94.24,7,2.88,7,2.88,09011
9,12,427,406,95.08,8,1.87,13,3.04,09012
9,13,424,409,96.46,9,2.12,6,1.42,09013
9,14,448,427,95.31,12,2.68,9,2.01,09014
9,15,415,400,96.39,6,1.45,9,2.17,09015
9,16,323,305,94.43,6,1.86,12,3.72,09016
9,17,252,242,96.03,6,2.38,4,1.59,09017
9,18,277,269,97.11,2,0.72,6,2.17,09018
9,19,349,338,96.85,4,1.15,7,2.01,09019
9,20,371,356,95.96,4,1.08,11,2.96,09020
9,21,321,304,94.7,12,3.74,5,1.56,09021
9,22,377,358,94.96,10,2.65,9,2.39,09022
9,23,432,407,94.21,7,1.62,18,4.17,09023
9,24,384,373,97.14,8,2.08,3,0.78,09024
9,25,379,362,95.51,7,1.85,10,2.64,09025
9,26,413,402,97.34,4,0.97,7,1.69,09026
9,27,325,315,96.92,4,1.23,6,1.85,09027
9,28,227,214,94.27,6,2.64,7,3.08,09028
9,29,336,321,95.54,8,2.38,7,2.08,09029
9,30,301,280,93.02,9,2.99,12,3.99,09030
9,31,287,272,94.77,6,2.09,9,3.14,09031
9,32,369,353,95.66,11,2.98,5,1.36,09032
9,33,278,270,97.12,3,1.08,5,1.8,09033
9,34,272,253,93.01,9,3.31,10,3.68,09034
9,35,377,367,97.35,7,1.86,3,0.8,09035
9,36,309,293,94.82,7,2.27,9,2.91,09036
9,37,525,446,84.95,55,10.48,24,4.57,09037
9,38,397,381,95.97,10,2.52,6,1.51,09038
9,39,395,378,95.7,9,2.28,8,2.03,09039
9,40,408,384,94.12,13,3.19,11,2.7,09040
9,41,308,295,95.78,5,1.62,8,2.6,09041
9,42,373,357,95.71,7,1.88,9,2.41,09042
9,43,327,312,95.41,9,2.75,6,1.83,09043
9,44,323,308,95.36,6,1.86,9,2.79,09044
9,45,296,284,95.95,6,2.03,6,2.03,09045
9,46,368,344,93.48,14,3.8,10,2.72,09046
9,47,389,377,96.92,6,1.54,6,1.54,09047
9,48,428,402,93.93,8,1.87,18,4.21,09048
9,49,406,388,95.57,10,2.46,8,1.97,09049
9,50,495,477,96.36,9,1.82,9,1.82,09050
9,51,364,341,93.68,12,3.3,11,3.02,09051
10,1,340,309,90.88,18,5.29,13,3.82,10001
10,2,388,271,69.85,104,26.8,13,3.35,10002
10,3,383,278,72.58,94,24.54,11,2.87,10003
10,4,284,258,90.85,13,4.58,13,4.58,10004
10,5,301,214,71.1,82,27.24,5,1.66,10005
10,6,303,257,84.82,36,11.88,10,3.3,10006
10,7,268,232,86.57,32,11.94,4,1.49,10007
10,8,233,211,90.56,13,5.58,9,3.86,10008
10,9,351,257,73.22,89,25.36,5,1.42,10009
10,10,380,310,81.58,60,15.79,10,2.63,10010
10,11,423,370,87.47,40,9.46,13,3.07,10011
10,12,242,200,82.64,38,15.7,4,1.65,10012
10,13,336,313,93.15,18,5.36,5,1.49,10013
10,14,455,384,84.4,65,14.29,6,1.32,10014
10,15,674,647,95.99,10,1.48,17,2.52,10015
10,16,281,210,74.73,55,19.57,16,5.69,10016
10,17,489,360,73.62,112,22.9,17,3.48,10017
10,18,237,223,94.09,6,2.53,8,3.38,10018
10,19,379,288,75.99,79,20.84,12,3.17,10019
10,20,408,323,79.17,68,16.67,17,4.17,10020
10,21,368,316,85.87,45,12.23,7,1.9,10021
10,22,213,197,92.49,14,6.57,2,0.94,10022
10,23,320,288,90.0,21,6.56,11,3.44,10023
10,24,372,255,68.55,112,30.11,5,1.34,10024
10,25,103,99,96.12,1,0.97,3,2.91,10025
10,26,277,253,91.34,17,6.14,7,2.53,10026
10,27,356,322,90.45,21,5.9,13,3.65,10027
10,28,400,346,86.5,46,11.5,8,2.0,10028
10,29,328,285,86.89,36,10.98,7,2.13,10029
10,30,309,276,89.32,23,7.44,10,3.24,10030
10,31,274,257,93.8,14,5.11,3,1.09,10031
10,32,374,307,82.09,60,16.04,7,1.87,10032
10,33,251,223,88.84,23,9.16,5,1.99,10033
10,34,257,240,93.39,13,5.06,4,1.56,10034
10,35,433,326,75.29,98,22.63,9,2.08,10035
10,36,98,88,89.8,8,8.16,2,2.04,10036
11,1,434,328,75.58,79,18.2,27,6.22,11001
11,2,33,27,81.82,5,15.15,1,3.03,11002
11,3,444,397,89.41,26,5.86,21,4.73,11003
11,4,367,295,80.38,61,16.62,11,3.0,11004
11,5,556,473,85.07,58,10.43,25,4.5,11005
11,6,725,603,83.17,98,13.52,24,3.31,11006
11,7,679,604,88.95,61,8.98,14,2.06,11007
11,8,436,363,83.26,56,12.84,17,3.9,11008
11,9,356,274,76.97,67,18.82,15,4.21,11009
11,10,403,330,81.89,58,14.39,15,3.72,11010
11,11,479,369,77.04,93,19.42,17,3.55,11011
11,12,585,419,71.62,148,25.3,18,3.08,11012
11,13,526,353,67.11,155,29.47,18,3.42,11013
11,14,245,173,70.61,64,26.12,8,3.27,11014
11,15,170,137,80.59,29,17.06,4,2.35,11015
11,16,301,218,72.43,73,24.25,10,3.32,11016
11,17,541,436,80.59,81,14.97,24,4.44,11017
11,18,334,274,82.04,55,16.47,5,1.5,11018
11,19,547,461,84.28,68,12.43,18,3.29,11019
11,20,302,256,84.77,44,14.57,2,0.66,11020
11,21,556,442,79.5,100,17.99,14,2.52,11021
11,22,498,384,77.11,92,18.47,22,4.42,11022
11,23,268,211,78.73,50,18.66,7,2.61,11023
11,24,495,402,81.21,82,16.57,11,2.22,11024
11,25,570,446,78.25,106,18.6,18,3.16,11025
11,26,516,398,77.13,103,19.96,15,2.91,11026
11,27,148,123,83.11,22,14.86,3,2.03,11027
11,28,197,144,73.1,44,22.34,9,4.57,11028
11,29,482,386,80.08,83,17.22,13,2.7,11029
11,30,227,167,73.57,52,22.91,8,3.52,11030
11,31,429,303,70.63,110,25.64,16,3.73,11031
11,32,219,150,68.49,62,28.31,7,3.2,11032
11,33,564,455,80.67,92,16.31,17,3.01,11033
11,34,171,131,76.61,33,19.3,7,4.09,11034
11,35,123,97,78.86,23,18.7,3,2.44,11035
11,36,183,150,81.97,29,15.85,4,2.19,11036
11,37,127,103,81.1,15,11.81,9,7.09,11037
11,38,242,210,86.78,23,9.5,9,3.72,11038
12,1,366,316,86.34,33,9.02,17,4.64,12001
12,2,346,307,88.73,30,8.67,9,2.6,12002
12,3,492,423,85.98,49,9.96,20,4.07,12003
12,4,414,356,85.99,38,9.18,20,4.83,12004
12,5,344,259,75.29,68,19.77,17,4.94,12005
12,6,385,334,86.75,44,11.43,7,1.82,12006
12,7,345,316,91.59,18,5.22,11,3.19,12007
12,8,414,351,84.78,47,11.35,16,3.86,12008
12,9,323,271,83.9,42,13.0,10,3.1,12009
12,10,437,399,91.3,17,3.89,21,4.81,12010
12,11,381,350,91.86,20,5.25,11,2.89,12011
12,12,382,329,86.13,36,9.42,17,4.45,12012
12,13,374,332,88.77,30,8.02,12,3.21,12013
12,14,339,319,94.1,10,2.95,10,2.95,12014
12,15,294,274,93.2,14,4.76,6,2.04,12015
12,16,342,308,90.06,15,4.39,19,5.56,12016
12,17,373,331,88.74,33,8.85,9,2.41,12017
12,18,324,291,89.81,12,3.7,21,6.48,12018
12,19,384,333,86.72,38,9.9,13,3.39,12019
12,20,452,389,86.06,42,9.29,21,4.65,12020
12,21,365,315,86.3,33,9.04,17,4.66,12021
12,22,306,284,92.81,12,3.92,10,3.27,12022
12,23,385,320,83.12,48,12.47,17,4.42,12023
13,1,299,218,72.91,73,24.41,8,2.68,13001
13,2,308,219,71.1,79,25.65,10,3.25,13002
13,3,283,253,89.4,28,9.89,2,0.71,13003
13,4,363,254,69.97,98,27.0,11,3.03,13004
