ward,precinct,total,Preston Jones Jr.,Preston Jones Jr. Percent,precinct_id
6,32,314,314,100.0,06032
6,33,340,340,100.0,06033
6,34,349,349,100.0,06034
6,35,319,319,100.0,06035
6,36,413,413,100.0,06036
6,37,361,361,100.0,06037
6,38,363,363,100.0,06038
6,39,277,277,100.0,06039
6,40,321,321,100.0,06040
6,41,348,348,100.0,06041
6,42,344,344,100.0,06042
6,43,305,305,100.0,06043
6,44,321,321,100.0,06044
6,45,362,362,100.0,06045
6,46,232,232,100.0,06046
6,47,254,254,100.0,06047
6,48,355,355,100.0,06048
7,1,308,308,100.0,07001
7,2,317,317,100.0,07002
7,3,355,355,100.0,07003
7,4,342,342,100.0,07004
7,5,275,275,100.0,07005
7,6,433,433,100.0,07006
7,7,310,310,100.0,07007
7,8,284,284,100.0,07008
7,9,565,565,100.0,07009
7,10,378,378,100.0,07010
7,11,345,345,100.0,07011
7,12,290,290,100.0,07012
7,13,201,201,100.0,07013
7,14,354,354,100.0,07014
7,15,323,323,100.0,07015
7,16,259,259,100.0,07016
7,17,275,275,100.0,07017
7,18,276,276,100.0,07018
7,19,305,305,100.0,07019
7,20,249,249,100.0,07020
7,21,249,249,100.0,07021
7,22,274,274,100.0,07022
7,23,326,326,100.0,07023
7,24,255,255,100.0,07024
7,25,255,255,100.0,07025
7,26,273,273,100.0,07026
7,27,260,260,100.0,07027
7,28,238,238,100.0,07028
7,29,275,275,100.0,07029
7,30,229,229,100.0,07030
7,31,214,214,100.0,07031
7,32,442,442,100.0,07032
7,33,448,448,100.0,07033
7,34,391,391,100.0,07034
7,35,341,341,100.0,07035
7,36,404,404,100.0,07036
7,37,343,343,100.0,07037
7,38,288,288,100.0,07038
7,39,299,299,100.0,07039
7,40,281,281,100.0,07040
7,41,329,329,100.0,07041
7,42,274,274,100.0,07042
7,43,322,322,100.0,07043
7,44,276,276,100.0,07044
7,45,288,288,100.0,07045
7,46,133,133,100.0,07046
8,1,283,283,100.0,08001
8,2,320,320,100.0,08002
8,3,402,402,100.0,08003
8,4,403,403,100.0,08004
8,5,389,389,100.0,08005
8,6,367,367,100.0,08006
8,7,407,407,100.0,08007
8,8,338,338,100.0,08008
8,9,238,238,100.0,08009
8,10,453,453,100.0,08010
8,11,288,288,100.0,08011
8,12,310,310,100.0,08012
8,13,389,389,100.0,08013
8,14,250,250,100.0,08014
8,15,313,313,100.0,08015
8,16,96,96,100.0,08016
8,17,316,316,100.0,08017
8,18,320,320,100.0,08018
8,19,376,376,100.0,08019
8,20,389,389,100.0,08020
8,21,430,430,100.0,08021
8,22,321,321,100.0,08022
8,23,298,298,100.0,08023
8,24,208,208,100.0,08024
8,25,334,334,100.0,08025
8,26,311,311,100.0,08026
8,27,389,389,100.0,08027
8,28,360,360,100.0,08028
8,29,397,397,100.0,08029
8,30,353,353,100.0,08030
8,31,260,260,100.0,08031
8,32,281,281,100.0,08032
8,33,324,324,100.0,08033
8,34,330,330,100.0,08034
8,35,377,377,100.0,08035
8,36,364,364,100.0,08036
8,37,295,295,100.0,08037
8,38,225,225,100.0,08038
8,39,339,339,100.0,08039
8,40,276,276,100.0,08040
8,41,383,383,100.0,08041
8,42,432,432,100.0,08042
8,43,177,177,100.0,08043
8,44,235,235,100.0,08044
8,45,329,329,100.0,08045
8,46,276,276,100.0,08046
8,47,278,278,100.0,08047
8,48,318,318,100.0,08048
8,49,330,330,100.0,08049
8,50,349,349,100.0,08050
8,51,386,386,100.0,08051
8,52,434,434,100.0,08052
8,53,198,198,100.0,08053
8,54,286,286,100.0,08054
8,55,282,282,100.0,08055
8,56,349,349,100.0,08056
9,1,329,329,100.0,09001
9,2,307,307,100.0,09002
9,3,242,242,100.0,09003
9,4,251,251,100.0,09004
9,5,319,319,100.0,09005
9,6,311,311,100.0,09006
9,7,264,264,100.0,09007
9,8,315,315,100.0,09008
9,9,345,345,100.0,09009
9,10,260,260,100.0,09010
9,11,211,211,100.0,09011
9,12,361,361,100.0,09012
9,13,378,378,100.0,09013
9,14,404,404,100.0,09014
9,15,360,360,100.0,09015
9,16,306,306,100.0,09016
9,17,214,214,100.0,09017
9,18,242,242,100.0,09018
9,19,310,310,100.0,09019
9,20,313,313,100.0,09020
9,21,282,282,100.0,09021
9,22,328,328,100.0,09022
9,23,380,380,100.0,09023
9,24,333,333,100.0,09024
9,25,337,337,100.0,09025
9,26,347,347,100.0,09026
9,27,288,288,100.0,09027
9,28,191,191,100.0,09028
9,29,273,273,100.0,09029
9,30,260,260,100.0,09030
9,31,243,243,100.0,09031
9,32,338,338,100.0,09032
9,33,243,243,100.0,09033
9,34,244,244,100.0,09034
9,35,337,337,100.0,09035
9,36,265,265,100.0,09036
9,37,421,421,100.0,09037
9,38,337,337,100.0,09038
9,39,362,362,100.0,09039
9,40,357,357,100.0,09040
9,41,268,268,100.0,09041
9,42,333,333,100.0,09042
9,43,282,282,100.0,09043
9,44,296,296,100.0,09044
9,45,256,256,100.0,09045
9,46,323,323,100.0,09046
9,47,336,336,100.0,09047
9,48,382,382,100.0,09048
9,49,356,356,100.0,09049
9,50,434,434,100.0,09050
9,51,337,337,100.0,09051
10,1,276,276,100.0,10001
10,2,244,244,100.0,10002
10,3,265,265,100.0,10003
10,4,222,222,100.0,10004
10,5,213,213,100.0,10005
10,6,212,212,100.0,10006
10,7,208,208,100.0,10007
10,8,188,188,100.0,10008
10,9,213,213,100.0,10009
10,10,260,260,100.0,10010
10,11,330,330,100.0,10011
10,12,174,174,100.0,10012
10,13,268,268,100.0,10013
10,14,344,344,100.0,10014
10,15,592,592,100.0,10015
10,16,210,210,100.0,10016
10,17,341,341,100.0,10017
10,18,191,191,100.0,10018
10,19,266,266,100.0,10019
10,20,293,293,100.0,10020
10,21,280,280,100.0,10021
10,22,170,170,100.0,10022
10,23,242,242,100.0,10023
10,24,244,244,100.0,10024
10,25,90,90,100.0,10025
10,26,207,207,100.0,10026
10,27,295,295,100.0,10027
10,28,310,310,100.0,10028
10,29,255,255,100.0,10029
10,30,244,244,100.0,10030
10,31,212,212,100.0,10031
10,32,273,273,100.0,10032
10,33,199,199,100.0,10033
10,34,201,201,100.0,10034
10,35,286,286,100.0,10035
10,36,73,73,100.0,10036
11,1,307,307,100.0,11001
11,2,27,27,100.0,11002
11,3,344,344,100.0,11003
11,4,276,276,100.0,11004
11,5,446,446,100.0,11005
11,6,551,551,100.0,11006
11,7,575,575,100.0,11007
11,8,328,328,100.0,11008
11,9,264,264,100.0,11009
11,10,288,288,100.0,11010
11,11,340,340,100.0,11011
11,12,369,369,100.0,11012
11,13,314,314,100.0,11013
11,14,159,159,100.0,11014
11,15,122,122,100.0,11015
11,16,195,195,100.0,11016
11,17,417,417,100.0,11017
11,18,227,227,100.0,11018
11,19,421,421,100.0,11019
11,20,217,217,100.0,11020
11,21,416,416,100.0,11021
11,22,354,354,100.0,11022
11,23,193,193,100.0,11023
11,24,374,374,100.0,11024
11,25,429,429,100.0,11025
11,26,360,360,100.0,11026
11,27,109,109,100.0,11027
11,28,140,140,100.0,11028
11,29,338,338,100.0,11029
11,30,148,148,100.0,11030
11,31,303,303,100.0,11031
11,32,139,139,100.0,11032
11,33,437,437,100.0,11033
11,34,99,99,100.0,11034
11,35,71,71,100.0,11035
11,36,129,129,100.0,11036
11,37,88,88,100.0,11037
11,38,190,190,100.0,11038
12,1,301,301,100.0,12001
12,2,249,249,100.0,12002
12,3,394,394,100.0,12003
12,4,338,338,100.0,12004
12,5,237,237,100.0,12005
12,6,300,300,100.0,12006
12,7,283,283,100.0,12007
12,8,320,320,100.0,12008
12,9,246,246,100.0,12009
12,10,370,370,100.0,12010
12,11,309,309,100.0,12011
12,12,300,300,100.0,12012
12,13,287,287,100.0,12013
12,14,291,291,100.0,12014
12,15,235,235,100.0,12015
12,16,270,270,100.0,12016
12,17,300,300,100.0,12017
12,18,258,258,100.0,12018
12,19,289,289,100.0,12019
12,20,358,358,100.0,12020
12,21,286,286,100.0,12021
12,22,251,251,100.0,12022
12,23,313,313,100.0,12023
13,1,213,213,100.0,13001
13,2,211,211,100.0,13002
13,3,222,222,100.0,13003
13,4,248,248,100.0,13004
13,5,319,319,100.0,13005
13,6,222,222,100.0,13006
13,7,213,213,100.0,13007
13,8,205,205,100.0,13008
13,9,279,279,100.0,13009
13,10,212,212,100.0,13010
13,11,280,280,100.0,13011
13,12,234,234,100.0,13012
13,13,281,281,100.0,13013
13,14,272,272,100.0,13014
13,15,405,405,100.0,13015
13,16,186,186,100.0,13016
13,17,218,218,100.0,13017
13,18,191,191,100.0,13018
13,19,318,318,100.0,13019
13,20,137,137,100.0,13020
13,21,247,247,100.0,13021
13,22,255,255,100.0,13022
13,23,194,194,100.0,13023
13,24,260,260,100.0,13024
13,25,269,269,100.0,13025
13,26,257,257,100.0,13026
13,27,250,250,100.0,13027
13,28,214,214,100.0,13028
13,29,207,207,100.0,13029
13,30,228,228,100.0,13030
13,31,259,259,100.0,13031
13,32,183,183,100.0,13032
13,33,248,248,100.0,13033
13,34,328,328,100.0,13034
13,35,248,248,100.0,13035
13,36,172,172,100.0,13036
13,37,307,307,100.0,13037
13,38,199,199,100.0,13038
13,39,276,276,100.0,13039
13,40,270,270,100.0,13040
13,41,309,309,100.0,13041
13,42,217,217,100.0,13042
13,43,267,267,100.0,13043
13,44,271,271,100.0,13044
13,45,283,283,100.0,13045
13,46,328,328,100.0,13046
13,47,294,294,100.0,13047
13,48,220,220,100.0,13048
14,1,260,260,100.0,14001
14,2,367,367,100.0,14002
14,3,294,294,100.0,14003
14,4,251,251,100.0,14004
14,5,384,384,100.0,14005
14,6,135,135,100.0,14006
14,7,333,333,100.0,14007
14,8,299,299,100.0,14008
14,9,315,315,100.0,14009
14,10,193,193,100.0,14010
14,11,177,177,100.0,14011
14,12,313,313,100.0,14012
14,13,251,251,100.0,14013
14,14,272,272,100.0,14014
14,15,320,320,100.0,14015
14,16,196,196,100.0,14016
14,17,234,234,100.0,14017
14,18,113,113,100.0,14018
14,19,270,270,100.0,14019
14,20,210,210,100.0,14020
14,21,268,268,100.0,14021
14,22,364,364,100.0,14022
14,23,222,222,100.0,14023
14,24,311,311,100.0,14024
14,25,161,161,100.0,14025
14,26,221,221,100.0,14026
14,27,270,270,100.0,14027
14,28,219,219,100.0,14028
14,29,232,232,100.0,14029
14,30,165,165,100.0,14030
14,31,182,182,100.0,14031
15,1,261,261,100.0,15001
15,2,184,184,100.0,15002
15,3,198,198,100.0,15003
15,4,278,278,100.0,15004
15,5,248,248,100.0,15005
15,6,256,256,100.0,15006
15,7,191,191,100.0,15007
15,8,234,234,100.0,15008
15,9,320,320,100.0,15009
15,10,359,359,100.0,15010
15,11,305,305,100.0,15011
15,12,322,322,100.0,15012
15,13,256,256,100.0,15013
15,14,240,240,100.0,15014
15,15,208,208,100.0,15015
15,16,291,291,100.0,15016
15,17,222,222,100.0,15017
15,18,177,177,100.0,15018
15,19,233,233,100.0,15019
15,20,210,210,100.0,15020
15,21,185,185,100.0,15021
15,22,221,221,100.0,15022
15,23,225,225,100.0,15023
15,24,171,171,100.0,15024
16,1,320,320,100.0,16001
16,2,236,236,100.0,16002
16,3,203,203,100.0,16003
16,4,236,236,100.0,16004
16,5,168,168,100.0,16005
16,6,238,238,100.0,16006
16,7,212,212,100.0,16007
16,8,162,162,100.0,16008
16,9,250,250,100.0,16009
16,10,206,206,100.0,16010
16,11,234,234,100.0,16011
16,12,200,200,100.0,16012
16,13,219,219,100.0,16013
16,14,186,186,100.0,16014
16,15,256,256,100.0,16015
16,16,222,222,100.0,16016
16,17,285,285,100.0,16017
16,18,249,249,100.0,16018
16,19,203,203,100.0,16019
16,20,195,195,100.0,16020
16,21,202,202,100.0,16021
16,22,197,197,100.0,16022
16,23,263,263,100.0,16023
16,24,130,130,100.0,16024
16,25,267,267,100.0,16025
16,26,186,186,100.0,16026
16,27,192,192,100.0,16027
16,28,202,202,100.0,16028
16,29,222,222,100.0,16029
16,30,194,194,100.0,16030
16,31,250,250,100.0,16031
16,32,256,256,100.0,16032
16,33,219,219,100.0,16033
16,34,221,221,100.0,16034
16,35,295,295,100.0,16035
16,36,191,191,100.0,16036
17,1,301,301,100.0,17001
17,2,291,291,100.0,17002
17,3,291,291,100.0,17003
17,4,366,366,100.0,17004
17,5,207,207,100.0,17005
17,6,247,247,100.0,17006
17,7,246,246,100.0,17007
17,8,236,236,100.0,17008
17,9,233,233,100.0,17009
17,10,380,380,100.0,17010
17,11,229,229,100.0,17011
17,12,379,379,100.0,17012
17,13,253,253,100.0,17013
17,14,351,351,100.0,17014
17,15,324,324,100.0,17015
17,16,287,287,100.0,17016
17,17,266,266,100.0,17017
17,18,341,341,100.0,17018
17,19,171,171,100.0,17019
17,20,387,387,100.0,17020
17,21,396,396,100.0,17021
17,22,262,262,100.0,17022
17,23,192,192,100.0,17023
17,24,312,312,100.0,17024
17,25,228,228,100.0,17025
17,26,303,303,100.0,17026
17,27,280,280,100.0,17027
17,28,229,229,100.0,17028
17,29,293,293,100.0,17029
17,30,214,214,100.0,17030
17,31,184,184,100.0,17031
17,32,231,231,100.0,17032
17,33,193,193,100.0,17033
17,34,224,224,100.0,17034
17,35,199,199,100.0,17035
17,36,278,278,100.0,17036
17,37,255,255,100.0,17037
17,38,278,278,100.0,17038
17,39,285,285,100.0,17039
17,40,308,308,100.0,17040
17,41,374,374,100.0,17041
18,1,299,299,100.0,18001
18,2,272,272,100.0,18002
18,3,265,265,100.0,18003
18,4,353,353,100.0,18004
18,5,204,204,100.0,18005
18,6,246,246,100.0,18006
18,7,309,309,100.0,18007
18,8,326,326,100.0,18008
18,9,318,318,100.0,18009
18,10,449,449,100.0,18010
18,11,264,264,100.0,18011
18,12,322,322,100.0,18012
18,13,346,346,100.0,18013
18,14,353,353,100.0,18014
18,15,354,354,100.0,18015
18,16,318,318,100.0,18016
18,17,323,323,100.0,18017
18,18,277,277,100.0,18018
18,19,318,318,100.0,18019
18,20,264,264,100.0,18020
18,21,396,396,100.0,18021
18,22,390,390,100.0,18022
18,23,316,316,100.0,18023
18,24,285,285,100.0,18024
18,25,295,295,100.0,18025
18,26,410,410,100.0,18026
18,27,268,268,100.0,18027
18,28,273,273,100.0,18028
18,29,350,350,100.0,18029
18,30,327,327,100.0,18030
18,31,351,351,100.0,18031
18,32,337,337,100.0,18032
18,33,243,243,100.0,18033
18,34,394,394,100.0,18034
18,35,394,394,100.0,18035
18,36,340,340,100.0,18036
18,37,391,391,100.0,18037
18,38,322,322,100.0,18038
18,39,252,252,100.0,18039
18,40,346,346,100.0,18040
18,41,397,397,100.0,18041
18,42,283,283,100.0,18042
18,43,217,217,100.0,18043
18,44,256,256,100.0,18044
18,45,290,290,100.0,18045
18,46,313,313,100.0,18046
18,47,242,242,100.0,18047
18,48,275,275,100.0,18048
18,49,196,196,100.0,18049
18,50,236,236,100.0,18050
19,1,236,236,100.0,19001
19,2,499,499,100.0,19002
19,3,175,175,100.0,19003
19,4,291,291,100.0,19004
19,5,372,372,100.0,19005
19,6,277,277,100.0,19006
19,7,261,261,100.0,19007
19,8,265,265,100.0,19008
19,9,198,198,100.0,19009
19,10,419,419,100.0,19010
19,11,204,204,100.0,19011
19,12,176,176,100.0,19012
19,13,452,452,100.0,19013
19,14,407,407,100.0,19014
19,15,297,297,100.0,19015
19,16,264,264,100.0,19016
19,17,245,245,100.0,19017
19,18,322,322,100.0,19018
19,19,445,445,100.0,19019
19,20,321,321,100.0,19020
19,21,228,228,100.0,19021
19,22,365,365,100.0,19022
19,23,296,296,100.0,19023
19,24,173,173,100.0,19024
19,25,317,317,100.0,19025
19,26,317,317,100.0,19026
19,27,383,383,100.0,19027
19,28,436,436,100.0,19028
19,29,258,258,100.0,19029
19,30,249,249,100.0,19030
19,31,282,282,100.0,19031
19,32,257,257,100.0,19032
19,33,271,271,100.0,19033
19,34,311,311,100.0,19034
19,35,315,315,100.0,19035
19,36,506,506,100.0,19036
19,37,348,348,100.0,19037
19,38,321,321,100.0,19038
19,39,155,155,100.0,19039
19,40,348,348,100.0,19040
19,41,220,220,100.0,19041
19,42,309,309,100.0,19042
19,43,521,521,100.0,19043
19,44,280,280,100.0,19044
19,45,289,289,100.0,19045
19,46,303,303,100.0,19046
19,47,518,518,100.0,19047
19,48,431,431,100.0,19048
19,49,442,442,100.0,19049
19,50,248,248,100.0,19050
19,51,325,325,100.0,19051
19,52,270,270,100.0,19052
19,53,281,281,100.0,19053
19,54,194,194,100.0,19054
19,55,202,202,100.0,19055
19,56,383,383,100.0,19056
19,57,281,281,100.0,19057
20,1,313,313,100.0,20001
20,2,125,125,100.0,20002
20,3,274,274,100.0,20003
20,4,141,141,100.0,20004
20,5,368,368,100.0,20005
20,6,136,136,100.0,20006
20,7,330,330,100.0,20007
20,8,293,293,100.0,20008
20,9,472,472,100.0,20009
20,10,220,220,100.0,20010
20,11,437,437,100.0,20011
20,12,256,256,100.0,20012
20,13,343,343,100.0,20013
20,14,148,148,100.0,20014
20,15,248,248,100.0,20015
20,16,367,367,100.0,20016
20,17,169,169,100.0,20017
20,18,221,221,100.0,20018
20,19,331,331,100.0,20019
20,20,199,199,100.0,20020
20,21,223,223,100.0,20021
20,22,418,418,100.0,20022
20,23,350,350,100.0,20023
20,24,368,368,100.0,20024
20,25,209,209,100.0,20025
20,26,337,337,100.0,20026
20,27,164,164,100.0,20027
20,28,207,207,100.0,20028
20,29,356,356,100.0,20029
20,30,139,139,100.0,20030
20,31,371,371,100.0,20031
20,32,304,304,100.0,20032
20,33,189,189,100.0,20033
20,34,544,544,100.0,20034
20,35,217,217,100.0,20035
20,36,107,107,100.0,20036
20,37,90,90,100.0,20037
20,38,103,103,100.0,20038
20,39,24,24,100.0,20039
21,1,372,372,100.0,21001
21,2,256,256,100.0,21002
21,3,360,360,100.0,21003
21,4,317,317,100.0,21004
21,5,365,365,100.0,21005
21,6,288,288,100.0,21006
21,7,344,344,100.0,21007
21,8,346,346,100.0,21008
21,9,367,367,100.0,21009
21,10,296,296,100.0,21010
21,11,313,313,100.0,21011
21,12,313,313,100.0,21012
21,13,316,316,100.0,21013
21,14,355,355,100.0,21014
21,15,303,303,100.0,21015
21,16,313,313,100.0,21016
21,17,305,305,100.0,21017
21,18,364,364,100.0,21018
21,19,353,353,100.0,21019
21,20,275,275,100.0,21020
21,21,278,278,100.0,21021
21,22,292,292,100.0,21022
21,23,292,292,100.0,21023
21,24,343,343,100.0,21024
21,25,291,291,100.0,21025
21,26,320,320,100.0,21026
21,27,335,335,100.0,21027
21,28,402,402,100.0,21028
21,29,372,372,100.0,21029
21,30,262,262,100.0,21030
21,31,239,239,100.0,21031
21,32,298,298,100.0,21032
21,33,297,297,100.0,21033
21,34,299,299,100.0,21034
21,35,389,389,100.0,21035
21,36,314,314,100.0,21036
21,37,248,248,100.0,21037
21,38,312,312,100.0,21038
21,39,278,278,100.0,21039
21,40,300,300,100.0,21040
21,41,333,333,100.0,21041
21,42,344,344,100.0,21042
21,43,328,328,100.0,21043
21,44,334,334,100.0,21044
21,45,301,301,100.0,21045
21,46,355,355,100.0,21046
21,47,316,316,100.0,21047
21,48,316,316,100.0,21048
21,49,375,375,100.0,21049
21,50,258,258,100.0,21050
21,51,317,317,100.0,21051
21,52,299,299,100.0,21052
21,53,271,271,100.0,21053
21,54,279,279,100.0,21054
22,1,183,183,100.0,22001
22,2,320,320,100.0,22002
22,3,354,354,100.0,22003
22,4,212,212,100.0,22004
22,5,241,241,100.0,22005
22,6,259,259,100.0,22006
22,7,197,197,100.0,22007
22,8,370,370,100.0,22008
22,9,207,207,100.0,22009
22,10,342,342,100.0,22010
22,11,208,208,100.0,22011
22,12,257,257,100.0,22012
22,13,257,257,100.0,22013
22,14,210,210,100.0,22014
22,15,218,218,100.0,22015
22,16,238,238,100.0,22016
22,17,258,258,100.0,22017
22,18,224,224,100.0,22018
22,19,145,145,100.0,22019
22,20,238,238,100.0,22020
22,21,288,288,100.0,22021
22,22,250,250,100.0,22022
22,23,382,382,100.0,22023
22,24,279,279,100.0,22024
22,25,261,261,100.0,22025
23,1,206,206,100.0,23001
23,2,243,243,100.0,23002
23,3,227,227,100.0,23003
23,4,276,276,100.0,23004
23,5,286,286,100.0,23005
23,6,296,296,100.0,23006
23,7,227,227,100.0,23007
23,8,316,316,100.0,23008
23,9,232,232,100.0,23009
23,10,315,315,100.0,23010
23,11,305,305,100.0,23011
23,12,243,243,100.0,23012
23,13,247,247,100.0,23013
23,14,215,215,100.0,23014
23,15,241,241,100.0,23015
