ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,precinct_id
9,37,421,421,100.0,09037
9,42,331,331,100.0,09042
9,46,41,41,100.0,09046
9,47,346,346,100.0,09047
9,48,398,398,100.0,09048
9,49,359,359,100.0,09049
9,50,448,448,100.0,09050
9,51,339,339,100.0,09051
10,1,299,299,100.0,10001
10,2,276,276,100.0,10002
10,3,281,281,100.0,10003
10,4,242,242,100.0,10004
10,5,225,225,100.0,10005
10,6,237,237,100.0,10006
10,7,225,225,100.0,10007
10,8,208,208,100.0,10008
10,9,240,240,100.0,10009
10,10,290,290,100.0,10010
10,11,354,354,100.0,10011
10,12,198,198,100.0,10012
10,13,287,287,100.0,10013
10,14,366,366,100.0,10014
10,15,633,633,100.0,10015
10,16,221,221,100.0,10016
10,17,369,369,100.0,10017
10,18,204,204,100.0,10018
10,19,293,293,100.0,10019
10,20,304,304,100.0,10020
10,21,304,304,100.0,10021
10,22,185,185,100.0,10022
10,23,272,272,100.0,10023
10,24,267,267,100.0,10024
10,25,96,96,100.0,10025
10,26,235,235,100.0,10026
10,27,321,321,100.0,10027
10,28,347,347,100.0,10028
10,29,281,281,100.0,10029
10,30,263,263,100.0,10030
10,31,237,237,100.0,10031
10,32,298,298,100.0,10032
10,33,223,223,100.0,10033
10,34,224,224,100.0,10034
10,35,317,317,100.0,10035
10,36,78,78,100.0,10036
18,19,7,7,100.0,18019
18,32,356,356,100.0,18032
21,1,378,378,100.0,21001
21,2,261,261,100.0,21002
21,3,384,384,100.0,21003
21,5,384,384,100.0,21005
21,6,293,293,100.0,21006
21,7,351,351,100.0,21007
21,8,359,359,100.0,21008
21,9,388,388,100.0,21009
21,10,307,307,100.0,21010
21,11,323,323,100.0,21011
21,12,327,327,100.0,21012
21,13,334,334,100.0,21013
21,14,367,367,100.0,21014
21,16,327,327,100.0,21016
21,17,313,313,100.0,21017
21,18,398,398,100.0,21018
21,19,368,368,100.0,21019
21,20,305,305,100.0,21020
21,21,288,288,100.0,21021
21,22,303,303,100.0,21022
21,23,308,308,100.0,21023
21,24,352,352,100.0,21024
21,25,301,301,100.0,21025
21,27,342,342,100.0,21027
21,29,403,403,100.0,21029
21,31,249,249,100.0,21031
21,32,329,329,100.0,21032
21,33,299,299,100.0,21033
21,34,279,279,100.0,21034
21,35,406,406,100.0,21035
21,36,318,318,100.0,21036
21,37,252,252,100.0,21037
21,38,321,321,100.0,21038
21,39,291,291,100.0,21039
21,40,318,318,100.0,21040
21,41,345,345,100.0,21041
21,42,389,389,100.0,21042
21,43,41,41,100.0,21043
21,44,349,349,100.0,21044
21,45,326,326,100.0,21045
21,46,380,380,100.0,21046
21,48,338,338,100.0,21048
21,49,383,383,100.0,21049
21,50,286,286,100.0,21050
21,52,72,72,100.0,21052
21,53,279,279,100.0,21053
