ward,precinct,total,John P. Daley,John P. Daley Percent,Steven S. Graves,Steven S. Graves Percent,precinct_id
13,22,375,255,68.0,120,32.0,13022
13,23,248,224,90.32,24,9.68,13023
13,24,333,271,81.38,62,18.62,13024
13,25,332,287,86.45,45,13.55,13025
13,26,312,243,77.88,69,22.12,13026
13,27,309,242,78.32,67,21.68,13027
13,29,254,218,85.83,36,14.17,13029
13,30,72,69,95.83,3,4.17,13030
13,31,367,257,70.03,110,29.97,13031
13,32,279,184,65.95,95,34.05,13032
13,33,347,248,71.47,99,28.53,13033
13,35,232,208,89.66,24,10.34,13035
13,36,203,176,86.7,27,13.3,13036
13,37,366,322,87.98,44,12.02,13037
13,38,293,201,68.6,92,31.4,13038
13,39,282,259,91.84,23,8.16,13039
13,40,293,247,84.3,46,15.7,13040
13,41,359,331,92.2,28,7.8,13041
13,42,328,224,68.29,104,31.71,13042
13,43,337,280,83.09,57,16.91,13043
13,44,343,317,92.42,26,7.58,13044
13,45,383,298,77.81,85,22.19,13045
13,46,271,243,89.67,28,10.33,13046
13,47,351,316,90.03,35,9.97,13047
13,48,303,216,71.29,87,28.71,13048
14,1,418,269,64.35,149,35.65,14001
14,4,375,256,68.27,119,31.73,14004
14,9,430,324,75.35,106,24.65,14009
14,22,16,12,75.0,4,25.0,14022
14,23,299,242,80.94,57,19.06,14023
14,24,446,306,68.61,140,31.39,14024
15,3,28,27,96.43,1,3.57,15003
15,16,100,97,97.0,3,3.0,15016
15,19,5,5,100.0,0,0.0,15019
16,2,268,254,94.78,14,5.22,16002
16,7,242,230,95.04,12,4.96,16007
16,8,176,166,94.32,10,5.68,16008
16,10,20,20,100.0,0,0.0,16010
16,11,262,249,95.04,13,4.96,16011
16,12,225,214,95.11,11,4.89,16012
16,13,125,118,94.4,7,5.6,16013
16,17,136,124,91.18,12,8.82,16017
16,18,288,276,95.83,12,4.17,16018
16,19,229,220,96.07,9,3.93,16019
16,21,29,28,96.55,1,3.45,16021
16,22,10,10,100.0,0,0.0,16022
16,23,101,96,95.05,5,4.95,16023
17,1,322,301,93.48,21,6.52,17001
17,7,259,239,92.28,20,7.72,17007
17,12,48,46,95.83,2,4.17,17012
17,16,282,263,93.26,19,6.74,17016
17,30,254,228,89.76,26,10.24,17030
18,2,335,284,84.78,51,15.22,18002
18,3,329,259,78.72,70,21.28,18003
18,6,311,237,76.21,74,23.79,18006
18,11,302,276,91.39,26,8.61,18011
18,15,394,350,88.83,44,11.17,18015
18,17,354,326,92.09,28,7.91,18017
18,24,367,310,84.47,57,15.53,18024
18,25,353,299,84.7,54,15.3,18025
18,28,355,259,72.96,96,27.04,18028
18,29,366,328,89.62,38,10.38,18029
18,30,426,341,80.05,85,19.95,18030
18,36,284,253,89.08,31,10.92,18036
18,40,397,343,86.4,54,13.6,18040
18,43,262,217,82.82,45,17.18,18043
18,44,324,233,71.91,91,28.09,18044
18,45,322,296,91.93,26,8.07,18045
18,46,391,319,81.59,72,18.41,18046
19,1,389,270,69.41,119,30.59,19001
19,2,577,505,87.52,72,12.48,19002
19,3,340,117,34.41,223,65.59,19003
19,4,481,220,45.74,261,54.26,19004
19,5,469,394,84.01,75,15.99,19005
19,6,444,242,54.5,202,45.5,19006
19,7,376,274,72.87,102,27.13,19007
19,8,473,209,44.19,264,55.81,19008
19,9,319,187,58.62,132,41.38,19009
19,10,518,403,77.8,115,22.2,19010
19,11,407,171,42.01,236,57.99,19011
19,12,354,150,42.37,204,57.63,19012
19,13,492,455,92.48,37,7.52,19013
19,14,491,404,82.28,87,17.72,19014
19,15,535,250,46.73,285,53.27,19015
19,16,455,200,43.96,255,56.04,19016
19,17,383,250,65.27,133,34.73,19017
19,18,399,320,80.2,79,19.8,19018
19,19,561,462,82.35,99,17.65,19019
19,20,357,319,89.36,38,10.64,19020
19,21,399,188,47.12,211,52.88,19021
19,22,473,364,76.96,109,23.04,19022
19,23,434,281,64.75,153,35.25,19023
19,24,308,117,37.99,191,62.01,19024
19,25,419,295,70.41,124,29.59,19025
19,26,439,328,74.72,111,25.28,19026
19,27,440,371,84.32,69,15.68,19027
19,28,477,439,92.03,38,7.97,19028
19,29,434,202,46.54,232,53.46,19029
19,30,400,175,43.75,225,56.25,19030
19,31,398,287,72.11,111,27.89,19031
19,32,384,242,63.02,142,36.98,19032
19,33,459,181,39.43,278,60.57,19033
19,34,402,307,76.37,95,23.63,19034
19,35,402,311,77.36,91,22.64,19035
19,36,576,524,90.97,52,9.03,19036
19,37,413,365,88.38,48,11.62,19037
19,38,370,321,86.76,49,13.24,19038
19,39,166,152,91.57,14,8.43,19039
19,40,443,343,77.43,100,22.57,19040
19,41,400,185,46.25,215,53.75,19041
19,42,363,288,79.34,75,20.66,19042
19,43,559,523,93.56,36,6.44,19043
19,44,474,213,44.94,261,55.06,19044
19,45,427,260,60.89,167,39.11,19045
19,46,436,288,66.06,148,33.94,19046
19,47,593,515,86.85,78,13.15,19047
19,48,464,445,95.91,19,4.09,19048
19,49,496,437,88.1,59,11.9,19049
19,50,361,250,69.25,111,30.75,19050
19,51,472,331,70.13,141,29.87,19051
19,52,461,222,48.16,239,51.84,19052
19,53,379,274,72.3,105,27.7,19053
19,54,352,166,47.16,186,52.84,19054
19,55,364,148,40.66,216,59.34,19055
19,56,469,373,79.53,96,20.47,19056
19,57,354,290,81.92,64,18.08,19057
20,4,143,140,97.9,3,2.1,20004
20,17,110,98,89.09,12,10.91,20017
20,21,198,186,93.94,12,6.06,20021
20,25,31,28,90.32,3,9.68,20025
23,1,328,208,63.41,120,36.59,23001
23,2,361,246,68.14,115,31.86,23002
23,3,350,210,60.0,140,40.0,23003
23,4,392,279,71.17,113,28.83,23004
23,6,358,300,83.8,58,16.2,23006
23,8,404,330,81.68,74,18.32,23008
23,10,171,144,84.21,27,15.79,23010
23,12,352,210,59.66,142,40.34,23012
23,14,336,222,66.07,114,33.93,23014
23,16,350,229,65.43,121,34.57,23016
23,18,288,186,64.58,102,35.42,23018
23,21,347,207,59.65,140,40.35,23021
23,22,360,263,73.06,97,26.94,23022
23,23,340,232,68.24,108,31.76,23023
23,25,286,237,82.87,49,17.13,23025
23,26,110,95,86.36,15,13.64,23026
23,27,293,175,59.73,118,40.27,23027
23,28,357,243,68.07,114,31.93,23028
23,29,299,223,74.58,76,25.42,23029
23,35,250,156,62.4,94,37.6,23035
23,36,334,223,66.77,111,33.23,23036
23,37,353,219,62.04,134,37.96,23037
23,38,315,220,69.84,95,30.16,23038
34,49,5,5,100.0,0,0.0,34049
