ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,"Jimmy Lee Tillman, II","Jimmy Lee Tillman, II Percent",Thomas Rudbeck,Thomas Rudbeck Percent,precinct_id
8,13,451,428,94.9,9,2.0,14,3.1,08013
8,14,285,273,95.79,4,1.4,8,2.81,08014
8,15,354,334,94.35,7,1.98,13,3.67,08015
8,16,121,114,94.21,5,4.13,2,1.65,08016
8,18,372,356,95.7,9,2.42,7,1.88,08018
8,19,426,406,95.31,10,2.35,10,2.35,08019
8,20,449,432,96.21,7,1.56,10,2.23,08020
8,21,494,469,94.94,10,2.02,15,3.04,08021
8,22,362,350,96.69,2,0.55,10,2.76,08022
8,23,338,327,96.75,5,1.48,6,1.78,08023
8,24,243,229,94.24,6,2.47,8,3.29,08024
8,25,389,363,93.32,10,2.57,16,4.11,08025
8,26,372,346,93.01,5,1.34,21,5.65,08026
8,27,84,79,94.05,3,3.57,2,2.38,08027
8,29,452,417,92.26,10,2.21,25,5.53,08029
8,30,415,387,93.25,11,2.65,17,4.1,08030
8,31,296,276,93.24,9,3.04,11,3.72,08031
8,33,377,356,94.43,6,1.59,15,3.98,08033
8,34,374,355,94.92,6,1.6,13,3.48,08034
8,35,431,406,94.2,6,1.39,19,4.41,08035
8,37,330,311,94.24,7,2.12,12,3.64,08037
8,38,266,258,96.99,3,1.13,5,1.88,08038
8,40,307,292,95.11,7,2.28,8,2.61,08040
8,41,455,440,96.7,7,1.54,8,1.76,08041
8,43,224,211,94.2,6,2.68,7,3.13,08043
8,44,272,257,94.49,5,1.84,10,3.68,08044
8,45,388,364,93.81,10,2.58,14,3.61,08045
8,47,326,309,94.79,7,2.15,10,3.07,08047
8,48,367,349,95.1,3,0.82,15,4.09,08048
8,49,353,332,94.05,5,1.42,16,4.53,08049
8,50,239,226,94.56,4,1.67,9,3.77,08050
8,51,432,409,94.68,4,0.93,19,4.4,08051
8,52,489,467,95.5,4,0.82,18,3.68,08052
8,54,323,313,96.9,5,1.55,5,1.55,08054
8,55,320,302,94.38,5,1.56,13,4.06,08055
8,56,398,387,97.24,4,1.01,7,1.76,08056
9,12,426,407,95.54,9,2.11,10,2.35,09012
9,23,433,415,95.84,6,1.39,12,2.77,09023
9,24,382,362,94.76,10,2.62,10,2.62,09024
9,25,370,351,94.86,8,2.16,11,2.97,09025
9,36,306,295,96.41,6,1.96,5,1.63,09036
9,42,376,357,94.95,8,2.13,11,2.93,09042
9,47,386,371,96.11,5,1.3,10,2.59,09047
9,48,426,397,93.19,13,3.05,16,3.76,09048
9,49,399,376,94.24,6,1.5,17,4.26,09049
9,50,483,460,95.24,11,2.28,12,2.48,09050
9,51,361,344,95.29,9,2.49,8,2.22,09051
13,19,365,327,89.59,16,4.38,22,6.03,13019
13,41,64,59,92.19,3,4.69,2,3.13,13041
16,6,0,0,0.0,0,0.0,0,0.0,16006
16,9,272,255,93.75,6,2.21,11,4.04,16009
16,27,3,3,100.0,0,0.0,0,0.0,16027
16,28,252,242,96.03,4,1.59,6,2.38,16028
16,30,235,219,93.19,3,1.28,13,5.53,16030
16,31,56,55,98.21,0,0.0,1,1.79,16031
16,34,49,47,95.92,1,2.04,1,2.04,16034
17,1,340,303,89.12,18,5.29,19,5.59,17001
17,2,351,335,95.44,7,1.99,9,2.56,17002
17,3,348,326,93.68,11,3.16,11,3.16,17003
17,4,433,417,96.3,6,1.39,10,2.31,17004
17,5,260,247,95.0,5,1.92,8,3.08,17005
17,6,122,117,95.9,3,2.46,2,1.64,17006
17,8,280,270,96.43,5,1.79,5,1.79,17008
17,9,275,268,97.45,2,0.73,5,1.82,17009
17,10,458,435,94.98,4,0.87,19,4.15,17010
17,11,269,260,96.65,4,1.49,5,1.86,17011
17,12,51,50,98.04,1,1.96,0,0.0,17012
17,13,0,0,0.0,0,0.0,0,0.0,17013
17,15,369,355,96.21,4,1.08,10,2.71,17015
17,16,248,229,92.34,8,3.23,11,4.44,17016
17,17,323,298,92.26,13,4.02,12,3.72,17017
17,18,382,369,96.6,6,1.57,7,1.83,17018
17,20,431,420,97.45,1,0.23,10,2.32,17020
17,21,454,433,95.37,11,2.42,10,2.2,17021
17,22,302,282,93.38,7,2.32,13,4.3,17022
17,23,231,220,95.24,6,2.6,5,2.16,17023
17,24,366,353,96.45,4,1.09,9,2.46,17024
17,25,251,237,94.42,8,3.19,6,2.39,17025
17,26,362,351,96.96,7,1.93,4,1.1,17026
17,27,333,316,94.89,6,1.8,11,3.3,17027
17,28,276,269,97.46,3,1.09,4,1.45,17028
17,29,351,335,95.44,7,1.99,9,2.56,17029
17,30,263,234,88.97,20,7.6,9,3.42,17030
17,32,271,267,98.52,3,1.11,1,0.37,17032
17,33,75,71,94.67,2,2.67,2,2.67,17033
17,34,263,257,97.72,2,0.76,4,1.52,17034
17,35,99,96,96.97,0,0.0,3,3.03,17035
17,36,273,266,97.44,3,1.1,4,1.47,17036
17,37,298,286,95.97,5,1.68,7,2.35,17037
17,38,327,313,95.72,4,1.22,10,3.06,17038
17,39,334,318,95.21,7,2.1,9,2.69,17039
17,40,351,340,96.87,6,1.71,5,1.42,17040
17,41,424,406,95.75,10,2.36,8,1.89,17041
18,1,334,316,94.61,10,2.99,8,2.4,18001
18,2,346,283,81.79,49,14.16,14,4.05,18002
18,3,334,238,71.26,70,20.96,26,7.78,18003
18,4,399,374,93.73,13,3.26,12,3.01,18004
18,5,241,235,97.51,4,1.66,2,0.83,18005
18,6,319,212,66.46,76,23.82,31,9.72,18006
18,7,364,310,85.16,30,8.24,24,6.59,18007
18,8,382,357,93.46,10,2.62,15,3.93,18008
18,9,372,349,93.82,12,3.23,11,2.96,18009
18,10,487,460,94.46,10,2.05,17,3.49,18010
18,11,322,285,88.51,24,7.45,13,4.04,18011
18,12,380,356,93.68,17,4.47,7,1.84,18012
18,13,398,373,93.72,11,2.76,14,3.52,18013
18,14,405,385,95.06,3,0.74,17,4.2,18014
18,15,19,15,78.95,4,21.05,0,0.0,18015
18,16,362,339,93.65,12,3.31,11,3.04,18016
18,17,364,323,88.74,25,6.87,16,4.4,18017
18,18,317,311,98.11,4,1.26,2,0.63,18018
18,19,366,349,95.36,10,2.73,7,1.91,18019
18,20,303,292,96.37,4,1.32,7,2.31,18020
18,21,458,414,90.39,14,3.06,30,6.55,18021
18,22,458,431,94.1,16,3.49,11,2.4,18022
18,23,377,339,89.92,15,3.98,23,6.1,18023
18,26,456,428,93.86,14,3.07,14,3.07,18026
18,27,312,294,94.23,13,4.17,5,1.6,18027
18,28,355,237,66.76,95,26.76,23,6.48,18028
18,29,407,347,85.26,36,8.85,24,5.9,18029
18,31,397,375,94.46,12,3.02,10,2.52,18031
18,32,383,362,94.52,7,1.83,14,3.66,18032
18,33,302,294,97.35,4,1.32,4,1.32,18033
18,34,451,414,91.8,23,5.1,14,3.1,18034
18,35,450,416,92.44,15,3.33,19,4.22,18035
18,36,407,346,85.01,42,10.32,19,4.67,18036
18,37,439,404,92.03,11,2.51,24,5.47,18037
18,38,361,344,95.29,3,0.83,14,3.88,18038
18,39,286,269,94.06,9,3.15,8,2.8,18039
18,41,440,406,92.27,19,4.32,15,3.41,18041
18,42,332,304,91.57,9,2.71,19,5.72,18042
18,44,329,214,65.05,84,25.53,31,9.42,18044
18,45,332,287,86.45,26,7.83,19,5.72,18045
18,47,283,268,94.7,7,2.47,8,2.83,18047
18,48,313,292,93.29,10,3.19,11,3.51,18048
18,49,228,211,92.54,7,3.07,10,4.39,18049
18,50,297,277,93.27,9,3.03,11,3.7,18050
19,2,530,435,82.08,52,9.81,43,8.11,19002
19,5,316,224,70.89,52,16.46,40,12.66,19005
19,10,52,36,69.23,10,19.23,6,11.54,19010
19,11,29,17,58.62,10,34.48,2,6.9,19011
19,13,513,463,90.25,20,3.9,30,5.85,19013
19,14,507,373,73.57,83,16.37,51,10.06,19014
19,20,364,318,87.36,22,6.04,24,6.59,19020
19,25,71,55,77.46,9,12.68,7,9.86,19025
19,27,455,366,80.44,49,10.77,40,8.79,19027
19,28,493,440,89.25,17,3.45,36,7.3,19028
19,31,402,238,59.2,105,26.12,59,14.68,19031
19,36,610,502,82.3,46,7.54,62,10.16,19036
19,37,424,335,79.01,45,10.61,44,10.38,19037
19,38,385,304,78.96,29,7.53,52,13.51,19038
19,39,170,151,88.82,14,8.24,5,2.94,19039
19,40,460,322,70.0,81,17.61,57,12.39,19040
19,42,381,283,74.28,51,13.39,47,12.34,19042
19,43,587,547,93.19,15,2.56,25,4.26,19043
19,47,606,504,83.17,65,10.73,37,6.11,19047
19,48,508,489,96.26,12,2.36,7,1.38,19048
19,49,520,444,85.38,33,6.35,43,8.27,19049
19,57,39,25,64.1,9,23.08,5,12.82,19057
20,1,366,349,95.36,7,1.91,10,2.73,20001
20,3,323,306,94.74,6,1.86,11,3.41,20003
20,5,438,410,93.61,9,2.05,19,4.34,20005
20,7,397,373,93.95,9,2.27,15,3.78,20007
20,8,359,336,93.59,7,1.95,16,4.46,20008
20,9,539,495,91.84,6,1.11,38,7.05,20009
20,10,256,247,96.48,4,1.56,5,1.95,20010
20,11,191,183,95.81,1,0.52,7,3.66,20011
20,12,302,291,96.36,5,1.66,6,1.99,20012
20,13,406,389,95.81,7,1.72,10,2.46,20013
20,14,191,181,94.76,2,1.05,8,4.19,20014
20,16,436,402,92.2,17,3.9,17,3.9,20016
20,18,255,244,95.69,2,0.78,9,3.53,20018
20,19,384,368,95.83,5,1.3,11,2.86,20019
20,22,474,417,87.97,14,2.95,43,9.07,20022
20,23,411,384,93.43,11,2.68,16,3.89,20023
20,24,439,383,87.24,18,4.1,38,8.66,20024
20,26,407,373,91.65,11,2.7,23,5.65,20026
20,27,106,100,94.34,2,1.89,4,3.77,20027
20,28,234,222,94.87,4,1.71,8,3.42,20028
20,29,447,422,94.41,10,2.24,15,3.36,20029
20,30,0,0,0.0,0,0.0,0,0.0,20030
20,31,128,124,96.88,2,1.56,2,1.56,20031
20,33,227,214,94.27,6,2.64,7,3.08,20033
20,34,630,553,87.78,15,2.38,62,9.84,20034
20,35,268,253,94.4,5,1.87,10,3.73,20035
20,37,109,107,98.17,0,0.0,2,1.83,20037
21,1,420,392,93.33,7,1.67,21,5.0,21001
21,2,285,269,94.39,6,2.11,10,3.51,21002
21,3,417,398,95.44,4,0.96,15,3.6,21003
21,4,363,349,96.14,4,1.1,10,2.75,21004
21,5,421,399,94.77,7,1.66,15,3.56,21005
21,6,318,307,96.54,4,1.26,7,2.2,21006
21,7,381,371,97.38,4,1.05,6,1.57,21007
21,8,394,374,94.92,13,3.3,7,1.78,21008
21,9,425,407,95.76,7,1.65,11,2.59,21009
21,10,347,332,95.68,5,1.44,10,2.88,21010
21,11,354,337,95.2,5,1.41,12,3.39,21011
21,12,359,339,94.43,6,1.67,14,3.9,21012
21,13,373,356,95.44,8,2.14,9,2.41,21013
21,14,397,384,96.73,4,1.01,9,2.27,21014
21,15,337,329,97.63,4,1.19,4,1.19,21015
21,16,355,338,95.21,7,1.97,10,2.82,21016
21,17,342,324,94.74,9,2.63,9,2.63,21017
21,18,425,406,95.53,6,1.41,13,3.06,21018
21,19,388,369,95.1,5,1.29,14,3.61,21019
21,20,336,319,94.94,6,1.79,11,3.27,21020
21,21,316,295,93.35,8,2.53,13,4.11,21021
21,22,334,310,92.81,9,2.69,15,4.49,21022
21,23,336,323,96.13,4,1.19,9,2.68,21023
21,24,375,363,96.8,3,0.8,9,2.4,21024
21,25,325,311,95.69,5,1.54,9,2.77,21025
21,26,377,359,95.23,10,2.65,8,2.12,21026
21,27,371,352,94.88,6,1.62,13,3.5,21027
21,28,473,458,96.83,10,2.11,5,1.06,21028
21,29,438,426,97.26,4,0.91,8,1.83,21029
21,30,314,296,94.27,6,1.91,12,3.82,21030
21,31,271,254,93.73,8,2.95,9,3.32,21031
21,32,346,330,95.38,1,0.29,15,4.34,21032
21,33,330,316,95.76,4,1.21,10,3.03,21033
21,34,347,337,97.12,4,1.15,6,1.73,21034
21,35,438,417,95.21,9,2.05,12,2.74,21035
21,36,355,337,94.93,9,2.54,9,2.54,21036
21,37,278,263,94.6,4,1.44,11,3.96,21037
21,38,366,355,96.99,5,1.37,6,1.64,21038
21,39,327,312,95.41,5,1.53,10,3.06,21039
21,40,350,334,95.43,8,2.29,8,2.29,21040
21,41,388,364,93.81,7,1.8,17,4.38,21041
21,42,417,395,94.72,12,2.88,10,2.4,21042
21,43,371,360,97.04,5,1.35,6,1.62,21043
21,44,376,353,93.88,10,2.66,13,3.46,21044
21,45,355,347,97.75,5,1.41,3,0.85,21045
21,46,420,404,96.19,10,2.38,6,1.43,21046
21,47,365,348,95.34,8,2.19,9,2.47,21047
21,48,371,352,94.88,6,1.62,13,3.5,21048
21,49,410,399,97.32,7,1.71,4,0.98,21049
21,50,304,288,94.74,7,2.3,9,2.96,21050
21,51,354,342,96.61,3,0.85,9,2.54,21051
21,52,364,347,95.33,9,2.47,8,2.2,21052
21,53,324,307,94.75,11,3.4,6,1.85,21053
21,54,339,323,95.28,8,2.36,8,2.36,21054
34,1,418,403,96.41,4,0.96,11,2.63,34001
34,2,270,263,97.41,5,1.85,2,0.74,34002
34,3,395,384,97.22,5,1.27,6,1.52,34003
34,5,335,323,96.42,7,2.09,5,1.49,34005
34,6,443,417,94.13,11,2.48,15,3.39,34006
34,7,430,417,96.98,5,1.16,8,1.86,34007
34,8,311,300,96.46,8,2.57,3,0.96,34008
34,9,264,249,94.32,7,2.65,8,3.03,34009
34,10,369,356,96.48,7,1.9,6,1.63,34010
34,11,332,320,96.39,6,1.81,6,1.81,34011
34,12,423,403,95.27,4,0.95,16,3.78,34012
34,13,378,358,94.71,5,1.32,15,3.97,34013
34,14,297,289,97.31,2,0.67,6,2.02,34014
34,15,348,336,96.55,5,1.44,7,2.01,34015
34,16,322,306,95.03,6,1.86,10,3.11,34016
34,17,498,475,95.38,6,1.2,17,3.41,34017
34,19,423,404,95.51,5,1.18,14,3.31,34019
34,20,438,418,95.43,9,2.05,11,2.51,34020
34,21,455,434,95.38,10,2.2,11,2.42,34021
34,22,106,100,94.34,3,2.83,3,2.83,34022
34,25,571,543,95.1,10,1.75,18,3.15,34025
34,26,403,384,95.29,3,0.74,16,3.97,34026
34,29,304,298,98.03,4,1.32,2,0.66,34029
34,30,146,139,95.21,4,2.74,3,2.05,34030
34,31,325,310,95.38,6,1.85,9,2.77,34031
34,32,377,363,96.29,6,1.59,8,2.12,34032
34,33,309,293,94.82,9,2.91,7,2.27,34033
34,34,406,390,96.06,3,0.74,13,3.2,34034
34,35,425,400,94.12,7,1.65,18,4.24,34035
34,40,418,404,96.65,4,0.96,10,2.39,34040
34,41,56,56,100.0,0,0.0,0,0.0,34041
34,42,375,357,95.2,7,1.87,11,2.93,34042
34,43,351,334,95.16,4,1.14,13,3.7,34043
34,44,387,372,96.12,8,2.07,7,1.81,34044
34,45,405,390,96.3,4,0.99,11,2.72,34045
34,46,266,251,94.36,6,2.26,9,3.38,34046
34,47,363,356,98.07,3,0.83,4,1.1,34047
34,48,393,380,96.69,7,1.78,6,1.53,34048
34,49,360,335,93.06,11,3.06,14,3.89,34049
34,50,313,303,96.81,7,2.24,3,0.96,34050
34,51,398,378,94.97,8,2.01,12,3.02,34051
34,52,291,273,93.81,5,1.72,13,4.47,34052
