ward,precinct,total,Marian Emily Perkins,Marian Emily Perkins Percent,precinct_id
16,25,251,251,100.0,16025
16,26,152,152,100.0,16026
16,27,164,164,100.0,16027
16,28,178,178,100.0,16028
16,29,166,166,100.0,16029
16,30,173,173,100.0,16030
16,31,221,221,100.0,16031
16,33,186,186,100.0,16033
16,34,196,196,100.0,16034
16,36,167,167,100.0,16036
17,8,28,28,100.0,17008
17,13,222,222,100.0,17013
17,19,62,62,100.0,17019
17,35,95,95,100.0,17035
17,36,97,97,100.0,17036
20,1,288,288,100.0,20001
20,2,109,109,100.0,20002
20,3,256,256,100.0,20003
20,4,109,109,100.0,20004
20,5,331,331,100.0,20005
20,6,129,129,100.0,20006
20,7,299,299,100.0,20007
20,8,272,272,100.0,20008
20,9,436,436,100.0,20009
20,10,195,195,100.0,20010
20,11,382,382,100.0,20011
20,12,229,229,100.0,20012
20,13,297,297,100.0,20013
20,14,131,131,100.0,20014
20,16,322,322,100.0,20016
20,17,17,17,100.0,20017
20,18,202,202,100.0,20018
20,19,297,297,100.0,20019
20,21,199,199,100.0,20021
20,22,383,383,100.0,20022
20,23,313,313,100.0,20023
20,24,336,336,100.0,20024
20,25,191,191,100.0,20025
20,26,295,295,100.0,20026
20,27,140,140,100.0,20027
20,28,188,188,100.0,20028
20,29,305,305,100.0,20029
20,30,131,131,100.0,20030
20,31,338,338,100.0,20031
20,32,270,270,100.0,20032
20,33,175,175,100.0,20033
20,34,505,505,100.0,20034
20,35,200,200,100.0,20035
20,36,98,98,100.0,20036
20,37,85,85,100.0,20037
20,38,94,94,100.0,20038
20,39,19,19,100.0,20039
