ward,precinct,total,Kevin Patrick Cunningham,Kevin Patrick Cunningham Percent,precinct_id
19,17,260,260,100.0,19017
19,18,313,313,100.0,19018
19,19,425,425,100.0,19019
19,20,294,294,100.0,19020
19,21,245,245,100.0,19021
19,22,352,352,100.0,19022
19,23,336,336,100.0,19023
19,24,193,193,100.0,19024
19,25,320,320,100.0,19025
19,26,318,318,100.0,19026
19,27,350,350,100.0,19027
19,28,151,151,100.0,19028
19,29,282,282,100.0,19029
19,30,265,265,100.0,19030
19,31,300,300,100.0,19031
19,32,274,274,100.0,19032
19,33,310,310,100.0,19033
19,34,320,320,100.0,19034
19,35,322,322,100.0,19035
19,36,476,476,100.0,19036
19,37,333,333,100.0,19037
19,38,299,299,100.0,19038
19,39,149,149,100.0,19039
19,40,340,340,100.0,19040
19,41,231,231,100.0,19041
19,42,288,288,100.0,19042
19,43,405,405,100.0,19043
19,44,300,300,100.0,19044
19,45,292,292,100.0,19045
19,46,323,323,100.0,19046
19,47,489,489,100.0,19047
19,48,396,396,100.0,19048
19,49,417,417,100.0,19049
19,50,272,272,100.0,19050
19,51,376,376,100.0,19051
19,52,282,282,100.0,19052
19,53,289,289,100.0,19053
19,54,212,212,100.0,19054
19,55,224,224,100.0,19055
19,56,358,358,100.0,19056
19,57,274,274,100.0,19057
22,1,168,168,100.0,22001
22,2,311,311,100.0,22002
22,8,352,352,100.0,22008
22,23,337,337,100.0,22023
23,1,216,216,100.0,23001
23,2,240,240,100.0,23002
23,3,227,227,100.0,23003
23,4,285,285,100.0,23004
23,5,267,267,100.0,23005
23,6,282,282,100.0,23006
23,7,228,228,100.0,23007
23,8,300,300,100.0,23008
23,9,229,229,100.0,23009
23,10,297,297,100.0,23010
23,11,275,275,100.0,23011
23,12,247,247,100.0,23012
23,13,226,226,100.0,23013
23,14,216,216,100.0,23014
23,15,219,219,100.0,23015
23,16,234,234,100.0,23016
23,17,180,180,100.0,23017
23,18,195,195,100.0,23018
23,19,215,215,100.0,23019
23,20,147,147,100.0,23020
23,21,224,224,100.0,23021
23,22,249,249,100.0,23022
23,23,220,220,100.0,23023
23,24,224,224,100.0,23024
23,25,215,215,100.0,23025
23,26,284,284,100.0,23026
23,27,181,181,100.0,23027
23,28,247,247,100.0,23028
23,29,219,219,100.0,23029
23,30,308,308,100.0,23030
23,31,207,207,100.0,23031
23,32,257,257,100.0,23032
23,33,273,273,100.0,23033
23,34,244,244,100.0,23034
23,35,151,151,100.0,23035
23,36,222,222,100.0,23036
23,37,246,246,100.0,23037
23,38,208,208,100.0,23038
23,39,270,270,100.0,23039
34,17,368,368,100.0,34017
34,19,76,76,100.0,34019
34,49,194,194,100.0,34049
