ward,precinct,total,Jesus ''Chuy'' Garcia,Jesus ''Chuy'' Garcia Percent,Mark Wayne Lorch,Mark Wayne Lorch Percent,precinct_id
26,10,83,81,97.59,2,2.41,26010
26,11,325,297,91.38,28,8.62,26011
26,12,407,382,93.86,25,6.14,26012
26,13,193,183,94.82,10,5.18,26013
26,14,279,267,95.7,12,4.3,26014
26,15,214,196,91.59,18,8.41,26015
26,16,196,180,91.84,16,8.16,26016
26,18,285,262,91.93,23,8.07,26018
26,20,326,297,91.1,29,8.9,26020
26,22,182,173,95.05,9,4.95,26022
26,23,239,219,91.63,20,8.37,26023
26,24,298,282,94.63,16,5.37,26024
26,25,348,323,92.82,25,7.18,26025
26,26,257,235,91.44,22,8.56,26026
26,27,239,214,89.54,25,10.46,26027
26,29,232,209,90.09,23,9.91,26029
26,30,288,277,96.18,11,3.82,26030
26,31,155,135,87.1,20,12.9,26031
26,33,67,62,92.54,5,7.46,26033
26,34,472,450,95.34,22,4.66,26034
26,35,312,293,93.91,19,6.09,26035
26,36,20,19,95.0,1,5.0,26036
26,37,388,368,94.85,20,5.15,26037
26,38,160,149,93.13,11,6.88,26038
26,39,171,148,86.55,23,13.45,26039
26,40,250,236,94.4,14,5.6,26040
26,41,422,394,93.36,28,6.64,26041
26,42,306,296,96.73,10,3.27,26042
26,43,204,194,95.1,10,4.9,26043
26,44,219,201,91.78,18,8.22,26044
26,45,83,81,97.59,2,2.41,26045
26,47,244,218,89.34,26,10.66,26047
26,48,357,325,91.04,32,8.96,26048
26,49,208,197,94.71,11,5.29,26049
28,19,4,3,75.0,1,25.0,28019
29,1,15,12,80.0,3,20.0,29001
29,9,462,379,82.03,83,17.97,29009
29,23,408,324,79.41,84,20.59,29023
29,30,544,485,89.15,59,10.85,29030
29,38,435,353,81.15,82,18.85,29038
29,39,185,151,81.62,34,18.38,29039
29,43,184,169,91.85,15,8.15,29043
30,1,478,396,82.85,82,17.15,30001
30,2,416,349,83.89,67,16.11,30002
30,3,360,316,87.78,44,12.22,30003
30,4,408,325,79.66,83,20.34,30004
30,5,308,267,86.69,41,13.31,30005
30,6,354,298,84.18,56,15.82,30006
30,7,448,376,83.93,72,16.07,30007
30,8,530,474,89.43,56,10.57,30008
30,9,349,277,79.37,72,20.63,30009
30,10,435,374,85.98,61,14.02,30010
30,11,386,346,89.64,40,10.36,30011
30,12,360,310,86.11,50,13.89,30012
30,13,409,341,83.37,68,16.63,30013
30,14,269,240,89.22,29,10.78,30014
30,15,114,97,85.09,17,14.91,30015
30,16,201,175,87.06,26,12.94,30016
30,17,187,151,80.75,36,19.25,30017
30,18,523,487,93.12,36,6.88,30018
30,19,379,344,90.77,35,9.23,30019
30,20,461,385,83.51,76,16.49,30020
30,22,575,512,89.04,63,10.96,30022
30,23,460,407,88.48,53,11.52,30023
30,24,555,499,89.91,56,10.09,30024
30,25,601,538,89.52,63,10.48,30025
30,26,254,207,81.5,47,18.5,30026
30,27,282,237,84.04,45,15.96,30027
30,28,433,385,88.91,48,11.09,30028
30,29,228,202,88.6,26,11.4,30029
30,30,192,174,90.63,18,9.38,30030
30,31,281,227,80.78,54,19.22,30031
30,32,320,286,89.38,34,10.63,30032
31,1,256,236,92.19,20,7.81,31001
31,2,227,208,91.63,19,8.37,31002
31,3,233,190,81.55,43,18.45,31003
31,4,394,365,92.64,29,7.36,31004
31,5,293,254,86.69,39,13.31,31005
31,6,204,181,88.73,23,11.27,31006
31,7,438,420,95.89,18,4.11,31007
31,8,215,187,86.98,28,13.02,31008
31,9,263,223,84.79,40,15.21,31009
31,10,243,216,88.89,27,11.11,31010
31,11,224,190,84.82,34,15.18,31011
31,12,262,216,82.44,46,17.56,31012
31,13,279,266,95.34,13,4.66,31013
31,14,244,201,82.38,43,17.62,31014
31,15,247,214,86.64,33,13.36,31015
31,16,354,326,92.09,28,7.91,31016
31,17,257,223,86.77,34,13.23,31017
31,18,262,231,88.17,31,11.83,31018
31,19,252,224,88.89,28,11.11,31019
31,20,244,213,87.3,31,12.7,31020
31,21,258,231,89.53,27,10.47,31021
31,22,239,219,91.63,20,8.37,31022
31,23,286,246,86.01,40,13.99,31023
31,24,271,237,87.45,34,12.55,31024
31,25,256,228,89.06,28,10.94,31025
31,26,308,259,84.09,49,15.91,31026
31,27,308,264,85.71,44,14.29,31027
31,28,226,197,87.17,29,12.83,31028
31,29,291,250,85.91,41,14.09,31029
31,30,211,195,92.42,16,7.58,31030
31,31,231,189,81.82,42,18.18,31031
31,32,231,200,86.58,31,13.42,31032
31,33,225,187,83.11,38,16.89,31033
31,34,263,219,83.27,44,16.73,31034
31,35,312,278,89.1,34,10.9,31035
31,36,306,276,90.2,30,9.8,31036
31,37,273,244,89.38,29,10.62,31037
31,38,226,209,92.48,17,7.52,31038
31,39,319,303,94.98,16,5.02,31039
31,40,320,286,89.38,34,10.63,31040
31,41,244,220,90.16,24,9.84,31041
32,1,0,0,0.0,0,0.0,32001
32,3,632,577,91.3,55,8.7,32003
32,11,524,495,94.47,29,5.53,32011
32,12,431,400,92.81,31,7.19,32012
32,14,600,555,92.5,45,7.5,32014
32,16,29,23,79.31,6,20.69,32016
32,17,578,533,92.21,45,7.79,32017
32,20,558,526,94.27,32,5.73,32020
32,22,727,668,91.88,59,8.12,32022
32,26,644,597,92.7,47,7.3,32026
32,28,578,533,92.21,45,7.79,32028
32,43,548,493,89.96,55,10.04,32043
33,1,541,491,90.76,50,9.24,33001
33,3,722,666,92.24,56,7.76,33003
33,4,752,656,87.23,96,12.77,33004
33,6,486,436,89.71,50,10.29,33006
33,7,218,198,90.83,20,9.17,33007
33,8,287,269,93.73,18,6.27,33008
33,9,617,515,83.47,102,16.53,33009
33,10,452,388,85.84,64,14.16,33010
33,11,604,538,89.07,66,10.93,33011
33,12,543,480,88.4,63,11.6,33012
33,13,552,496,89.86,56,10.14,33013
33,14,294,255,86.73,39,13.27,33014
33,15,546,496,90.84,50,9.16,33015
33,16,724,624,86.19,100,13.81,33016
33,17,614,531,86.48,83,13.52,33017
33,19,345,299,86.67,46,13.33,33019
33,20,647,595,91.96,52,8.04,33020
33,21,588,538,91.5,50,8.5,33021
33,22,508,433,85.24,75,14.76,33022
33,23,574,517,90.07,57,9.93,33023
33,25,691,608,87.99,83,12.01,33025
33,26,456,429,94.08,27,5.92,33026
33,27,607,540,88.96,67,11.04,33027
33,28,544,511,93.93,33,6.07,33028
35,1,509,456,89.59,53,10.41,35001
35,2,555,497,89.55,58,10.45,35002
35,3,442,421,95.25,21,4.75,35003
35,4,471,395,83.86,76,16.14,35004
35,5,443,409,92.33,34,7.67,35005
35,6,451,422,93.57,29,6.43,35006
35,7,495,470,94.95,25,5.05,35007
35,8,521,487,93.47,34,6.53,35008
35,9,423,361,85.34,62,14.66,35009
35,10,635,603,94.96,32,5.04,35010
35,11,541,488,90.2,53,9.8,35011
35,12,315,294,93.33,21,6.67,35012
35,13,326,300,92.02,26,7.98,35013
35,14,334,306,91.62,28,8.38,35014
35,15,586,547,93.34,39,6.66,35015
35,16,267,251,94.01,16,5.99,35016
35,17,547,507,92.69,40,7.31,35017
35,18,307,294,95.77,13,4.23,35018
35,19,261,239,91.57,22,8.43,35019
35,20,425,378,88.94,47,11.06,35020
35,21,423,394,93.14,29,6.86,35021
35,22,578,531,91.87,47,8.13,35022
35,23,483,425,87.99,58,12.01,35023
35,24,436,385,88.3,51,11.7,35024
35,25,558,520,93.19,38,6.81,35025
35,26,417,363,87.05,54,12.95,35026
35,27,403,352,87.34,51,12.66,35027
35,28,464,423,91.16,41,8.84,35028
35,29,411,357,86.86,54,13.14,35029
35,30,455,396,87.03,59,12.97,35030
35,31,500,430,86.0,70,14.0,35031
36,1,360,312,86.67,48,13.33,36001
36,2,344,303,88.08,41,11.92,36002
36,3,338,299,88.46,39,11.54,36003
36,4,357,326,91.32,31,8.68,36004
36,6,322,288,89.44,34,10.56,36006
36,8,277,259,93.5,18,6.5,36008
36,9,341,309,90.62,32,9.38,36009
36,10,471,388,82.38,83,17.62,36010
36,11,270,243,90.0,27,10.0,36011
36,12,242,226,93.39,16,6.61,36012
36,13,266,249,93.61,17,6.39,36013
36,16,33,19,57.58,14,42.42,36016
36,19,431,371,86.08,60,13.92,36019
36,20,222,180,81.08,42,18.92,36020
36,21,212,187,88.21,25,11.79,36021
36,22,298,275,92.28,23,7.72,36022
36,23,333,299,89.79,34,10.21,36023
36,24,49,44,89.8,5,10.2,36024
36,25,376,344,91.49,32,8.51,36025
36,27,389,314,80.72,75,19.28,36027
36,29,200,147,73.5,53,26.5,36029
37,26,1,1,100.0,0,0.0,37026
38,1,396,303,76.52,93,23.48,38001
38,35,248,189,76.21,59,23.79,38035
38,41,393,321,81.68,72,18.32,38041
39,6,1,1,100.0,0,0.0,39006
39,12,170,157,92.35,13,7.65,39012
39,25,9,8,88.89,1,11.11,39025
39,28,293,249,84.98,44,15.02,39028
39,31,381,329,86.35,52,13.65,39031
45,1,393,343,87.28,50,12.72,45001
45,2,463,415,89.63,48,10.37,45002
45,8,444,367,82.66,77,17.34,45008
45,9,453,354,78.15,99,21.85,45009
45,10,480,368,76.67,112,23.33,45010
