ward,precinct,total,Bill Lowry,Bill Lowry Percent,George Blakemore,George Blakemore Percent,precinct_id
4,35,592,567,95.78,25,4.22,04035
4,36,573,556,97.03,17,2.97,04036
4,37,971,832,85.68,139,14.32,04037
4,38,537,511,95.16,26,4.84,04038
5,1,377,373,98.94,4,1.06,05001
5,2,325,317,97.54,8,2.46,05002
5,3,551,524,95.1,27,4.9,05003
5,4,667,637,95.5,30,4.5,05004
5,5,425,409,96.24,16,3.76,05005
5,6,370,357,96.49,13,3.51,05006
5,7,511,488,95.5,23,4.5,05007
5,8,517,483,93.42,34,6.58,05008
5,9,592,570,96.28,22,3.72,05009
5,10,358,350,97.77,8,2.23,05010
5,11,532,505,94.92,27,5.08,05011
5,12,295,286,96.95,9,3.05,05012
5,13,393,382,97.2,11,2.8,05013
5,14,382,375,98.17,7,1.83,05014
5,15,446,415,93.05,31,6.95,05015
5,16,439,427,97.27,12,2.73,05016
5,17,380,369,97.11,11,2.89,05017
5,18,473,452,95.56,21,4.44,05018
5,19,465,439,94.41,26,5.59,05019
5,20,579,553,95.51,26,4.49,05020
5,21,539,511,94.81,28,5.19,05021
5,22,564,520,92.2,44,7.8,05022
5,23,852,800,93.9,52,6.1,05023
5,24,553,529,95.66,24,4.34,05024
5,25,428,416,97.2,12,2.8,05025
5,26,464,444,95.69,20,4.31,05026
5,27,573,526,91.8,47,8.2,05027
5,28,508,481,94.69,27,5.31,05028
5,29,478,456,95.4,22,4.6,05029
5,30,310,302,97.42,8,2.58,05030
5,31,360,352,97.78,8,2.22,05031
5,32,579,547,94.47,32,5.53,05032
5,33,493,479,97.16,14,2.84,05033
5,34,583,544,93.31,39,6.69,05034
5,35,591,558,94.42,33,5.58,05035
5,36,262,251,95.8,11,4.2,05036
5,37,542,518,95.57,24,4.43,05037
5,38,419,410,97.85,9,2.15,05038
5,39,404,371,91.83,33,8.17,05039
5,40,322,312,96.89,10,3.11,05040
5,41,276,265,96.01,11,3.99,05041
6,6,400,385,96.25,15,3.75,06006
6,7,308,298,96.75,10,3.25,06007
6,10,174,166,95.4,8,4.6,06010
6,12,89,85,95.51,4,4.49,06012
6,16,185,184,99.46,1,0.54,06016
6,17,248,236,95.16,12,4.84,06017
6,19,283,278,98.23,5,1.77,06019
6,20,219,213,97.26,6,2.74,06020
6,30,301,288,95.68,13,4.32,06030
6,32,352,346,98.3,6,1.7,06032
6,33,368,345,93.75,23,6.25,06033
6,39,299,291,97.32,8,2.68,06039
6,40,331,322,97.28,9,2.72,06040
6,43,189,186,98.41,3,1.59,06043
6,47,274,266,97.08,8,2.92,06047
6,48,321,314,97.82,7,2.18,06048
8,1,320,304,95.0,16,5.0,08001
8,2,337,320,94.96,17,5.04,08002
8,9,112,110,98.21,2,1.79,08009
8,13,436,417,95.64,19,4.36,08013
8,14,265,257,96.98,8,3.02,08014
8,16,114,110,96.49,4,3.51,08016
8,18,353,340,96.32,13,3.68,08018
8,20,434,425,97.93,9,2.07,08020
8,21,462,455,98.48,7,1.52,08021
8,26,344,332,96.51,12,3.49,08026
8,28,295,284,96.27,11,3.73,08028
8,42,457,447,97.81,10,2.19,08042
8,43,201,191,95.02,10,4.98,08043
8,45,363,350,96.42,13,3.58,08045
8,54,297,291,97.98,6,2.02,08054
8,55,291,283,97.25,8,2.75,08055
17,2,326,316,96.93,10,3.07,17002
17,4,403,390,96.77,13,3.23,17004
17,9,257,252,98.05,5,1.95,17009
17,10,425,409,96.24,16,3.76,17010
17,15,351,339,96.58,12,3.42,17015
17,18,358,348,97.21,10,2.79,17018
17,20,417,413,99.04,4,0.96,17020
17,21,434,425,97.93,9,2.07,17021
17,22,285,276,96.84,9,3.16,17022
17,24,337,326,96.74,11,3.26,17024
17,26,338,329,97.34,9,2.66,17026
17,27,304,299,98.36,5,1.64,17027
17,29,317,308,97.16,9,2.84,17029
17,38,303,297,98.02,6,1.98,17038
17,39,315,307,97.46,8,2.54,17039
17,40,332,324,97.59,8,2.41,17040
17,41,400,397,99.25,3,0.75,17041
18,1,321,305,95.02,16,4.98,18001
18,4,383,367,95.82,16,4.18,18004
18,7,346,315,91.04,31,8.96,18007
18,8,367,354,96.46,13,3.54,18008
18,9,360,336,93.33,24,6.67,18009
18,10,480,465,96.88,15,3.13,18010
18,12,356,334,93.82,22,6.18,18012
18,13,366,354,96.72,12,3.28,18013
18,14,392,385,98.21,7,1.79,18014
18,16,348,331,95.11,17,4.89,18016
18,18,300,287,95.67,13,4.33,18018
18,19,339,331,97.64,8,2.36,18019
18,20,283,273,96.47,10,3.53,18020
18,21,438,414,94.52,24,5.48,18021
18,22,424,412,97.17,12,2.83,18022
18,23,360,338,93.89,22,6.11,18023
18,26,443,426,96.16,17,3.84,18026
18,29,28,27,96.43,1,3.57,18029
18,31,379,366,96.57,13,3.43,18031
18,33,50,49,98.0,1,2.0,18033
18,34,420,391,93.1,29,6.9,18034
18,35,423,402,95.04,21,4.96,18035
18,36,102,94,92.16,8,7.84,18036
18,37,417,403,96.64,14,3.36,18037
18,38,340,335,98.53,5,1.47,18038
18,41,414,390,94.2,24,5.8,18041
18,42,315,301,95.56,14,4.44,18042
18,48,7,7,100.0,0,0.0,18048
20,1,342,333,97.37,9,2.63,20001
20,3,303,296,97.69,7,2.31,20003
20,5,411,391,95.13,20,4.87,20005
20,8,333,325,97.6,8,2.4,20008
20,9,503,488,97.02,15,2.98,20009
20,10,238,233,97.9,5,2.1,20010
20,14,170,166,97.65,4,2.35,20014
20,16,414,393,94.93,21,5.07,20016
20,18,244,239,97.95,5,2.05,20018
20,19,353,341,96.6,12,3.4,20019
20,22,458,438,95.63,20,4.37,20022
20,24,416,395,94.95,21,5.05,20024
20,26,374,355,94.92,19,5.08,20026
20,28,12,12,100.0,0,0.0,20028
20,33,206,199,96.6,7,3.4,20033
20,34,591,565,95.6,26,4.4,20034
20,35,12,12,100.0,0,0.0,20035
21,4,342,339,99.12,3,0.88,21004
21,15,324,320,98.77,4,1.23,21015
21,26,353,338,95.75,15,4.25,21026
21,28,437,427,97.71,10,2.29,21028
21,30,292,287,98.29,5,1.71,21030
21,34,31,31,100.0,0,0.0,21034
21,43,303,295,97.36,8,2.64,21043
21,47,345,335,97.1,10,2.9,21047
21,51,338,334,98.82,4,1.18,21051
21,52,264,258,97.73,6,2.27,21052
21,53,19,17,89.47,2,10.53,21053
21,54,309,296,95.79,13,4.21,21054
25,21,374,332,88.77,42,11.23,25021
27,6,470,407,86.6,63,13.4,27006
27,9,215,168,78.14,47,21.86,27009
27,12,312,237,75.96,75,24.04,27012
27,20,299,292,97.66,7,2.34,27020
27,21,449,357,79.51,92,20.49,27021
27,37,474,382,80.59,92,19.41,27037
27,38,618,504,81.55,114,18.45,27038
27,42,291,236,81.1,55,18.9,27042
27,46,354,259,73.16,95,26.84,27046
27,47,259,241,93.05,18,6.95,27047
27,48,777,664,85.46,113,14.54,27048
42,1,491,333,67.82,158,32.18,42001
42,2,622,506,81.35,116,18.65,42002
42,4,1130,832,73.63,298,26.37,42004
42,6,556,389,69.96,167,30.04,42006
42,7,708,486,68.64,222,31.36,42007
42,8,503,392,77.93,111,22.07,42008
42,11,391,251,64.19,140,35.81,42011
42,13,499,337,67.54,162,32.46,42013
42,19,275,182,66.18,93,33.82,42019
42,24,585,418,71.45,167,28.55,42024
42,26,780,558,71.54,222,28.46,42026
42,28,633,459,72.51,174,27.49,42028
42,29,627,453,72.25,174,27.75,42029
42,30,470,317,67.45,153,32.55,42030
42,31,698,474,67.91,224,32.09,42031
42,33,234,187,79.91,47,20.09,42033
42,34,494,332,67.21,162,32.79,42034
42,35,741,585,78.95,156,21.05,42035
42,40,636,519,81.6,117,18.4,42040
43,28,719,551,76.63,168,23.37,43028
43,33,584,394,67.47,190,32.53,43033
43,35,621,444,71.5,177,28.5,43035
43,38,453,293,64.68,160,35.32,43038
43,43,516,368,71.32,148,28.68,43043
