ward,precinct,total,Lindsay Huge,Lindsay Huge Percent,precinct_id
46,21,286,286,100.0,46021
46,22,341,341,100.0,46022
46,23,371,371,100.0,46023
46,24,546,546,100.0,46024
46,25,453,453,100.0,46025
46,26,525,525,100.0,46026
46,27,594,594,100.0,46027
46,28,438,438,100.0,46028
46,29,370,370,100.0,46029
46,30,473,473,100.0,46030
46,31,470,470,100.0,46031
46,32,431,431,100.0,46032
46,33,566,566,100.0,46033
46,34,563,563,100.0,46034
46,35,511,511,100.0,46035
46,36,429,429,100.0,46036
46,37,384,384,100.0,46037
46,38,495,495,100.0,46038
46,39,435,435,100.0,46039
46,40,380,380,100.0,46040
47,9,126,126,100.0,47009
47,11,447,447,100.0,47011
47,15,596,596,100.0,47015
47,18,425,425,100.0,47018
47,19,606,606,100.0,47019
47,23,547,547,100.0,47023
47,24,496,496,100.0,47024
47,33,152,152,100.0,47033
47,41,542,542,100.0,47041
47,44,418,418,100.0,47044
48,1,423,423,100.0,48001
48,2,206,206,100.0,48002
48,3,510,510,100.0,48003
48,4,435,435,100.0,48004
48,5,246,246,100.0,48005
48,6,563,563,100.0,48006
48,7,473,473,100.0,48007
48,8,228,228,100.0,48008
48,9,260,260,100.0,48009
48,10,684,684,100.0,48010
48,11,409,409,100.0,48011
48,12,566,566,100.0,48012
48,14,210,210,100.0,48014
48,16,460,460,100.0,48016
48,17,409,409,100.0,48017
48,18,280,280,100.0,48018
48,19,309,309,100.0,48019
48,20,539,539,100.0,48020
48,21,544,544,100.0,48021
48,23,423,423,100.0,48023
48,24,480,480,100.0,48024
48,25,424,424,100.0,48025
48,26,212,212,100.0,48026
48,27,348,348,100.0,48027
48,28,424,424,100.0,48028
48,29,198,198,100.0,48029
48,30,414,414,100.0,48030
48,31,277,277,100.0,48031
48,32,158,158,100.0,48032
48,34,399,399,100.0,48034
48,35,266,266,100.0,48035
48,36,241,241,100.0,48036
48,37,477,477,100.0,48037
48,38,450,450,100.0,48038
48,39,336,336,100.0,48039
48,40,424,424,100.0,48040
48,41,585,585,100.0,48041
48,42,557,557,100.0,48042
48,43,480,480,100.0,48043
48,44,599,599,100.0,48044
48,45,345,345,100.0,48045
49,2,318,318,100.0,49002
49,17,280,280,100.0,49017
