ward,precinct,total,Mike Quigley,Mike Quigley Percent,Tom Hanson,Tom Hanson Percent,precinct_id
33,27,13,11,84.62,2,15.38,33027
36,7,469,336,71.64,133,28.36,36007
36,14,399,327,81.95,72,18.05,36014
36,15,403,320,79.4,83,20.6,36015
36,16,369,307,83.2,62,16.8,36016
36,17,442,363,82.13,79,17.87,36017
36,18,400,315,78.75,85,21.25,36018
36,20,186,143,76.88,43,23.12,36020
36,24,331,257,77.64,74,22.36,36024
36,26,378,276,73.02,102,26.98,36026
36,28,352,266,75.57,86,24.43,36028
36,29,212,161,75.94,51,24.06,36029
36,30,372,308,82.8,64,17.2,36030
38,2,462,233,50.43,229,49.57,38002
38,3,415,294,70.84,121,29.16,38003
38,4,392,267,68.11,125,31.89,38004
38,5,427,295,69.09,132,30.91,38005
38,6,414,277,66.91,137,33.09,38006
38,7,382,244,63.87,138,36.13,38007
38,8,383,267,69.71,116,30.29,38008
38,9,469,309,65.88,160,34.12,38009
38,10,338,241,71.3,97,28.7,38010
38,11,366,279,76.23,87,23.77,38011
38,12,419,234,55.85,185,44.15,38012
38,13,435,283,65.06,152,34.94,38013
38,14,451,322,71.4,129,28.6,38014
38,15,378,293,77.51,85,22.49,38015
38,16,401,286,71.32,115,28.68,38016
38,17,532,329,61.84,203,38.16,38017
38,18,468,310,66.24,158,33.76,38018
38,19,491,344,70.06,147,29.94,38019
38,20,426,269,63.15,157,36.85,38020
38,21,362,270,74.59,92,25.41,38021
38,22,411,317,77.13,94,22.87,38022
38,23,433,335,77.37,98,22.63,38023
38,24,454,290,63.88,164,36.12,38024
38,25,376,289,76.86,87,23.14,38025
38,26,439,317,72.21,122,27.79,38026
38,27,419,291,69.45,128,30.55,38027
38,28,511,321,62.82,190,37.18,38028
38,29,414,320,77.29,94,22.71,38029
38,30,412,273,66.26,139,33.74,38030
38,31,427,331,77.52,96,22.48,38031
38,32,421,317,75.3,104,24.7,38032
38,33,412,316,76.7,96,23.3,38033
38,34,424,349,82.31,75,17.69,38034
38,35,193,164,84.97,29,15.03,38035
38,36,388,305,78.61,83,21.39,38036
38,37,422,332,78.67,90,21.33,38037
38,38,402,281,69.9,121,30.1,38038
38,39,455,368,80.88,87,19.12,38039
38,40,436,320,73.39,116,26.61,38040
39,1,472,323,68.43,149,31.57,39001
39,2,463,307,66.31,156,33.69,39002
39,3,514,424,82.49,90,17.51,39003
39,4,420,286,68.1,134,31.9,39004
39,5,465,345,74.19,120,25.81,39005
39,6,434,368,84.79,66,15.21,39006
39,7,411,341,82.97,70,17.03,39007
39,8,457,383,83.81,74,16.19,39008
39,9,421,341,81.0,80,19.0,39009
39,10,223,203,91.03,20,8.97,39010
39,11,407,318,78.13,89,21.87,39011
39,12,424,374,88.21,50,11.79,39012
39,13,375,290,77.33,85,22.67,39013
39,14,486,394,81.07,92,18.93,39014
39,15,514,332,64.59,182,35.41,39015
39,16,375,302,80.53,73,19.47,39016
39,17,492,393,79.88,99,20.12,39017
39,18,438,353,80.59,85,19.41,39018
39,19,470,385,81.91,85,18.09,39019
39,20,560,377,67.32,183,32.68,39020
39,21,425,278,65.41,147,34.59,39021
39,22,384,317,82.55,67,17.45,39022
39,23,477,316,66.25,161,33.75,39023
39,24,594,390,65.66,204,34.34,39024
39,25,384,332,86.46,52,13.54,39025
39,26,435,295,67.82,140,32.18,39026
39,27,85,60,70.59,25,29.41,39027
39,28,280,240,85.71,40,14.29,39028
39,29,259,229,88.42,30,11.58,39029
39,30,553,489,88.43,64,11.57,39030
39,32,393,274,69.72,119,30.28,39032
39,33,503,409,81.31,94,18.69,39033
39,34,502,411,81.87,91,18.13,39034
39,35,464,387,83.41,77,16.59,39035
39,36,128,107,83.59,21,16.41,39036
39,37,467,338,72.38,129,27.62,39037
39,38,279,218,78.14,61,21.86,39038
39,39,297,224,75.42,73,24.58,39039
39,40,426,306,71.83,120,28.17,39040
39,41,495,346,69.9,149,30.1,39041
39,42,504,308,61.11,196,38.89,39042
39,43,508,332,65.35,176,34.65,39043
39,44,362,246,67.96,116,32.04,39044
39,45,450,315,70.0,135,30.0,39045
40,1,423,344,81.32,79,18.68,40001
40,2,434,367,84.56,67,15.44,40002
40,3,650,607,93.38,43,6.62,40003
40,5,529,464,87.71,65,12.29,40005
40,6,641,586,91.42,55,8.58,40006
40,7,523,468,89.48,55,10.52,40007
40,8,679,632,93.08,47,6.92,40008
40,10,124,98,79.03,26,20.97,40010
40,11,552,494,89.49,58,10.51,40011
40,12,461,412,89.37,49,10.63,40012
40,13,841,787,93.58,54,6.42,40013
40,14,402,335,83.33,67,16.67,40014
40,15,445,385,86.52,60,13.48,40015
40,16,713,654,91.73,59,8.27,40016
40,17,423,368,87.0,55,13.0,40017
40,19,573,493,86.04,80,13.96,40019
40,20,512,443,86.52,69,13.48,40020
40,21,586,525,89.59,61,10.41,40021
40,23,633,583,92.1,50,7.9,40023
40,24,405,346,85.43,59,14.57,40024
40,25,513,476,92.79,37,7.21,40025
40,29,487,403,82.75,84,17.25,40029
40,30,421,335,79.57,86,20.43,40030
40,31,79,71,89.87,8,10.13,40031
40,32,589,541,91.85,48,8.15,40032
40,34,422,350,82.94,72,17.06,40034
40,38,664,606,91.27,58,8.73,40038
41,3,448,299,66.74,149,33.26,41003
41,6,572,366,63.99,206,36.01,41006
41,9,458,314,68.56,144,31.44,41009
41,11,149,99,66.44,50,33.56,41011
41,12,458,286,62.45,172,37.55,41012
41,14,540,355,65.74,185,34.26,41014
41,16,433,281,64.9,152,35.1,41016
41,17,381,242,63.52,139,36.48,41017
41,19,562,368,65.48,194,34.52,41019
41,21,508,341,67.13,167,32.87,41021
41,22,532,315,59.21,217,40.79,41022
41,23,211,125,59.24,86,40.76,41023
41,24,405,228,56.3,177,43.7,41024
41,26,468,295,63.03,173,36.97,41026
41,27,384,224,58.33,160,41.67,41027
41,30,487,307,63.04,180,36.96,41030
41,32,395,251,63.54,144,36.46,41032
41,33,374,230,61.5,144,38.5,41033
41,35,576,355,61.63,221,38.37,41035
41,38,448,281,62.72,167,37.28,41038
41,39,511,307,60.08,204,39.92,41039
41,45,189,127,67.2,62,32.8,41045
41,46,496,310,62.5,186,37.5,41046
41,47,503,325,64.61,178,35.39,41047
43,2,666,506,75.98,160,24.02,43002
43,3,597,455,76.21,142,23.79,43003
43,4,717,544,75.87,173,24.13,43004
43,5,467,375,80.3,92,19.7,43005
43,6,484,384,79.34,100,20.66,43006
43,7,393,317,80.66,76,19.34,43007
43,8,454,354,77.97,100,22.03,43008
43,9,535,429,80.19,106,19.81,43009
43,10,738,577,78.18,161,21.82,43010
43,11,575,449,78.09,126,21.91,43011
43,12,432,351,81.25,81,18.75,43012
43,13,574,490,85.37,84,14.63,43013
43,14,620,483,77.9,137,22.1,43014
43,15,606,468,77.23,138,22.77,43015
43,16,731,567,77.56,164,22.44,43016
43,17,480,365,76.04,115,23.96,43017
43,18,709,556,78.42,153,21.58,43018
43,19,665,539,81.05,126,18.95,43019
43,20,687,569,82.82,118,17.18,43020
43,21,684,536,78.36,148,21.64,43021
43,22,425,358,84.24,67,15.76,43022
43,23,433,345,79.68,88,20.32,43023
43,24,461,353,76.57,108,23.43,43024
43,25,488,397,81.35,91,18.65,43025
43,26,401,334,83.29,67,16.71,43026
43,27,602,474,78.74,128,21.26,43027
43,28,771,618,80.16,153,19.84,43028
43,29,580,473,81.55,107,18.45,43029
43,30,651,530,81.41,121,18.59,43030
43,31,591,475,80.37,116,19.63,43031
43,32,631,516,81.77,115,18.23,43032
43,34,441,355,80.5,86,19.5,43034
43,36,334,294,88.02,40,11.98,43036
43,37,666,570,85.59,96,14.41,43037
43,38,503,349,69.38,154,30.62,43038
43,39,572,459,80.24,113,19.76,43039
43,40,444,356,80.18,88,19.82,43040
43,41,790,652,82.53,138,17.47,43041
43,42,577,490,84.92,87,15.08,43042
43,43,570,427,74.91,143,25.09,43043
43,44,595,476,80.0,119,20.0,43044
43,46,354,295,83.33,59,16.67,43046
44,1,967,860,88.93,107,11.07,44001
44,2,628,543,86.46,85,13.54,44002
44,5,717,653,91.07,64,8.93,44005
44,6,794,708,89.17,86,10.83,44006
44,8,893,797,89.25,96,10.75,44008
44,9,634,536,84.54,98,15.46,44009
44,10,643,545,84.76,98,15.24,44010
44,11,706,588,83.29,118,16.71,44011
44,12,666,576,86.49,90,13.51,44012
44,13,531,439,82.67,92,17.33,44013
44,14,597,507,84.92,90,15.08,44014
44,15,571,496,86.87,75,13.13,44015
44,16,737,610,82.77,127,17.23,44016
44,17,849,757,89.16,92,10.84,44017
44,18,700,592,84.57,108,15.43,44018
44,19,774,671,86.69,103,13.31,44019
44,20,688,611,88.81,77,11.19,44020
44,21,807,719,89.1,88,10.9,44021
44,22,677,572,84.49,105,15.51,44022
44,23,631,565,89.54,66,10.46,44023
44,25,651,564,86.64,87,13.36,44025
44,26,774,682,88.11,92,11.89,44026
44,27,778,658,84.58,120,15.42,44027
44,28,596,535,89.77,61,10.23,44028
44,29,705,592,83.97,113,16.03,44029
44,30,787,681,86.53,106,13.47,44030
44,31,544,467,85.85,77,14.15,44031
44,32,720,602,83.61,118,16.39,44032
44,33,674,632,93.77,42,6.23,44033
44,34,674,615,91.25,59,8.75,44034
44,36,671,588,87.63,83,12.37,44036
44,37,710,652,91.83,58,8.17,44037
44,38,649,535,82.43,114,17.57,44038
44,39,688,573,83.28,115,16.72,44039
44,40,623,496,79.61,127,20.39,44040
44,41,807,709,87.86,98,12.14,44041
45,3,441,377,85.49,64,14.51,45003
45,4,591,508,85.96,83,14.04,45004
45,5,491,402,81.87,89,18.13,45005
45,6,652,553,84.82,99,15.18,45006
45,7,703,569,80.94,134,19.06,45007
45,8,36,28,77.78,8,22.22,45008
45,11,333,279,83.78,54,16.22,45011
45,12,438,358,81.74,80,18.26,45012
45,13,402,325,80.85,77,19.15,45013
45,14,582,484,83.16,98,16.84,45014
45,15,562,473,84.16,89,15.84,45015
45,16,401,327,81.55,74,18.45,45016
45,17,533,401,75.23,132,24.77,45017
45,18,474,353,74.47,121,25.53,45018
45,19,246,198,80.49,48,19.51,45019
45,20,333,265,79.58,68,20.42,45020
45,21,420,298,70.95,122,29.05,45021
45,22,422,326,77.25,96,22.75,45022
45,23,406,294,72.41,112,27.59,45023
45,24,361,260,72.02,101,27.98,45024
45,25,289,203,70.24,86,29.76,45025
45,26,247,146,59.11,101,40.89,45026
45,27,445,287,64.49,158,35.51,45027
45,28,365,268,73.42,97,26.58,45028
45,29,303,224,73.93,79,26.07,45029
45,30,387,328,84.75,59,15.25,45030
45,31,370,296,80.0,74,20.0,45031
45,32,396,297,75.0,99,25.0,45032
45,33,339,272,80.24,67,19.76,45033
45,34,450,357,79.33,93,20.67,45034
45,35,492,366,74.39,126,25.61,45035
45,36,479,340,70.98,139,29.02,45036
45,37,451,330,73.17,121,26.83,45037
45,38,413,311,75.3,102,24.7,45038
45,39,445,323,72.58,122,27.42,45039
45,40,443,297,67.04,146,32.96,45040
45,41,421,278,66.03,143,33.97,45041
45,42,427,284,66.51,143,33.49,45042
45,43,441,282,63.95,159,36.05,45043
45,44,444,292,65.77,152,34.23,45044
45,45,313,188,60.06,125,39.94,45045
45,46,332,220,66.27,112,33.73,45046
45,47,324,211,65.12,113,34.88,45047
45,48,378,232,61.38,146,38.62,45048
46,3,703,626,89.05,77,10.95,46003
46,5,764,672,87.96,92,12.04,46005
46,10,943,849,90.03,94,9.97,46010
46,12,97,92,94.85,5,5.15,46012
46,16,296,280,94.59,16,5.41,46016
46,19,416,365,87.74,51,12.26,46019
46,24,186,174,93.55,12,6.45,46024
46,28,577,502,87.0,75,13.0,46028
46,30,623,575,92.3,48,7.7,46030
46,31,594,553,93.1,41,6.9,46031
46,33,694,624,89.91,70,10.09,46033
46,36,588,494,84.01,94,15.99,46036
46,38,543,502,92.45,41,7.55,46038
46,39,589,502,85.23,87,14.77,46039
47,1,412,353,85.68,59,14.32,47001
47,2,618,537,86.89,81,13.11,47002
47,3,577,490,84.92,87,15.08,47003
47,4,671,577,85.99,94,14.01,47004
47,5,650,585,90.0,65,10.0,47005
47,6,734,653,88.96,81,11.04,47006
47,7,544,475,87.32,69,12.68,47007
47,8,587,514,87.56,73,12.44,47008
47,9,585,505,86.32,80,13.68,47009
47,10,753,696,92.43,57,7.57,47010
47,11,606,522,86.14,84,13.86,47011
47,12,644,574,89.13,70,10.87,47012
47,13,575,513,89.22,62,10.78,47013
47,14,545,487,89.36,58,10.64,47014
47,16,592,519,87.67,73,12.33,47016
47,17,595,520,87.39,75,12.61,47017
47,18,609,537,88.18,72,11.82,47018
47,20,565,512,90.62,53,9.38,47020
47,21,567,516,91.01,51,8.99,47021
47,22,624,558,89.42,66,10.58,47022
47,24,630,552,87.62,78,12.38,47024
47,25,717,632,88.15,85,11.85,47025
47,26,780,730,93.59,50,6.41,47026
47,27,571,498,87.22,73,12.78,47027
47,28,556,493,88.67,63,11.33,47028
47,29,663,589,88.84,74,11.16,47029
47,30,354,319,90.11,35,9.89,47030
47,31,602,543,90.2,59,9.8,47031
47,32,729,684,93.83,45,6.17,47032
47,33,575,489,85.04,86,14.96,47033
47,34,620,565,91.13,55,8.87,47034
47,35,625,528,84.48,97,15.52,47035
47,36,674,622,92.28,52,7.72,47036
47,37,595,541,90.92,54,9.08,47037
47,38,604,536,88.74,68,11.26,47038
47,39,612,560,91.5,52,8.5,47039
47,40,607,559,92.09,48,7.91,47040
47,41,671,609,90.76,62,9.24,47041
47,42,623,582,93.42,41,6.58,47042
47,43,565,480,84.96,85,15.04,47043
47,44,586,497,84.81,89,15.19,47044
47,45,578,526,91.0,52,9.0,47045
47,46,596,492,82.55,104,17.45,47046
47,47,706,604,85.55,102,14.45,47047
47,48,48,42,87.5,6,12.5,47048
50,24,327,155,47.4,172,52.6,50024
50,25,27,12,44.44,15,55.56,50025
