ward,precinct,total,Erika Orr,Erika Orr Percent,precinct_id
10,31,210,210,100.0,10031
10,32,266,266,100.0,10032
10,33,188,188,100.0,10033
10,34,199,199,100.0,10034
10,35,292,292,100.0,10035
10,36,73,73,100.0,10036
17,2,263,263,100.0,17002
17,4,320,320,100.0,17004
17,5,194,194,100.0,17005
17,9,206,206,100.0,17009
17,10,358,358,100.0,17010
17,15,295,295,100.0,17015
17,18,296,296,100.0,17018
17,20,361,361,100.0,17020
17,21,360,360,100.0,17021
17,22,230,230,100.0,17022
17,23,173,173,100.0,17023
17,24,268,268,100.0,17024
17,26,280,280,100.0,17026
17,27,245,245,100.0,17027
17,28,189,189,100.0,17028
17,29,263,263,100.0,17029
17,35,83,83,100.0,17035
17,38,257,257,100.0,17038
17,39,261,261,100.0,17039
17,40,289,289,100.0,17040
17,41,353,353,100.0,17041
18,20,248,248,100.0,18020
18,38,290,290,100.0,18038
21,2,151,151,100.0,21002
21,4,293,293,100.0,21004
21,13,79,79,100.0,21013
21,15,277,277,100.0,21015
21,17,123,123,100.0,21017
21,20,240,240,100.0,21020
21,26,297,297,100.0,21026
21,28,371,371,100.0,21028
21,30,238,238,100.0,21030
21,31,214,214,100.0,21031
21,33,136,136,100.0,21033
21,34,130,130,100.0,21034
21,43,302,302,100.0,21043
21,44,107,107,100.0,21044
21,47,288,288,100.0,21047
21,48,103,103,100.0,21048
21,51,289,289,100.0,21051
21,52,256,256,100.0,21052
21,53,254,254,100.0,21053
21,54,254,254,100.0,21054
