ward,precinct,total,Jesse White,Jesse White Percent,Jason Helland,Jason Helland Percent,Steve Dutner,Steve Dutner Percent,precinct_id
4,1,800,750,93.75,39,4.88,11,1.38,04001
4,2,713,616,86.4,77,10.8,20,2.81,04002
4,3,429,418,97.44,4,0.93,7,1.63,04003
4,4,710,695,97.89,6,0.85,9,1.27,04004
4,5,523,505,96.56,10,1.91,8,1.53,04005
4,6,628,592,94.27,27,4.3,9,1.43,04006
4,7,626,600,95.85,9,1.44,17,2.72,04007
4,8,570,558,97.89,3,0.53,9,1.58,04008
4,9,602,594,98.67,2,0.33,6,1.0,04009
4,10,662,641,96.83,14,2.11,7,1.06,04010
4,11,553,537,97.11,10,1.81,6,1.08,04011
4,12,601,577,96.01,8,1.33,16,2.66,04012
4,13,680,590,86.76,62,9.12,28,4.12,04013
4,14,555,537,96.76,12,2.16,6,1.08,04014
4,15,659,633,96.05,13,1.97,13,1.97,04015
4,16,936,830,88.68,84,8.97,22,2.35,04016
4,17,713,633,88.78,59,8.27,21,2.95,04017
4,18,518,498,96.14,8,1.54,12,2.32,04018
4,19,414,406,98.07,4,0.97,4,0.97,04019
4,20,526,459,87.26,53,10.08,14,2.66,04020
4,21,773,672,86.93,68,8.8,33,4.27,04021
4,22,553,521,94.21,24,4.34,8,1.45,04022
4,23,724,693,95.72,22,3.04,9,1.24,04023
4,24,513,481,93.76,22,4.29,10,1.95,04024
4,25,648,545,84.1,82,12.65,21,3.24,04025
4,26,516,504,97.67,4,0.78,8,1.55,04026
4,27,708,681,96.19,15,2.12,12,1.69,04027
4,28,449,426,94.88,12,2.67,11,2.45,04028
4,29,458,446,97.38,4,0.87,8,1.75,04029
4,30,724,707,97.65,11,1.52,6,0.83,04030
4,31,562,543,96.62,12,2.14,7,1.25,04031
4,32,591,562,95.09,8,1.35,21,3.55,04032
4,33,553,530,95.84,13,2.35,10,1.81,04033
4,34,462,452,97.84,7,1.52,3,0.65,04034
4,35,624,601,96.31,13,2.08,10,1.6,04035
4,36,613,588,95.92,9,1.47,16,2.61,04036
4,37,1029,901,87.56,94,9.14,34,3.3,04037
4,38,570,544,95.44,14,2.46,12,2.11,04038
5,1,412,404,98.06,3,0.73,5,1.21,05001
5,2,341,339,99.41,1,0.29,1,0.29,05002
5,3,583,553,94.85,24,4.12,6,1.03,05003
5,4,699,672,96.14,14,2.0,13,1.86,05004
5,5,463,453,97.84,4,0.86,6,1.3,05005
5,6,399,390,97.74,5,1.25,4,1.0,05006
5,7,542,514,94.83,16,2.95,12,2.21,05007
5,8,545,514,94.31,23,4.22,8,1.47,05008
5,9,621,599,96.46,16,2.58,6,0.97,05009
5,10,391,383,97.95,4,1.02,4,1.02,05010
5,11,549,523,95.26,16,2.91,10,1.82,05011
5,12,336,321,95.54,8,2.38,7,2.08,05012
5,13,422,413,97.87,5,1.18,4,0.95,05013
5,14,391,380,97.19,5,1.28,6,1.53,05014
5,15,477,444,93.08,29,6.08,4,0.84,05015
5,16,466,457,98.07,4,0.86,5,1.07,05016
5,17,420,402,95.71,5,1.19,13,3.1,05017
5,18,496,470,94.76,16,3.23,10,2.02,05018
5,19,495,465,93.94,20,4.04,10,2.02,05019
5,20,595,576,96.81,13,2.18,6,1.01,05020
5,21,572,547,95.63,17,2.97,8,1.4,05021
5,22,587,556,94.72,25,4.26,6,1.02,05022
5,23,904,851,94.14,41,4.54,12,1.33,05023
5,24,583,548,94.0,24,4.12,11,1.89,05024
5,25,454,442,97.36,6,1.32,6,1.32,05025
5,26,494,480,97.17,8,1.62,6,1.21,05026
5,27,616,559,90.75,46,7.47,11,1.79,05027
5,28,532,518,97.37,7,1.32,7,1.32,05028
5,29,509,491,96.46,11,2.16,7,1.38,05029
5,30,339,329,97.05,3,0.88,7,2.06,05030
5,31,389,379,97.43,4,1.03,6,1.54,05031
5,32,612,591,96.57,14,2.29,7,1.14,05032
5,33,550,538,97.82,3,0.55,9,1.64,05033
5,34,616,572,92.86,31,5.03,13,2.11,05034
5,35,633,598,94.47,24,3.79,11,1.74,05035
5,36,297,291,97.98,5,1.68,1,0.34,05036
5,37,570,544,95.44,17,2.98,9,1.58,05037
5,38,444,434,97.75,6,1.35,4,0.9,05038
5,39,427,399,93.44,20,4.68,8,1.87,05039
5,40,345,336,97.39,0,0.0,9,2.61,05040
5,41,296,284,95.95,10,3.38,2,0.68,05041
6,1,449,442,98.44,2,0.45,5,1.11,06001
6,2,425,415,97.65,2,0.47,8,1.88,06002
6,3,452,442,97.79,8,1.77,2,0.44,06003
6,4,321,312,97.2,5,1.56,4,1.25,06004
6,5,278,276,99.28,1,0.36,1,0.36,06005
6,6,432,414,95.83,10,2.31,8,1.85,06006
6,7,370,364,98.38,4,1.08,2,0.54,06007
6,8,395,386,97.72,5,1.27,4,1.01,06008
6,9,370,358,96.76,7,1.89,5,1.35,06009
6,10,249,238,95.58,5,2.01,6,2.41,06010
6,11,359,349,97.21,5,1.39,5,1.39,06011
6,12,296,287,96.96,6,2.03,3,1.01,06012
6,13,317,314,99.05,1,0.32,2,0.63,06013
6,14,374,363,97.06,3,0.8,8,2.14,06014
6,15,345,336,97.39,4,1.16,5,1.45,06015
6,16,418,397,94.98,8,1.91,13,3.11,06016
6,17,272,262,96.32,4,1.47,6,2.21,06017
6,18,304,296,97.37,6,1.97,2,0.66,06018
6,19,368,356,96.74,3,0.82,9,2.45,06019
6,20,240,234,97.5,4,1.67,2,0.83,06020
6,21,222,216,97.3,2,0.9,4,1.8,06021
6,22,243,235,96.71,7,2.88,1,0.41,06022
6,23,214,205,95.79,4,1.87,5,2.34,06023
6,24,215,206,95.81,7,3.26,2,0.93,06024
6,25,215,207,96.28,3,1.4,5,2.33,06025
6,26,299,291,97.32,2,0.67,6,2.01,06026
6,27,229,222,96.94,3,1.31,4,1.75,06027
6,28,200,193,96.5,1,0.5,6,3.0,06028
6,29,435,430,98.85,3,0.69,2,0.46,06029
6,30,321,307,95.64,5,1.56,9,2.8,06030
6,31,411,400,97.32,3,0.73,8,1.95,06031
6,32,368,360,97.83,4,1.09,4,1.09,06032
6,33,402,383,95.27,15,3.73,4,1.0,06033
6,34,410,404,98.54,3,0.73,3,0.73,06034
6,35,364,357,98.08,1,0.27,6,1.65,06035
6,36,470,463,98.51,4,0.85,3,0.64,06036
6,37,412,390,94.66,9,2.18,13,3.16,06037
6,38,423,409,96.69,8,1.89,6,1.42,06038
6,39,335,325,97.01,3,0.9,7,2.09,06039
6,40,363,348,95.87,6,1.65,9,2.48,06040
6,41,398,394,98.99,1,0.25,3,0.75,06041
6,42,416,404,97.12,6,1.44,6,1.44,06042
6,43,363,359,98.9,0,0.0,4,1.1,06043
6,44,401,394,98.25,3,0.75,4,1.0,06044
6,45,426,415,97.42,2,0.47,9,2.11,06045
6,46,274,269,98.18,0,0.0,5,1.82,06046
6,47,289,279,96.54,5,1.73,5,1.73,06047
6,48,429,421,98.14,3,0.7,5,1.17,06048
7,1,358,351,98.04,6,1.68,1,0.28,07001
7,2,369,362,98.1,4,1.08,3,0.81,07002
7,3,405,396,97.78,4,0.99,5,1.23,07003
7,4,396,380,95.96,6,1.52,10,2.53,07004
7,5,325,315,96.92,3,0.92,7,2.15,07005
7,6,489,470,96.11,9,1.84,10,2.04,07006
7,7,383,375,97.91,5,1.31,3,0.78,07007
7,8,321,308,95.95,8,2.49,5,1.56,07008
7,9,674,652,96.74,12,1.78,10,1.48,07009
7,10,429,416,96.97,4,0.93,9,2.1,07010
7,11,415,403,97.11,6,1.45,6,1.45,07011
7,12,360,353,98.06,2,0.56,5,1.39,07012
7,13,244,232,95.08,5,2.05,7,2.87,07013
7,14,415,398,95.9,10,2.41,7,1.69,07014
7,15,370,357,96.49,2,0.54,11,2.97,07015
7,16,293,286,97.61,5,1.71,2,0.68,07016
7,17,321,308,95.95,9,2.8,4,1.25,07017
7,18,344,325,94.48,9,2.62,10,2.91,07018
7,19,359,347,96.66,6,1.67,6,1.67,07019
7,20,294,289,98.3,1,0.34,4,1.36,07020
7,21,288,275,95.49,6,2.08,7,2.43,07021
7,22,323,307,95.05,6,1.86,10,3.1,07022
7,23,370,362,97.84,3,0.81,5,1.35,07023
7,24,311,305,98.07,4,1.29,2,0.64,07024
7,25,312,293,93.91,13,4.17,6,1.92,07025
7,26,309,301,97.41,4,1.29,4,1.29,07026
7,27,314,308,98.09,4,1.27,2,0.64,07027
7,28,285,278,97.54,2,0.7,5,1.75,07028
7,29,317,308,97.16,4,1.26,5,1.58,07029
7,30,277,265,95.67,4,1.44,8,2.89,07030
7,31,255,248,97.25,4,1.57,3,1.18,07031
7,32,508,494,97.24,4,0.79,10,1.97,07032
7,33,495,483,97.58,8,1.62,4,0.81,07033
7,34,446,438,98.21,2,0.45,6,1.35,07034
7,35,412,398,96.6,8,1.94,6,1.46,07035
7,36,448,435,97.1,6,1.34,7,1.56,07036
7,37,402,385,95.77,9,2.24,8,1.99,07037
7,38,324,320,98.77,2,0.62,2,0.62,07038
7,39,346,333,96.24,4,1.16,9,2.6,07039
7,40,333,325,97.6,1,0.3,7,2.1,07040
7,41,375,363,96.8,4,1.07,8,2.13,07041
7,42,316,307,97.15,3,0.95,6,1.9,07042
7,43,383,370,96.61,11,2.87,2,0.52,07043
7,44,321,317,98.75,2,0.62,2,0.62,07044
7,45,359,352,98.05,4,1.11,3,0.84,07045
7,46,162,159,98.15,2,1.23,1,0.62,07046
8,1,346,334,96.53,6,1.73,6,1.73,08001
8,2,359,351,97.77,6,1.67,2,0.56,08002
8,3,449,436,97.1,3,0.67,10,2.23,08003
8,4,447,438,97.99,1,0.22,8,1.79,08004
8,5,443,432,97.52,6,1.35,5,1.13,08005
8,6,409,399,97.56,4,0.98,6,1.47,08006
8,7,457,447,97.81,2,0.44,8,1.75,08007
8,8,398,395,99.25,3,0.75,0,0.0,08008
8,9,270,262,97.04,2,0.74,6,2.22,08009
8,10,502,484,96.41,4,0.8,14,2.79,08010
8,11,338,324,95.86,7,2.07,7,2.07,08011
8,12,356,348,97.75,3,0.84,5,1.4,08012
8,13,457,443,96.94,7,1.53,7,1.53,08013
8,14,289,285,98.62,1,0.35,3,1.04,08014
8,15,360,348,96.67,6,1.67,6,1.67,08015
8,16,121,118,97.52,3,2.48,0,0.0,08016
8,17,353,351,99.43,1,0.28,1,0.28,08017
8,18,380,372,97.89,4,1.05,4,1.05,08018
8,19,430,423,98.37,4,0.93,3,0.7,08019
8,20,452,439,97.12,4,0.88,9,1.99,08020
8,21,499,482,96.59,6,1.2,11,2.2,08021
8,22,369,361,97.83,3,0.81,5,1.36,08022
8,23,340,330,97.06,2,0.59,8,2.35,08023
8,24,244,237,97.13,3,1.23,4,1.64,08024
8,25,396,383,96.72,7,1.77,6,1.52,08025
8,26,376,365,97.07,5,1.33,6,1.6,08026
8,27,437,426,97.48,4,0.92,7,1.6,08027
8,28,415,405,97.59,5,1.2,5,1.2,08028
8,29,467,452,96.79,6,1.28,9,1.93,08029
8,30,422,409,96.92,8,1.9,5,1.18,08030
8,31,302,298,98.68,2,0.66,2,0.66,08031
8,32,328,324,98.78,0,0.0,4,1.22,08032
8,33,386,376,97.41,1,0.26,9,2.33,08033
8,34,384,374,97.4,3,0.78,7,1.82,08034
8,35,435,418,96.09,7,1.61,10,2.3,08035
8,36,424,417,98.35,2,0.47,5,1.18,08036
8,37,334,326,97.6,4,1.2,4,1.2,08037
8,38,274,265,96.72,1,0.36,8,2.92,08038
8,39,406,397,97.78,2,0.49,7,1.72,08039
8,40,311,302,97.11,3,0.96,6,1.93,08040
8,41,458,450,98.25,3,0.66,5,1.09,08041
8,42,486,473,97.33,5,1.03,8,1.65,08042
8,43,221,215,97.29,4,1.81,2,0.9,08043
8,44,275,271,98.55,1,0.36,3,1.09,08044
8,45,391,379,96.93,7,1.79,5,1.28,08045
8,46,317,310,97.79,4,1.26,3,0.95,08046
8,47,331,323,97.58,5,1.51,3,0.91,08047
8,48,375,364,97.07,2,0.53,9,2.4,08048
8,49,373,364,97.59,3,0.8,6,1.61,08049
8,50,410,399,97.32,4,0.98,7,1.71,08050
8,51,440,429,97.5,4,0.91,7,1.59,08051
8,52,495,484,97.78,1,0.2,10,2.02,08052
8,53,230,221,96.09,3,1.3,6,2.61,08053
8,54,328,322,98.17,0,0.0,6,1.83,08054
8,55,325,317,97.54,3,0.92,5,1.54,08055
8,56,402,396,98.51,1,0.25,5,1.24,08056
9,1,379,369,97.36,5,1.32,5,1.32,09001
9,2,339,331,97.64,4,1.18,4,1.18,09002
9,3,304,295,97.04,3,0.99,6,1.97,09003
9,4,287,284,98.95,2,0.7,1,0.35,09004
9,5,371,369,99.46,1,0.27,1,0.27,09005
9,6,349,339,97.13,2,0.57,8,2.29,09006
9,7,317,306,96.53,6,1.89,5,1.58,09007
9,8,373,366,98.12,2,0.54,5,1.34,09008
9,9,404,387,95.79,5,1.24,12,2.97,09009
9,10,305,300,98.36,3,0.98,2,0.66,09010
9,11,250,242,96.8,3,1.2,5,2.0,09011
9,12,432,420,97.22,3,0.69,9,2.08,09012
9,13,428,421,98.36,3,0.7,4,0.93,09013
9,14,456,451,98.9,3,0.66,2,0.44,09014
9,15,418,411,98.33,2,0.48,5,1.2,09015
9,16,326,314,96.32,2,0.61,10,3.07,09016
9,17,256,252,98.44,3,1.17,1,0.39,09017
9,18,280,273,97.5,2,0.71,5,1.79,09018
9,19,353,346,98.02,1,0.28,6,1.7,09019
9,20,375,365,97.33,2,0.53,8,2.13,09020
9,21,321,315,98.13,5,1.56,1,0.31,09021
9,22,378,372,98.41,2,0.53,4,1.06,09022
9,23,440,430,97.73,4,0.91,6,1.36,09023
9,24,382,374,97.91,4,1.05,4,1.05,09024
9,25,379,369,97.36,4,1.06,6,1.58,09025
9,26,416,407,97.84,5,1.2,4,0.96,09026
9,27,329,324,98.48,3,0.91,2,0.61,09027
9,28,226,214,94.69,4,1.77,8,3.54,09028
9,29,350,342,97.71,4,1.14,4,1.14,09029
9,30,298,287,96.31,7,2.35,4,1.34,09030
9,31,290,280,96.55,5,1.72,5,1.72,09031
9,32,375,361,96.27,10,2.67,4,1.07,09032
9,33,281,277,98.58,2,0.71,2,0.71,09033
9,34,273,269,98.53,3,1.1,1,0.37,09034
9,35,377,372,98.67,2,0.53,3,0.8,09035
9,36,314,309,98.41,2,0.64,3,0.96,09036
9,37,526,470,89.35,42,7.98,14,2.66,09037
9,38,401,388,96.76,5,1.25,8,2.0,09038
9,39,395,388,98.23,2,0.51,5,1.27,09039
9,40,410,401,97.8,4,0.98,5,1.22,09040
9,41,310,308,99.35,2,0.65,0,0.0,09041
9,42,382,371,97.12,5,1.31,6,1.57,09042
9,43,339,334,98.53,3,0.88,2,0.59,09043
9,44,326,318,97.55,1,0.31,7,2.15,09044
9,45,299,291,97.32,4,1.34,4,1.34,09045
9,46,373,359,96.25,10,2.68,4,1.07,09046
9,47,392,388,98.98,3,0.77,1,0.26,09047
9,48,428,421,98.36,3,0.7,4,0.93,09048
9,49,409,399,97.56,4,0.98,6,1.47,09049
9,50,494,481,97.37,3,0.61,10,2.02,09050
9,51,365,353,96.71,4,1.1,8,2.19,09051
10,1,345,327,94.78,12,3.48,6,1.74,10001
10,2,386,282,73.06,85,22.02,19,4.92,10002
10,3,384,293,76.3,78,20.31,13,3.39,10003
10,4,283,264,93.29,12,4.24,7,2.47,10004
10,5,302,227,75.17,63,20.86,12,3.97,10005
10,6,306,262,85.62,31,10.13,13,4.25,10006
10,7,268,226,84.33,28,10.45,14,5.22,10007
10,8,237,224,94.51,9,3.8,4,1.69,10008
10,9,352,264,75.0,80,22.73,8,2.27,10009
10,10,375,314,83.73,49,13.07,12,3.2,10010
10,11,423,369,87.23,38,8.98,16,3.78,10011
10,12,241,201,83.4,31,12.86,9,3.73,10012
10,13,335,316,94.33,14,4.18,5,1.49,10013
10,14,457,385,84.25,61,13.35,11,2.41,10014
10,15,687,665,96.8,10,1.46,12,1.75,10015
10,16,279,223,79.93,49,17.56,7,2.51,10016
10,17,486,382,78.6,89,18.31,15,3.09,10017
10,18,235,223,94.89,8,3.4,4,1.7,10018
10,19,380,303,79.74,64,16.84,13,3.42,10019
10,20,405,342,84.44,49,12.1,14,3.46,10020
10,21,370,311,84.05,45,12.16,14,3.78,10021
10,22,211,190,90.05,12,5.69,9,4.27,10022
10,23,320,289,90.31,19,5.94,12,3.75,10023
10,24,372,282,75.81,84,22.58,6,1.61,10024
10,25,106,101,95.28,3,2.83,2,1.89,10025
10,26,279,255,91.4,14,5.02,10,3.58,10026
10,27,357,330,92.44,17,4.76,10,2.8,10027
10,28,403,348,86.35,42,10.42,13,3.23,10028
10,29,327,284,86.85,32,9.79,11,3.36,10029
10,30,309,275,89.0,19,6.15,15,4.85,10030
10,31,274,255,93.07,13,4.74,6,2.19,10031
10,32,371,305,82.21,55,14.82,11,2.96,10032
10,33,251,227,90.44,17,6.77,7,2.79,10033
10,34,254,236,92.91,12,4.72,6,2.36,10034
10,35,434,332,76.5,89,20.51,13,3.0,10035
10,36,98,90,91.84,6,6.12,2,2.04,10036
11,1,439,356,81.09,55,12.53,28,6.38,11001
11,2,33,26,78.79,5,15.15,2,6.06,11002
11,3,443,399,90.07,24,5.42,20,4.51,11003
11,4,378,323,85.45,43,11.38,12,3.17,11004
11,5,559,489,87.48,51,9.12,19,3.4,11005
11,6,731,632,86.46,72,9.85,27,3.69,11006
11,7,687,616,89.67,50,7.28,21,3.06,11007
11,8,437,375,85.81,48,10.98,14,3.2,11008
11,9,358,286,79.89,56,15.64,16,4.47,11009
11,10,407,355,87.22,38,9.34,14,3.44,11010
11,11,486,385,79.22,80,16.46,21,4.32,11011
11,12,596,466,78.19,114,19.13,16,2.68,11012
11,13,530,390,73.58,121,22.83,19,3.58,11013
11,14,254,212,83.46,34,13.39,8,3.15,11014
11,15,175,148,84.57,21,12.0,6,3.43,11015
11,16,312,245,78.53,57,18.27,10,3.21,11016
11,17,545,459,84.22,62,11.38,24,4.4,11017
11,18,339,287,84.66,48,14.16,4,1.18,11018
11,19,552,474,85.87,62,11.23,16,2.9,11019
11,20,305,265,86.89,29,9.51,11,3.61,11020
11,21,563,491,87.21,60,10.66,12,2.13,11021
11,22,509,426,83.69,64,12.57,19,3.73,11022
11,23,276,242,87.68,29,10.51,5,1.81,11023
11,24,513,451,87.91,56,10.92,6,1.17,11024
11,25,577,486,84.23,79,13.69,12,2.08,11025
11,26,522,436,83.52,74,14.18,12,2.3,11026
11,27,150,127,84.67,19,12.67,4,2.67,11027
11,28,200,152,76.0,42,21.0,6,3.0,11028
11,29,499,418,83.77,69,13.83,12,2.4,11029
11,30,235,189,80.43,40,17.02,6,2.55,11030
11,31,436,346,79.36,81,18.58,9,2.06,11031
11,32,220,182,82.73,33,15.0,5,2.27,11032
11,33,571,477,83.54,75,13.13,19,3.33,11033
11,34,173,142,82.08,23,13.29,8,4.62,11034
11,35,128,107,83.59,20,15.63,1,0.78,11035
11,36,187,164,87.7,20,10.7,3,1.6,11036
11,37,131,114,87.02,14,10.69,3,2.29,11037
11,38,243,207,85.19,21,8.64,15,6.17,11038
12,1,368,313,85.05,27,7.34,28,7.61,12001
12,2,346,317,91.62,24,6.94,5,1.45,12002
12,3,498,442,88.76,37,7.43,19,3.82,12003
12,4,410,358,87.32,30,7.32,22,5.37,12004
12,5,342,278,81.29,52,15.2,12,3.51,12005
12,6,385,335,87.01,29,7.53,21,5.45,12006
12,7,348,318,91.38,22,6.32,8,2.3,12007
12,8,413,349,84.5,44,10.65,20,4.84,12008
12,9,332,289,87.05,32,9.64,11,3.31,12009
12,10,436,391,89.68,19,4.36,26,5.96,12010
12,11,384,354,92.19,17,4.43,13,3.39,12011
12,12,384,337,87.76,26,6.77,21,5.47,12012
12,13,373,339,90.88,21,5.63,13,3.49,12013
12,14,334,311,93.11,11,3.29,12,3.59,12014
12,15,283,264,93.29,11,3.89,8,2.83,12015
12,16,335,312,93.13,14,4.18,9,2.69,12016
12,17,378,336,88.89,26,6.88,16,4.23,12017
12,18,330,301,91.21,10,3.03,19,5.76,12018
12,19,385,344,89.35,27,7.01,14,3.64,12019
12,20,454,409,90.09,30,6.61,15,3.3,12020
12,21,365,325,89.04,26,7.12,14,3.84,12021
12,22,311,295,94.86,7,2.25,9,2.89,12022
12,23,388,334,86.08,38,9.79,16,4.12,12023
13,1,301,246,81.73,47,15.61,8,2.66,13001
13,2,310,244,78.71,57,18.39,9,2.9,13002
13,3,285,261,91.58,19,6.67,5,1.75,13003
13,4,364,271,74.45,81,22.25,12,3.3,13004
13,5,405,363,89.63,30,7.41,12,2.96,13005
