ward,precinct,total,Robert Harris,Robert Harris Percent,precinct_id
5,14,321,321,100.0,05014
5,15,357,357,100.0,05015
5,16,358,358,100.0,05016
5,17,308,308,100.0,05017
5,18,386,386,100.0,05018
5,19,400,400,100.0,05019
5,20,486,486,100.0,05020
5,21,449,449,100.0,05021
5,22,460,460,100.0,05022
5,23,691,691,100.0,05023
5,24,453,453,100.0,05024
5,25,364,364,100.0,05025
5,26,396,396,100.0,05026
5,27,476,476,100.0,05027
5,28,413,413,100.0,05028
5,29,409,409,100.0,05029
5,30,248,248,100.0,05030
5,31,293,293,100.0,05031
5,32,484,484,100.0,05032
5,33,421,421,100.0,05033
5,34,476,476,100.0,05034
5,35,504,504,100.0,05035
5,36,205,205,100.0,05036
5,37,438,438,100.0,05037
5,38,323,323,100.0,05038
5,39,325,325,100.0,05039
5,40,285,285,100.0,05040
5,41,228,228,100.0,05041
6,7,292,292,100.0,06007
6,9,262,262,100.0,06009
6,11,265,265,100.0,06011
6,15,204,204,100.0,06015
6,18,24,24,100.0,06018
6,21,150,150,100.0,06021
6,23,159,159,100.0,06023
6,24,159,159,100.0,06024
6,26,197,197,100.0,06026
6,28,150,150,100.0,06028
6,30,214,214,100.0,06030
6,32,299,299,100.0,06032
6,40,87,87,100.0,06040
6,48,325,325,100.0,06048
7,1,276,276,100.0,07001
7,2,297,297,100.0,07002
7,3,326,326,100.0,07003
7,4,311,311,100.0,07004
7,5,252,252,100.0,07005
7,6,390,390,100.0,07006
7,8,256,256,100.0,07008
7,9,518,518,100.0,07009
7,13,24,24,100.0,07013
8,1,246,246,100.0,08001
8,2,247,247,100.0,08002
8,26,84,84,100.0,08026
8,42,388,388,100.0,08042
11,12,358,358,100.0,11012
11,13,290,290,100.0,11013
11,14,139,139,100.0,11014
11,15,116,116,100.0,11015
11,16,181,181,100.0,11016
11,18,209,209,100.0,11018
11,20,195,195,100.0,11020
11,23,178,178,100.0,11023
11,27,106,106,100.0,11027
11,28,133,133,100.0,11028
11,32,136,136,100.0,11032
11,34,97,97,100.0,11034
11,35,65,65,100.0,11035
15,2,178,178,100.0,15002
15,3,183,183,100.0,15003
15,7,179,179,100.0,15007
15,17,191,191,100.0,15017
15,18,162,162,100.0,15018
15,20,190,190,100.0,15020
15,21,164,164,100.0,15021
15,22,103,103,100.0,15022
15,23,213,213,100.0,15023
15,24,147,147,100.0,15024
16,2,151,151,100.0,16002
16,3,180,180,100.0,16003
16,5,152,152,100.0,16005
16,6,194,194,100.0,16006
16,8,152,152,100.0,16008
16,9,233,233,100.0,16009
16,10,188,188,100.0,16010
16,11,18,18,100.0,16011
16,12,194,194,100.0,16012
16,14,158,158,100.0,16014
16,15,223,223,100.0,16015
16,16,198,198,100.0,16016
16,20,171,171,100.0,16020
16,21,179,179,100.0,16021
16,24,108,108,100.0,16024
16,25,255,255,100.0,16025
16,26,156,156,100.0,16026
16,27,179,179,100.0,16027
16,28,178,178,100.0,16028
16,29,172,172,100.0,16029
16,30,176,176,100.0,16030
16,31,225,225,100.0,16031
16,33,190,190,100.0,16033
16,34,205,205,100.0,16034
16,36,176,176,100.0,16036
17,8,29,29,100.0,17008
17,13,228,228,100.0,17013
17,19,59,59,100.0,17019
17,35,92,92,100.0,17035
17,36,101,101,100.0,17036
20,1,294,294,100.0,20001
20,2,110,110,100.0,20002
20,3,260,260,100.0,20003
20,4,111,111,100.0,20004
20,5,332,332,100.0,20005
20,6,132,132,100.0,20006
20,7,309,309,100.0,20007
20,8,269,269,100.0,20008
20,9,432,432,100.0,20009
20,10,197,197,100.0,20010
20,11,386,386,100.0,20011
20,12,228,228,100.0,20012
20,13,307,307,100.0,20013
20,14,129,129,100.0,20014
20,16,336,336,100.0,20016
20,17,17,17,100.0,20017
20,18,200,200,100.0,20018
20,19,295,295,100.0,20019
20,21,198,198,100.0,20021
20,22,392,392,100.0,20022
20,23,321,321,100.0,20023
20,24,340,340,100.0,20024
20,25,193,193,100.0,20025
20,26,296,296,100.0,20026
20,27,143,143,100.0,20027
20,28,190,190,100.0,20028
20,29,322,322,100.0,20029
20,30,131,131,100.0,20030
20,31,344,344,100.0,20031
20,32,272,272,100.0,20032
20,33,179,179,100.0,20033
20,34,510,510,100.0,20034
20,35,206,206,100.0,20035
20,36,99,99,100.0,20036
20,37,87,87,100.0,20037
20,38,92,92,100.0,20038
20,39,19,19,100.0,20039
