ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,precinct_id
27,45,711,711,100.0,27045
27,46,279,279,100.0,27046
27,47,231,231,100.0,27047
27,48,684,684,100.0,27048
28,19,245,245,100.0,28019
28,46,538,538,100.0,28046
29,1,456,456,100.0,29001
29,7,355,355,100.0,29007
29,9,381,381,100.0,29009
29,10,455,455,100.0,29010
29,23,379,379,100.0,29023
29,29,281,281,100.0,29029
29,30,465,465,100.0,29030
29,31,303,303,100.0,29031
29,32,294,294,100.0,29032
29,38,348,348,100.0,29038
29,39,293,293,100.0,29039
29,43,451,451,100.0,29043
30,1,392,392,100.0,30001
30,2,335,335,100.0,30002
30,3,303,303,100.0,30003
30,4,315,315,100.0,30004
30,5,235,235,100.0,30005
30,7,377,377,100.0,30007
30,8,442,442,100.0,30008
30,9,270,270,100.0,30009
30,10,341,341,100.0,30010
30,12,281,281,100.0,30012
30,13,335,335,100.0,30013
30,14,225,225,100.0,30014
30,15,343,343,100.0,30015
30,16,159,159,100.0,30016
30,17,332,332,100.0,30017
30,18,454,454,100.0,30018
30,19,312,312,100.0,30019
30,20,365,365,100.0,30020
30,21,237,237,100.0,30021
30,22,493,493,100.0,30022
30,23,391,391,100.0,30023
30,24,461,461,100.0,30024
30,25,503,503,100.0,30025
30,26,210,210,100.0,30026
30,27,221,221,100.0,30027
30,28,370,370,100.0,30028
30,29,200,200,100.0,30029
30,30,147,147,100.0,30030
30,31,231,231,100.0,30031
30,32,278,278,100.0,30032
31,1,213,213,100.0,31001
31,2,194,194,100.0,31002
31,3,179,179,100.0,31003
31,4,330,330,100.0,31004
31,5,252,252,100.0,31005
31,6,167,167,100.0,31006
31,7,396,396,100.0,31007
31,8,191,191,100.0,31008
31,9,210,210,100.0,31009
31,10,209,209,100.0,31010
31,11,172,172,100.0,31011
31,12,204,204,100.0,31012
31,13,238,238,100.0,31013
31,14,196,196,100.0,31014
31,15,205,205,100.0,31015
31,16,295,295,100.0,31016
31,17,201,201,100.0,31017
31,18,215,215,100.0,31018
31,19,208,208,100.0,31019
31,20,202,202,100.0,31020
31,21,208,208,100.0,31021
31,22,202,202,100.0,31022
31,23,229,229,100.0,31023
31,24,212,212,100.0,31024
31,25,213,213,100.0,31025
31,26,248,248,100.0,31026
31,27,239,239,100.0,31027
31,28,191,191,100.0,31028
31,29,244,244,100.0,31029
31,30,181,181,100.0,31030
31,31,172,172,100.0,31031
31,32,182,182,100.0,31032
31,33,184,184,100.0,31033
31,34,210,210,100.0,31034
31,35,243,243,100.0,31035
31,36,250,250,100.0,31036
31,37,223,223,100.0,31037
31,38,179,179,100.0,31038
31,39,273,273,100.0,31039
31,40,265,265,100.0,31040
31,41,193,193,100.0,31041
32,1,513,513,100.0,32001
32,2,486,486,100.0,32002
32,3,522,522,100.0,32003
32,4,429,429,100.0,32004
32,5,481,481,100.0,32005
32,6,565,565,100.0,32006
32,7,497,497,100.0,32007
32,8,560,560,100.0,32008
32,9,431,431,100.0,32009
32,10,470,470,100.0,32010
32,11,455,455,100.0,32011
32,12,354,354,100.0,32012
32,13,480,480,100.0,32013
32,14,513,513,100.0,32014
32,15,460,460,100.0,32015
32,16,477,477,100.0,32016
32,17,494,494,100.0,32017
32,18,411,411,100.0,32018
32,19,474,474,100.0,32019
32,20,475,475,100.0,32020
32,21,482,482,100.0,32021
32,22,620,620,100.0,32022
32,23,514,514,100.0,32023
32,24,339,339,100.0,32024
32,25,480,480,100.0,32025
32,26,543,543,100.0,32026
32,27,435,435,100.0,32027
32,28,507,507,100.0,32028
32,29,539,539,100.0,32029
32,30,448,448,100.0,32030
32,31,501,501,100.0,32031
32,32,535,535,100.0,32032
32,33,479,479,100.0,32033
32,34,539,539,100.0,32034
32,35,484,484,100.0,32035
32,36,501,501,100.0,32036
32,37,480,480,100.0,32037
32,38,435,435,100.0,32038
32,39,493,493,100.0,32039
32,40,518,518,100.0,32040
32,41,483,483,100.0,32041
32,42,413,413,100.0,32042
32,43,478,478,100.0,32043
33,1,453,453,100.0,33001
33,2,559,559,100.0,33002
33,3,651,651,100.0,33003
33,4,611,611,100.0,33004
33,5,417,417,100.0,33005
33,6,405,405,100.0,33006
33,7,517,517,100.0,33007
33,8,626,626,100.0,33008
33,9,515,515,100.0,33009
33,10,423,423,100.0,33010
33,11,512,512,100.0,33011
33,12,443,443,100.0,33012
33,13,467,467,100.0,33013
33,14,232,232,100.0,33014
33,15,466,466,100.0,33015
33,16,603,603,100.0,33016
33,17,510,510,100.0,33017
33,18,637,637,100.0,33018
33,19,507,507,100.0,33019
33,20,553,553,100.0,33020
33,21,502,502,100.0,33021
33,22,414,414,100.0,33022
33,23,501,501,100.0,33023
33,24,611,611,100.0,33024
33,25,573,573,100.0,33025
33,26,396,396,100.0,33026
33,27,522,522,100.0,33027
33,28,464,464,100.0,33028
35,1,411,411,100.0,35001
35,2,460,460,100.0,35002
35,3,383,383,100.0,35003
35,4,386,386,100.0,35004
35,5,371,371,100.0,35005
35,6,373,373,100.0,35006
35,7,431,431,100.0,35007
35,8,440,440,100.0,35008
35,9,326,326,100.0,35009
35,10,550,550,100.0,35010
35,11,459,459,100.0,35011
35,12,267,267,100.0,35012
35,13,267,267,100.0,35013
35,14,282,282,100.0,35014
35,15,497,497,100.0,35015
35,16,215,215,100.0,35016
35,17,469,469,100.0,35017
35,18,255,255,100.0,35018
35,19,201,201,100.0,35019
35,20,360,360,100.0,35020
35,21,349,349,100.0,35021
35,22,511,511,100.0,35022
35,23,408,408,100.0,35023
35,24,360,360,100.0,35024
35,25,473,473,100.0,35025
35,26,351,351,100.0,35026
35,27,338,338,100.0,35027
35,28,390,390,100.0,35028
35,29,339,339,100.0,35029
35,30,373,373,100.0,35030
35,31,408,408,100.0,35031
36,1,296,296,100.0,36001
36,3,279,279,100.0,36003
36,4,195,195,100.0,36004
36,6,259,259,100.0,36006
36,7,331,331,100.0,36007
36,8,229,229,100.0,36008
36,9,281,281,100.0,36009
36,10,355,355,100.0,36010
36,11,214,214,100.0,36011
36,12,190,190,100.0,36012
36,13,215,215,100.0,36013
36,14,324,324,100.0,36014
36,15,307,307,100.0,36015
36,16,322,322,100.0,36016
36,17,339,339,100.0,36017
36,18,314,314,100.0,36018
36,19,352,352,100.0,36019
36,20,333,333,100.0,36020
36,22,179,179,100.0,36022
36,24,295,295,100.0,36024
36,25,299,299,100.0,36025
36,26,270,270,100.0,36026
36,27,301,301,100.0,36027
36,28,255,255,100.0,36028
36,29,312,312,100.0,36029
36,30,300,300,100.0,36030
37,10,103,103,100.0,37010
37,22,54,54,100.0,37022
38,1,315,315,100.0,38001
38,2,263,263,100.0,38002
38,3,285,285,100.0,38003
38,4,278,278,100.0,38004
38,5,291,291,100.0,38005
38,6,276,276,100.0,38006
38,7,259,259,100.0,38007
38,8,273,273,100.0,38008
38,9,325,325,100.0,38009
38,10,243,243,100.0,38010
38,11,276,276,100.0,38011
38,12,250,250,100.0,38012
38,13,284,284,100.0,38013
38,14,327,327,100.0,38014
38,15,280,280,100.0,38015
38,16,288,288,100.0,38016
38,17,363,363,100.0,38017
38,18,344,344,100.0,38018
38,19,365,365,100.0,38019
38,20,286,286,100.0,38020
38,21,274,274,100.0,38021
38,22,310,310,100.0,38022
38,23,339,339,100.0,38023
38,24,296,296,100.0,38024
38,25,284,284,100.0,38025
38,26,326,326,100.0,38026
38,27,292,292,100.0,38027
38,28,335,335,100.0,38028
38,29,307,307,100.0,38029
38,30,287,287,100.0,38030
38,31,322,322,100.0,38031
38,32,310,310,100.0,38032
38,33,320,320,100.0,38033
38,34,328,328,100.0,38034
38,35,329,329,100.0,38035
38,36,300,300,100.0,38036
38,37,316,316,100.0,38037
38,38,290,290,100.0,38038
38,39,358,358,100.0,38039
38,40,324,324,100.0,38040
38,41,316,316,100.0,38041
39,1,341,341,100.0,39001
39,2,257,257,100.0,39002
39,3,398,398,100.0,39003
39,4,291,291,100.0,39004
39,5,362,362,100.0,39005
39,6,341,341,100.0,39006
39,7,331,331,100.0,39007
39,8,365,365,100.0,39008
39,9,330,330,100.0,39009
39,10,189,189,100.0,39010
39,11,314,314,100.0,39011
39,12,498,498,100.0,39012
39,13,279,279,100.0,39013
39,14,388,388,100.0,39014
39,15,342,342,100.0,39015
39,16,269,269,100.0,39016
39,17,365,365,100.0,39017
39,18,346,346,100.0,39018
39,19,363,363,100.0,39019
39,20,386,386,100.0,39020
39,21,300,300,100.0,39021
39,22,299,299,100.0,39022
39,23,337,337,100.0,39023
39,24,384,384,100.0,39024
39,25,328,328,100.0,39025
39,26,296,296,100.0,39026
39,27,65,65,100.0,39027
39,28,453,453,100.0,39028
39,29,213,213,100.0,39029
39,30,452,452,100.0,39030
39,31,324,324,100.0,39031
39,32,259,259,100.0,39032
39,33,405,405,100.0,39033
39,34,383,383,100.0,39034
39,35,358,358,100.0,39035
39,36,108,108,100.0,39036
39,37,327,327,100.0,39037
39,38,195,195,100.0,39038
39,39,228,228,100.0,39039
39,40,292,292,100.0,39040
39,41,344,344,100.0,39041
39,42,320,320,100.0,39042
39,43,328,328,100.0,39043
39,44,248,248,100.0,39044
39,45,300,300,100.0,39045
40,1,327,327,100.0,40001
40,2,352,352,100.0,40002
40,3,559,559,100.0,40003
40,4,223,223,100.0,40004
40,5,448,448,100.0,40005
40,6,567,567,100.0,40006
40,7,448,448,100.0,40007
40,8,585,585,100.0,40008
40,9,328,328,100.0,40009
40,10,372,372,100.0,40010
40,11,455,455,100.0,40011
40,12,383,383,100.0,40012
40,13,736,736,100.0,40013
40,14,327,327,100.0,40014
40,15,371,371,100.0,40015
40,16,617,617,100.0,40016
40,17,349,349,100.0,40017
40,18,335,335,100.0,40018
40,19,473,473,100.0,40019
40,20,419,419,100.0,40020
40,21,486,486,100.0,40021
40,22,510,510,100.0,40022
40,23,546,546,100.0,40023
40,24,350,350,100.0,40024
40,25,557,557,100.0,40025
40,26,503,503,100.0,40026
40,27,575,575,100.0,40027
40,28,487,487,100.0,40028
40,29,381,381,100.0,40029
40,30,323,323,100.0,40030
40,31,518,518,100.0,40031
40,32,511,511,100.0,40032
40,33,459,459,100.0,40033
40,34,341,341,100.0,40034
40,35,281,281,100.0,40035
40,36,391,391,100.0,40036
40,37,398,398,100.0,40037
40,38,570,570,100.0,40038
40,39,158,158,100.0,40039
41,1,273,273,100.0,41001
41,2,258,258,100.0,41002
41,4,318,318,100.0,41004
41,6,378,378,100.0,41006
41,9,312,312,100.0,41009
41,10,335,335,100.0,41010
41,11,58,58,100.0,41011
41,12,328,328,100.0,41012
41,14,349,349,100.0,41014
41,16,138,138,100.0,41016
41,19,344,344,100.0,41019
41,22,18,18,100.0,41022
41,24,263,263,100.0,41024
41,27,139,139,100.0,41027
41,32,263,263,100.0,41032
41,35,15,15,100.0,41035
41,39,328,328,100.0,41039
41,40,288,288,100.0,41040
41,42,273,273,100.0,41042
41,44,271,271,100.0,41044
41,47,318,318,100.0,41047
42,1,376,376,100.0,42001
42,3,507,507,100.0,42003
42,5,405,405,100.0,42005
42,9,385,385,100.0,42009
42,12,385,385,100.0,42012
42,14,609,609,100.0,42014
42,15,508,508,100.0,42015
42,16,495,495,100.0,42016
42,17,611,611,100.0,42017
42,18,536,536,100.0,42018
42,19,148,148,100.0,42019
