ward,precinct,total,Pamela Reaves-Harris,Pamela Reaves-Harris Percent,Derrick Smith,Derrick Smith Percent,Beverly Perteet,Beverly Perteet Percent,Eddie Winters,Eddie Winters Percent,Antwan D. Hampton,Antwan D. Hampton Percent,precinct_id
27,50,100,28,28.0,52,52.0,5,5.0,15,15.0,0,0.0,27050
28,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28001
28,2,85,40,47.06,28,32.94,6,7.06,9,10.59,2,2.35,28002
28,3,70,29,41.43,30,42.86,4,5.71,6,8.57,1,1.43,28003
28,7,94,48,51.06,29,30.85,4,4.26,9,9.57,4,4.26,28007
28,9,95,47,49.47,41,43.16,3,3.16,4,4.21,0,0.0,28009
28,13,108,52,48.15,52,48.15,0,0.0,1,0.93,3,2.78,28013
28,15,46,25,54.35,16,34.78,3,6.52,1,2.17,1,2.17,28015
28,16,69,44,63.77,17,24.64,0,0.0,8,11.59,0,0.0,28016
28,17,78,46,58.97,25,32.05,3,3.85,4,5.13,0,0.0,28017
28,20,96,36,37.5,38,39.58,3,3.13,16,16.67,3,3.13,28020
28,21,89,46,51.69,28,31.46,8,8.99,4,4.49,3,3.37,28021
28,22,88,48,54.55,33,37.5,2,2.27,5,5.68,0,0.0,28022
28,23,130,66,50.77,54,41.54,3,2.31,6,4.62,1,0.77,28023
28,24,81,33,40.74,40,49.38,1,1.23,5,6.17,2,2.47,28024
28,25,144,86,59.72,48,33.33,3,2.08,4,2.78,3,2.08,28025
28,26,116,55,47.41,40,34.48,5,4.31,13,11.21,3,2.59,28026
28,30,29,11,37.93,17,58.62,1,3.45,0,0.0,0,0.0,28030
28,32,44,22,50.0,15,34.09,4,9.09,2,4.55,1,2.27,28032
28,33,118,53,44.92,50,42.37,4,3.39,9,7.63,2,1.69,28033
28,36,63,32,50.79,25,39.68,2,3.17,3,4.76,1,1.59,28036
28,37,122,73,59.84,30,24.59,4,3.28,13,10.66,2,1.64,28037
28,38,54,17,31.48,30,55.56,3,5.56,3,5.56,1,1.85,28038
28,40,141,69,48.94,53,37.59,5,3.55,8,5.67,6,4.26,28040
28,42,20,6,30.0,13,65.0,0,0.0,0,0.0,1,5.0,28042
28,44,95,38,40.0,41,43.16,1,1.05,12,12.63,3,3.16,28044
29,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29006
32,2,33,23,69.7,5,15.15,1,3.03,4,12.12,0,0.0,32002
32,4,55,34,61.82,4,7.27,4,7.27,10,18.18,3,5.45,32004
32,5,40,14,35.0,3,7.5,4,10.0,15,37.5,4,10.0,32005
32,6,32,19,59.38,0,0.0,3,9.38,10,31.25,0,0.0,32006
32,29,53,25,47.17,13,24.53,2,3.77,11,20.75,2,3.77,32029
32,31,42,23,54.76,7,16.67,4,9.52,8,19.05,0,0.0,32031
32,32,39,10,25.64,7,17.95,1,2.56,18,46.15,3,7.69,32032
32,33,27,12,44.44,4,14.81,5,18.52,5,18.52,1,3.7,32033
32,34,22,13,59.09,4,18.18,0,0.0,2,9.09,3,13.64,32034
32,35,34,23,67.65,5,14.71,1,2.94,1,2.94,4,11.76,32035
32,36,3,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,32036
32,37,13,8,61.54,2,15.38,0,0.0,1,7.69,2,15.38,32037
37,2,52,25,48.08,19,36.54,5,9.62,2,3.85,1,1.92,37002
37,3,57,20,35.09,30,52.63,1,1.75,3,5.26,3,5.26,37003
37,4,80,31,38.75,27,33.75,9,11.25,10,12.5,3,3.75,37004
37,7,62,22,35.48,30,48.39,7,11.29,3,4.84,0,0.0,37007
37,8,70,23,32.86,39,55.71,2,2.86,4,5.71,2,2.86,37008
37,12,26,10,38.46,13,50.0,1,3.85,1,3.85,1,3.85,37012
37,13,81,25,30.86,43,53.09,4,4.94,8,9.88,1,1.23,37013
37,14,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,37014
37,19,65,33,50.77,23,35.38,1,1.54,6,9.23,2,3.08,37019
37,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37020
37,21,78,31,39.74,34,43.59,3,3.85,8,10.26,2,2.56,37021
37,22,8,3,37.5,3,37.5,2,25.0,0,0.0,0,0.0,37022
37,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37027
37,28,78,32,41.03,33,42.31,4,5.13,8,10.26,1,1.28,37028
37,30,16,8,50.0,8,50.0,0,0.0,0,0.0,0,0.0,37030
43,5,5,1,20.0,1,20.0,0,0.0,3,60.0,0,0.0,43005
43,7,68,36,52.94,20,29.41,2,2.94,9,13.24,1,1.47,43007
43,10,42,25,59.52,5,11.9,0,0.0,11,26.19,1,2.38,43010
43,11,40,24,60.0,5,12.5,0,0.0,11,27.5,0,0.0,43011
43,23,29,15,51.72,2,6.9,1,3.45,11,37.93,0,0.0,43023
