ward,precinct,total,"Alfred M. Swanson, Jr.","Alfred M. Swanson, Jr. Percent",precinct_id
3,29,85,29,34.12,03029
3,30,118,42,35.59,03030
3,31,131,48,36.64,03031
3,32,79,24,30.38,03032
3,33,55,25,45.45,03033
3,34,83,29,34.94,03034
3,35,49,14,28.57,03035
3,36,47,16,34.04,03036
3,37,78,28,35.9,03037
3,38,184,60,32.61,03038
3,39,33,12,36.36,03039
3,40,126,53,42.06,03040
3,41,101,47,46.53,03041
4,1,115,60,52.17,04001
4,2,84,33,39.29,04002
4,3,116,50,43.1,04003
4,4,140,50,35.71,04004
4,5,86,30,34.88,04005
4,6,182,84,46.15,04006
4,7,183,71,38.8,04007
4,8,190,79,41.58,04008
4,9,239,103,43.1,04009
4,10,107,44,41.12,04010
4,11,122,48,39.34,04011
4,12,148,52,35.14,04012
4,13,26,9,34.62,04013
4,14,129,61,47.29,04014
4,15,149,49,32.89,04015
4,16,52,21,40.38,04016
4,17,59,25,42.37,04017
4,18,143,34,23.78,04018
4,19,143,41,28.67,04019
4,20,109,51,46.79,04020
4,21,59,21,35.59,04021
4,22,104,46,44.23,04022
4,23,116,55,47.41,04023
4,24,121,55,45.45,04024
4,25,80,21,26.25,04025
4,26,132,46,34.85,04026
4,27,95,39,41.05,04027
4,28,173,55,31.79,04028
4,29,98,35,35.71,04029
4,30,118,44,37.29,04030
4,31,227,84,37.0,04031
4,32,126,51,40.48,04032
4,33,151,55,36.42,04033
4,34,105,44,41.9,04034
4,35,211,72,34.12,04035
4,36,155,53,34.19,04036
4,37,86,34,39.53,04037
4,38,191,67,35.08,04038
5,1,56,17,30.36,05001
5,2,84,23,27.38,05002
5,3,80,35,43.75,05003
5,4,108,36,33.33,05004
5,5,137,40,29.2,05005
5,6,92,32,34.78,05006
5,7,109,33,30.28,05007
5,8,87,42,48.28,05008
5,9,103,44,42.72,05009
5,10,76,31,40.79,05010
5,11,115,58,50.43,05011
5,12,65,14,21.54,05012
5,13,104,36,34.62,05013
5,14,134,50,37.31,05014
5,15,132,48,36.36,05015
5,16,104,23,22.12,05016
5,17,105,33,31.43,05017
5,18,87,33,37.93,05018
5,19,94,41,43.62,05019
5,20,110,48,43.64,05020
5,21,85,32,37.65,05021
5,22,93,37,39.78,05022
5,23,128,51,39.84,05023
5,24,93,37,39.78,05024
5,25,123,44,35.77,05025
5,26,74,27,36.49,05026
5,27,45,28,62.22,05027
5,28,137,60,43.8,05028
5,29,106,45,42.45,05029
5,30,72,21,29.17,05030
5,31,63,18,28.57,05031
5,32,131,49,37.4,05032
5,33,123,42,34.15,05033
5,34,76,31,40.79,05034
5,35,97,42,43.3,05035
5,36,109,33,30.28,05036
5,37,142,63,44.37,05037
5,38,78,26,33.33,05038
5,39,77,34,44.16,05039
5,40,92,36,39.13,05040
5,41,101,37,36.63,05041
6,1,154,65,42.21,06001
6,2,118,47,39.83,06002
6,3,144,58,40.28,06003
6,4,72,29,40.28,06004
6,5,81,27,33.33,06005
6,6,128,51,39.84,06006
6,7,99,33,33.33,06007
6,8,144,45,31.25,06008
6,9,80,34,42.5,06009
6,10,65,29,44.62,06010
6,11,97,35,36.08,06011
6,12,67,23,34.33,06012
6,13,90,33,36.67,06013
6,14,92,33,35.87,06014
6,15,69,23,33.33,06015
6,16,145,46,31.72,06016
6,17,77,26,33.77,06017
6,18,84,29,34.52,06018
6,19,108,48,44.44,06019
6,20,63,25,39.68,06020
6,21,50,13,26.0,06021
6,22,61,20,32.79,06022
6,23,58,22,37.93,06023
6,24,45,14,31.11,06024
6,25,57,28,49.12,06025
6,26,57,19,33.33,06026
6,27,56,22,39.29,06027
6,28,56,20,35.71,06028
6,29,150,69,46.0,06029
6,30,76,26,34.21,06030
6,31,128,38,29.69,06031
6,32,92,28,30.43,06032
6,33,112,47,41.96,06033
6,34,107,40,37.38,06034
6,35,99,30,30.3,06035
6,36,132,63,47.73,06036
6,37,158,65,41.14,06037
6,38,136,46,33.82,06038
6,39,87,34,39.08,06039
6,40,98,42,42.86,06040
6,41,125,47,37.6,06041
6,42,100,25,25.0,06042
6,43,99,32,32.32,06043
6,44,99,32,32.32,06044
6,45,129,50,38.76,06045
6,46,92,34,36.96,06046
6,47,79,31,39.24,06047
6,48,103,45,43.69,06048
7,1,93,26,27.96,07001
7,2,86,25,29.07,07002
7,3,124,38,30.65,07003
7,4,128,36,28.13,07004
7,5,75,30,40.0,07005
7,6,115,48,41.74,07006
7,7,69,21,30.43,07007
7,8,92,34,36.96,07008
7,9,188,81,43.09,07009
7,10,131,48,36.64,07010
7,11,84,34,40.48,07011
7,12,84,26,30.95,07012
7,13,101,35,34.65,07013
7,14,79,27,34.18,07014
7,15,143,48,33.57,07015
7,16,58,23,39.66,07016
7,17,86,26,30.23,07017
7,18,67,27,40.3,07018
7,19,108,35,32.41,07019
7,20,71,19,26.76,07020
7,21,65,17,26.15,07021
7,22,56,20,35.71,07022
7,23,148,46,31.08,07023
7,24,129,40,31.01,07024
7,25,79,23,29.11,07025
7,26,100,32,32.0,07026
7,27,83,31,37.35,07027
7,28,63,14,22.22,07028
7,29,77,29,37.66,07029
7,30,67,18,26.87,07030
7,31,42,15,35.71,07031
7,32,184,76,41.3,07032
7,33,190,66,34.74,07033
7,34,151,66,43.71,07034
7,35,70,22,31.43,07035
7,36,136,59,43.38,07036
7,37,119,43,36.13,07037
7,38,84,27,32.14,07038
7,39,86,32,37.21,07039
7,40,115,39,33.91,07040
7,41,87,33,37.93,07041
7,42,85,42,49.41,07042
7,43,110,34,30.91,07043
7,44,73,30,41.1,07044
7,45,71,21,29.58,07045
7,46,60,24,40.0,07046
8,1,61,29,47.54,08001
8,2,80,36,45.0,08002
8,3,199,90,45.23,08003
8,4,153,83,54.25,08004
8,5,197,75,38.07,08005
8,6,126,57,45.24,08006
8,7,165,53,32.12,08007
8,8,164,50,30.49,08008
8,9,85,39,45.88,08009
8,10,189,80,42.33,08010
8,11,132,67,50.76,08011
8,12,114,34,29.82,08012
8,13,99,41,41.41,08013
8,14,55,20,36.36,08014
8,15,78,23,29.49,08015
8,16,23,10,43.48,08016
8,17,115,58,50.43,08017
8,18,92,36,39.13,08018
8,19,170,70,41.18,08019
8,20,122,58,47.54,08020
8,21,126,59,46.83,08021
8,22,108,50,46.3,08022
8,23,88,37,42.05,08023
8,24,76,31,40.79,08024
8,25,113,43,38.05,08025
8,26,95,32,33.68,08026
8,27,151,80,52.98,08027
8,28,119,52,43.7,08028
8,29,147,72,48.98,08029
8,30,111,48,43.24,08030
8,31,102,34,33.33,08031
8,32,99,35,35.35,08032
8,33,114,39,34.21,08033
8,34,109,54,49.54,08034
8,35,131,44,33.59,08035
8,36,122,39,31.97,08036
8,37,106,41,38.68,08037
8,38,63,32,50.79,08038
8,39,102,48,47.06,08039
8,40,79,25,31.65,08040
8,41,98,43,43.88,08041
8,42,148,51,34.46,08042
8,43,50,19,38.0,08043
8,44,71,36,50.7,08044
8,45,72,36,50.0,08045
8,46,85,28,32.94,08046
8,47,95,35,36.84,08047
8,48,91,49,53.85,08048
8,49,128,44,34.38,08049
8,50,117,51,43.59,08050
8,51,140,61,43.57,08051
8,52,168,73,43.45,08052
8,53,64,24,37.5,08053
8,54,73,36,49.32,08054
8,55,78,32,41.03,08055
8,56,143,55,38.46,08056
9,1,100,36,36.0,09001
9,2,105,29,27.62,09002
9,3,49,14,28.57,09003
9,4,73,34,46.58,09004
9,5,97,24,24.74,09005
9,6,107,41,38.32,09006
9,7,74,22,29.73,09007
9,8,66,31,46.97,09008
9,9,128,41,32.03,09009
9,10,72,28,38.89,09010
9,11,72,26,36.11,09011
9,12,123,40,32.52,09012
9,13,127,41,32.28,09013
9,14,156,65,41.67,09014
9,15,58,22,37.93,09015
9,16,119,37,31.09,09016
9,17,77,24,31.17,09017
9,18,71,18,25.35,09018
9,19,94,34,36.17,09019
9,20,125,59,47.2,09020
9,21,86,33,38.37,09021
9,22,117,32,27.35,09022
9,23,115,44,38.26,09023
9,24,115,47,40.87,09024
9,25,97,35,36.08,09025
9,26,57,16,28.07,09026
9,27,99,34,34.34,09027
9,28,28,14,50.0,09028
9,29,86,25,29.07,09029
9,30,77,30,38.96,09030
9,31,77,36,46.75,09031
9,32,85,33,38.82,09032
9,33,81,40,49.38,09033
9,34,79,33,41.77,09034
9,35,122,36,29.51,09035
9,36,82,36,43.9,09036
9,37,103,35,33.98,09037
9,38,78,25,32.05,09038
9,39,99,47,47.47,09039
9,40,125,47,37.6,09040
9,41,84,37,44.05,09041
9,42,132,47,35.61,09042
9,43,72,24,33.33,09043
9,44,91,36,39.56,09044
9,45,79,28,35.44,09045
9,46,91,33,36.26,09046
9,47,147,66,44.9,09047
9,48,114,36,31.58,09048
9,49,115,53,46.09,09049
9,50,164,67,40.85,09050
9,51,123,47,38.21,09051
10,1,59,15,25.42,10001
10,2,60,22,36.67,10002
10,3,57,21,36.84,10003
10,4,42,7,16.67,10004
10,5,34,6,17.65,10005
10,6,34,13,38.24,10006
10,7,24,9,37.5,10007
10,8,32,11,34.38,10008
10,9,51,16,31.37,10009
10,10,35,13,37.14,10010
10,11,42,16,38.1,10011
10,12,19,6,31.58,10012
10,13,64,32,50.0,10013
10,14,61,20,32.79,10014
10,15,176,60,34.09,10015
10,16,29,9,31.03,10016
10,17,58,19,32.76,10017
10,18,42,7,16.67,10018
10,19,38,12,31.58,10019
10,20,55,20,36.36,10020
10,21,45,23,51.11,10021
10,22,22,6,27.27,10022
10,23,44,17,38.64,10023
10,24,33,12,36.36,10024
10,25,18,7,38.89,10025
10,26,36,15,41.67,10026
10,27,66,24,36.36,10027
10,28,46,12,26.09,10028
10,29,35,15,42.86,10029
10,30,45,12,26.67,10030
10,31,24,8,33.33,10031
10,32,35,13,37.14,10032
10,33,26,5,19.23,10033
10,34,41,13,31.71,10034
10,35,49,15,30.61,10035
10,36,29,8,27.59,10036
11,1,83,43,51.81,11001
11,2,10,5,50.0,11002
11,3,31,9,29.03,11003
11,4,61,15,24.59,11004
11,5,57,16,28.07,11005
11,6,29,8,27.59,11006
11,7,38,7,18.42,11007
11,8,51,14,27.45,11008
11,9,64,33,51.56,11009
11,10,72,33,45.83,11010
11,11,50,9,18.0,11011
11,12,136,65,47.79,11012
11,13,121,63,52.07,11013
11,14,46,18,39.13,11014
11,15,40,16,40.0,11015
11,16,47,18,38.3,11016
11,17,67,28,41.79,11017
11,18,84,36,42.86,11018
11,19,66,22,33.33,11019
11,20,77,36,46.75,11020
11,21,182,112,61.54,11021
11,22,94,52,55.32,11022
11,23,79,47,59.49,11023
11,24,213,134,62.91,11024
11,25,59,39,66.1,11025
11,26,127,68,53.54,11026
11,27,31,14,45.16,11027
11,28,45,19,42.22,11028
11,29,126,71,56.35,11029
11,30,40,20,50.0,11030
11,31,86,52,60.47,11031
11,32,48,30,62.5,11032
11,33,36,14,38.89,11033
11,34,53,26,49.06,11034
11,35,64,38,59.38,11035
11,36,35,15,42.86,11036
11,37,21,5,23.81,11037
11,38,21,4,19.05,11038
12,1,70,26,37.14,12001
12,2,33,8,24.24,12002
12,3,61,15,24.59,12003
12,4,46,19,41.3,12004
12,5,49,17,34.69,12005
12,6,52,18,34.62,12006
12,7,35,15,42.86,12007
12,8,69,31,44.93,12008
12,9,47,12,25.53,12009
12,10,38,15,39.47,12010
12,11,50,24,48.0,12011
12,12,38,15,39.47,12012
12,13,83,36,43.37,12013
12,14,31,9,29.03,12014
12,15,64,25,39.06,12015
12,16,37,13,35.14,12016
12,17,54,15,27.78,12017
12,18,32,9,28.13,12018
12,19,55,24,43.64,12019
12,20,64,34,53.13,12020
12,21,57,20,35.09,12021
12,22,33,8,24.24,12022
12,23,62,23,37.1,12023
13,1,126,73,57.94,13001
13,2,120,61,50.83,13002
13,3,54,19,35.19,13003
13,4,113,44,38.94,13004
13,5,86,39,45.35,13005
13,6,108,43,39.81,13006
13,7,105,62,59.05,13007
13,8,73,36,49.32,13008
13,9,84,35,41.67,13009
13,10,98,36,36.73,13010
13,11,147,85,57.82,13011
13,12,60,23,38.33,13012
13,13,173,135,78.03,13013
13,14,79,33,41.77,13014
13,15,133,69,51.88,13015
13,16,86,53,61.63,13016
13,17,96,46,47.92,13017
13,18,67,22,32.84,13018
13,19,105,60,57.14,13019
13,20,71,36,50.7,13020
13,21,142,51,35.92,13021
13,22,81,23,28.4,13022
13,23,89,46,51.69,13023
13,24,94,43,45.74,13024
13,25,102,53,51.96,13025
13,26,109,67,61.47,13026
13,27,119,55,46.22,13027
13,28,51,26,50.98,13028
13,29,74,34,45.95,13029
13,30,74,38,51.35,13030
13,31,91,24,26.37,13031
13,32,85,13,15.29,13032
13,33,69,26,37.68,13033
13,34,166,122,73.49,13034
13,35,128,71,55.47,13035
13,36,46,14,30.43,13036
13,37,152,73,48.03,13037
13,38,94,34,36.17,13038
13,39,110,66,60.0,13039
13,40,100,50,50.0,13040
13,41,128,90,70.31,13041
13,42,85,25,29.41,13042
13,43,145,82,56.55,13043
13,44,219,158,72.15,13044
13,45,153,104,67.97,13045
13,46,82,31,37.8,13046
13,47,78,41,52.56,13047
13,48,113,71,62.83,13048
14,1,91,35,38.46,14001
14,2,129,45,34.88,14002
14,3,52,19,36.54,14003
14,4,67,25,37.31,14004
14,5,100,41,41.0,14005
14,6,44,26,59.09,14006
14,7,58,22,37.93,14007
14,8,47,15,31.91,14008
14,9,72,26,36.11,14009
14,10,45,19,42.22,14010
14,11,66,31,46.97,14011
14,12,64,37,57.81,14012
14,13,68,33,48.53,14013
14,14,66,31,46.97,14014
14,15,91,64,70.33,14015
14,16,59,30,50.85,14016
14,17,63,43,68.25,14017
14,18,27,11,40.74,14018
14,19,40,18,45.0,14019
14,20,47,27,57.45,14020
14,21,77,46,59.74,14021
14,22,76,33,43.42,14022
14,23,100,48,48.0,14023
14,24,116,62,53.45,14024
14,25,61,35,57.38,14025
14,26,42,24,57.14,14026
14,27,69,30,43.48,14027
14,28,47,18,38.3,14028
14,29,88,54,61.36,14029
14,30,28,15,53.57,14030
14,31,35,16,45.71,14031
15,1,43,15,34.88,15001
15,2,40,14,35.0,15002
15,3,67,25,37.31,15003
15,4,35,13,37.14,15004
15,5,44,11,25.0,15005
15,6,53,17,32.08,15006
15,7,43,17,39.53,15007
15,8,29,13,44.83,15008
15,9,55,24,43.64,15009
15,10,75,24,32.0,15010
15,11,54,26,48.15,15011
15,12,80,17,21.25,15012
15,13,31,11,35.48,15013
15,14,12,7,58.33,15014
15,15,27,10,37.04,15015
15,16,49,16,32.65,15016
15,17,46,23,50.0,15017
15,18,51,23,45.1,15018
15,19,83,39,46.99,15019
15,20,58,24,41.38,15020
15,21,52,15,28.85,15021
15,22,53,23,43.4,15022
15,23,53,25,47.17,15023
15,24,56,26,46.43,15024
16,1,40,16,40.0,16001
16,2,44,15,34.09,16002
16,3,59,17,28.81,16003
16,4,50,15,30.0,16004
16,5,36,7,19.44,16005
16,6,51,15,29.41,16006
16,7,48,13,27.08,16007
16,8,22,8,36.36,16008
16,9,84,32,38.1,16009
16,10,74,27,36.49,16010
16,11,43,15,34.88,16011
16,12,32,13,40.63,16012
16,13,34,11,32.35,16013
16,14,41,7,17.07,16014
16,15,60,18,30.0,16015
16,16,66,24,36.36,16016
16,17,49,18,36.73,16017
16,18,65,19,29.23,16018
16,19,43,11,25.58,16019
16,20,44,10,22.73,16020
16,21,36,12,33.33,16021
16,22,31,10,32.26,16022
16,23,25,5,20.0,16023
16,24,37,12,32.43,16024
16,25,68,22,32.35,16025
16,26,56,15,26.79,16026
16,27,55,21,38.18,16027
16,28,66,14,21.21,16028
16,29,42,8,19.05,16029
16,30,57,18,31.58,16030
16,31,72,23,31.94,16031
16,32,26,10,38.46,16032
16,33,53,16,30.19,16033
16,34,54,16,29.63,16034
16,35,39,10,25.64,16035
16,36,45,17,37.78,16036
17,1,51,14,27.45,17001
17,2,68,25,36.76,17002
17,3,57,16,28.07,17003
17,4,92,28,30.43,17004
17,5,74,22,29.73,17005
17,6,42,19,45.24,17006
17,7,32,10,31.25,17007
17,8,76,26,34.21,17008
17,9,75,30,40.0,17009
17,10,83,31,37.35,17010
17,11,76,25,32.89,17011
17,12,49,11,22.45,17012
17,13,61,26,42.62,17013
17,14,63,24,38.1,17014
17,15,83,34,40.96,17015
17,16,53,20,37.74,17016
17,17,54,26,48.15,17017
17,18,107,45,42.06,17018
17,19,45,16,35.56,17019
17,20,122,44,36.07,17020
17,21,125,40,32.0,17021
17,22,88,26,29.55,17022
17,23,70,31,44.29,17023
17,24,111,37,33.33,17024
17,25,55,11,20.0,17025
17,26,87,34,39.08,17026
17,27,74,27,36.49,17027
17,28,54,24,44.44,17028
17,29,88,30,34.09,17029
17,30,26,9,34.62,17030
17,31,52,14,26.92,17031
17,32,54,20,37.04,17032
17,33,52,25,48.08,17033
17,34,62,23,37.1,17034
17,35,60,21,35.0,17035
17,36,99,43,43.43,17036
17,37,74,28,37.84,17037
17,38,82,22,26.83,17038
17,39,84,31,36.9,17039
17,40,91,42,46.15,17040
17,41,88,29,32.95,17041
18,1,57,23,40.35,18001
18,2,41,9,21.95,18002
18,3,51,17,33.33,18003
18,4,98,33,33.67,18004
18,5,57,18,31.58,18005
18,6,53,10,18.87,18006
18,7,67,14,20.9,18007
18,8,116,33,28.45,18008
18,9,119,41,34.45,18009
18,10,146,45,30.82,18010
18,11,60,23,38.33,18011
18,12,90,20,22.22,18012
18,13,70,20,28.57,18013
18,14,87,33,37.93,18014
18,15,50,18,36.0,18015
18,16,77,22,28.57,18016
18,17,60,18,30.0,18017
18,18,146,49,33.56,18018
18,19,111,33,29.73,18019
18,20,80,27,33.75,18020
18,21,119,28,23.53,18021
18,22,130,37,28.46,18022
18,23,69,18,26.09,18023
18,24,52,11,21.15,18024
18,25,47,20,42.55,18025
18,26,122,34,27.87,18026
18,27,51,16,31.37,18027
18,28,55,20,36.36,18028
18,29,60,20,33.33,18029
18,30,44,8,18.18,18030
18,31,60,14,23.33,18031
18,32,114,38,33.33,18032
18,33,80,24,30.0,18033
18,34,174,53,30.46,18034
18,35,96,28,29.17,18035
18,36,58,17,29.31,18036
18,37,109,31,28.44,18037
18,38,92,28,30.43,18038
18,39,42,9,21.43,18039
18,40,66,16,24.24,18040
18,41,87,22,25.29,18041
18,42,53,17,32.08,18042
18,43,80,26,32.5,18043
18,44,56,14,25.0,18044
18,45,69,20,28.99,18045
18,46,68,22,32.35,18046
18,47,46,15,32.61,18047
18,48,55,9,16.36,18048
18,49,52,19,36.54,18049
18,50,66,20,30.3,18050
19,1,101,14,13.86,19001
19,2,165,41,24.85,19002
19,3,61,8,13.11,19003
19,4,120,17,14.17,19004
19,5,154,30,19.48,19005
19,6,74,8,10.81,19006
19,7,135,21,15.56,19007
19,8,100,16,16.0,19008
19,9,79,13,16.46,19009
19,10,143,29,20.28,19010
19,11,95,13,13.68,19011
19,12,86,15,17.44,19012
19,13,155,36,23.23,19013
19,14,70,18,25.71,19014
19,15,90,14,15.56,19015
19,16,102,9,8.82,19016
19,17,88,7,7.95,19017
19,18,116,17,14.66,19018
19,19,148,23,15.54,19019
19,20,133,33,24.81,19020
19,21,69,7,10.14,19021
19,22,119,24,20.17,19022
19,23,108,11,10.19,19023
19,24,93,8,8.6,19024
19,25,125,18,14.4,19025
19,26,123,24,19.51,19026
19,27,73,16,21.92,19027
19,28,128,30,23.44,19028
19,29,65,10,15.38,19029
19,30,85,19,22.35,19030
19,31,96,14,14.58,19031
19,32,99,15,15.15,19032
19,33,85,14,16.47,19033
19,34,111,22,19.82,19034
19,35,130,16,12.31,19035
19,36,110,23,20.91,19036
19,37,119,33,27.73,19037
19,38,103,17,16.5,19038
19,39,34,8,23.53,19039
19,40,120,26,21.67,19040
19,41,84,10,11.9,19041
19,42,81,20,24.69,19042
19,43,155,45,29.03,19043
19,44,96,14,14.58,19044
19,45,116,11,9.48,19045
19,46,131,15,11.45,19046
19,47,166,44,26.51,19047
19,48,104,35,33.65,19048
19,49,152,40,26.32,19049
19,50,70,6,8.57,19050
19,51,145,17,11.72,19051
19,52,86,14,16.28,19052
19,53,82,12,14.63,19053
19,54,61,12,19.67,19054
19,55,61,5,8.2,19055
19,56,135,21,15.56,19056
19,57,128,22,17.19,19057
20,1,74,21,28.38,20001
20,2,25,9,36.0,20002
20,3,60,13,21.67,20003
20,4,22,8,36.36,20004
20,5,66,20,30.3,20005
20,6,23,9,39.13,20006
20,7,66,16,24.24,20007
20,8,88,33,37.5,20008
20,9,105,28,26.67,20009
20,10,80,30,37.5,20010
20,11,69,18,26.09,20011
20,12,47,11,23.4,20012
20,13,106,33,31.13,20013
20,14,67,20,29.85,20014
20,15,24,11,45.83,20015
20,16,115,42,36.52,20016
20,17,38,12,31.58,20017
20,18,71,24,33.8,20018
20,19,80,29,36.25,20019
20,20,39,16,41.03,20020
20,21,45,9,20.0,20021
20,22,126,48,38.1,20022
20,23,83,24,28.92,20023
20,24,67,14,20.9,20024
20,25,64,24,37.5,20025
20,26,71,25,35.21,20026
20,27,46,19,41.3,20027
20,28,51,15,29.41,20028
20,29,115,40,34.78,20029
20,30,30,9,30.0,20030
20,31,72,22,30.56,20031
20,32,97,37,38.14,20032
20,33,53,14,26.42,20033
20,34,70,20,28.57,20034
20,35,53,12,22.64,20035
20,36,23,7,30.43,20036
20,37,26,7,26.92,20037
20,38,26,10,38.46,20038
20,39,11,4,36.36,20039
21,1,123,46,37.4,21001
21,2,72,26,36.11,21002
21,3,99,37,37.37,21003
21,4,91,36,39.56,21004
21,5,139,63,45.32,21005
21,6,84,36,42.86,21006
21,7,135,67,49.63,21007
21,8,111,51,45.95,21008
21,9,123,48,39.02,21009
21,10,68,26,38.24,21010
21,11,118,50,42.37,21011
21,12,114,44,38.6,21012
21,13,72,22,30.56,21013
21,14,133,53,39.85,21014
21,15,72,31,43.06,21015
21,16,94,38,40.43,21016
21,17,82,37,45.12,21017
21,18,137,56,40.88,21018
21,19,114,43,37.72,21019
21,20,75,23,30.67,21020
21,21,89,39,43.82,21021
21,22,102,38,37.25,21022
21,23,115,45,39.13,21023
21,24,117,43,36.75,21024
21,25,126,40,31.75,21025
21,26,82,29,35.37,21026
21,27,96,29,30.21,21027
21,28,127,43,33.86,21028
21,29,76,34,44.74,21029
21,30,68,26,38.24,21030
21,31,102,42,41.18,21031
21,32,120,37,30.83,21032
21,33,103,48,46.6,21033
21,34,100,41,41.0,21034
21,35,128,37,28.91,21035
21,36,114,46,40.35,21036
21,37,97,39,40.21,21037
21,38,104,32,30.77,21038
21,39,73,21,28.77,21039
21,40,89,38,42.7,21040
21,41,113,50,44.25,21041
21,42,117,56,47.86,21042
21,43,94,39,41.49,21043
21,44,96,31,32.29,21044
21,45,106,49,46.23,21045
21,46,107,41,38.32,21046
21,47,77,24,31.17,21047
21,48,106,41,38.68,21048
21,49,122,48,39.34,21049
21,50,88,30,34.09,21050
21,51,125,47,37.6,21051
21,52,100,30,30.0,21052
21,53,78,31,39.74,21053
21,54,84,33,39.29,21054
22,1,79,21,26.58,22001
22,2,68,35,51.47,22002
22,3,56,21,37.5,22003
22,4,41,15,36.59,22004
22,5,37,13,35.14,22005
22,6,36,12,33.33,22006
22,7,28,12,42.86,22007
22,8,65,23,35.38,22008
22,9,45,18,40.0,22009
22,10,51,19,37.25,22010
22,11,45,13,28.89,22011
22,12,71,23,32.39,22012
22,13,40,14,35.0,22013
22,14,31,10,32.26,22014
22,15,39,16,41.03,22015
22,16,44,13,29.55,22016
22,17,32,15,46.88,22017
22,18,40,17,42.5,22018
22,19,38,10,26.32,22019
22,20,43,17,39.53,22020
22,21,97,24,24.74,22021
22,22,34,8,23.53,22022
22,23,122,35,28.69,22023
22,24,47,15,31.91,22024
22,25,37,8,21.62,22025
23,1,110,26,23.64,23001
23,2,74,18,24.32,23002
23,3,77,26,33.77,23003
23,4,96,26,27.08,23004
23,5,53,13,24.53,23005
23,6,88,33,37.5,23006
23,7,50,14,28.0,23007
23,8,76,28,36.84,23008
23,9,45,10,22.22,23009
23,10,57,18,31.58,23010
23,11,43,16,37.21,23011
23,12,73,18,24.66,23012
23,13,36,15,41.67,23013
