ward,precinct,total,Lauren Brougham Glennon,Lauren Brougham Glennon Percent,Terrence J. McGuire,Terrence J. McGuire Percent,precinct_id
18,9,108,48,44.44,60,55.56,18009
18,10,135,61,45.19,74,54.81,18010
18,11,57,25,43.86,32,56.14,18011
18,12,78,37,47.44,41,52.56,18012
18,13,61,26,42.62,35,57.38,18013
18,14,75,35,46.67,40,53.33,18014
18,15,48,22,45.83,26,54.17,18015
18,16,68,32,47.06,36,52.94,18016
18,17,57,23,40.35,34,59.65,18017
18,18,129,61,47.29,68,52.71,18018
18,19,98,40,40.82,58,59.18,18019
18,21,107,43,40.19,64,59.81,18021
18,22,124,59,47.58,65,52.42,18022
18,23,59,30,50.85,29,49.15,18023
18,24,46,20,43.48,26,56.52,18024
18,25,44,18,40.91,26,59.09,18025
18,26,111,48,43.24,63,56.76,18026
18,27,40,20,50.0,20,50.0,18027
18,28,56,16,28.57,40,71.43,18028
18,29,58,23,39.66,35,60.34,18029
18,30,40,11,27.5,29,72.5,18030
18,31,58,31,53.45,27,46.55,18031
18,32,109,52,47.71,57,52.29,18032
18,33,77,34,44.16,43,55.84,18033
18,34,162,48,29.63,114,70.37,18034
18,35,87,40,45.98,47,54.02,18035
18,36,52,26,50.0,26,50.0,18036
18,37,96,49,51.04,47,48.96,18037
18,39,39,15,38.46,24,61.54,18039
18,40,69,31,44.93,38,55.07,18040
18,41,81,33,40.74,48,59.26,18041
18,42,48,27,56.25,21,43.75,18042
18,43,75,37,49.33,38,50.67,18043
18,44,52,18,34.62,34,65.38,18044
18,45,68,35,51.47,33,48.53,18045
18,46,65,23,35.38,42,64.62,18046
18,47,43,15,34.88,28,65.12,18047
18,48,50,30,60.0,20,40.0,18048
18,49,49,20,40.82,29,59.18,18049
18,50,60,25,41.67,35,58.33,18050
19,1,108,41,37.96,67,62.04,19001
19,2,159,47,29.56,112,70.44,19002
19,3,69,26,37.68,43,62.32,19003
19,4,128,54,42.19,74,57.81,19004
19,5,171,50,29.24,121,70.76,19005
19,6,88,35,39.77,53,60.23,19006
19,7,152,37,24.34,115,75.66,19007
19,8,103,27,26.21,76,73.79,19008
19,9,88,25,28.41,63,71.59,19009
19,10,166,40,24.1,126,75.9,19010
19,11,106,44,41.51,62,58.49,19011
19,12,94,31,32.98,63,67.02,19012
19,13,149,64,42.95,85,57.05,19013
19,14,64,21,32.81,43,67.19,19014
19,15,102,39,38.24,63,61.76,19015
19,16,113,38,33.63,75,66.37,19016
19,17,105,35,33.33,70,66.67,19017
19,18,133,29,21.8,104,78.2,19018
19,19,151,56,37.09,95,62.91,19019
19,20,125,45,36.0,80,64.0,19020
19,21,76,34,44.74,42,55.26,19021
19,22,124,39,31.45,85,68.55,19022
19,23,113,31,27.43,82,72.57,19023
19,24,100,28,28.0,72,72.0,19024
19,25,132,50,37.88,82,62.12,19025
19,26,128,33,25.78,95,74.22,19026
19,27,74,27,36.49,47,63.51,19027
19,28,102,34,33.33,68,66.67,19028
19,29,72,44,61.11,28,38.89,19029
19,30,93,35,37.63,58,62.37,19030
19,31,98,40,40.82,58,59.18,19031
19,32,103,29,28.16,74,71.84,19032
19,33,97,34,35.05,63,64.95,19033
19,34,115,39,33.91,76,66.09,19034
19,35,139,32,23.02,107,76.98,19035
19,36,110,42,38.18,68,61.82,19036
19,37,114,43,37.72,71,62.28,19037
19,38,98,38,38.78,60,61.22,19038
19,39,30,17,56.67,13,43.33,19039
19,40,121,38,31.4,83,68.6,19040
19,41,96,43,44.79,53,55.21,19041
19,42,75,31,41.33,44,58.67,19042
19,43,36,17,47.22,19,52.78,19043
19,44,113,40,35.4,73,64.6,19044
19,45,136,48,35.29,88,64.71,19045
19,46,160,31,19.38,129,80.63,19046
19,47,159,81,50.94,78,49.06,19047
19,48,91,47,51.65,44,48.35,19048
19,49,143,63,44.06,80,55.94,19049
19,50,77,20,25.97,57,74.03,19050
19,51,160,48,30.0,112,70.0,19051
19,52,93,39,41.94,54,58.06,19052
19,53,96,31,32.29,65,67.71,19053
19,54,59,22,37.29,37,62.71,19054
19,55,67,23,34.33,44,65.67,19055
19,56,146,44,30.14,102,69.86,19056
19,57,138,46,33.33,92,66.67,19057
22,1,78,39,50.0,39,50.0,22001
22,2,66,33,50.0,33,50.0,22002
22,8,62,28,45.16,34,54.84,22008
22,23,110,53,48.18,57,51.82,22023
23,1,121,45,37.19,76,62.81,23001
23,2,75,42,56.0,33,44.0,23002
23,3,78,41,52.56,37,47.44,23003
23,4,105,53,50.48,52,49.52,23004
23,5,55,34,61.82,21,38.18,23005
23,6,98,27,27.55,71,72.45,23006
23,7,46,23,50.0,23,50.0,23007
23,8,77,36,46.75,41,53.25,23008
23,9,41,19,46.34,22,53.66,23009
23,10,61,26,42.62,35,57.38,23010
23,11,40,22,55.0,18,45.0,23011
23,12,71,35,49.3,36,50.7,23012
23,13,33,17,51.52,16,48.48,23013
23,14,70,28,40.0,42,60.0,23014
23,15,43,25,58.14,18,41.86,23015
23,16,72,32,44.44,40,55.56,23016
23,17,21,10,47.62,11,52.38,23017
23,18,65,31,47.69,34,52.31,23018
23,19,29,13,44.83,16,55.17,23019
23,20,26,10,38.46,16,61.54,23020
23,21,71,26,36.62,45,63.38,23021
23,22,74,35,47.3,39,52.7,23022
23,23,83,43,51.81,40,48.19,23023
23,24,39,22,56.41,17,43.59,23024
23,25,46,20,43.48,26,56.52,23025
23,26,54,23,42.59,31,57.41,23026
23,27,89,38,42.7,51,57.3,23027
23,28,77,37,48.05,40,51.95,23028
23,29,49,23,46.94,26,53.06,23029
23,30,59,34,57.63,25,42.37,23030
23,31,17,6,35.29,11,64.71,23031
23,32,57,26,45.61,31,54.39,23032
23,33,36,20,55.56,16,44.44,23033
23,34,45,23,51.11,22,48.89,23034
23,35,55,29,52.73,26,47.27,23035
23,36,115,36,31.3,79,68.7,23036
23,37,67,28,41.79,39,58.21,23037
23,38,60,35,58.33,25,41.67,23038
23,39,39,23,58.97,16,41.03,23039
34,17,102,49,48.04,53,51.96,34017
34,19,3,2,66.67,1,33.33,34019
34,49,57,23,40.35,34,59.65,34049
