ward,precinct,total,Cynthia M. Santos,Cynthia M. Santos Percent,Frank Avila,Frank Avila Percent,Timothy ''Tim'' Bradford,Timothy ''Tim'' Bradford Percent,Josina Morita,Josina Morita Percent,Tom Courtney,Tom Courtney Percent,Adam Miguest,Adam Miguest Percent,John S. Xydakis,John S. Xydakis Percent,Frank Edward Gardner,Frank Edward Gardner Percent,Kathleen Mary O'Reilley,Kathleen Mary O'Reilley Percent,Brendan Francis Houlihan,Brendan Francis Houlihan Percent,precinct_id
1,16,223,52,23.32,45,20.18,27,12.11,42,18.83,6,2.69,8,3.59,4,1.79,6,2.69,23,10.31,10,4.48,01016
1,17,135,37,27.41,21,15.56,16,11.85,20,14.81,5,3.7,4,2.96,8,5.93,3,2.22,16,11.85,5,3.7,01017
1,18,138,36,26.09,31,22.46,21,15.22,27,19.57,3,2.17,3,2.17,3,2.17,3,2.17,10,7.25,1,0.72,01018
1,19,371,97,26.15,67,18.06,35,9.43,72,19.41,16,4.31,13,3.5,12,3.23,15,4.04,30,8.09,14,3.77,01019
1,20,122,26,21.31,26,21.31,14,11.48,30,24.59,6,4.92,0,0.0,3,2.46,1,0.82,11,9.02,5,4.1,01020
1,21,52,10,19.23,12,23.08,7,13.46,14,26.92,0,0.0,0,0.0,0,0.0,1,1.92,3,5.77,5,9.62,01021
1,22,71,22,30.99,17,23.94,5,7.04,9,12.68,4,5.63,1,1.41,1,1.41,1,1.41,7,9.86,4,5.63,01022
1,23,336,79,23.51,69,20.54,31,9.23,51,15.18,17,5.06,11,3.27,10,2.98,12,3.57,44,13.1,12,3.57,01023
1,24,106,27,25.47,24,22.64,10,9.43,15,14.15,3,2.83,2,1.89,3,2.83,10,9.43,8,7.55,4,3.77,01024
1,25,75,24,32.0,11,14.67,6,8.0,12,16.0,3,4.0,2,2.67,3,4.0,4,5.33,8,10.67,2,2.67,01025
1,26,146,45,30.82,32,21.92,7,4.79,25,17.12,4,2.74,5,3.42,2,1.37,7,4.79,12,8.22,7,4.79,01026
1,27,78,21,26.92,16,20.51,8,10.26,14,17.95,5,6.41,2,2.56,2,2.56,2,2.56,7,8.97,1,1.28,01027
1,28,86,30,34.88,17,19.77,7,8.14,13,15.12,3,3.49,4,4.65,3,3.49,6,6.98,2,2.33,1,1.16,01028
1,29,99,17,17.17,19,19.19,11,11.11,17,17.17,2,2.02,2,2.02,4,4.04,10,10.1,13,13.13,4,4.04,01029
1,30,197,63,31.98,38,19.29,14,7.11,34,17.26,4,2.03,4,2.03,5,2.54,8,4.06,22,11.17,5,2.54,01030
1,31,179,56,31.28,29,16.2,16,8.94,27,15.08,3,1.68,6,3.35,3,1.68,12,6.7,20,11.17,7,3.91,01031
1,32,98,21,21.43,14,14.29,5,5.1,18,18.37,5,5.1,1,1.02,8,8.16,3,3.06,17,17.35,6,6.12,01032
1,33,65,17,26.15,14,21.54,6,9.23,12,18.46,4,6.15,4,6.15,1,1.54,1,1.54,4,6.15,2,3.08,01033
1,34,213,49,23.0,43,20.19,16,7.51,41,19.25,12,5.63,5,2.35,5,2.35,4,1.88,26,12.21,12,5.63,01034
1,35,84,19,22.62,16,19.05,12,14.29,16,19.05,4,4.76,3,3.57,2,2.38,1,1.19,8,9.52,3,3.57,01035
1,36,81,15,18.52,18,22.22,15,18.52,17,20.99,1,1.23,0,0.0,2,2.47,1,1.23,10,12.35,2,2.47,01036
1,37,71,21,29.58,14,19.72,9,12.68,12,16.9,2,2.82,2,2.82,1,1.41,1,1.41,7,9.86,2,2.82,01037
1,38,142,44,30.99,26,18.31,12,8.45,27,19.01,6,4.23,7,4.93,6,4.23,1,0.7,9,6.34,4,2.82,01038
1,39,53,12,22.64,12,22.64,6,11.32,10,18.87,3,5.66,1,1.89,2,3.77,0,0.0,5,9.43,2,3.77,01039
1,40,140,39,27.86,25,17.86,18,12.86,22,15.71,5,3.57,7,5.0,2,1.43,6,4.29,11,7.86,5,3.57,01040
1,41,205,40,19.51,38,18.54,20,9.76,39,19.02,11,5.37,7,3.41,4,1.95,5,2.44,28,13.66,13,6.34,01041
1,42,88,22,25.0,15,17.05,8,9.09,11,12.5,7,7.95,3,3.41,0,0.0,2,2.27,18,20.45,2,2.27,01042
1,43,211,61,28.91,46,21.8,16,7.58,41,19.43,9,4.27,5,2.37,3,1.42,5,2.37,20,9.48,5,2.37,01043
1,44,42,9,21.43,5,11.9,3,7.14,7,16.67,1,2.38,2,4.76,2,4.76,3,7.14,6,14.29,4,9.52,01044
2,1,73,10,13.7,9,12.33,9,12.33,12,16.44,4,5.48,5,6.85,3,4.11,5,6.85,8,10.96,8,10.96,02001
2,2,146,19,13.01,26,17.81,22,15.07,33,22.6,5,3.42,4,2.74,4,2.74,4,2.74,15,10.27,14,9.59,02002
2,3,94,20,21.28,14,14.89,10,10.64,20,21.28,4,4.26,1,1.06,5,5.32,6,6.38,11,11.7,3,3.19,02003
2,4,64,17,26.56,10,15.63,4,6.25,10,15.63,3,4.69,1,1.56,3,4.69,4,6.25,8,12.5,4,6.25,02004
2,5,69,18,26.09,11,15.94,7,10.14,11,15.94,1,1.45,3,4.35,2,2.9,3,4.35,11,15.94,2,2.9,02005
2,6,87,17,19.54,10,11.49,9,10.34,10,11.49,8,9.2,3,3.45,4,4.6,5,5.75,14,16.09,7,8.05,02006
2,7,63,13,20.63,10,15.87,9,14.29,10,15.87,1,1.59,2,3.17,0,0.0,5,7.94,7,11.11,6,9.52,02007
2,8,67,16,23.88,13,19.4,11,16.42,10,14.93,0,0.0,1,1.49,3,4.48,2,2.99,7,10.45,4,5.97,02008
2,9,51,12,23.53,5,9.8,5,9.8,5,9.8,3,5.88,3,5.88,3,5.88,6,11.76,7,13.73,2,3.92,02009
2,10,188,18,9.57,38,20.21,39,20.74,40,21.28,7,3.72,3,1.6,5,2.66,5,2.66,20,10.64,13,6.91,02010
2,11,167,28,16.77,31,18.56,26,15.57,24,14.37,11,6.59,2,1.2,4,2.4,10,5.99,17,10.18,14,8.38,02011
2,12,145,21,14.48,27,18.62,27,18.62,25,17.24,10,6.9,3,2.07,1,0.69,9,6.21,17,11.72,5,3.45,02012
2,13,256,23,8.98,53,20.7,55,21.48,49,19.14,15,5.86,9,3.52,5,1.95,10,3.91,19,7.42,18,7.03,02013
2,14,165,32,19.39,30,18.18,22,13.33,33,20.0,7,4.24,5,3.03,5,3.03,3,1.82,18,10.91,10,6.06,02014
2,15,169,37,21.89,29,17.16,29,17.16,27,15.98,5,2.96,5,2.96,5,2.96,11,6.51,11,6.51,10,5.92,02015
2,16,69,20,28.99,8,11.59,6,8.7,6,8.7,4,5.8,3,4.35,2,2.9,5,7.25,8,11.59,7,10.14,02016
2,17,124,21,16.94,23,18.55,21,16.94,17,13.71,9,7.26,2,1.61,6,4.84,4,3.23,12,9.68,9,7.26,02017
2,18,197,25,12.69,45,22.84,39,19.8,39,19.8,9,4.57,3,1.52,2,1.02,3,1.52,22,11.17,10,5.08,02018
2,19,186,23,12.37,38,20.43,25,13.44,46,24.73,13,6.99,3,1.61,4,2.15,3,1.61,24,12.9,7,3.76,02019
2,20,43,8,18.6,7,16.28,9,20.93,9,20.93,1,2.33,0,0.0,2,4.65,1,2.33,3,6.98,3,6.98,02020
2,21,103,17,16.5,20,19.42,13,12.62,21,20.39,3,2.91,3,2.91,4,3.88,1,0.97,16,15.53,5,4.85,02021
2,22,93,11,11.83,18,19.35,15,16.13,21,22.58,4,4.3,3,3.23,2,2.15,2,2.15,10,10.75,7,7.53,02022
2,23,109,15,13.76,21,19.27,22,20.18,29,26.61,2,1.83,2,1.83,0,0.0,1,0.92,10,9.17,7,6.42,02023
2,24,125,29,23.2,15,12.0,15,12.0,23,18.4,7,5.6,4,3.2,4,3.2,6,4.8,16,12.8,6,4.8,02024
2,25,109,14,12.84,22,20.18,19,17.43,28,25.69,4,3.67,5,4.59,0,0.0,2,1.83,7,6.42,8,7.34,02025
2,26,84,16,19.05,11,13.1,8,9.52,11,13.1,7,8.33,5,5.95,6,7.14,4,4.76,12,14.29,4,4.76,02026
2,27,129,23,17.83,20,15.5,21,16.28,21,16.28,8,6.2,6,4.65,4,3.1,7,5.43,13,10.08,6,4.65,02027
2,28,101,17,16.83,18,17.82,13,12.87,18,17.82,8,7.92,2,1.98,2,1.98,3,2.97,13,12.87,7,6.93,02028
2,29,124,15,12.1,24,19.35,23,18.55,30,24.19,7,5.65,1,0.81,4,3.23,3,2.42,11,8.87,6,4.84,02029
2,30,122,16,13.11,18,14.75,18,14.75,20,16.39,15,12.3,3,2.46,5,4.1,3,2.46,13,10.66,11,9.02,02030
2,31,200,32,16.0,38,19.0,34,17.0,37,18.5,10,5.0,5,2.5,3,1.5,5,2.5,22,11.0,14,7.0,02031
2,32,86,13,15.12,18,20.93,16,18.6,17,19.77,3,3.49,3,3.49,0,0.0,1,1.16,10,11.63,5,5.81,02032
2,33,271,32,11.81,52,19.19,44,16.24,45,16.61,18,6.64,8,2.95,6,2.21,8,2.95,34,12.55,24,8.86,02033
2,34,166,15,9.04,40,24.1,38,22.89,39,23.49,5,3.01,3,1.81,3,1.81,3,1.81,12,7.23,8,4.82,02034
2,35,83,15,18.07,17,20.48,17,20.48,18,21.69,2,2.41,1,1.2,2,2.41,2,2.41,6,7.23,3,3.61,02035
2,36,88,11,12.5,16,18.18,13,14.77,17,19.32,5,5.68,4,4.55,2,2.27,1,1.14,14,15.91,5,5.68,02036
2,37,146,21,14.38,28,19.18,28,19.18,26,17.81,3,2.05,3,2.05,3,2.05,7,4.79,15,10.27,12,8.22,02037
2,38,94,15,15.96,19,20.21,9,9.57,18,19.15,2,2.13,1,1.06,4,4.26,3,3.19,14,14.89,9,9.57,02038
2,39,120,22,18.33,17,14.17,14,11.67,13,10.83,11,9.17,12,10.0,2,1.67,8,6.67,14,11.67,7,5.83,02039
2,40,85,10,11.76,18,21.18,19,22.35,14,16.47,4,4.71,2,2.35,0,0.0,3,3.53,9,10.59,6,7.06,02040
2,41,58,12,20.69,11,18.97,8,13.79,10,17.24,2,3.45,3,5.17,2,3.45,1,1.72,8,13.79,1,1.72,02041
2,42,133,25,18.8,21,15.79,11,8.27,16,12.03,12,9.02,7,5.26,2,1.5,13,9.77,16,12.03,10,7.52,02042
2,43,93,10,10.75,17,18.28,17,18.28,23,24.73,3,3.23,1,1.08,5,5.38,5,5.38,10,10.75,2,2.15,02043
2,44,67,15,22.39,11,16.42,9,13.43,9,13.43,5,7.46,2,2.99,1,1.49,2,2.99,7,10.45,6,8.96,02044
2,45,239,53,22.18,38,15.9,36,15.06,25,10.46,14,5.86,12,5.02,4,1.67,17,7.11,28,11.72,12,5.02,02045
2,46,65,15,23.08,9,13.85,7,10.77,11,16.92,3,4.62,1,1.54,2,3.08,3,4.62,9,13.85,5,7.69,02046
3,1,270,49,18.15,41,15.19,59,21.85,31,11.48,15,5.56,10,3.7,1,0.37,33,12.22,19,7.04,12,4.44,03001
3,2,559,83,14.85,107,19.14,131,23.43,77,13.77,41,7.33,16,2.86,3,0.54,48,8.59,40,7.16,13,2.33,03002
3,3,253,41,16.21,54,21.34,54,21.34,36,14.23,14,5.53,5,1.98,3,1.19,22,8.7,15,5.93,9,3.56,03003
3,4,415,69,16.63,76,18.31,105,25.3,64,15.42,18,4.34,10,2.41,3,0.72,38,9.16,23,5.54,9,2.17,03004
3,5,170,28,16.47,33,19.41,39,22.94,24,14.12,10,5.88,1,0.59,0,0.0,14,8.24,13,7.65,8,4.71,03005
3,6,130,19,14.62,26,20.0,29,22.31,17,13.08,6,4.62,2,1.54,2,1.54,7,5.38,14,10.77,8,6.15,03006
3,7,283,44,15.55,55,19.43,69,24.38,41,14.49,16,5.65,6,2.12,2,0.71,29,10.25,11,3.89,10,3.53,03007
3,8,201,30,14.93,41,20.4,48,23.88,27,13.43,9,4.48,6,2.99,0,0.0,17,8.46,16,7.96,7,3.48,03008
3,9,269,47,17.47,49,18.22,62,23.05,31,11.52,19,7.06,7,2.6,1,0.37,25,9.29,20,7.43,8,2.97,03009
3,10,120,20,16.67,29,24.17,28,23.33,17,14.17,5,4.17,0,0.0,1,0.83,11,9.17,7,5.83,2,1.67,03010
3,11,245,48,19.59,40,16.33,49,20.0,22,8.98,20,8.16,10,4.08,3,1.22,30,12.24,13,5.31,10,4.08,03011
3,12,453,76,16.78,79,17.44,97,21.41,63,13.91,19,4.19,13,2.87,5,1.1,44,9.71,39,8.61,18,3.97,03012
3,13,200,37,18.5,35,17.5,36,18.0,29,14.5,5,2.5,2,1.0,2,1.0,22,11.0,19,9.5,13,6.5,03013
3,14,152,36,23.68,27,17.76,31,20.39,15,9.87,8,5.26,4,2.63,1,0.66,12,7.89,14,9.21,4,2.63,03014
3,15,192,35,18.23,35,18.23,44,22.92,20,10.42,12,6.25,4,2.08,2,1.04,19,9.9,16,8.33,5,2.6,03015
3,16,232,40,17.24,44,18.97,46,19.83,24,10.34,9,3.88,3,1.29,4,1.72,30,12.93,22,9.48,10,4.31,03016
3,17,111,27,24.32,14,12.61,20,18.02,13,11.71,7,6.31,1,0.9,1,0.9,8,7.21,14,12.61,6,5.41,03017
3,18,341,60,17.6,62,18.18,72,21.11,40,11.73,18,5.28,4,1.17,4,1.17,39,11.44,27,7.92,15,4.4,03018
3,19,186,33,17.74,35,18.82,34,18.28,27,14.52,4,2.15,1,0.54,4,2.15,12,6.45,21,11.29,15,8.06,03019
3,20,262,49,18.7,38,14.5,63,24.05,29,11.07,16,6.11,6,2.29,4,1.53,32,12.21,18,6.87,7,2.67,03020
3,21,315,52,16.51,61,19.37,63,20.0,48,15.24,16,5.08,3,0.95,4,1.27,25,7.94,30,9.52,13,4.13,03021
3,22,114,18,15.79,20,17.54,20,17.54,16,14.04,5,4.39,0,0.0,1,0.88,9,7.89,17,14.91,8,7.02,03022
3,23,271,47,17.34,42,15.5,63,23.25,29,10.7,15,5.54,10,3.69,5,1.85,29,10.7,25,9.23,6,2.21,03023
3,24,293,63,21.5,42,14.33,62,21.16,32,10.92,20,6.83,5,1.71,2,0.68,29,9.9,30,10.24,8,2.73,03024
3,25,202,32,15.84,44,21.78,38,18.81,34,16.83,9,4.46,4,1.98,2,0.99,17,8.42,15,7.43,7,3.47,03025
3,26,281,31,11.03,59,21.0,59,21.0,59,21.0,11,3.91,8,2.85,6,2.14,20,7.12,16,5.69,12,4.27,03026
3,27,97,18,18.56,14,14.43,12,12.37,17,17.53,4,4.12,3,3.09,2,2.06,10,10.31,9,9.28,8,8.25,03027
3,28,246,46,18.7,34,13.82,60,24.39,22,8.94,19,7.72,8,3.25,2,0.81,22,8.94,21,8.54,12,4.88,03028
3,29,217,36,16.59,34,15.67,44,20.28,21,9.68,16,7.37,7,3.23,6,2.76,23,10.6,23,10.6,7,3.23,03029
3,30,319,52,16.3,47,14.73,66,20.69,36,11.29,25,7.84,15,4.7,6,1.88,37,11.6,25,7.84,10,3.13,03030
3,31,333,62,18.62,60,18.02,71,21.32,44,13.21,20,6.01,6,1.8,3,0.9,27,8.11,33,9.91,7,2.1,03031
3,32,215,36,16.74,33,15.35,44,20.47,31,14.42,15,6.98,1,0.47,3,1.4,18,8.37,24,11.16,10,4.65,03032
3,33,147,19,12.93,29,19.73,28,19.05,27,18.37,5,3.4,5,3.4,6,4.08,8,5.44,14,9.52,6,4.08,03033
3,34,249,44,17.67,45,18.07,52,20.88,32,12.85,13,5.22,3,1.2,7,2.81,14,5.62,27,10.84,12,4.82,03034
3,35,142,29,20.42,29,20.42,24,16.9,19,13.38,4,2.82,5,3.52,1,0.7,17,11.97,7,4.93,7,4.93,03035
3,36,132,27,20.45,23,17.42,32,24.24,10,7.58,7,5.3,1,0.76,1,0.76,17,12.88,8,6.06,6,4.55,03036
3,37,228,41,17.98,40,17.54,41,17.98,28,12.28,11,4.82,8,3.51,2,0.88,29,12.72,22,9.65,6,2.63,03037
3,38,468,71,15.17,79,16.88,106,22.65,51,10.9,52,11.11,15,3.21,1,0.21,55,11.75,27,5.77,11,2.35,03038
3,39,92,9,9.78,21,22.83,17,18.48,16,17.39,5,5.43,4,4.35,1,1.09,4,4.35,10,10.87,5,5.43,03039
3,40,351,62,17.66,74,21.08,69,19.66,43,12.25,25,7.12,6,1.71,8,2.28,33,9.4,21,5.98,10,2.85,03040
3,41,236,45,19.07,41,17.37,48,20.34,37,15.68,11,4.66,3,1.27,3,1.27,21,8.9,18,7.63,9,3.81,03041
4,1,335,46,13.73,73,21.79,77,22.99,67,20.0,10,2.99,16,4.78,4,1.19,28,8.36,11,3.28,3,0.9,04001
4,2,237,33,13.92,46,19.41,47,19.83,41,17.3,14,5.91,5,2.11,3,1.27,20,8.44,19,8.02,9,3.8,04002
4,3,279,45,16.13,48,17.2,71,25.45,39,13.98,17,6.09,9,3.23,2,0.72,22,7.89,21,7.53,5,1.79,04003
4,4,369,65,17.62,48,13.01,84,22.76,45,12.2,14,3.79,17,4.61,7,1.9,43,11.65,33,8.94,13,3.52,04004
4,5,248,52,20.97,23,9.27,39,15.73,23,9.27,22,8.87,37,14.92,1,0.4,25,10.08,20,8.06,6,2.42,04005
4,6,513,85,16.57,100,19.49,107,20.86,70,13.65,29,5.65,20,3.9,6,1.17,49,9.55,33,6.43,14,2.73,04006
4,7,492,83,16.87,87,17.68,107,21.75,71,14.43,30,6.1,14,2.85,2,0.41,44,8.94,37,7.52,17,3.46,04007
4,8,512,82,16.02,111,21.68,114,22.27,79,15.43,16,3.13,13,2.54,3,0.59,46,8.98,36,7.03,12,2.34,04008
4,9,689,100,14.51,142,20.61,154,22.35,111,16.11,37,5.37,20,2.9,3,0.44,80,11.61,33,4.79,9,1.31,04009
4,10,314,54,17.2,49,15.61,57,18.15,41,13.06,15,4.78,21,6.69,3,0.96,39,12.42,28,8.92,7,2.23,04010
4,11,333,58,17.42,53,15.92,66,19.82,45,13.51,22,6.61,21,6.31,1,0.3,33,9.91,23,6.91,11,3.3,04011
4,12,424,68,16.04,77,18.16,91,21.46,61,14.39,27,6.37,11,2.59,6,1.42,47,11.08,26,6.13,10,2.36,04012
4,13,62,11,17.74,14,22.58,6,9.68,10,16.13,2,3.23,2,3.23,2,3.23,4,6.45,8,12.9,3,4.84,04013
4,14,345,52,15.07,64,18.55,76,22.03,59,17.1,17,4.93,11,3.19,4,1.16,42,12.17,14,4.06,6,1.74,04014
4,15,412,85,20.63,68,16.5,83,20.15,52,12.62,21,5.1,11,2.67,5,1.21,40,9.71,34,8.25,13,3.16,04015
4,16,156,24,15.38,28,17.95,26,16.67,31,19.87,8,5.13,3,1.92,5,3.21,9,5.77,18,11.54,4,2.56,04016
4,17,156,26,16.67,25,16.03,21,13.46,38,24.36,7,4.49,5,3.21,4,2.56,4,2.56,20,12.82,6,3.85,04017
4,18,354,63,17.8,58,16.38,72,20.34,39,11.02,30,8.47,9,2.54,5,1.41,38,10.73,33,9.32,7,1.98,04018
4,19,363,68,18.73,47,12.95,74,20.39,32,8.82,29,7.99,40,11.02,3,0.83,34,9.37,30,8.26,6,1.65,04019
4,20,290,42,14.48,60,20.69,67,23.1,61,21.03,8,2.76,4,1.38,3,1.03,17,5.86,20,6.9,8,2.76,04020
4,21,147,25,17.01,29,19.73,24,16.33,25,17.01,4,2.72,4,2.72,4,2.72,15,10.2,12,8.16,5,3.4,04021
4,22,304,39,12.83,60,19.74,71,23.36,55,18.09,9,2.96,14,4.61,3,0.99,29,9.54,18,5.92,6,1.97,04022
4,23,321,40,12.46,68,21.18,74,23.05,64,19.94,15,4.67,13,4.05,3,0.93,26,8.1,16,4.98,2,0.62,04023
4,24,377,57,15.12,78,20.69,73,19.36,62,16.45,17,4.51,16,4.24,3,0.8,39,10.34,24,6.37,8,2.12,04024
4,25,234,37,15.81,46,19.66,43,18.38,44,18.8,11,4.7,9,3.85,8,3.42,11,4.7,19,8.12,6,2.56,04025
4,26,376,66,17.55,56,14.89,88,23.4,43,11.44,24,6.38,14,3.72,5,1.33,41,10.9,29,7.71,10,2.66,04026
4,27,268,41,15.3,51,19.03,65,24.25,46,17.16,8,2.99,6,2.24,4,1.49,21,7.84,16,5.97,10,3.73,04027
4,28,473,79,16.7,76,16.07,93,19.66,69,14.59,34,7.19,12,2.54,3,0.63,54,11.42,38,8.03,15,3.17,04028
4,29,268,51,19.03,46,17.16,61,22.76,33,12.31,19,7.09,9,3.36,0,0.0,36,13.43,11,4.1,2,0.75,04029
4,30,313,54,17.25,55,17.57,74,23.64,43,13.74,14,4.47,5,1.6,3,0.96,25,7.99,29,9.27,11,3.51,04030
4,31,636,79,12.42,124,19.5,130,20.44,103,16.19,39,6.13,27,4.25,10,1.57,69,10.85,37,5.82,18,2.83,04031
4,32,338,54,15.98,64,18.93,75,22.19,53,15.68,16,4.73,10,2.96,3,0.89,36,10.65,19,5.62,8,2.37,04032
4,33,408,73,17.89,69,16.91,86,21.08,60,14.71,19,4.66,20,4.9,4,0.98,37,9.07,28,6.86,12,2.94,04033
4,34,294,49,16.67,43,14.63,43,14.63,29,9.86,25,8.5,35,11.9,9,3.06,28,9.52,22,7.48,11,3.74,04034
4,35,587,96,16.35,112,19.08,124,21.12,74,12.61,23,3.92,26,4.43,3,0.51,80,13.63,32,5.45,17,2.9,04035
4,36,434,76,17.51,80,18.43,98,22.58,63,14.52,15,3.46,8,1.84,4,0.92,46,10.6,32,7.37,12,2.76,04036
4,37,222,28,12.61,51,22.97,38,17.12,46,20.72,7,3.15,6,2.7,2,0.9,14,6.31,20,9.01,10,4.5,04037
4,38,540,76,14.07,105,19.44,116,21.48,70,12.96,36,6.67,15,2.78,4,0.74,64,11.85,34,6.3,20,3.7,04038
5,1,176,36,20.45,21,11.93,34,19.32,16,9.09,17,9.66,17,9.66,2,1.14,17,9.66,10,5.68,6,3.41,05001
5,2,209,33,15.79,38,18.18,44,21.05,19,9.09,18,8.61,3,1.44,2,0.96,30,14.35,15,7.18,7,3.35,05002
5,3,213,28,13.15,41,19.25,49,23.0,39,18.31,14,6.57,6,2.82,1,0.47,19,8.92,13,6.1,3,1.41,05003
5,4,299,57,19.06,57,19.06,55,18.39,45,15.05,12,4.01,7,2.34,2,0.67,31,10.37,25,8.36,8,2.68,05004
5,5,335,67,20.0,48,14.33,71,21.19,35,10.45,22,6.57,12,3.58,4,1.19,28,8.36,38,11.34,10,2.99,05005
5,6,244,45,18.44,34,13.93,46,18.85,18,7.38,22,9.02,10,4.1,2,0.82,31,12.7,25,10.25,11,4.51,05006
5,7,302,63,20.86,39,12.91,55,18.21,46,15.23,16,5.3,9,2.98,3,0.99,40,13.25,24,7.95,7,2.32,05007
5,8,242,22,9.09,58,23.97,62,25.62,69,28.51,5,2.07,3,1.24,3,1.24,5,2.07,10,4.13,5,2.07,05008
5,9,266,40,15.04,48,18.05,55,20.68,39,14.66,12,4.51,11,4.14,0,0.0,35,13.16,19,7.14,7,2.63,05009
5,10,206,33,16.02,37,17.96,36,17.48,28,13.59,20,9.71,7,3.4,0,0.0,16,7.77,20,9.71,9,4.37,05010
5,11,327,42,12.84,71,21.71,66,20.18,69,21.1,9,2.75,9,2.75,7,2.14,16,4.89,28,8.56,10,3.06,05011
5,12,171,34,19.88,31,18.13,36,21.05,23,13.45,9,5.26,5,2.92,1,0.58,14,8.19,13,7.6,5,2.92,05012
5,13,294,62,21.09,42,14.29,60,20.41,28,9.52,14,4.76,7,2.38,3,1.02,41,13.95,28,9.52,9,3.06,05013
5,14,359,49,13.65,56,15.6,79,22.01,46,12.81,19,5.29,13,3.62,2,0.56,52,14.48,35,9.75,8,2.23,05014
5,15,344,49,14.24,74,21.51,61,17.73,63,18.31,13,3.78,16,4.65,4,1.16,28,8.14,27,7.85,9,2.62,05015
5,16,275,57,20.73,26,9.45,55,20.0,28,10.18,22,8.0,10,3.64,7,2.55,37,13.45,26,9.45,7,2.55,05016
5,17,277,62,22.38,35,12.64,52,18.77,21,7.58,21,7.58,10,3.61,3,1.08,26,9.39,32,11.55,15,5.42,05017
5,18,232,45,19.4,44,18.97,45,19.4,47,20.26,8,3.45,2,0.86,3,1.29,16,6.9,19,8.19,3,1.29,05018
5,19,269,35,13.01,56,20.82,54,20.07,61,22.68,7,2.6,5,1.86,6,2.23,18,6.69,19,7.06,8,2.97,05019
5,20,330,41,12.42,70,21.21,71,21.52,64,19.39,9,2.73,6,1.82,1,0.3,36,10.91,23,6.97,9,2.73,05020
5,21,239,33,13.81,47,19.67,50,20.92,48,20.08,12,5.02,9,3.77,2,0.84,20,8.37,14,5.86,4,1.67,05021
5,22,268,36,13.43,60,22.39,59,22.01,48,17.91,11,4.1,4,1.49,3,1.12,28,10.45,13,4.85,6,2.24,05022
5,23,338,53,15.68,63,18.64,66,19.53,63,18.64,11,3.25,3,0.89,3,0.89,33,9.76,31,9.17,12,3.55,05023
5,24,245,32,13.06,42,17.14,55,22.45,43,17.55,10,4.08,9,3.67,3,1.22,23,9.39,17,6.94,11,4.49,05024
5,25,319,57,17.87,57,17.87,75,23.51,37,11.6,13,4.08,8,2.51,4,1.25,40,12.54,20,6.27,8,2.51,05025
5,26,192,33,17.19,41,21.35,44,22.92,30,15.63,11,5.73,6,3.13,2,1.04,13,6.77,8,4.17,4,2.08,05026
