ward,precinct,total,Judy Rice,Judy Rice Percent,Owens J. Shelby,Owens J. Shelby Percent,Marianne Jackson,Marianne Jackson Percent,precinct_id
29,19,140,56,40.0,15,10.71,69,49.29,29019
29,20,116,33,28.45,19,16.38,64,55.17,29020
29,21,89,42,47.19,10,11.24,37,41.57,29021
29,22,65,21,32.31,16,24.62,28,43.08,29022
29,25,142,63,44.37,19,13.38,60,42.25,29025
29,26,141,55,39.01,15,10.64,71,50.35,29026
29,27,92,32,34.78,19,20.65,41,44.57,29027
29,28,187,59,31.55,28,14.97,100,53.48,29028
29,33,101,35,34.65,31,30.69,35,34.65,29033
29,34,44,18,40.91,12,27.27,14,31.82,29034
29,35,64,24,37.5,13,20.31,27,42.19,29035
29,37,111,38,34.23,15,13.51,58,52.25,29037
29,40,149,66,44.3,31,20.81,52,34.9,29040
29,41,82,28,34.15,17,20.73,37,45.12,29041
29,42,129,29,22.48,53,41.09,47,36.43,29042
29,44,170,88,51.76,21,12.35,61,35.88,29044
37,1,39,13,33.33,8,20.51,18,46.15,37001
37,3,46,23,50.0,8,17.39,15,32.61,37003
37,4,74,37,50.0,10,13.51,27,36.49,37004
37,5,108,39,36.11,20,18.52,49,45.37,37005
37,6,112,47,41.96,29,25.89,36,32.14,37006
37,7,51,23,45.1,8,15.69,20,39.22,37007
37,8,64,38,59.38,5,7.81,21,32.81,37008
37,9,86,35,40.7,19,22.09,32,37.21,37009
37,11,44,19,43.18,7,15.91,18,40.91,37011
37,13,76,37,48.68,17,22.37,22,28.95,37013
37,14,84,30,35.71,15,17.86,39,46.43,37014
37,15,111,47,42.34,16,14.41,48,43.24,37015
37,17,81,37,45.68,16,19.75,28,34.57,37017
37,18,108,44,40.74,28,25.93,36,33.33,37018
37,19,60,31,51.67,9,15.0,20,33.33,37019
37,20,62,27,43.55,14,22.58,21,33.87,37020
37,21,67,31,46.27,11,16.42,25,37.31,37021
37,22,9,4,44.44,1,11.11,4,44.44,37022
37,23,103,48,46.6,28,27.18,27,26.21,37023
37,24,11,4,36.36,1,9.09,6,54.55,37024
37,25,91,43,47.25,15,16.48,33,36.26,37025
37,27,114,44,38.6,22,19.3,48,42.11,37027
37,28,74,32,43.24,14,18.92,28,37.84,37028
37,29,82,26,31.71,16,19.51,40,48.78,37029
37,30,89,33,37.08,17,19.1,39,43.82,37030
37,31,103,37,35.92,36,34.95,30,29.13,37031
37,32,94,43,45.74,16,17.02,35,37.23,37032
37,33,136,51,37.5,29,21.32,56,41.18,37033
37,34,83,37,44.58,19,22.89,27,32.53,37034
37,35,108,49,45.37,16,14.81,43,39.81,37035
37,36,73,24,32.88,15,20.55,34,46.58,37036
37,37,91,33,36.26,26,28.57,32,35.16,37037
37,38,116,43,37.07,28,24.14,45,38.79,37038
37,39,84,32,38.1,22,26.19,30,35.71,37039
37,40,127,56,44.09,28,22.05,43,33.86,37040
37,41,73,25,34.25,6,8.22,42,57.53,37041
42,3,27,9,33.33,3,11.11,15,55.56,42003
42,12,29,7,24.14,2,6.9,20,68.97,42012
42,16,31,10,32.26,7,22.58,14,45.16,42016
42,18,32,9,28.13,3,9.38,20,62.5,42018
42,21,17,8,47.06,2,11.76,7,41.18,42021
42,36,26,9,34.62,5,19.23,12,46.15,42036
42,41,32,12,37.5,3,9.38,17,53.13,42041
