ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
19,55,38,38,100.0,19055
19,56,96,96,100.0,19056
19,57,85,85,100.0,19057
20,4,1,1,100.0,20004
20,15,19,19,100.0,20015
22,1,77,77,100.0,22001
22,2,61,61,100.0,22002
22,8,58,58,100.0,22008
22,12,64,64,100.0,22012
22,23,122,122,100.0,22023
23,1,109,109,100.0,23001
23,2,78,78,100.0,23002
23,3,72,72,100.0,23003
23,4,96,96,100.0,23004
23,5,55,55,100.0,23005
23,6,93,93,100.0,23006
23,7,51,51,100.0,23007
23,8,81,81,100.0,23008
23,9,16,16,100.0,23009
23,10,59,59,100.0,23010
23,11,44,44,100.0,23011
23,12,61,61,100.0,23012
23,14,70,70,100.0,23014
23,15,22,22,100.0,23015
23,16,59,59,100.0,23016
23,17,13,13,100.0,23017
23,18,50,50,100.0,23018
23,19,27,27,100.0,23019
23,20,24,24,100.0,23020
23,21,56,56,100.0,23021
23,22,69,69,100.0,23022
23,23,76,76,100.0,23023
23,25,47,47,100.0,23025
23,26,44,44,100.0,23026
23,27,73,73,100.0,23027
23,28,74,74,100.0,23028
23,29,45,45,100.0,23029
23,30,57,57,100.0,23030
23,31,16,16,100.0,23031
23,32,56,56,100.0,23032
23,33,35,35,100.0,23033
23,34,21,21,100.0,23034
23,35,48,48,100.0,23035
23,36,99,99,100.0,23036
23,37,53,53,100.0,23037
23,38,50,50,100.0,23038
23,39,25,25,100.0,23039
25,32,33,33,100.0,25032
