ward,precinct,total,Nyshana K. Sumner,Nyshana K. Sumner Percent,Steven G. Watkins,Steven G. Watkins Percent,precinct_id
21,20,2,0,0.0,2,100.0,21020
21,21,89,35,39.33,54,60.67,21021
21,22,92,36,39.13,56,60.87,21022
21,23,110,40,36.36,70,63.64,21023
21,24,110,48,43.64,62,56.36,21024
21,25,123,67,54.47,56,45.53,21025
21,27,97,45,46.39,52,53.61,21027
21,29,76,23,30.26,53,69.74,21029
21,32,109,56,51.38,53,48.62,21032
21,33,12,5,41.67,7,58.33,21033
21,34,58,19,32.76,39,67.24,21034
21,35,115,42,36.52,73,63.48,21035
21,36,111,43,38.74,68,61.26,21036
21,37,96,38,39.58,58,60.42,21037
21,38,102,45,44.12,57,55.88,21038
21,39,68,32,47.06,36,52.94,21039
21,40,79,35,44.3,44,55.7,21040
21,41,112,49,43.75,63,56.25,21041
21,42,118,50,42.37,68,57.63,21042
21,44,68,33,48.53,35,51.47,21044
21,45,102,53,51.96,49,48.04,21045
21,46,101,46,45.54,55,54.46,21046
21,48,59,30,50.85,29,49.15,21048
21,49,117,62,52.99,55,47.01,21049
21,50,79,40,50.63,39,49.37,21050
21,52,26,13,50.0,13,50.0,21052
34,1,137,56,40.88,81,59.12,34001
34,2,117,62,52.99,55,47.01,34002
34,3,90,44,48.89,46,51.11,34003
34,4,70,29,41.43,41,58.57,34004
34,5,94,39,41.49,55,58.51,34005
34,6,152,67,44.08,85,55.92,34006
34,7,128,47,36.72,81,63.28,34007
34,8,80,49,61.25,31,38.75,34008
34,9,59,33,55.93,26,44.07,34009
34,10,141,62,43.97,79,56.03,34010
34,11,63,25,39.68,38,60.32,34011
34,12,108,42,38.89,66,61.11,34012
34,13,128,68,53.13,60,46.88,34013
34,14,75,50,66.67,25,33.33,34014
34,15,52,23,44.23,29,55.77,34015
34,16,72,31,43.06,41,56.94,34016
34,18,62,37,59.68,25,40.32,34018
34,19,78,30,38.46,48,61.54,34019
34,20,161,59,36.65,102,63.35,34020
34,21,173,60,34.68,113,65.32,34021
34,22,110,53,48.18,57,51.82,34022
34,23,91,40,43.96,51,56.04,34023
34,24,87,37,42.53,50,57.47,34024
34,25,138,46,33.33,92,66.67,34025
34,26,110,50,45.45,60,54.55,34026
34,27,86,46,53.49,40,46.51,34027
34,28,60,20,33.33,40,66.67,34028
34,29,65,33,50.77,32,49.23,34029
34,30,126,60,47.62,66,52.38,34030
34,31,95,41,43.16,54,56.84,34031
34,32,111,47,42.34,64,57.66,34032
34,33,86,28,32.56,58,67.44,34033
34,34,121,33,27.27,88,72.73,34034
34,35,84,35,41.67,49,58.33,34035
34,36,125,50,40.0,75,60.0,34036
34,37,40,7,17.5,33,82.5,34037
34,38,54,15,27.78,39,72.22,34038
34,39,57,21,36.84,36,63.16,34039
34,40,113,39,34.51,74,65.49,34040
34,41,79,33,41.77,46,58.23,34041
34,42,126,57,45.24,69,54.76,34042
34,43,119,47,39.5,72,60.5,34043
34,44,114,44,38.6,70,61.4,34044
34,45,114,51,44.74,63,55.26,34045
34,46,88,28,31.82,60,68.18,34046
34,47,71,31,43.66,40,56.34,34047
34,48,132,57,43.18,75,56.82,34048
34,49,56,28,50.0,28,50.0,34049
34,50,82,37,45.12,45,54.88,34050
34,51,116,55,47.41,61,52.59,34051
34,52,125,48,38.4,77,61.6,34052
34,53,48,22,45.83,26,54.17,34053
