ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Rosemary Reeves,Rosemary Reeves Percent,precinct_id
5,3,85,66,77.65,19,22.35,05003
5,4,121,104,85.95,17,14.05,05004
5,5,157,140,89.17,17,10.83,05005
5,6,105,92,87.62,13,12.38,05006
5,7,116,97,83.62,19,16.38,05007
5,8,78,44,56.41,34,43.59,05008
5,9,116,99,85.34,17,14.66,05009
5,10,83,71,85.54,12,14.46,05010
5,11,118,83,70.34,35,29.66,05011
5,12,64,57,89.06,7,10.94,05012
5,13,118,97,82.2,21,17.8,05013
5,14,152,139,91.45,13,8.55,05014
5,15,141,108,76.6,33,23.4,05015
5,16,118,107,90.68,11,9.32,05016
5,17,113,96,84.96,17,15.04,05017
5,18,96,75,78.13,21,21.88,05018
5,19,96,71,73.96,25,26.04,05019
5,20,126,106,84.13,20,15.87,05020
5,21,106,84,79.25,22,20.75,05021
5,22,105,92,87.62,13,12.38,05022
5,23,129,108,83.72,21,16.28,05023
5,24,96,77,80.21,19,19.79,05024
5,25,132,117,88.64,15,11.36,05025
5,26,74,63,85.14,11,14.86,05026
5,27,45,31,68.89,14,31.11,05027
5,28,154,136,88.31,18,11.69,05028
5,29,110,94,85.45,16,14.55,05029
5,30,88,79,89.77,9,10.23,05030
5,31,73,64,87.67,9,12.33,05031
5,32,140,124,88.57,16,11.43,05032
5,33,141,125,88.65,16,11.35,05033
5,34,70,42,60.0,28,40.0,05034
5,35,95,72,75.79,23,24.21,05035
5,36,117,97,82.91,20,17.09,05036
5,37,155,114,73.55,41,26.45,05037
5,38,86,74,86.05,12,13.95,05038
5,39,76,61,80.26,15,19.74,05039
5,40,107,100,93.46,7,6.54,05040
5,41,109,80,73.39,29,26.61,05041
6,6,136,118,86.76,18,13.24,06006
6,7,14,14,100.0,0,0.0,06007
6,10,53,48,90.57,5,9.43,06010
6,12,12,10,83.33,2,16.67,06012
6,16,93,81,87.1,12,12.9,06016
6,17,84,73,86.9,11,13.1,06017
6,19,91,77,84.62,14,15.38,06019
6,20,73,60,82.19,13,17.81,06020
6,30,85,72,84.71,13,15.29,06030
6,32,103,92,89.32,11,10.68,06032
6,33,120,112,93.33,8,6.67,06033
6,39,94,77,81.91,17,18.09,06039
6,40,107,88,82.24,19,17.76,06040
6,43,103,88,85.44,15,14.56,06043
6,47,97,86,88.66,11,11.34,06047
6,48,57,46,80.7,11,19.3,06048
8,1,68,64,94.12,4,5.88,08001
8,2,87,75,86.21,12,13.79,08002
8,9,85,75,88.24,10,11.76,08009
8,13,103,94,91.26,9,8.74,08013
8,14,59,48,81.36,11,18.64,08014
8,16,28,23,82.14,5,17.86,08016
8,18,95,81,85.26,14,14.74,08018
8,20,130,117,90.0,13,10.0,08020
8,21,137,124,90.51,13,9.49,08021
8,26,103,89,86.41,14,13.59,08026
8,28,90,78,86.67,12,13.33,08028
8,42,160,146,91.25,14,8.75,08042
8,43,55,49,89.09,6,10.91,08043
8,45,78,63,80.77,15,19.23,08045
8,54,72,67,93.06,5,6.94,08054
8,55,90,81,90.0,9,10.0,08055
17,2,74,62,83.78,12,16.22,17002
17,4,97,84,86.6,13,13.4,17004
17,9,80,67,83.75,13,16.25,17009
17,10,93,82,88.17,11,11.83,17010
17,15,84,67,79.76,17,20.24,17015
17,18,108,92,85.19,16,14.81,17018
17,20,126,110,87.3,16,12.7,17020
17,21,138,125,90.58,13,9.42,17021
17,22,94,83,88.3,11,11.7,17022
17,24,130,109,83.85,21,16.15,17024
17,26,95,91,95.79,4,4.21,17026
17,27,82,77,93.9,5,6.1,17027
17,29,86,70,81.4,16,18.6,17029
17,38,90,81,90.0,9,10.0,17038
17,39,92,79,85.87,13,14.13,17039
17,40,98,89,90.82,9,9.18,17040
17,41,93,85,91.4,8,8.6,17041
18,1,58,39,67.24,19,32.76,18001
18,4,106,90,84.91,16,15.09,18004
18,7,69,50,72.46,19,27.54,18007
18,8,119,98,82.35,21,17.65,18008
18,9,126,98,77.78,28,22.22,18009
18,10,160,140,87.5,20,12.5,18010
18,12,92,79,85.87,13,14.13,18012
18,13,81,67,82.72,14,17.28,18013
18,14,88,75,85.23,13,14.77,18014
18,16,73,63,86.3,10,13.7,18016
18,18,150,136,90.67,14,9.33,18018
18,19,117,97,82.91,20,17.09,18019
18,20,86,72,83.72,14,16.28,18020
18,21,128,103,80.47,25,19.53,18021
18,22,141,125,88.65,16,11.35,18022
18,23,75,59,78.67,16,21.33,18023
18,26,127,110,86.61,17,13.39,18026
18,29,30,24,80.0,6,20.0,18029
18,31,67,59,88.06,8,11.94,18031
18,33,32,25,78.13,7,21.88,18033
18,34,187,169,90.37,18,9.63,18034
18,35,107,96,89.72,11,10.28,18035
18,36,8,6,75.0,2,25.0,18036
18,37,121,102,84.3,19,15.7,18037
18,38,102,88,86.27,14,13.73,18038
18,41,96,81,84.38,15,15.63,18041
18,42,55,43,78.18,12,21.82,18042
18,48,3,3,100.0,0,0.0,18048
20,1,80,68,85.0,12,15.0,20001
20,3,64,57,89.06,7,10.94,20003
20,5,70,62,88.57,8,11.43,20005
20,8,92,86,93.48,6,6.52,20008
20,9,118,102,86.44,16,13.56,20009
20,10,88,82,93.18,6,6.82,20010
20,14,73,70,95.89,3,4.11,20014
20,16,124,99,79.84,25,20.16,20016
20,18,72,59,81.94,13,18.06,20018
20,19,84,68,80.95,16,19.05,20019
20,22,140,115,82.14,25,17.86,20022
20,24,72,59,81.94,13,18.06,20024
20,26,81,64,79.01,17,20.99,20026
20,28,2,2,100.0,0,0.0,20028
20,33,58,51,87.93,7,12.07,20033
20,34,78,66,84.62,12,15.38,20034
20,35,4,4,100.0,0,0.0,20035
21,4,98,88,89.8,10,10.2,21004
21,15,77,68,88.31,9,11.69,21015
21,26,84,73,86.9,11,13.1,21026
21,28,130,100,76.92,30,23.08,21028
21,30,69,59,85.51,10,14.49,21030
21,34,4,3,75.0,1,25.0,21034
21,43,15,14,93.33,1,6.67,21043
21,47,83,76,91.57,7,8.43,21047
21,51,123,110,89.43,13,10.57,21051
21,52,54,44,81.48,10,18.52,21052
21,53,4,3,75.0,1,25.0,21053
21,54,89,77,86.52,12,13.48,21054
25,21,19,13,68.42,6,31.58,25021
27,6,37,30,81.08,7,18.92,27006
27,9,16,9,56.25,7,43.75,27009
27,12,25,13,52.0,12,48.0,27012
27,20,55,36,65.45,19,34.55,27020
27,21,45,30,66.67,15,33.33,27021
27,37,140,115,82.14,25,17.86,27037
27,38,148,103,69.59,45,30.41,27038
27,42,66,48,72.73,18,27.27,27042
27,46,21,14,66.67,7,33.33,27046
27,47,97,77,79.38,20,20.62,27047
27,48,55,48,87.27,7,12.73,27048
42,1,75,33,44.0,42,56.0,42001
42,2,38,27,71.05,11,28.95,42002
42,4,57,34,59.65,23,40.35,42004
42,6,135,78,57.78,57,42.22,42006
42,7,60,19,31.67,41,68.33,42007
42,8,68,38,55.88,30,44.12,42008
42,11,61,31,50.82,30,49.18,42011
42,13,111,71,63.96,40,36.04,42013
42,19,10,4,40.0,6,60.0,42019
42,24,50,24,48.0,26,52.0,42024
42,26,48,23,47.92,25,52.08,42026
42,28,100,68,68.0,32,32.0,42028
42,29,26,14,53.85,12,46.15,42029
42,30,72,48,66.67,24,33.33,42030
42,31,40,30,75.0,10,25.0,42031
42,33,9,6,66.67,3,33.33,42033
42,34,49,34,69.39,15,30.61,42034
42,35,88,55,62.5,33,37.5,42035
42,40,18,11,61.11,7,38.89,42040
43,28,49,29,59.18,20,40.82,43028
43,33,62,26,41.94,36,58.06,43033
43,35,77,38,49.35,39,50.65,43035
43,38,33,18,54.55,15,45.45,43038
43,43,51,32,62.75,19,37.25,43043
