ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,Ricardo Mu̱oz,Ricardo Mu̱oz Percent,Sam J. Morabito,Sam J. Morabito Percent,precinct_id
12,15,20,9,45.0,11,55.0,0,0.0,12015
12,16,40,17,42.5,16,40.0,7,17.5,12016
12,17,66,42,63.64,17,25.76,7,10.61,12017
12,18,30,16,53.33,11,36.67,3,10.0,12018
12,19,0,0,0.0,0,0.0,0,0.0,12019
12,20,72,54,75.0,10,13.89,8,11.11,12020
12,21,63,46,73.02,11,17.46,6,9.52,12021
12,22,36,22,61.11,10,27.78,4,11.11,12022
14,2,130,92,70.77,21,16.15,17,13.08,14002
14,3,57,34,59.65,19,33.33,4,7.02,14003
14,5,38,27,71.05,8,21.05,3,7.89,14005
14,6,45,31,68.89,10,22.22,4,8.89,14006
14,10,50,35,70.0,11,22.0,4,8.0,14010
14,11,68,55,80.88,10,14.71,3,4.41,14011
14,13,68,41,60.29,19,27.94,8,11.76,14013
14,14,68,53,77.94,12,17.65,3,4.41,14014
14,15,96,67,69.79,22,22.92,7,7.29,14015
14,16,63,40,63.49,15,23.81,8,12.7,14016
14,17,63,53,84.13,8,12.7,2,3.17,14017
14,19,42,31,73.81,5,11.9,6,14.29,14019
14,20,51,35,68.63,15,29.41,1,1.96,14020
14,25,60,46,76.67,7,11.67,7,11.67,14025
14,27,75,50,66.67,16,21.33,9,12.0,14027
14,28,46,24,52.17,17,36.96,5,10.87,14028
14,30,30,23,76.67,4,13.33,3,10.0,14030
14,31,36,24,66.67,9,25.0,3,8.33,14031
15,1,44,18,40.91,21,47.73,5,11.36,15001
15,4,34,23,67.65,5,14.71,6,17.65,15004
15,5,37,21,56.76,14,37.84,2,5.41,15005
15,6,61,37,60.66,20,32.79,4,6.56,15006
15,8,15,9,60.0,4,26.67,2,13.33,15008
15,9,61,36,59.02,19,31.15,6,9.84,15009
15,10,84,54,64.29,23,27.38,7,8.33,15010
15,11,58,38,65.52,13,22.41,7,12.07,15011
15,12,83,53,63.86,24,28.92,6,7.23,15012
15,15,9,5,55.56,3,33.33,1,11.11,15015
16,1,13,10,76.92,3,23.08,0,0.0,16001
22,3,63,22,34.92,35,55.56,6,9.52,22003
22,4,48,15,31.25,31,64.58,2,4.17,22004
22,5,57,13,22.81,42,73.68,2,3.51,22005
22,6,54,11,20.37,35,64.81,8,14.81,22006
22,7,39,14,35.9,23,58.97,2,5.13,22007
22,9,58,11,18.97,40,68.97,7,12.07,22009
22,10,73,18,24.66,47,64.38,8,10.96,22010
22,11,57,19,33.33,34,59.65,4,7.02,22011
22,13,45,16,35.56,24,53.33,5,11.11,22013
22,14,13,1,7.69,11,84.62,1,7.69,22014
22,15,42,12,28.57,27,64.29,3,7.14,22015
22,16,53,21,39.62,27,50.94,5,9.43,22016
22,17,52,20,38.46,30,57.69,2,3.85,22017
22,18,50,15,30.0,28,56.0,7,14.0,22018
22,19,36,13,36.11,21,58.33,2,5.56,22019
22,20,51,21,41.18,23,45.1,7,13.73,22020
22,22,36,12,33.33,21,58.33,3,8.33,22022
22,24,51,20,39.22,27,52.94,4,7.84,22024
22,25,48,15,31.25,25,52.08,8,16.67,22025
23,9,27,7,25.93,11,40.74,9,33.33,23009
23,13,36,21,58.33,10,27.78,5,13.89,23013
23,15,27,14,51.85,10,37.04,3,11.11,23015
23,24,41,23,56.1,15,36.59,3,7.32,23024
23,26,10,4,40.0,4,40.0,2,20.0,23026
23,34,25,12,48.0,9,36.0,4,16.0,23034
23,39,18,12,66.67,4,22.22,2,11.11,23039
24,16,38,19,50.0,18,47.37,1,2.63,24016
25,1,58,33,56.9,16,27.59,9,15.52,25001
25,2,39,21,53.85,15,38.46,3,7.69,25002
25,5,55,38,69.09,11,20.0,6,10.91,25005
25,7,45,23,51.11,17,37.78,5,11.11,25007
25,8,38,23,60.53,11,28.95,4,10.53,25008
25,9,49,33,67.35,12,24.49,4,8.16,25009
25,11,61,31,50.82,23,37.7,7,11.48,25011
25,12,53,35,66.04,14,26.42,4,7.55,25012
25,13,46,29,63.04,14,30.43,3,6.52,25013
25,14,3,2,66.67,0,0.0,1,33.33,25014
25,15,44,23,52.27,14,31.82,7,15.91,25015
25,17,63,38,60.32,15,23.81,10,15.87,25017
25,19,46,29,63.04,14,30.43,3,6.52,25019
25,22,44,30,68.18,7,15.91,7,15.91,25022
25,23,61,37,60.66,20,32.79,4,6.56,25023
25,24,30,14,46.67,10,33.33,6,20.0,25024
25,26,34,17,50.0,12,35.29,5,14.71,25026
25,27,3,2,66.67,1,33.33,0,0.0,25027
25,28,49,28,57.14,19,38.78,2,4.08,25028
25,30,38,25,65.79,11,28.95,2,5.26,25030
25,32,9,6,66.67,3,33.33,0,0.0,25032
26,1,13,9,69.23,3,23.08,1,7.69,26001
26,2,55,29,52.73,20,36.36,6,10.91,26002
26,5,42,24,57.14,14,33.33,4,9.52,26005
26,6,38,16,42.11,18,47.37,4,10.53,26006
26,7,47,25,53.19,12,25.53,10,21.28,26007
26,8,26,12,46.15,10,38.46,4,15.38,26008
26,9,55,36,65.45,15,27.27,4,7.27,26009
26,10,12,9,75.0,3,25.0,0,0.0,26010
26,11,46,17,36.96,24,52.17,5,10.87,26011
26,12,51,26,50.98,20,39.22,5,9.8,26012
26,13,54,33,61.11,16,29.63,5,9.26,26013
26,14,32,13,40.63,15,46.88,4,12.5,26014
26,15,20,8,40.0,9,45.0,3,15.0,26015
26,16,22,11,50.0,10,45.45,1,4.55,26016
26,18,56,28,50.0,23,41.07,5,8.93,26018
26,20,30,14,46.67,12,40.0,4,13.33,26020
26,22,37,17,45.95,19,51.35,1,2.7,26022
26,23,47,23,48.94,20,42.55,4,8.51,26023
26,24,65,24,36.92,36,55.38,5,7.69,26024
26,25,46,26,56.52,17,36.96,3,6.52,26025
26,26,22,13,59.09,6,27.27,3,13.64,26026
26,27,45,27,60.0,14,31.11,4,8.89,26027
26,29,37,22,59.46,13,35.14,2,5.41,26029
26,30,28,16,57.14,10,35.71,2,7.14,26030
26,31,32,21,65.63,10,31.25,1,3.13,26031
26,33,1,1,100.0,0,0.0,0,0.0,26033
26,34,92,49,53.26,36,39.13,7,7.61,26034
26,35,53,29,54.72,23,43.4,1,1.89,26035
26,36,1,1,100.0,0,0.0,0,0.0,26036
26,37,42,22,52.38,18,42.86,2,4.76,26037
26,38,40,15,37.5,22,55.0,3,7.5,26038
26,39,31,16,51.61,11,35.48,4,12.9,26039
26,40,20,14,70.0,3,15.0,3,15.0,26040
26,41,49,32,65.31,11,22.45,6,12.24,26041
26,42,36,21,58.33,10,27.78,5,13.89,26042
26,43,41,20,48.78,19,46.34,2,4.88,26043
26,44,24,16,66.67,7,29.17,1,4.17,26044
26,45,21,13,61.9,5,23.81,3,14.29,26045
26,47,25,11,44.0,12,48.0,2,8.0,26047
26,48,19,8,42.11,10,52.63,1,5.26,26048
26,49,20,15,75.0,5,25.0,0,0.0,26049
28,19,0,0,0.0,0,0.0,0,0.0,28019
29,1,4,1,25.0,2,50.0,1,25.0,29001
29,9,114,56,49.12,24,21.05,34,29.82,29009
29,23,40,23,57.5,11,27.5,6,15.0,29023
29,30,161,116,72.05,25,15.53,20,12.42,29030
29,38,63,29,46.03,18,28.57,16,25.4,29038
29,39,47,21,44.68,16,34.04,10,21.28,29039
29,43,34,25,73.53,4,11.76,5,14.71,29043
30,1,127,60,47.24,31,24.41,36,28.35,30001
30,2,77,44,57.14,15,19.48,18,23.38,30002
30,3,62,27,43.55,17,27.42,18,29.03,30003
30,4,96,55,57.29,15,15.63,26,27.08,30004
30,5,38,20,52.63,11,28.95,7,18.42,30005
30,6,46,22,47.83,14,30.43,10,21.74,30006
30,7,91,50,54.95,21,23.08,20,21.98,30007
30,8,78,38,48.72,25,32.05,15,19.23,30008
30,9,76,49,64.47,17,22.37,10,13.16,30009
30,10,68,44,64.71,11,16.18,13,19.12,30010
30,11,51,26,50.98,19,37.25,6,11.76,30011
30,12,50,26,52.0,13,26.0,11,22.0,30012
30,13,52,30,57.69,12,23.08,10,19.23,30013
30,14,28,16,57.14,9,32.14,3,10.71,30014
30,15,5,3,60.0,0,0.0,2,40.0,30015
30,16,21,9,42.86,6,28.57,6,28.57,30016
30,17,54,30,55.56,14,25.93,10,18.52,30017
30,18,76,32,42.11,29,38.16,15,19.74,30018
30,19,48,24,50.0,20,41.67,4,8.33,30019
30,20,102,54,52.94,24,23.53,24,23.53,30020
30,22,82,33,40.24,37,45.12,12,14.63,30022
30,23,63,24,38.1,21,33.33,18,28.57,30023
30,24,76,43,56.58,17,22.37,16,21.05,30024
30,25,67,41,61.19,16,23.88,10,14.93,30025
30,26,60,33,55.0,15,25.0,12,20.0,30026
30,27,53,31,58.49,12,22.64,10,18.87,30027
30,28,77,52,67.53,15,19.48,10,12.99,30028
30,29,35,16,45.71,12,34.29,7,20.0,30029
30,30,19,9,47.37,7,36.84,3,15.79,30030
30,31,51,28,54.9,11,21.57,12,23.53,30031
30,32,44,24,54.55,6,13.64,14,31.82,30032
31,1,72,43,59.72,24,33.33,5,6.94,31001
31,2,71,45,63.38,17,23.94,9,12.68,31002
31,3,45,20,44.44,12,26.67,13,28.89,31003
31,4,53,33,62.26,15,28.3,5,9.43,31004
31,5,95,54,56.84,28,29.47,13,13.68,31005
31,6,84,58,69.05,23,27.38,3,3.57,31006
31,7,77,37,48.05,32,41.56,8,10.39,31007
31,8,54,28,51.85,14,25.93,12,22.22,31008
31,9,93,60,64.52,23,24.73,10,10.75,31009
31,10,54,34,62.96,12,22.22,8,14.81,31010
31,11,63,31,49.21,20,31.75,12,19.05,31011
31,12,59,32,54.24,11,18.64,16,27.12,31012
31,13,76,48,63.16,22,28.95,6,7.89,31013
31,14,58,31,53.45,18,31.03,9,15.52,31014
31,15,39,18,46.15,13,33.33,8,20.51,31015
31,16,40,21,52.5,15,37.5,4,10.0,31016
31,17,78,36,46.15,21,26.92,21,26.92,31017
31,18,69,45,65.22,16,23.19,8,11.59,31018
31,19,45,27,60.0,11,24.44,7,15.56,31019
31,20,93,53,56.99,33,35.48,7,7.53,31020
31,21,75,51,68.0,19,25.33,5,6.67,31021
31,22,38,24,63.16,10,26.32,4,10.53,31022
31,23,68,42,61.76,14,20.59,12,17.65,31023
31,24,114,84,73.68,22,19.3,8,7.02,31024
31,25,46,18,39.13,12,26.09,16,34.78,31025
31,26,89,46,51.69,33,37.08,10,11.24,31026
31,27,89,59,66.29,24,26.97,6,6.74,31027
31,28,55,34,61.82,15,27.27,6,10.91,31028
31,29,92,56,60.87,27,29.35,9,9.78,31029
31,30,59,35,59.32,14,23.73,10,16.95,31030
31,31,48,28,58.33,9,18.75,11,22.92,31031
31,32,58,28,48.28,23,39.66,7,12.07,31032
31,33,64,37,57.81,10,15.63,17,26.56,31033
31,34,70,43,61.43,7,10.0,20,28.57,31034
31,35,90,53,58.89,23,25.56,14,15.56,31035
31,36,79,50,63.29,21,26.58,8,10.13,31036
31,37,91,59,64.84,19,20.88,13,14.29,31037
31,38,50,26,52.0,19,38.0,5,10.0,31038
31,39,25,13,52.0,6,24.0,6,24.0,31039
31,40,54,35,64.81,10,18.52,9,16.67,31040
31,41,58,32,55.17,18,31.03,8,13.79,31041
32,3,120,54,45.0,41,34.17,25,20.83,32003
32,11,107,49,45.79,42,39.25,16,14.95,32011
32,12,97,39,40.21,42,43.3,16,16.49,32012
32,14,99,48,48.48,34,34.34,17,17.17,32014
32,16,10,7,70.0,1,10.0,2,20.0,32016
32,17,114,68,59.65,27,23.68,19,16.67,32017
32,20,107,60,56.07,34,31.78,13,12.15,32020
32,22,112,57,50.89,33,29.46,22,19.64,32022
32,26,134,72,53.73,43,32.09,19,14.18,32026
32,28,87,50,57.47,22,25.29,15,17.24,32028
32,43,79,45,56.96,24,30.38,10,12.66,32043
33,1,82,36,43.9,36,43.9,10,12.2,33001
33,3,74,28,37.84,25,33.78,21,28.38,33003
33,4,87,53,60.92,23,26.44,11,12.64,33004
33,6,108,49,45.37,42,38.89,17,15.74,33006
33,7,25,15,60.0,8,32.0,2,8.0,33007
33,8,11,3,27.27,4,36.36,4,36.36,33008
33,9,98,59,60.2,24,24.49,15,15.31,33009
33,10,65,28,43.08,22,33.85,15,23.08,33010
33,11,89,41,46.07,28,31.46,20,22.47,33011
33,12,124,68,54.84,42,33.87,14,11.29,33012
33,13,76,30,39.47,36,47.37,10,13.16,33013
33,14,40,18,45.0,12,30.0,10,25.0,33014
33,15,98,41,41.84,40,40.82,17,17.35,33015
33,16,148,68,45.95,48,32.43,32,21.62,33016
33,17,101,47,46.53,42,41.58,12,11.88,33017
33,19,70,32,45.71,24,34.29,14,20.0,33019
33,20,96,39,40.63,27,28.13,30,31.25,33020
33,21,97,41,42.27,29,29.9,27,27.84,33021
33,22,152,81,53.29,47,30.92,24,15.79,33022
33,23,60,32,53.33,14,23.33,14,23.33,33023
33,25,114,61,53.51,37,32.46,16,14.04,33025
33,26,65,37,56.92,18,27.69,10,15.38,33026
33,27,45,25,55.56,12,26.67,8,17.78,33027
33,28,78,41,52.56,25,32.05,12,15.38,33028
35,1,69,37,53.62,18,26.09,14,20.29,35001
35,2,85,44,51.76,31,36.47,10,11.76,35002
35,3,53,23,43.4,23,43.4,7,13.21,35003
35,4,85,34,40.0,30,35.29,21,24.71,35004
35,5,56,32,57.14,17,30.36,7,12.5,35005
35,6,50,21,42.0,20,40.0,9,18.0,35006
35,7,48,21,43.75,19,39.58,8,16.67,35007
35,8,52,24,46.15,18,34.62,10,19.23,35008
35,9,56,32,57.14,12,21.43,12,21.43,35009
35,10,105,53,50.48,30,28.57,22,20.95,35010
35,11,67,35,52.24,18,26.87,14,20.9,35011
35,12,41,28,68.29,12,29.27,1,2.44,35012
35,13,53,30,56.6,19,35.85,4,7.55,35013
35,14,45,25,55.56,16,35.56,4,8.89,35014
35,15,95,46,48.42,36,37.89,13,13.68,35015
35,16,61,32,52.46,21,34.43,8,13.11,35016
35,17,82,51,62.2,20,24.39,11,13.41,35017
35,18,56,32,57.14,16,28.57,8,14.29,35018
35,19,41,21,51.22,14,34.15,6,14.63,35019
35,20,57,31,54.39,15,26.32,11,19.3,35020
35,21,59,39,66.1,16,27.12,4,6.78,35021
35,22,62,28,45.16,15,24.19,19,30.65,35022
35,23,80,31,38.75,31,38.75,18,22.5,35023
35,24,73,35,47.95,22,30.14,16,21.92,35024
35,25,86,45,52.33,23,26.74,18,20.93,35025
35,26,50,21,42.0,18,36.0,11,22.0,35026
35,27,68,36,52.94,20,29.41,12,17.65,35027
35,28,92,58,63.04,18,19.57,16,17.39,35028
35,29,36,22,61.11,10,27.78,4,11.11,35029
35,30,60,33,55.0,15,25.0,12,20.0,35030
35,31,75,37,49.33,24,32.0,14,18.67,35031
36,1,61,27,44.26,20,32.79,14,22.95,36001
36,2,44,27,61.36,12,27.27,5,11.36,36002
36,3,69,47,68.12,13,18.84,9,13.04,36003
36,4,48,33,68.75,12,25.0,3,6.25,36004
36,6,48,27,56.25,15,31.25,6,12.5,36006
36,8,49,26,53.06,20,40.82,3,6.12,36008
36,9,57,27,47.37,24,42.11,6,10.53,36009
36,10,69,44,63.77,12,17.39,13,18.84,36010
36,11,43,30,69.77,7,16.28,6,13.95,36011
36,12,34,18,52.94,12,35.29,4,11.76,36012
36,13,27,12,44.44,12,44.44,3,11.11,36013
36,16,24,14,58.33,1,4.17,9,37.5,36016
36,19,61,33,54.1,22,36.07,6,9.84,36019
36,20,52,28,53.85,11,21.15,13,25.0,36020
36,21,30,17,56.67,10,33.33,3,10.0,36021
36,22,33,19,57.58,12,36.36,2,6.06,36022
36,23,42,20,47.62,16,38.1,6,14.29,36023
36,24,4,2,50.0,1,25.0,1,25.0,36024
36,25,37,20,54.05,13,35.14,4,10.81,36025
36,27,61,37,60.66,11,18.03,13,21.31,36027
36,29,31,14,45.16,7,22.58,10,32.26,36029
37,26,58,33,56.9,15,25.86,10,17.24,37026
38,1,46,20,43.48,9,19.57,17,36.96,38001
38,35,55,29,52.73,12,21.82,14,25.45,38035
38,41,62,32,51.61,13,20.97,17,27.42,38041
39,6,0,0,0.0,0,0.0,0,0.0,39006
39,12,9,4,44.44,2,22.22,3,33.33,39012
39,25,2,1,50.0,0,0.0,1,50.0,39025
39,28,65,31,47.69,14,21.54,20,30.77,39028
39,31,59,24,40.68,21,35.59,14,23.73,39031
45,1,52,16,30.77,22,42.31,14,26.92,45001
45,2,78,44,56.41,20,25.64,14,17.95,45002
45,8,97,47,48.45,26,26.8,24,24.74,45008
45,9,122,70,57.38,17,13.93,35,28.69,45009
45,10,114,56,49.12,27,23.68,31,27.19,45010
