ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,Nicholas ''Nick'' Smith,Nicholas ''Nick'' Smith Percent,Robert R. McKay,Robert R. McKay Percent,precinct_id
7,34,151,85,56.29,51,33.77,15,9.93,07034
7,35,72,45,62.5,17,23.61,10,13.89,07035
7,36,139,105,75.54,22,15.83,12,8.63,07036
7,37,112,76,67.86,17,15.18,19,16.96,07037
7,38,82,53,64.63,14,17.07,15,18.29,07038
7,39,90,62,68.89,22,24.44,6,6.67,07039
7,40,114,89,78.07,15,13.16,10,8.77,07040
7,41,85,52,61.18,14,16.47,19,22.35,07041
7,42,80,47,58.75,22,27.5,11,13.75,07042
7,43,106,66,62.26,25,23.58,15,14.15,07043
7,44,73,47,64.38,19,26.03,7,9.59,07044
7,45,75,48,64.0,19,25.33,8,10.67,07045
7,46,78,59,75.64,10,12.82,9,11.54,07046
8,3,196,150,76.53,29,14.8,17,8.67,08003
8,4,144,119,82.64,19,13.19,6,4.17,08004
8,5,193,140,72.54,31,16.06,22,11.4,08005
8,6,122,93,76.23,20,16.39,9,7.38,08006
8,7,169,130,76.92,21,12.43,18,10.65,08007
8,8,159,123,77.36,22,13.84,14,8.81,08008
8,9,6,3,50.0,0,0.0,3,50.0,08009
8,10,193,142,73.58,39,20.21,12,6.22,08010
8,11,129,96,74.42,18,13.95,15,11.63,08011
8,12,103,65,63.11,22,21.36,16,15.53,08012
8,15,75,50,66.67,16,21.33,9,12.0,08015
8,17,115,74,64.35,30,26.09,11,9.57,08017
8,19,169,128,75.74,30,17.75,11,6.51,08019
8,22,102,67,65.69,25,24.51,10,9.8,08022
8,23,82,59,71.95,16,19.51,7,8.54,08023
8,24,73,48,65.75,15,20.55,10,13.7,08024
8,25,106,73,68.87,20,18.87,13,12.26,08025
8,27,147,107,72.79,30,20.41,10,6.8,08027
8,28,27,19,70.37,4,14.81,4,14.81,08028
8,29,147,109,74.15,24,16.33,14,9.52,08029
8,30,107,77,71.96,13,12.15,17,15.89,08030
8,31,108,77,71.3,21,19.44,10,9.26,08031
8,32,88,52,59.09,25,28.41,11,12.5,08032
8,33,105,60,57.14,29,27.62,16,15.24,08033
8,34,108,78,72.22,17,15.74,13,12.04,08034
8,35,130,88,67.69,29,22.31,13,10.0,08035
8,36,121,82,67.77,24,19.83,15,12.4,08036
8,37,110,89,80.91,10,9.09,11,10.0,08037
8,38,61,41,67.21,16,26.23,4,6.56,08038
8,39,98,65,66.33,21,21.43,12,12.24,08039
8,40,72,46,63.89,16,22.22,10,13.89,08040
8,41,99,66,66.67,17,17.17,16,16.16,08041
8,44,64,43,67.19,13,20.31,8,12.5,08044
8,46,83,55,66.27,22,26.51,6,7.23,08046
8,47,96,70,72.92,17,17.71,9,9.38,08047
8,48,92,66,71.74,17,18.48,9,9.78,08048
8,49,125,87,69.6,22,17.6,16,12.8,08049
8,50,109,83,76.15,11,10.09,15,13.76,08050
8,51,139,102,73.38,22,15.83,15,10.79,08051
8,52,161,122,75.78,23,14.29,16,9.94,08052
8,53,69,44,63.77,13,18.84,12,17.39,08053
8,56,138,97,70.29,24,17.39,17,12.32,08056
9,1,11,8,72.73,2,18.18,1,9.09,09001
9,2,95,29,30.53,22,23.16,44,46.32,09002
9,8,63,29,46.03,22,34.92,12,19.05,09008
9,10,74,39,52.7,19,25.68,16,21.62,09010
9,12,118,89,75.42,14,11.86,15,12.71,09012
9,17,47,28,59.57,11,23.4,8,17.02,09017
9,20,122,79,64.75,32,26.23,11,9.02,09020
9,21,78,40,51.28,24,30.77,14,17.95,09021
9,23,123,77,62.6,31,25.2,15,12.2,09023
9,24,124,56,45.16,54,43.55,14,11.29,09024
9,25,98,57,58.16,25,25.51,16,16.33,09025
9,27,100,60,60.0,31,31.0,9,9.0,09027
9,30,79,50,63.29,19,24.05,10,12.66,09030
9,36,82,50,60.98,28,34.15,4,4.88,09036
9,37,98,49,50.0,30,30.61,19,19.39,09037
9,42,137,66,48.18,61,44.53,10,7.3,09042
9,46,12,6,50.0,4,33.33,2,16.67,09046
9,47,152,92,60.53,40,26.32,20,13.16,09047
9,48,117,80,68.38,24,20.51,13,11.11,09048
9,49,110,73,66.36,26,23.64,11,10.0,09049
9,50,162,101,62.35,41,25.31,20,12.35,09050
9,51,123,62,50.41,42,34.15,19,15.45,09051
10,1,63,31,49.21,15,23.81,17,26.98,10001
10,2,60,31,51.67,11,18.33,18,30.0,10002
10,3,52,32,61.54,6,11.54,14,26.92,10003
10,4,45,30,66.67,9,20.0,6,13.33,10004
10,5,34,15,44.12,7,20.59,12,35.29,10005
10,6,36,20,55.56,5,13.89,11,30.56,10006
10,7,29,17,58.62,6,20.69,6,20.69,10007
10,8,28,9,32.14,12,42.86,7,25.0,10008
10,9,52,17,32.69,11,21.15,24,46.15,10009
10,10,37,18,48.65,9,24.32,10,27.03,10010
10,11,41,23,56.1,6,14.63,12,29.27,10011
10,12,19,8,42.11,3,15.79,8,42.11,10012
10,13,60,28,46.67,14,23.33,18,30.0,10013
10,14,57,22,38.6,19,33.33,16,28.07,10014
10,15,181,118,65.19,34,18.78,29,16.02,10015
10,16,29,12,41.38,6,20.69,11,37.93,10016
10,17,56,26,46.43,14,25.0,16,28.57,10017
10,18,41,19,46.34,16,39.02,6,14.63,10018
10,19,39,18,46.15,11,28.21,10,25.64,10019
10,20,57,22,38.6,12,21.05,23,40.35,10020
10,21,44,18,40.91,9,20.45,17,38.64,10021
10,22,23,14,60.87,5,21.74,4,17.39,10022
10,23,42,18,42.86,13,30.95,11,26.19,10023
10,24,34,13,38.24,9,26.47,12,35.29,10024
10,25,19,9,47.37,4,21.05,6,31.58,10025
10,26,37,16,43.24,9,24.32,12,32.43,10026
10,27,59,37,62.71,14,23.73,8,13.56,10027
10,28,47,18,38.3,16,34.04,13,27.66,10028
10,29,37,12,32.43,9,24.32,16,43.24,10029
10,30,50,23,46.0,19,38.0,8,16.0,10030
10,31,21,10,47.62,6,28.57,5,23.81,10031
10,32,31,18,58.06,7,22.58,6,19.35,10032
10,33,27,15,55.56,8,29.63,4,14.81,10033
10,34,42,17,40.48,13,30.95,12,28.57,10034
10,35,47,18,38.3,6,12.77,23,48.94,10035
10,36,29,16,55.17,7,24.14,6,20.69,10036
18,19,2,2,100.0,0,0.0,0,0.0,18019
18,32,107,62,57.94,33,30.84,12,11.21,18032
20,33,0,0,0.0,0,0.0,0,0.0,20033
21,1,131,98,74.81,17,12.98,16,12.21,21001
21,2,72,49,68.06,14,19.44,9,12.5,21002
21,3,99,66,66.67,22,22.22,11,11.11,21003
21,5,147,103,70.07,26,17.69,18,12.24,21005
21,6,89,60,67.42,20,22.47,9,10.11,21006
21,7,128,99,77.34,22,17.19,7,5.47,21007
21,8,111,85,76.58,15,13.51,11,9.91,21008
21,9,127,88,69.29,25,19.69,14,11.02,21009
21,10,75,49,65.33,11,14.67,15,20.0,21010
21,11,125,74,59.2,25,20.0,26,20.8,21011
21,12,117,78,66.67,19,16.24,20,17.09,21012
21,13,70,47,67.14,10,14.29,13,18.57,21013
21,14,148,133,89.86,10,6.76,5,3.38,21014
21,16,92,67,72.83,16,17.39,9,9.78,21016
21,17,81,60,74.07,13,16.05,8,9.88,21017
21,18,137,113,82.48,13,9.49,11,8.03,21018
21,19,107,84,78.5,11,10.28,12,11.21,21019
21,20,76,57,75.0,9,11.84,10,13.16,21020
21,21,89,58,65.17,20,22.47,11,12.36,21021
21,22,102,67,65.69,15,14.71,20,19.61,21022
21,23,117,67,57.26,25,21.37,25,21.37,21023
21,24,110,81,73.64,17,15.45,12,10.91,21024
21,25,123,79,64.23,28,22.76,16,13.01,21025
21,27,97,68,70.1,19,19.59,10,10.31,21027
21,29,76,58,76.32,14,18.42,4,5.26,21029
21,31,101,81,80.2,10,9.9,10,9.9,21031
21,32,120,91,75.83,12,10.0,17,14.17,21032
21,33,102,73,71.57,20,19.61,9,8.82,21033
21,34,93,66,70.97,16,17.2,11,11.83,21034
21,35,138,113,81.88,14,10.14,11,7.97,21035
21,36,117,92,78.63,15,12.82,10,8.55,21036
21,37,97,62,63.92,20,20.62,15,15.46,21037
21,38,107,73,68.22,18,16.82,16,14.95,21038
21,39,71,50,70.42,15,21.13,6,8.45,21039
21,40,85,55,64.71,22,25.88,8,9.41,21040
21,41,109,84,77.06,9,8.26,16,14.68,21041
21,42,118,82,69.49,18,15.25,18,15.25,21042
21,43,85,55,64.71,18,21.18,12,14.12,21043
21,44,106,64,60.38,20,18.87,22,20.75,21044
21,45,99,70,70.71,21,21.21,8,8.08,21045
21,46,111,81,72.97,17,15.32,13,11.71,21046
21,48,101,70,69.31,15,14.85,16,15.84,21048
21,49,126,94,74.6,21,16.67,11,8.73,21049
21,50,84,61,72.62,19,22.62,4,4.76,21050
21,52,46,30,65.22,5,10.87,11,23.91,21052
21,53,75,48,64.0,20,26.67,7,9.33,21053
