ward,precinct,total,Brenda Smith,Brenda Smith Percent,Blake Sercye,Blake Sercye Percent,Isaac ''Ike'' Carothers,Isaac ''Ike'' Carothers Percent,Richard R. Boykin,Richard R. Boykin Percent,Ronald Lawless,Ronald Lawless Percent,precinct_id
37,14,99,15,15.15,12,12.12,52,52.53,17,17.17,3,3.03,37014
37,15,134,11,8.21,15,11.19,76,56.72,29,21.64,3,2.24,37015
37,16,103,13,12.62,8,7.77,45,43.69,32,31.07,5,4.85,37016
37,17,84,17,20.24,13,15.48,29,34.52,21,25.0,4,4.76,37017
37,18,116,25,21.55,24,20.69,41,35.34,24,20.69,2,1.72,37018
37,19,71,28,39.44,15,21.13,15,21.13,10,14.08,3,4.23,37019
37,20,72,21,29.17,6,8.33,27,37.5,17,23.61,1,1.39,37020
37,21,72,31,43.06,11,15.28,13,18.06,17,23.61,0,0.0,37021
37,22,72,16,22.22,10,13.89,23,31.94,20,27.78,3,4.17,37022
37,23,113,21,18.58,29,25.66,31,27.43,27,23.89,5,4.42,37023
37,24,92,13,14.13,5,5.43,40,43.48,29,31.52,5,5.43,37024
37,25,98,11,11.22,14,14.29,38,38.78,29,29.59,6,6.12,37025
37,26,124,11,8.87,12,9.68,67,54.03,30,24.19,4,3.23,37026
37,27,118,18,15.25,11,9.32,40,33.9,41,34.75,8,6.78,37027
37,28,80,19,23.75,4,5.0,27,33.75,28,35.0,2,2.5,37028
37,29,97,18,18.56,17,17.53,19,19.59,37,38.14,6,6.19,37029
37,30,102,18,17.65,12,11.76,35,34.31,34,33.33,3,2.94,37030
37,31,108,20,18.52,20,18.52,30,27.78,35,32.41,3,2.78,37031
37,32,110,9,8.18,15,13.64,52,47.27,31,28.18,3,2.73,37032
37,33,149,37,24.83,14,9.4,36,24.16,57,38.26,5,3.36,37033
37,34,94,20,21.28,18,19.15,33,35.11,19,20.21,4,4.26,37034
37,35,115,18,15.65,30,26.09,27,23.48,38,33.04,2,1.74,37035
37,36,88,13,14.77,10,11.36,27,30.68,24,27.27,14,15.91,37036
37,37,101,18,17.82,14,13.86,23,22.77,42,41.58,4,3.96,37037
37,38,126,21,16.67,22,17.46,46,36.51,33,26.19,4,3.17,37038
37,39,90,12,13.33,17,18.89,28,31.11,27,30.0,6,6.67,37039
37,40,131,27,20.61,20,15.27,44,33.59,36,27.48,4,3.05,37040
37,41,96,17,17.71,12,12.5,34,35.42,30,31.25,3,3.13,37041
